Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,06 B","806,91 M","687,12 M","635,40 M","592,75 M","243,67 M","245,82 M","222,49 M","222,74 M","218,31 M","201,75 M","204,90 M","210,62 M","227,22 M","224,45 M","231,81 M","216,89 M","191,37 M","146,98 M","135,02 M","124,60 M","124,70 M","121,74 M","93,64 M","81,71 M","79,87 M","32,64 M","37,56 M","40,19 M","45,87 M","43,12 M","45,66 M","45,63 M","47,63 M","44,99 M","46,20 M","47,55 M","46,25 M","60,24 M","52,59 M","50,55 M","55,04 M","50,83 M","44,65 M","42,60 M","44,05 M","36,33 M","32,64 M","32,99 M","34,57 M","25,22 M","20,40 M","17,93 M","18,15 M","26,13 M","25,47 M","24,73 M","24,48 M","26,77 M","11,12 M","11,44 M","12,41 M","16,45 M"
Ativo circulante,"800,77 M","547,68 M","488,19 M","384,68 M","341,89 M","72,48 M","75,41 M","52,97 M","38,86 M","37,78 M","56,00 M","62,11 M","98,07 M","115,99 M","132,67 M","159,48 M","143,28 M","112,10 M","72,93 M","67,10 M","58,24 M","62,13 M","67,67 M","46,33 M","44,80 M","48,18 M","9,88 M","16,25 M","10,59 M","17,88 M","14,08 M","18,43 M","13,70 M","11,54 M","11,79 M","14,90 M","18,65 M","19,12 M","17,07 M","18,12 M","20,19 M","30,99 M","26,70 M","19,28 M","18,10 M","20,71 M","13,84 M","11,85 M","12,11 M","14,51 M","12,25 M","10,45 M","7,99 M","7,68 M","21,62 M","20,86 M","20,02 M","19,74 M","20,93 M","2,22 M","6,55 M","7,00 M","9,84 M"
Caixa e eq. de caixa,"168,11 M","159,05 M","52,38 M","52,07 M","52,73 M","6,87 M","8,18 M","6,66 M","7,04 M","7,43 M","15,98 M","12,27 M","22,75 M","26,02 M","28,29 M","12,54 M","2,22 M","27,28 M","11,68 M","11,58 M","3,34 M","10,17 M","19,97 M","999,00 Mil","878,00 Mil","137,00 Mil","243,00 Mil","206,00 Mil","1,03 M","414,00 Mil","188,00 Mil","210,00 Mil","184,00 Mil","4,30 M","184,00 Mil","347,00 Mil","162,00 Mil","6,73 M","916,00 Mil","5,41 M","10,18 M","18,12 M","16,45 M","10,59 M","11,18 M","13,24 M","6,50 M","2,87 M","5,40 M","4,69 M","3,49 M","2,08 M","1,34 M","1,76 M","3,15 M","898,00 Mil","574,00 Mil","707,00 Mil","596,00 Mil","303,00 Mil","249,00 Mil","196,00 Mil","331,00 Mil"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"175,28 M","158,41 M","133,63 M","94,38 M","55,36 M","42,83 M","23,45 M","17,48 M","12,70 M","12,17 M","17,59 M","14,66 M","35,95 M","37,52 M","42,03 M","34,40 M","27,50 M","13,79 M","15,16 M","24,47 M","15,27 M","13,45 M","6,73 M","2,02 M","1,26 M","701,00 Mil","1,93 M","1,73 M","2,04 M","2,56 M","13,69 M","18,06 M","13,38 M","7,05 M","10,82 M","13,72 M","17,70 M","11,21 M","14,20 M","11,29 M","8,70 M","11,55 M","8,95 M","7,35 M","5,37 M","5,65 M","5,74 M","7,01 M","5,10 M","8,00 M","6,96 M","6,67 M","5,07 M","4,48 M","681,00 Mil","865,00 Mil","1,74 M","2,25 M","3,80 M","1,18 M","1,51 M","2,28 M","3,74 M"
Estoques,"449,98 M","225,52 M","297,36 M","231,79 M","221,52 M","18,81 M","36,53 M","13,76 M","16,56 M","15,72 M","18,43 M","30,98 M","36,78 M","49,75 M","50,87 M","98,64 M","100,20 M","67,07 M","44,15 M","30,04 M","38,65 M","37,18 M","39,32 M","39,28 M","40,38 M","40,16 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,53 M","16,41 M","16,08 M","15,86 M","15,69 M",0,"3,89 M","3,89 M","5,23 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"256,33 M","259,23 M","198,93 M","250,72 M","250,86 M","171,19 M","170,41 M","169,52 M","183,88 M","180,52 M","145,75 M","142,79 M","112,55 M","111,23 M","91,78 M","72,33 M","73,61 M","79,27 M","74,05 M","67,92 M","66,36 M","62,57 M","54,07 M","47,32 M","36,91 M","31,69 M","22,76 M","21,31 M","29,60 M","27,99 M","29,05 M","27,23 M","31,93 M","36,09 M","33,20 M","31,30 M","28,90 M","27,12 M","43,16 M","34,47 M","30,36 M","24,05 M","24,13 M","25,37 M","24,50 M","23,34 M","22,49 M","20,79 M","20,88 M","20,06 M","12,97 M","9,95 M","9,94 M","10,47 M","4,51 M","4,61 M","4,71 M","4,74 M","5,84 M","8,90 M","4,89 M","5,41 M","6,61 M"
Investimentos,"170,46 M","174,66 M","170,94 M","171,22 M","171,18 M","164,87 M","167,02 M","157,89 M","169,84 M","166,41 M","131,25 M","128,93 M","103,50 M","104,04 M","86,54 M","68,04 M","66,95 M","65,14 M","60,49 M","56,40 M","54,05 M","51,03 M","41,48 M","36,61 M","30,80 M","27,34 M","15,94 M","14,82 M","23,74 M","23,14 M","22,52 M","21,17 M","20,76 M","31,84 M","29,05 M","26,93 M","23,20 M","20,77 M","33,48 M","24,98 M","20,33 M","13,86 M","13,59 M","14,08 M","12,58 M","11,99 M","10,90 M","9,32 M","9,13 M","8,99 M","8,70 M","6,29 M","6,44 M","6,46 M","835,00 Mil","835,00 Mil","835,00 Mil","835,00 Mil","835,00 Mil","835,00 Mil","835,00 Mil","835,00 Mil","1,20 M"
Imobilizado,"870,00 Mil","759,00 Mil","736,00 Mil","358,00 Mil","384,00 Mil","450,00 Mil","526,00 Mil","564,00 Mil","44,00 Mil","70,00 Mil","1,03 M","1,06 M","1,07 M","138,00 Mil","496,00 Mil","234,00 Mil","299,00 Mil","384,00 Mil","541,00 Mil","925,00 Mil","818,00 Mil","772,00 Mil","25,00 Mil","27,00 Mil","29,00 Mil","31,00 Mil","33,00 Mil","36,00 Mil","39,00 Mil","58,00 Mil","5,00 Mil","7,00 Mil","9,00 Mil","11,00 Mil","13,00 Mil","14,00 Mil","16,00 Mil","18,00 Mil","20,00 Mil","22,00 Mil","24,00 Mil","26,00 Mil","20,00 Mil","22,00 Mil","24,00 Mil","25,00 Mil","27,00 Mil","29,00 Mil","4,00 Mil","5,00 Mil","4,00 Mil","5,00 Mil","5,00 Mil","3,00 Mil","3,00 Mil","6,00 Mil","12,00 Mil","17,00 Mil","19,00 Mil","26,00 Mil","28,00 Mil","33,00 Mil","50,00 Mil"
