Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,27","4,28","21,98","18,78","9,09","91,89","353,14","-27,82","274,46","191,24","209,38","60,38","105,58","46,95","290,55","-133,92","-223,14","-1.173,93"
P/VP,"0,87","0,62","4,71","5,86","2,69","74,90","207,80","504,90","26,37","36,36","39,41","32,78","55,93","87,73","-151,37","-99,52","-62,03","-38,02"
P/EBIT,"2,48","2,02","9,37","10,44","3,61","49,88","179,39","-26,78","338,51","230,54","72,70","56,42","92,79","63,11","173,09","-286,58","1.959,48","-1.741,40"
P/EBIT *,"3,54","2,99","-17,14","30,50","4,81","113,43","-281,91","-25,91","-60,08","-95,78","13.548,60","78,79","110,51","79,32","142,76","-457,49","69.888,00","-3.541,62"
PSR,"0,41","0,31","2,33","1,90","0,43","9,40","22,84","168,34","100,70","72,82","32,44","19,35","19,56","20,47","27,10","47,13","118,19","107,15"
P/Ativos,"0,17","0,14","0,72","0,83","0,28","3,59","5,50","8,59","14,96","18,49","19,04","16,00","19,99","25,47","48,52","35,98","84,44","63,74"
LPA,"5,86","3,81","1,14","1,38","1,00","1,07","0,28","-3,53","0,36","0,66","0,60","2,09","1,19","2,68","0,43","-0,94","-0,67","-0,13"
VPA,"28,79","26,44","5,31","4,44","3,38","1,31","0,47","0,19","3,72","3,47","3,20","3,84","2,25","1,44","-0,83","-1,27","-2,42","-3,95"
EBIT por ação,"10,09","8,07","2,67","2,49","2,52","1,97","0,55","-3,67","0,29","0,55","1,73","2,23","1,36","2,00","0,73","-0,44","0,08","-0,09"
EBIT por ação *,"7,06","5,46","-1,46","0,85","1,89","0,87","-0,35","-3,79","-1,63","-1,32","0,01","1,60","1,14","1,59","0,88","-0,28","0,00","-0,04"
Ativo por ação,"151,26","115,46","34,87","31,24","32,51","27,38","17,84","11,43","6,56","6,81","6,62","7,88","6,30","4,95","2,60","3,50","1,78","2,35"
Receita líquida por ação,"61,58","52,31","10,75","13,70","21,35","10,45","4,30","0,58","0,97","1,73","3,88","6,51","6,44","6,16","4,65","2,67","1,27","1,40"
Margem bruta,"28,23%","27,16%","26,78%","34,24%","23,54%","35,13%","18,39%","-72,89%","-0,51%","16,37%","39,39%","48,74%","47,44%","46,82%","46,41%","40,42%","55,94%","53,09%"
Margem líquida,"13,24%","12,55%","10,58%","10,11%","4,69%","10,23%","6,47%","-605,15%","36,69%","38,08%","15,49%","32,05%","18,53%","43,60%","9,33%","-35,19%","-52,97%","-9,13%"
Margem EBIT,"16,39%","15,43%","24,80%","18,18%","11,81%","18,84%","12,73%","-628,61%","29,75%","31,59%","44,62%","34,30%","21,08%","32,44%","15,66%","-16,45%","6,03%","-6,15%"
Margem EBIT *,"11,47%","10,43%","-13,56%","6,22%","8,86%","8,29%","-8,10%","-649,73%","-167,60%","-76,04%","0,24%","24,56%","17,70%","25,81%","18,98%","-10,30%","0,17%","-3,03%"
Margem EBITDA,"16,81%","16,10%","25,56%","18,92%","12,04%","19,21%","13,63%","-621,86%","29,94%","31,70%","44,69%","34,36%","21,12%","32,47%","15,75%","-16,26%","6,31%","-5,69%"
Margem EBITDA *,"11,89%","11,10%","-12,80%","6,96%","9,09%","8,66%","-7,21%","-642,98%","-167,41%","-75,93%","0,31%","24,62%","17,74%","25,84%","19,08%","-10,11%","0,45%","-2,57%"
Margem operacional,"15,57%","14,90%","12,57%","12,95%","5,75%","11,82%","8,72%","-605,59%","36,92%","38,92%","48,55%","37,62%","21,67%","31,72%","11,96%","-33,07%","-52,80%","-59,68%"
ROE,"14,53%","16,18%","21,43%","31,19%","29,60%","81,51%","58,84%","-1.815,01%","9,61%","19,01%","18,82%","54,29%","52,97%","186,85%","-52,10%","74,31%","27,80%","3,24%"
ROA,"0,05","0,06","0,03","0,04","0,03","0,04","0,02","-0,31","0,05","0,10","0,09","0,27","0,19","0,54","0,17","-0,27","-0,38","-0,05"
ROIC,"8,80%","9,44%","8,01%","8,39%","9,30%","9,54%","3,77%","-36,04%","4,50%","8,89%","30,88%","42,59%","30,97%","47,04%","31,48%","-13,19%","4,41%","-3,79%"
ROIC *,"6,15%","6,39%","-4,38%","2,87%","6,98%","4,19%","-2,40%","-37,25%","-25,35%","-21,40%","0,17%","30,49%","26,00%","37,42%","38,17%","-8,26%","0,12%","-1,87%"
Giro do ativo,"0,41","0,45","0,31","0,44","0,66","0,38","0,24","0,05","0,15","0,25","0,59","0,83","1,02","1,24","1,79","0,76","0,71","0,59"
EBIT *,49 mi,38 mi,-11 mi,5 mi,13 mi,6 mi,-3 mi,-27 mi,-12 mi,-10 mi,0 mi,11 mi,7 mi,11 mi,6 mi,-2 mi,0 mi,-1 mi
EBITDA,72 mi,58 mi,19 mi,18 mi,17 mi,14 mi,4 mi,-26 mi,2 mi,3 mi,12 mi,15 mi,9 mi,13 mi,5 mi,-4 mi,0 mi,-1 mi
EBITDA *,51 mi,40 mi,-10 mi,6 mi,13 mi,6 mi,-3 mi,-27 mi,-12 mi,-10 mi,0 mi,11 mi,7 mi,11 mi,6 mi,-2 mi,0 mi,-1 mi
Liquidez corrente,"4,51","3,78","1,33","1,04","1,65","1,99","2,56","2,98","3,35","1,58","2,31","2,14","1,61","1,19","0,57","1,10","0,37","0,34"
Liquidez seca,"1,97","2,22","0,99","0,61","0,94","0,80","1,03","0,50","3,35","1,58","2,31","2,14","1,61","1,19","0,57","0,22","0,16","0,16"
Liquidez imediata,"0,95","1,10","0,13","0,20","0,37","0,48","0,42","0,01","0,08","0,59","0,81","1,25","1,03","0,39","0,13","0,04","0,01","0,01"
Dívida bruta,318 mi,303 mi,70 mi,44 mi,98 mi,87 mi,34 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,6 mi,9 mi,4 mi,19 mi
Dívida líquida,150 mi,144 mi,63 mi,37 mi,72 mi,60 mi,24 mi,0 mi,-1 mi,-5 mi,-7 mi,-19 mi,-14 mi,-4 mi,4 mi,8 mi,4 mi,18 mi
Capital de giro,623 mi,402 mi,18 mi,1 mi,45 mi,55 mi,37 mi,32 mi,12 mi,4 mi,10 mi,16 mi,7 mi,2 mi,-6 mi,1 mi,-12 mi,-20 mi
