Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"96,64 M","212,25 M","46,03 M","75,47 M","31,86 M","35,90 M","11,36 M","16,85 M","11,04 M","11,52 M","24,79 M","24,48 M","34,92 M","72,83 M","32,70 M","25,40 M","18,25 M","19,70 M","11,28 M","27,40 M","14,62 M","13,74 M","7,78 M","5,66 M","2,86 M","-108,00 Mil","756,00 Mil","1,63 M","1,80 M","1,89 M","964,00 Mil","3,01 M","946,00 Mil","974,00 Mil","1,18 M","4,77 M","5,17 M","6,43 M","6,22 M","7,04 M","7,46 M","11,14 M","11,15 M","12,29 M","10,92 M","13,58 M","11,36 M","10,89 M","9,20 M","11,35 M","11,66 M","11,10 M","8,91 M","12,53 M","8,46 M","6,48 M","5,03 M","5,96 M","7,05 M","3,05 M","2,63 M","3,02 M","2,51 M","1,79 M","1,56 M"
Custos,"-67,82 M","-158,03 M","-27,67 M","-55,37 M","-25,24 M","-26,94 M","-9,72 M","-10,56 M","-7,80 M","-7,29 M","-15,21 M","-14,93 M","-25,51 M","-60,93 M","-21,11 M","-20,02 M","-12,02 M","-12,09 M","-6,06 M","-19,13 M","-10,08 M","-9,71 M","-6,98 M","-5,05 M","-2,77 M","-1,63 M","-1,87 M","-1,76 M","-1,79 M","-1,70 M","-1,62 M","-1,91 M","-1,62 M","-1,27 M","-2,38 M","-3,36 M","-3,09 M","-3,06 M","-4,31 M","-4,41 M","-4,67 M","-5,43 M","-5,80 M","-5,79 M","-6,31 M","-6,83 M","-5,33 M","-5,57 M","-5,93 M","-6,44 M","-6,16 M","-5,70 M","-4,58 M","-8,56 M","-3,75 M","-2,85 M","-2,27 M","-2,16 M","-6,41 M","-1,02 M","-1,54 M","-700,00 Mil","-850,00 Mil","-1,33 M","-1,03 M"
Lucro bruto,"28,82 M","54,22 M","18,36 M","20,10 M","6,63 M","8,96 M","1,64 M","6,28 M","3,24 M","4,24 M","9,58 M","9,54 M","9,42 M","11,90 M","11,60 M","5,39 M","6,23 M","7,62 M","5,22 M","8,27 M","4,53 M","4,03 M","802,00 Mil","605,00 Mil","84,00 Mil","-1,74 M","-1,11 M","-129,00 Mil","4,00 Mil","194,00 Mil","-657,00 Mil","1,10 M","-674,00 Mil","-301,00 Mil","-1,20 M","1,41 M","2,08 M","3,37 M","1,91 M","2,63 M","2,78 M","5,71 M","5,36 M","6,50 M","4,61 M","6,75 M","6,03 M","5,32 M","3,27 M","4,91 M","5,50 M","5,40 M","4,33 M","3,97 M","4,72 M","3,63 M","2,76 M","3,80 M","638,00 Mil","2,03 M","1,08 M","2,32 M","1,66 M","463,00 Mil","526,00 Mil"
Despesas operacionais,"-11,97 M","-13,06 M","-19,77 M","-6,17 M","-3,88 M","2,46 M","3,29 M","729,00 Mil","-7,98 M","-274,00 Mil","-6,33 M","-4,41 M","-4,37 M","-4,28 M","-2,40 M","-5,61 M","-5,21 M","-3,75 M","-1,91 M","-2,75 M","-3,48 M","-140,00 Mil","-2,98 M","146,00 Mil","1,27 M","-6,59 M","-4,95 M","-3,20 M","-7,92 M","5,81 M","-3,42 M","480,00 Mil","-809,00 Mil","2,46 M","-62,00 Mil","-842,00 Mil","282,00 Mil","2,43 M","-1,01 M","-475,00 Mil","477,00 Mil","-1,76 M","-640,00 Mil","-1,96 M","-2,21 M","-5,46 M","-1,79 M","-1,80 M","-2,82 M","-1,44 M","200,00 Mil","-2,44 M","-2,51 M","-2,48 M","-3,07 M","-2,37 M","-2,07 M","-6,08 M","66,00 Mil","-2,53 M","-2,13 M","-1,39 M","-826,00 Mil","-773,00 Mil","-767,00 Mil"
Despesas com vendas,"-8,16 M","15,73 M","-8,38 M","-4,98 M","-2,37 M","1,95 M","-755,00 Mil","-615,00 Mil","-579,00 Mil","2,18 M","-432,00 Mil","-1,03 M","-712,00 Mil","4,58 M","-2,54 M","-1,42 M","-626,00 Mil","2,27 M","-847,00 Mil","-582,00 Mil","-844,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-178,00 Mil",0,"-48,00 Mil",0,"-62,00 Mil",0,"-5,00 Mil","-10,00 Mil"
Despesas administrativas,"-12,46 M","-36,44 M","-9,68 M","-7,77 M","-7,26 M","-3,41 M","-8,47 M","-7,66 M","-10,78 M","-9,38 M","-6,71 M","-4,91 M","-5,82 M","-10,46 M","-3,09 M","-4,00 M","-4,34 M","-9,06 M","-2,84 M","-4,13 M","-3,57 M","-1,95 M","-4,60 M","901,00 Mil","-2,31 M","-5,86 M","-4,87 M","-6,05 M","-6,74 M","-1,90 M","-4,64 M","-2,69 M","-2,15 M","-4,65 M","-2,60 M","-1,82 M","-2,10 M","-737,00 Mil","-2,12 M","-5,34 M","-2,42 M","-2,44 M","-2,65 M","-3,11 M","-2,81 M","-6,15 M","-2,14 M","-2,08 M","-3,02 M","-1,96 M","-2,31 M","-2,28 M","-2,49 M","-2,28 M","-2,58 M","-2,02 M","-2,03 M","-3,56 M","-1,13 M","-2,48 M","-2,11 M","-1,30 M","-1,43 M","-768,00 Mil","-699,00 Mil"
EBIT,"16,86 M","41,15 M","-1,41 M","13,93 M","2,74 M","11,42 M","4,94 M","7,01 M","-4,73 M","3,96 M","3,25 M","5,14 M","5,05 M","7,62 M","9,20 M","-224,00 Mil","1,02 M","3,87 M","3,31 M","5,53 M","1,05 M","3,89 M","-2,18 M","751,00 Mil","1,36 M","-8,32 M","-6,06 M","-3,33 M","-7,91 M","6,00 M","-4,07 M","1,58 M","-1,48 M","2,16 M","-1,26 M","565,00 Mil","2,36 M","5,80 M","899,00 Mil","2,16 M","3,26 M","3,96 M","4,71 M","4,54 M","2,40 M","1,29 M","4,24 M","3,52 M","444,00 Mil","3,47 M","5,70 M","2,96 M","1,82 M","1,50 M","1,64 M","1,26 M","685,00 Mil","-2,28 M","704,00 Mil","-500,00 Mil","-1,04 M","926,00 Mil","830,00 Mil","-310,00 Mil","-241,00 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-2,31 M","-2,71 M","1,58 M","-62,00 Mil","-745,00 Mil","-1,39 M","-3,33 M","-2,71 M","-1,76 M","-2,48 M","-1,09 M","-1,18 M","-255,00 Mil","-1,27 M","-3,04 M","-2,42 M","-2,32 M","-38,00 Mil","-2,19 M","-2,27 M","-633,00 Mil","-1,03 M","-362,00 Mil","71,00 Mil","115,00 Mil","566,00 Mil","129,00 Mil","136,00 Mil","107,00 Mil","330,00 Mil","38,00 Mil","41,00 Mil","80,00 Mil","117,00 Mil","74,00 Mil","342,00 Mil","354,00 Mil","91,00 Mil","121,00 Mil","276,00 Mil","579,00 Mil","456,00 Mil","368,00 Mil","243,00 Mil","442,00 Mil","205,00 Mil","81,00 Mil","-131,00 Mil","109,00 Mil","52,00 Mil","-95,00 Mil","-127,00 Mil","-139,00 Mil","-51,00 Mil","-171,00 Mil","-305,00 Mil","-676,00 Mil","-741,00 Mil","-566,00 Mil","-638,00 Mil","-1,16 M","-1,66 M","-164,00 Mil","-3,34 M","-727,00 Mil"
Antes dos impostos,"14,54 M","38,44 M","173,00 Mil","13,87 M","2,00 M","10,03 M","1,60 M","4,30 M","-6,49 M","1,48 M","2,16 M","3,96 M","4,79 M","6,36 M","6,16 M","-2,64 M","-1,29 M","3,83 M","1,12 M","3,26 M","414,00 Mil","2,86 M","-2,54 M","822,00 Mil","1,47 M","-7,75 M","-5,93 M","-3,19 M","-7,80 M","6,33 M","-4,04 M","1,62 M","-1,40 M","2,28 M","-1,19 M","907,00 Mil","2,71 M","5,89 M","1,02 M","2,43 M","3,84 M","4,41 M","5,08 M","4,78 M","2,84 M","1,49 M","4,32 M","3,39 M","553,00 Mil","3,52 M","5,61 M","2,83 M","1,68 M","1,45 M","1,47 M","958,00 Mil","9,00 Mil","-3,02 M","138,00 Mil","-1,14 M","-2,21 M","-729,00 Mil","666,00 Mil","-3,65 M","-968,00 Mil"
