Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,94","5,77","5,03","5,67","3,77","6,98","6,84","7,43",-,-,-,-,-,-,-,-,-,-
P/VP,"1,28","1,29","1,37","1,75","1,24","1,53","1,55","2,02",-,-,-,-,-,-,-,-,-,-
P/EBIT,"6,22","5,77","4,04","4,16","2,39","5,32","9,49","3,96",-,-,-,-,-,-,-,-,-,-
P/EBIT *,"6,83","6,24","3,99","4,06","2,29","4,22","17,48","6,31",-,-,-,-,-,-,-,-,-,-
PSR,"1,07","1,03","0,88","0,89","0,48","0,80","0,96","0,68",-,-,-,-,-,-,-,-,-,-
P/Ativos,"1,05","1,06","1,04","1,21","0,55","0,60","0,53","0,62",-,-,-,-,-,-,-,-,-,-
LPA,"1,63","1,62","1,81","1,70","1,34","0,65","0,52","0,48",-,-,-,-,-,-,-,-,-,-
VPA,"7,56","7,23","6,65","5,51","4,06","2,97","2,30","1,76",-,-,-,-,-,-,-,-,-,-
EBIT por ação,"1,56","1,62","2,25","2,32","2,11","0,85","0,38","0,90",-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"1,42","1,50","2,28","2,38","2,21","1,07","0,20","0,56",-,-,-,-,-,-,-,-,-,-
Ativo por ação,"9,23","8,82","8,73","7,94","9,14","7,54","6,66","5,75",-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"9,09","9,06","10,36","10,86","10,42","5,68","3,70","5,20",-,-,-,-,-,-,-,-,-,-
Margem bruta,"49,37%","48,89%","49,47%","47,40%","44,98%","46,89%","45,00%","44,06%","40,81%","39,55%","38,03%","40,41%","43,45%","40,82%","41,10%","43,50%","42,60%","40,92%"
Margem líquida,"17,94%","17,85%","17,45%","15,65%","12,88%","11,49%","14,07%","9,19%","6,73%","17,26%","-12,08%","-9,60%","4,93%","0,12%","-10,07%","2,44%","3,83%","31,28%"
Margem EBIT,"17,14%","17,86%","21,73%","21,36%","20,25%","15,03%","10,13%","17,26%","11,69%","7,69%","4,11%","12,12%","16,04%","9,81%","-3,00%","7,41%","9,00%","38,78%"
Margem EBIT *,"15,60%","16,50%","22,03%","21,89%","21,20%","18,92%","5,50%","10,82%","9,38%","5,35%","5,06%","2,28%","5,14%","-3,98%","-5,49%","6,53%","7,57%","11,61%"
Margem EBITDA,"20,78%","21,43%","24,79%","24,02%","22,60%","18,01%","13,92%","20,51%","14,53%","10,15%","6,07%","15,95%","19,02%","13,25%","-0,63%","9,51%","11,32%","39,52%"
Margem EBITDA *,"19,23%","20,07%","25,09%","24,54%","23,55%","21,90%","9,29%","14,08%","12,22%","7,81%","7,02%","6,11%","8,12%","-0,54%","-3,12%","8,63%","9,88%","12,34%"
Margem operacional,"18,70%","19,34%","22,73%","15,99%","13,56%","8,87%","19,99%","5,66%","3,82%","3,46%","-12,03%","-9,04%","4,98%","0,09%","-10,15%","2,28%","3,92%","31,24%"
ROE,"21,59%","22,38%","27,17%","30,87%","33,16%","22,08%","22,71%","27,32%","69,08%","666,38%","91,88%","7.500,00%","45,51%","1,86%","-195,53%","16,61%","27,37%","312,01%"
ROA,"0,18","0,18","0,21","0,21","0,15","0,09","0,08","0,08","0,08","0,20","-0,15","-0,10","0,05","0,00","-0,11","0,03","0,05","0,43"
ROIC,"21,02%","23,59%","30,61%","32,50%","25,50%","12,41%","6,13%","17,05%","15,77%","10,55%","6,06%","15,42%","20,43%","12,08%","-3,95%","10,04%","13,46%","55,36%"
ROIC *,"19,12%","21,80%","31,04%","33,30%","26,70%","15,62%","3,33%","10,69%","12,66%","7,34%","7,46%","2,90%","6,54%","-4,90%","-7,23%","8,85%","11,31%","16,57%"
