Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"14,11 B","13,97 B","13,88 B","13,34 B","13,36 B","13,83 B","13,56 B","13,78 B","13,33 B","13,56 B","13,49 B","13,61 B","13,16 B","12,27 B","12,62 B","12,24 B","11,90 B","11,97 B","11,29 B","10,50 B","10,24 B","11,21 B","9,82 B"
Ativo circulante,"4,77 B","4,47 B","4,60 B","4,20 B","4,19 B","4,56 B","4,62 B","4,93 B","4,56 B","4,86 B","4,91 B","5,40 B","4,96 B","4,27 B","4,90 B","4,51 B","4,33 B","4,45 B","4,30 B","3,62 B","3,23 B","3,41 B","2,67 B"
Caixa e eq. de caixa,"1,43 B","1,27 B","1,10 B","580,32 M","653,16 M","1,14 B","1,28 B","1,58 B","1,07 B","1,35 B","936,99 M","1,03 B","886,06 M","849,08 M","1,18 B","1,13 B","1,26 B","1,45 B","686,30 M","295,61 M","514,62 M","632,44 M","190,32 M"
Aplicações financeiras,"62,42 M","57,16 M","108,69 M","93,03 M","204,54 M","385,12 M","380,61 M","383,53 M","365,95 M","379,04 M","389,55 M","344,50 M","410,37 M","339,85 M","457,19 M","356,14 M","321,81 M","337,35 M","692,60 M","424,47 M","354,52 M","616,94 M","458,61 M"
Contas a receber,"681,16 M","632,23 M","644,59 M","669,57 M","639,35 M","493,54 M","517,74 M","463,18 M","429,21 M","382,44 M","502,01 M","518,19 M","544,84 M","496,31 M","526,63 M","571,07 M","684,95 M","698,25 M","757,75 M","666,68 M","643,79 M","474,71 M","404,30 M"
Estoques,"1,97 B","2,05 B","2,23 B","2,35 B","2,31 B","2,16 B","1,94 B","1,87 B","1,92 B","1,94 B","2,14 B","2,32 B","2,09 B","1,88 B","1,87 B","1,80 B","1,64 B","1,59 B","1,63 B","1,58 B","1,24 B","1,07 B","928,14 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"9,35 B","9,50 B","9,27 B","9,14 B","9,17 B","9,27 B","8,93 B","8,85 B","8,77 B","8,70 B","8,58 B","8,21 B","8,21 B","8,00 B","7,72 B","7,73 B","7,57 B","7,51 B","6,99 B","6,88 B","7,01 B","7,81 B","7,15 B"
Investimentos,"157,84 M","221,69 M","217,85 M","182,33 M","270,13 M","237,79 M","238,28 M","204,74 M","275,99 M","277,13 M","242,66 M","301,77 M","360,83 M","360,59 M","232,44 M","216,15 M","234,30 M","204,97 M","176,23 M","197,94 M","174,85 M","198,77 M","205,08 M"
Imobilizado,"6,73 B","6,65 B","6,62 B","6,53 B","6,46 B","6,42 B","6,20 B","6,14 B","6,04 B","5,98 B","5,99 B","5,85 B","5,81 B","5,53 B","5,50 B","5,48 B","5,25 B","5,20 B","5,04 B","4,98 B","4,96 B","5,12 B","4,74 B"
Intangível,"861,80 M","872,83 M","863,02 M","874,40 M","875,08 M","868,14 M","875,45 M","892,14 M","889,57 M","901,32 M","915,17 M","931,38 M","943,52 M","956,78 M","1,07 B","1,08 B","1,10 B","997,92 M","658,56 M","668,20 M","674,02 M","531,26 M","491,74 M"
Passivo total,"14,11 B","13,97 B","13,88 B","13,34 B","13,36 B","13,83 B","13,56 B","13,78 B","13,33 B","13,56 B","13,49 B","13,61 B","13,16 B","12,27 B","12,62 B","12,24 B","11,90 B","11,97 B","11,29 B","10,50 B","10,24 B","11,21 B","9,82 B"
Passivo circulante,"2,26 B","2,43 B","2,28 B","2,25 B","2,37 B","2,35 B","2,00 B","1,99 B","2,03 B","2,06 B","2,17 B","2,45 B","2,21 B","2,19 B","2,02 B","1,75 B","1,78 B","2,16 B","2,33 B","2,23 B","2,26 B","1,99 B","1,23 B"
Fornecedores,"1,02 B","1,09 B","1,14 B","1,15 B","1,27 B","1,12 B","958,47 M","796,21 M","889,32 M","956,88 M","881,27 M","989,50 M","1,01 B","1,01 B","929,15 M","747,89 M","646,98 M","655,63 M","639,97 M","523,44 M","511,29 M","425,95 M","407,21 M"
Empréstimos e financ.,"178,89 M","186,63 M","157,95 M","138,54 M","136,72 M","159,68 M","301,34 M","296,13 M","292,48 M","123,69 M","122,41 M","124,35 M","135,26 M","123,87 M","146,31 M","92,56 M","120,27 M","96,51 M","112,05 M","83,14 M","100,47 M","72,64 M","135,84 M"
Passivo não circulante,"6,99 B","7,02 B","6,86 B","6,51 B","6,48 B","7,48 B","7,28 B","7,61 B","6,71 B","6,80 B","6,29 B","5,76 B","5,53 B","4,76 B","4,83 B","4,83 B","4,70 B","5,09 B","4,94 B","4,70 B","5,05 B","5,48 B","3,45 B"
Emprést. de longo prazo,"4,44 B","4,31 B","4,22 B","3,79 B","3,91 B","4,65 B","4,54 B","5,08 B","4,24 B","4,27 B","4,35 B","3,87 B","3,52 B","2,88 B","2,93 B","2,83 B","2,65 B","3,05 B","2,97 B","2,77 B","3,13 B","2,89 B","2,06 B"
Patrimônio líquido,"4,86 B","4,51 B","4,73 B","4,58 B","4,51 B","4,01 B","4,27 B","4,18 B","4,59 B","4,70 B","5,03 B","5,39 B","5,43 B","5,32 B","5,66 B","5,66 B","5,42 B","4,72 B","4,02 B","3,58 B","2,92 B","3,74 B","5,13 B"
Aos não controladores,"233,42 M","222,62 M","207,26 M","219,29 M","227,42 M","227,22 M","258,62 M","229,83 M","255,39 M","245,72 M","242,15 M","215,91 M","250,19 M","227,93 M","234,16 M","212,30 M","258,46 M","215,18 M","179,29 M","171,41 M","193,15 M","176,73 M","185,93 M"
