Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"79,50","-499,18","5,67","-27,03","-62,06","113,90","141,64","23,13","57,59","-95,42","-89,28","-611,00","91.941,95","34.553,36","33.190,49","134.736,17","85.065,10","58.709,49"
P/VP,"0,41","0,46","0,45","0,97","1,10","2,56","1,93","1,76","2,82","2,93","8,73","8,57","6.907,78","7.173,83","7.977,00","17.326,77","11.608,62","13.633,22"
P/EBIT,"4,44","5,28","3,90","7,72","7,47","18,14","14,40","10,04","15,87","28,68","155,81","122,03","25.102,93","23.784,50","23.181,21","48.844,93","39.811,25","31.628,31"
P/EBIT *,"2,81","3,24","3,31","5,75","6,23","9,64","9,75","11,40","17,62","35,93","300,64","187,43","25.102,93","23.784,50","23.181,21","48.844,93","39.811,25","31.628,31"
PSR,"0,40","0,46","0,43","0,66","0,74","1,12","1,08","1,09","1,81","1,84","4,43","4,17","3.909,96","4.623,28","4.436,59","8.556,42","5.826,69","6.723,64"
P/Ativos,"0,18","0,21","0,19","0,29","0,34","0,59","0,60","0,61","1,02","1,05","2,44","2,75","2.873,07","3.115,50","3.131,58","6.083,93","4.261,37","4.702,11"
LPA,"0,11","-0,02","1,48","-0,42","-0,20","0,18","0,11","0,62","0,38","-0,23","-0,49","-0,08","0,43","1,14","1,09","0,46","0,48","0,80"
VPA,"22,00","21,81","18,63","11,78","11,55","8,19","7,92","8,08","7,71","7,41","5,01","5,55","5,72","5,47","4,53","3,61","3,49","3,43"
EBIT por ação,"2,01","1,88","2,15","1,48","1,69","1,16","1,06","1,42","1,37","0,76","0,28","0,39","1,57","1,65","1,56","1,28","1,02","1,48"
EBIT por ação *,"3,18","3,07","2,53","1,99","2,03","2,17","1,57","1,25","1,24","0,60","0,15","0,25","1,57","1,65","1,56","1,28","1,02","1,48"
Ativo por ação,"49,27","47,32","43,31","38,96","37,37","35,81","25,68","23,32","21,39","20,59","17,88","17,25","13,76","12,60","11,54","10,28","9,52","9,94"
Receita líquida por ação,"22,33","21,54","19,29","17,20","17,06","18,70","14,10","13,03","12,05","11,78","9,86","11,39","10,11","8,49","8,14","7,31","6,96","6,95"
Margem bruta,"17,59%","17,63%","16,99%","17,35%","17,39%","15,08%","15,08%","16,48%","16,99%","11,73%","11,35%","9,32%","21,62%","26,41%","26,59%","23,18%","23,95%","29,96%"
Margem líquida,"0,50%","-0,09%","7,67%","-2,46%","-1,19%","0,98%","0,77%","4,73%","3,14%","-1,93%","-4,97%","-0,68%","4,25%","13,38%","13,37%","6,35%","6,85%","11,45%"
Margem EBIT,"8,99%","8,75%","11,14%","8,60%","9,92%","6,18%","7,53%","10,90%","11,38%","6,42%","2,85%","3,42%","15,58%","19,44%","19,14%","17,52%","14,64%","21,26%"
Margem EBIT *,"14,22%","14,26%","13,13%","11,56%","11,90%","11,63%","11,11%","9,60%","10,25%","5,12%","1,47%","2,22%","15,58%","19,44%","19,14%","17,52%","14,64%","21,26%"
Margem EBITDA,"11,96%","15,93%","20,70%","17,73%","17,64%","12,06%","14,82%","18,44%","17,62%","12,36%","8,95%","8,04%","20,24%","25,14%","23,92%","23,02%","19,85%","26,68%"
Margem EBITDA *,"17,19%","21,45%","22,68%","20,69%","19,62%","17,50%","18,41%","17,14%","16,49%","11,07%","7,58%","6,85%","20,24%","25,14%","23,92%","23,02%","19,85%","26,68%"
Margem operacional,"-0,07%","-1,07%","1,06%","-3,49%","-1,25%","1,15%","1,19%","7,16%","4,94%","-2,77%","-7,08%","-0,67%","6,50%","20,21%","20,72%","10,85%","10,39%","17,38%"
