Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018
Receita líquida,"1,62 B","2,47 B","1,84 B","2,06 B","1,61 B","2,55 B","1,80 B","1,83 B","1,45 B","2,29 B","1,54 B","1,64 B","1,24 B","1,95 B","1,41 B","1,63 B","1,20 B","1,86 B","1,34 B","1,18 B","776,08 M","1,75 B","1,07 B","294,49 M","976,85 M","1,74 B","1,24 B","1,26 B","1,04 B","1,67 B","1,22 B","1,24 B","1,00 B"
Custos,"-718,37 M","-1,08 B","-834,93 M","-891,59 M","-740,08 M","-1,15 B","-821,30 M","-805,79 M","-682,66 M","-1,07 B","-745,43 M","-763,62 M","-616,06 M","-940,36 M","-713,69 M","-793,78 M","-629,61 M","-963,60 M","-740,07 M","-627,15 M","-425,08 M","-924,98 M","-612,13 M","-151,24 M","-500,52 M","-883,77 M","-654,03 M","-640,19 M","-539,08 M","-799,31 M","-637,25 M","-617,04 M","-531,85 M"
Lucro bruto,"901,19 M","1,39 B","1,01 B","1,17 B","872,00 M","1,40 B","978,51 M","1,03 B","770,35 M","1,22 B","797,24 M","879,34 M","624,52 M","1,01 B","693,85 M","836,46 M","567,42 M","898,54 M","599,34 M","548,44 M","351,00 M","822,01 M","455,02 M","143,25 M","476,33 M","858,68 M","587,86 M","620,14 M","501,43 M","871,04 M","582,35 M","624,21 M","471,54 M"
Despesas operacionais,"-850,38 M","-945,76 M","-856,29 M","-787,61 M","-798,25 M","-997,00 M","-850,55 M","-805,31 M","-714,47 M","-859,40 M","-769,06 M","-777,41 M","-717,72 M","-656,16 M","-696,21 M","-747,20 M","-738,36 M","-681,77 M","-639,96 M","-462,70 M","-520,09 M","-652,65 M","-494,23 M","-387,74 M","-526,25 M","-566,45 M","-529,98 M","-548,01 M","109,41 M","-619,64 M","-520,62 M","-517,01 M","-535,66 M"
Despesas com vendas,"-593,57 M","-711,72 M","-596,32 M","-636,83 M","-566,77 M","-670,78 M","-578,02 M","-572,19 M","-534,01 M","-617,36 M","-525,95 M","-528,00 M","-509,02 M","-557,70 M","-552,74 M","-585,48 M","-559,94 M","-603,22 M","-517,23 M","-456,77 M","-448,41 M","-549,14 M","-409,15 M","-277,00 M","-413,16 M","-483,08 M","-428,65 M","-439,22 M","-404,38 M","-503,89 M","-405,58 M","-407,75 M","-399,60 M"
Despesas administrativas,"-227,51 M","-255,92 M","-233,97 M","-251,41 M","-218,24 M","-256,03 M","-223,99 M","-203,53 M","-203,77 M","-225,64 M","-193,57 M","-196,11 M","-170,16 M","-187,88 M","-160,12 M","-163,23 M","-175,83 M","-142,04 M","-136,08 M","-131,70 M","-78,06 M","-156,86 M","-115,25 M","-110,32 M","-109,28 M","-150,38 M","-108,85 M","-112,73 M","-126,06 M","-106,83 M","-115,19 M","-109,37 M","-133,89 M"
EBIT,"50,81 M","441,89 M","149,64 M","379,27 M","73,75 M","404,90 M","127,96 M","220,51 M","55,88 M","361,76 M","28,19 M","101,93 M","-93,19 M","352,23 M","-2,36 M","89,26 M","-170,94 M","216,77 M","-40,62 M","85,74 M","-169,09 M","169,37 M","-39,20 M","-244,49 M","-49,92 M","292,23 M","57,88 M","72,13 M","610,85 M","251,41 M","61,73 M","107,21 M","-64,12 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-59,18 M","-80,89 M","-72,46 M","-87,08 M","-77,14 M","-98,79 M","-92,13 M","-101,51 M","-3,90 M","-130,27 M","-110,92 M","-104,60 M","-100,98 M","-45,73 M","-101,54 M","-95,62 M","-68,57 M","-30,37 M","-41,79 M","18,64 M","-38,29 M","1,80 M","-13,09 M","-41,16 M","-38,99 M","-77,83 M","-28,84 M","-32,59 M","528,20 M","-29,58 M","-22,06 M","-54,67 M","-24,36 M"
Antes dos impostos,"-8,37 M","361,00 M","77,18 M","292,19 M","-3,40 M","306,11 M","35,83 M","119,00 M","51,98 M","231,50 M","-82,74 M","-2,67 M","-194,18 M","306,50 M","-103,90 M","-6,36 M","-239,51 M","186,40 M","-82,41 M","104,38 M","-207,38 M","171,17 M","-52,29 M","-285,64 M","-88,91 M","214,40 M","29,05 M","39,54 M","1,14 B","221,82 M","39,67 M","52,54 M","-88,48 M"
