Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"187,13 M","248,94 M","230,62 M","223,78 M","244,63 M","294,77 M","271,90 M","225,47 M","218,75 M","300,25 M","312,87 M","283,57 M","271,64 M","350,86 M","320,39 M","284,77 M","254,88 M","266,79 M","221,31 M","211,30 M","210,63 M","166,13 M","80,67 M","161,20 M","177,65 M","185,72 M","177,81 M","136,15 M","170,18 M","171,69 M","163,11 M",0,"153,24 M","183,77 M","168,48 M",0,"134,05 M","146,01 M","123,26 M","102,41 M","80,02 M","100,45 M","108,64 M","107,32 M","128,12 M","153,32 M","141,17 M","141,37 M","142,69 M","166,35 M","147,56 M","127,84 M","123,73 M","136,06 M","126,31 M","118,83 M","103,42 M","142,06 M","142,81 M","138,98 M","130,36 M","139,77 M","118,55 M","105,67 M"
Custos,"-147,95 M","-183,72 M","-176,13 M","-161,45 M","-166,82 M","-215,38 M","-191,40 M","-155,99 M","-149,17 M","-201,33 M","-224,67 M","-204,75 M","-201,60 M","-286,59 M","-285,16 M","-251,93 M","-220,33 M","-226,98 M","-178,91 M","-178,54 M","-175,46 M","-137,14 M","-64,77 M","-137,57 M","-153,50 M","-164,54 M","-160,18 M","-122,98 M","-159,81 M","-155,30 M","-140,05 M",0,"-123,05 M","-145,93 M","-137,62 M",0,"-118,15 M","-128,71 M","-116,16 M","-98,74 M","-86,30 M","-99,96 M","-103,12 M","-90,50 M","-116,66 M","-127,89 M","-118,57 M","-121,49 M","-116,07 M","-135,59 M","-119,64 M","-102,96 M","-96,33 M","-113,10 M","-104,53 M","-95,40 M","-91,00 M","-111,63 M","-104,99 M","-101,90 M","-114,46 M","-108,65 M","-87,64 M","-80,80 M"
Lucro bruto,"39,18 M","65,22 M","54,49 M","62,33 M","77,82 M","79,38 M","80,51 M","69,48 M","69,59 M","98,92 M","88,20 M","78,81 M","70,04 M","64,27 M","35,23 M","32,84 M","34,55 M","39,81 M","42,40 M","32,76 M","35,18 M","28,99 M","15,90 M","23,63 M","24,15 M","21,17 M","17,64 M","13,17 M","10,37 M","16,39 M","23,06 M",0,"30,19 M","37,85 M","30,86 M",0,"15,90 M","17,31 M","7,10 M","3,66 M","-6,28 M","496,00 Mil","5,52 M","16,83 M","11,46 M","25,43 M","22,60 M","19,87 M","26,62 M","30,76 M","27,91 M","24,88 M","27,39 M","22,97 M","21,79 M","23,43 M","12,43 M","30,44 M","37,83 M","37,08 M","15,90 M","31,12 M","30,90 M","24,86 M"
Despesas operacionais,"-38,80 M","-48,64 M","-40,85 M","-34,97 M","-35,93 M","-34,35 M","-39,16 M","-32,51 M","-34,46 M","-36,26 M","-41,44 M","-34,66 M","-41,84 M","-29,54 M","-34,04 M","-28,08 M","-26,44 M","-26,88 M","-28,75 M","-22,87 M","-22,04 M","-25,08 M","-33,92 M","-21,50 M","-24,94 M","-17,18 M","1,28 M","-19,59 M","35,27 M","-18,10 M","-13,44 M",0,"14,22 M","-16,33 M","-15,73 M",0,"-71,46 M","-13,09 M","-19,79 M","-18,80 M","-21,37 M","-22,34 M","-17,59 M","-13,41 M","-14,24 M","-19,93 M","-15,60 M","-16,94 M","-20,24 M","-16,81 M","-18,24 M","-15,20 M","-8,66 M","-16,34 M","-23,17 M","-15,99 M","-17,07 M","-16,15 M","-24,02 M","-17,94 M","-25,82 M","-18,85 M","-14,89 M","-14,64 M"
Despesas com vendas,"-10,66 M","-17,39 M","-15,22 M","-12,92 M","-14,42 M","-16,31 M","-17,03 M","-13,10 M","-12,35 M","-15,69 M","-18,14 M","-17,46 M","-18,44 M","-19,25 M","-17,85 M","-15,52 M","-14,41 M","-14,49 M","-13,45 M","-11,82 M","-11,44 M","-10,25 M","-5,60 M","-14,90 M","-11,97 M","-12,46 M","-11,45 M","-8,96 M","-11,22 M","-11,23 M","-10,49 M",--,"-10,64 M","-12,05 M","-11,38 M",--,"-10,23 M","-9,81 M","-9,57 M","-10,00 M","-8,62 M","-9,42 M","-9,37 M","-8,49 M","-10,32 M","-11,97 M","-11,04 M","-11,57 M","-11,22 M","-12,29 M","-10,90 M","-10,06 M","-10,05 M","-10,10 M","-9,81 M","-9,35 M","-8,75 M","-10,59 M","-10,38 M","-10,26 M","-8,86 M","-11,78 M","-9,16 M","-8,70 M"
Despesas administrativas,"-14,28 M","-14,53 M","-15,35 M","-14,06 M","-14,77 M","-13,09 M","-16,32 M","-13,08 M","-12,70 M","-12,65 M","-12,39 M","-12,28 M","-14,30 M","-12,97 M","-12,08 M","-10,92 M","-11,05 M","-10,60 M","-10,27 M","-9,46 M","-9,41 M","-8,81 M","-7,56 M","-7,78 M","-6,68 M","-7,61 M","-10,27 M","-6,65 M","-10,60 M","-6,15 M","-6,39 M",--,"-6,45 M","-6,31 M","-6,45 M",--,"-6,42 M","-6,51 M","-6,14 M","-5,96 M","-5,59 M","-5,22 M","-5,97 M","-5,51 M","-5,90 M","-5,97 M","-6,58 M","-5,81 M","-10,25 M","-6,38 M","-6,00 M","-5,78 M","-7,97 M","-8,21 M","-7,20 M","-6,49 M","-8,17 M","-6,81 M","-6,25 M","-5,64 M","-8,79 M","-5,90 M","-5,62 M","-5,29 M"
EBIT,"386,00 Mil","16,59 M","13,64 M","27,36 M","41,89 M","45,03 M","41,35 M","36,97 M","35,12 M","62,66 M","46,76 M","44,15 M","28,20 M","34,72 M","1,18 M","4,75 M","8,11 M","12,93 M","13,65 M","9,89 M","13,13 M","3,90 M","-18,02 M","2,12 M","-789,00 Mil","4,00 M","18,91 M","-6,41 M","45,64 M","-1,71 M","9,62 M",0,"44,41 M","21,52 M","15,12 M",0,"-55,55 M","4,22 M","-12,69 M","-15,13 M","-27,65 M","-21,85 M","-12,07 M","3,42 M","-2,78 M","5,50 M","7,00 M","2,94 M","6,38 M","13,95 M","9,68 M","9,67 M","18,74 M","6,63 M","-1,39 M","7,44 M","-4,64 M","14,29 M","13,81 M","19,13 M","-9,92 M","12,28 M","16,01 M","10,23 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-21,82 M","-34,25 M","-23,49 M","-19,08 M","-20,90 M","-25,10 M","-17,85 M","-19,27 M","-17,95 M","-21,05 M","-21,88 M","-26,63 M","-32,55 M","-19,52 M","-21,10 M","-19,36 M","-14,89 M","-11,96 M","-11,01 M","-8,58 M","-8,48 M","-11,51 M","-12,25 M","-14,26 M","-12,51 M","-14,15 M","20,30 M","-13,86 M","19,28 M","-11,91 M","-9,81 M",0,"4,60 M","-12,32 M","-18,32 M",0,"-18,66 M","-21,89 M","-14,31 M","-11,38 M","-14,23 M","-11,75 M","-8,19 M","-8,53 M","-8,59 M","-6,59 M","-6,23 M","-4,86 M","-4,09 M","-5,04 M","-3,95 M","-3,81 M","-635,00 Mil","-3,17 M","-3,58 M","-3,43 M","-949,00 Mil","-8,76 M","-10,28 M","-4,05 M","-4,02 M","-3,72 M","-2,39 M","-2,62 M"
Antes dos impostos,"-21,44 M","-17,66 M","-9,85 M","8,28 M","20,99 M","19,93 M","23,50 M","17,70 M","17,17 M","41,62 M","24,87 M","17,52 M","-4,35 M","15,20 M","-19,92 M","-14,61 M","-6,78 M","978,00 Mil","2,64 M","1,31 M","4,65 M","-7,61 M","-30,27 M","-12,13 M","-13,30 M","-10,15 M","39,21 M","-20,27 M","64,92 M","-13,62 M","-183,00 Mil",0,"49,01 M","9,20 M","-3,19 M",0,"-74,21 M","-17,68 M","-27,00 M","-26,52 M","-41,88 M","-33,59 M","-20,26 M","-5,11 M","-11,37 M","-1,09 M","768,00 Mil","-1,92 M","2,29 M","8,90 M","5,72 M","5,86 M","18,10 M","3,45 M","-4,97 M","4,01 M","-5,59 M","5,53 M","3,52 M","15,08 M","-13,94 M","8,56 M","13,63 M","7,61 M"
