Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-2,29","1,98","3,48","-2,01","33,42","-1,31","-2,91","1,28","1,09","-0,26","-0,65","-9,62","8,46","6,84","7,43","7,98","495,88"
P/VP,"0,27","0,71","1,41","0,31","0,39","0,42","0,30","0,33","0,64","0,61","0,30","0,32","0,36","0,30","0,33","0,40","0,43"
P/EBIT,"1,91","1,32","1,48","0,52","1,15","47,85","3,25","0,99","1,08","-0,45","-1,04","7,32","2,77","2,84","2,23","4,00","3,97"
P/EBIT *,"0,76","1,16","1,26","0,44","0,95","1,95","554,35","13,83","1,87","-1,74","-1,45","9,07","2,95","3,38","1,87","2,96","4,13"
PSR,"0,09","0,21","0,25","0,03","0,05","0,09","0,08","0,10","0,14","0,07","0,15","0,16","0,19","0,18","0,18","0,23","0,34"
P/Ativos,"0,08","0,23","0,32","0,04","0,06","0,08","0,07","0,09","0,16","0,07","0,10","0,14","0,16","0,14","0,15","0,19","0,23"
LPA,"-3,27","11,05","8,04","-1,79","0,15","-4,15","-1,76","4,86","8,27","-14,03","-9,31","-0,96","1,30","1,30","1,28","1,44","0,02"
VPA,"27,77","30,90","19,85","11,47","13,27","13,11","17,26","19,02","14,16","5,89","19,91","29,23","30,39","29,71","28,95","28,41","27,73"
EBIT por ação,"3,93","16,52","18,87","6,89","4,46","0,11","1,57","6,31","8,37","-7,92","-5,81","1,27","3,97","3,14","4,26","2,86","3,03"
EBIT por ação *,"9,82","18,91","22,19","8,10","5,40","2,79","0,01","0,45","4,81","-2,07","-4,16","1,02","3,73","2,64","5,09","3,87","2,92"
Ativo por ação,"92,23","94,41","88,22","87,90","83,04","68,90","73,25","70,95","57,54","52,72","58,57","68,34","69,12","62,80","64,01","60,34","53,03"
Receita líquida por ação,"82,88","103,68","111,54","122,76","95,43","61,86","67,73","64,97","63,50","50,57","39,64","56,40","58,44","50,49","52,73","49,43","35,80"
Margem bruta,"23,39%","29,63%","30,08%","16,48%","15,67%","16,76%","11,24%","12,00%","18,36%","8,70%","4,18%","14,07%","18,85%","18,93%","22,34%","20,79%","22,44%"
Margem líquida,"-3,94%","10,67%","7,19%","-2,20%","-0,21%","-7,42%","-2,05%","7,04%","13,58%","-28,20%","-24,60%","-1,84%","2,75%","3,25%","3,02%","2,96%","0,92%"
Margem EBIT,"4,74%","15,94%","16,92%","5,61%","4,67%","0,18%","2,32%","9,71%","13,18%","-15,65%","-14,67%","2,24%","6,79%","6,22%","8,08%","5,78%","8,47%"
Margem EBIT *,"11,85%","18,24%","19,89%","6,60%","5,66%","4,52%","0,01%","0,69%","7,58%","-4,09%","-10,50%","1,81%","6,38%","5,23%","9,65%","7,83%","8,16%"
Margem EBITDA,"7,31%","18,18%","19,03%","7,37%","6,63%","3,07%","5,32%","12,39%","15,99%","-12,09%","-10,19%","5,30%","9,31%","9,08%","10,63%","8,69%","13,52%"
Margem EBITDA *,"14,42%","20,47%","22,01%","8,36%","7,62%","7,40%","3,02%","3,37%","10,38%","-0,53%","-6,03%","4,86%","8,90%","8,09%","12,21%","10,73%","13,21%"
Margem operacional,"-5,30%","7,92%","9,07%","-1,93%","-0,19%","-7,33%","-0,67%","7,95%","6,29%","-28,75%","-25,44%","-2,42%","3,90%","4,08%","3,52%","3,21%","2,21%"
ROE,"-11,77%","35,61%","40,09%","-22,55%","-1,37%","-30,85%","-7,13%","21,92%","52,91%","-183,98%","-44,30%","-3,27%","4,87%","5,11%","5,12%","4,83%","1,11%"
ROA,"-0,04","0,12","0,09","-0,03","-0,00","-0,07","-0,02","0,06","0,15","-0,27","-0,17","-0,02","0,02","0,03","0,02","0,02","0,01"
ROIC,"4,64%","19,71%","25,72%","10,13%","7,14%","0,21%","2,52%","10,06%","16,06%","-16,81%","-10,68%","1,94%","6,17%","5,31%","7,19%","5,07%","6,05%"
ROIC *,"11,59%","22,55%","30,24%","11,92%","8,64%","5,08%","0,01%","0,72%","9,23%","-4,39%","-7,65%","1,57%","5,80%","4,46%","8,59%","6,86%","5,82%"
Giro do ativo,"0,90","1,10","1,26","1,40","1,15","0,90","0,92","0,92","1,10","0,96","0,68","0,83","0,85","0,80","0,82","0,82","0,68"
EBIT *,98 mi,189 mi,221 mi,81 mi,53 mi,27 mi,0 mi,4 mi,48 mi,-21 mi,-42 mi,10 mi,37 mi,26 mi,50 mi,38 mi,29 mi
EBITDA,60 mi,188 mi,212 mi,90 mi,63 mi,18 mi,36 mi,80 mi,101 mi,-62 mi,-41 mi,29 mi,54 mi,45 mi,56 mi,42 mi,48 mi
EBITDA *,119 mi,212 mi,245 mi,102 mi,72 mi,45 mi,20 mi,21 mi,65 mi,-3 mi,-24 mi,27 mi,51 mi,40 mi,64 mi,53 mi,47 mi
Liquidez corrente,"1,06","1,24","1,40","0,90","0,87","0,96","0,97","1,04","0,99","0,76","0,95","1,12","1,18","1,23","1,15","1,12","1,23"
Liquidez seca,"0,54","0,62","0,88","0,53","0,47","0,62","0,64","0,70","0,62","0,50","0,51","0,62","0,72","0,77","0,73","0,74","0,80"
Liquidez imediata,"0,01","0,02","0,24","0,03","0,03","0,04","0,05","0,04","0,02","0,02","0,04","0,04","0,10","0,08","0,14","0,09","0,08"
Dívida bruta,406 mi,380 mi,349 mi,260 mi,228 mi,226 mi,233 mi,256 mi,232 mi,235 mi,229 mi,211 mi,281 mi,233 mi,258 mi,220 mi,151 mi
Dívida líquida,388 mi,364 mi,264 mi,240 mi,206 mi,193 mi,212 mi,239 mi,223 mi,229 mi,223 mi,203 mi,259 mi,219 mi,229 mi,201 mi,138 mi
Capital de giro,20 mi,73 mi,134 mi,-56 mi,-63 mi,-13 mi,-11 mi,11 mi,-2 mi,-68 mi,-9 mi,26 mi,41 mi,39 mi,30 mi,25 mi,36 mi
Endividamento geral,"232,17%","203,95%","341,08%","633,63%","465,54%","362,89%","276,06%","239,97%","253,12%","580,08%","166,04%","115,12%","109,41%","95,47%","105,82%","99,08%","79,09%"
