Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"4,77 B","4,67 B","4,67 B","4,51 B","4,79 B","4,65 B","4,74 B","4,66 B","4,60 B","4,53 B","4,50 B","4,41 B","4,31 B","4,27 B","4,11 B","3,96 B","3,74 B","3,74 B","3,91 B","3,66 B","3,42 B","3,41 B","3,50 B","3,54 B","3,22 B","3,25 B","3,36 B","3,22 B","3,35 B","3,26 B","3,34 B","3,18 B","3,04 B","3,10 B","3,17 B","2,94 B","2,89 B","2,81 B","2,73 B","2,72 B","2,64 B","2,66 B","2,64 B","2,53 B","2,52 B","2,52 B","2,32 B","2,36 B","2,15 B","2,15 B","2,19 B","2,20 B","2,08 B","2,06 B","2,01 B","2,05 B","1,96 B","1,93 B","1,94 B","1,97 B","1,92 B","2,01 B","1,87 B"
Ativo circulante,"1,18 B","1,06 B","1,09 B","954,90 M","1,33 B","1,20 B","1,34 B","1,28 B","1,22 B","1,21 B","1,23 B","1,20 B","1,15 B","1,17 B","1,22 B","1,10 B","877,93 M","903,84 M","1,11 B","1,07 B","834,16 M","811,62 M","882,13 M","926,64 M","614,96 M","631,55 M","785,87 M","707,51 M","803,31 M","705,96 M","844,47 M","697,97 M","561,66 M","634,49 M","820,04 M","624,33 M","601,80 M","538,78 M","517,15 M","535,25 M","491,73 M","543,90 M","579,15 M","505,73 M","533,52 M","537,97 M","542,65 M","623,32 M","422,61 M","441,16 M","507,42 M","537,04 M","431,77 M","420,78 M","436,11 M","472,49 M","380,45 M","348,66 M","374,82 M","403,98 M","351,19 M","417,37 M","311,97 M"
Caixa e eq. de caixa,"132,31 M","73,64 M","99,17 M","105,94 M","72,18 M","84,97 M","75,40 M","105,21 M","78,49 M","76,52 M","80,28 M","77,94 M","62,29 M","84,72 M","69,39 M","87,57 M","13,68 M","71,15 M","62,25 M","48,81 M","72,39 M","82,37 M","400,26 M","84,73 M","105,64 M","24,37 M","177,18 M","128,03 M","192,49 M","44,48 M","204,39 M","120,64 M","55,47 M","32,75 M","152,69 M","134,42 M","98,57 M","98,09 M","77,16 M","124,37 M","57,09 M","48,24 M","66,56 M","30,65 M","48,57 M","50,14 M","71,77 M","215,40 M","14,43 M","56,79 M","122,95 M","121,56 M","55,82 M","31,86 M","46,05 M","126,89 M","59,63 M","48,81 M","60,76 M","99,14 M","54,93 M","95,48 M","50,17 M"
Aplicações financeiras,"311,15 M","162,98 M","175,00 M","85,69 M","509,26 M","327,43 M","449,86 M","435,22 M","439,68 M","440,45 M","428,02 M","414,81 M","345,77 M","280,40 M","300,91 M","210,19 M","142,60 M","125,72 M","366,30 M","393,32 M","250,26 M","228,82 M",0,"351,79 M",0,0,0,0,0,"98,37 M",0,0,0,"41,87 M",0,0,0,0,0,0,0,0,0,"15,22 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,14 M","2,08 M","2,06 M","4,83 M"
Contas a receber,"708,26 M","804,52 M","795,86 M","746,32 M","730,65 M","776,00 M","749,47 M","664,62 M","643,20 M","683,71 M","705,43 M","698,80 M","696,05 M","739,98 M","813,03 M","779,21 M","688,04 M","687,13 M","633,79 M","586,72 M","476,34 M","469,46 M","441,88 M","444,72 M","461,23 M","558,67 M","571,05 M","521,63 M","563,84 M","512,28 M","603,82 M","530,74 M","459,79 M","517,46 M","566,27 M","444,40 M","459,28 M","403,86 M","413,23 M","386,17 M","392,99 M","452,73 M","477,20 M","424,43 M","452,90 M","464,08 M","442,44 M","386,51 M","386,10 M","364,53 M","363,82 M","404,34 M","364,87 M","379,25 M","374,36 M","330,34 M","303,39 M","286,17 M","296,06 M","289,40 M","281,75 M","308,09 M","248,85 M"
Estoques,"11,33 M","10,21 M","8,52 M","8,62 M","7,02 M","7,88 M","7,78 M","9,29 M","9,37 M","8,86 M","9,15 M","9,66 M","9,35 M","4,56 M","5,58 M","5,62 M","5,96 M","3,69 M","4,96 M","3,06 M","3,13 M","3,01 M","2,61 M","3,92 M","3,00 M","3,13 M","2,79 M","2,80 M","3,09 M","1,78 M","2,50 M","3,04 M","3,06 M","2,25 M","2,74 M","2,41 M","3,20 M","2,30 M","2,45 M","2,34 M","2,11 M","1,85 M","2,00 M","1,88 M","1,60 M","1,68 M","1,76 M","2,18 M","1,85 M","1,25 M","1,77 M","2,35 M","2,38 M","1,76 M","1,69 M","1,74 M","1,94 M","1,58 M","1,92 M","1,68 M","1,63 M","1,29 M","1,27 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,58 B","3,61 B","3,58 B","3,55 B","3,46 B","3,45 B","3,40 B","3,38 B","3,38 B","3,32 B","3,27 B","3,21 B","3,16 B","3,10 B","2,89 B","2,86 B","2,86 B","2,84 B","2,81 B","2,59 B","2,59 B","2,60 B","2,61 B","2,62 B","2,61 B","2,61 B","2,58 B","2,52 B","2,54 B","2,55 B","2,49 B","2,48 B","2,48 B","2,47 B","2,35 B","2,32 B","2,29 B","2,27 B","2,21 B","2,18 B","2,14 B","2,12 B","2,06 B","2,02 B","1,98 B","1,98 B","1,78 B","1,73 B","1,73 B","1,71 B","1,68 B","1,66 B","1,64 B","1,64 B","1,57 B","1,57 B","1,58 B","1,58 B","1,57 B","1,56 B","1,57 B","1,59 B","1,55 B"
Investimentos,"380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil","380,00 Mil"
Imobilizado,"11,40 M","13,64 M","14,85 M","19,33 M","15,58 M","16,48 M","12,25 M","13,90 M","13,57 M","14,82 M","16,34 M","8,95 M","8,89 M","6,78 M","7,35 M","7,05 M","7,40 M","7,75 M","8,20 M","10,84 M","11,38 M","14,15 M","6,30 M","7,30 M","8,31 M","9,41 M","10,51 M","14,42 M","14,38 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
