Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"23,21","27,61","29,58","84,35","43,68","44,25","41,77","71,53","22,84","23,07","20.320,13","17.686,84","12.853,28","13.326,77","9.225,97","9.868,92","14.616,48"
P/VP,"6,98","9,13","12,71","20,05","20,32","13,05","17,06","9,57","5,76","5,33","5.381,16","6.014,17","4.608,77","4.367,78","2.675,22","3.024,76","3.671,61"
P/EBIT,"13,68","16,14","17,02","27,64","26,85","25,46","26,05","30,11","13,24","12,86","11.164,35","10.679,47","8.058,90","8.223,65","5.409,45","5.666,45","7.663,35"
P/EBIT *,"13,00","15,36","16,42","26,04","26,29","24,56","24,62","26,99","12,57","12,26","10.824,00","10.178,39","7.510,41","7.791,07","5.008,65","6.445,71","5.884,06"
PSR,"2,97","2,82","3,15","3,77","4,70","4,89","3,36","2,98","2,02","2,15","1.550,09","1.610,68","1.406,88","1.414,48","1.007,73","1.002,93","1.306,34"
P/Ativos,"3,06","3,13","3,89","5,41","5,55","4,57","4,80","3,80","2,50","2,39","2.172,69","2.256,07","2.043,63","1.881,19","1.204,28","1.129,86","1.216,49"
LPA,"2,37","2,03","2,30","1,06","1,83","1,36","1,44","0,67","1,31","1,12","1,10","1,24","1,31","1,12","0,97","0,89","0,60"
VPA,"7,87","6,13","5,35","4,44","3,93","4,60","3,52","4,98","5,18","4,84","4,14","3,64","3,67","3,41","3,34","2,89","2,38"
EBIT por ação,"4,02","3,47","4,00","3,22","2,98","2,36","2,30","1,58","2,25","2,01","1,99","2,05","2,10","1,81","1,65","1,54","1,14"
EBIT por ação *,"4,23","3,65","4,14","3,42","3,04","2,44","2,44","1,77","2,37","2,11","2,06","2,15","2,25","1,91","1,79","1,36","1,49"
Ativo por ação,"18,00","17,92","17,46","16,45","14,40","13,14","12,50","12,55","11,94","10,81","10,24","9,69","8,27","7,92","7,43","7,74","7,19"
Receita líquida por ação,"18,51","19,88","21,58","23,62","17,00","12,27","17,84","16,00","14,76","12,02","14,36","13,57","12,01","10,54","8,87","8,72","6,69"
Margem bruta,"33,15%","27,48%","28,50%","22,79%","26,47%","32,84%","23,07%","24,63%","26,74%","29,36%","23,23%","26,17%","30,50%","30,94%","33,87%","29,80%","38,95%"
Margem líquida,"12,80%","10,20%","10,66%","4,47%","10,76%","11,05%","8,05%","4,17%","8,84%","9,32%","7,63%","9,11%","10,95%","10,61%","10,92%","10,16%","8,94%"
Margem EBIT,"21,72%","17,45%","18,52%","13,63%","17,50%","19,21%","12,91%","9,90%","15,26%","16,71%","13,88%","15,08%","17,46%","17,20%","18,63%","17,70%","17,05%"
Margem EBIT *,"22,85%","18,34%","19,20%","14,47%","17,88%","19,91%","13,66%","11,04%","16,07%","17,53%","14,32%","15,82%","18,73%","18,16%","20,12%","15,56%","22,20%"
Margem EBITDA,"25,11%","20,45%","21,18%","15,94%","20,71%","23,57%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"26,25%","21,34%","21,86%","16,78%","21,08%","24,28%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"18,69%","14,76%","15,63%","6,39%","16,00%","16,37%","11,80%","5,51%","12,48%","13,14%","11,16%","13,40%","16,07%","15,47%","15,70%","14,07%","12,75%"
ROE,"30,10%","33,09%","42,97%","23,77%","46,52%","29,48%","40,84%","13,38%","25,21%","23,11%","26,48%","34,00%","35,86%","32,77%","29,00%","30,65%","25,12%"
ROA,"0,13","0,11","0,13","0,06","0,13","0,10","0,11","0,05","0,11","0,10","0,11","0,13","0,16","0,14","0,13","0,11","0,08"
ROIC,"25,90%","23,83%","29,55%","25,03%","25,27%","21,74%","21,10%","15,04%","21,91%","21,02%","22,98%","25,50%","29,55%","26,75%","25,54%","24,11%","18,32%"
ROIC *,"27,25%","25,05%","30,63%","26,57%","25,80%","22,54%","22,32%","16,78%","23,08%","22,04%","23,70%","26,75%","31,71%","28,24%","27,59%","21,20%","23,86%"
Giro do ativo,"1,03","1,11","1,24","1,44","1,18","0,93","1,43","1,28","1,24","1,11","1,40","1,40","1,45","1,33","1,20","1,13","0,93"
EBIT *,1.098 mi,946 mi,1.075 mi,887 mi,788 mi,634 mi,632 mi,458 mi,615 mi,546 mi,533 mi,557 mi,584 mi,496 mi,463 mi,352 mi,385 mi
EBITDA,1.207 mi,1.055 mi,1.186 mi,977 mi,914 mi,750 mi,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,1.261 mi,1.101 mi,1.224 mi,1.029 mi,930 mi,773 mi,--,--,--,--,--,--,--,--,--,--,--
