Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"16,50 B","14,95 B","14,87 B","14,39 B","14,03 B","15,59 B","15,39 B","14,24 B","14,98 B","13,74 B","14,01 B","13,78 B","12,98 B","12,66 B","12,96 B","12,63 B","12,91 B","12,27 B","13,52 B","11,75 B","9,97 B","10,62 B","11,59 B","11,24 B","8,47 B","8,45 B","9,74 B","9,15 B","8,60 B","8,36 B","8,98 B","9,05 B","8,27 B","8,67 B","8,78 B","8,46 B","8,20 B","8,67 B","8,17 B","7,86 B","7,66 B","8,87 B","8,42 B","8,12 B","8,16 B","7,64 B","7,42 B","7,23 B","7,17 B","6,92 B","6,70 B","6,58 B","6,22 B","6,01 B","4,95 B","4,75 B","4,50 B","4,31 B","4,31 B","3,95 B","3,82 B","3,85 B","3,76 B"
Ativo circulante,"5,48 B","4,09 B","4,28 B","3,94 B","3,69 B","5,28 B","5,58 B","4,72 B","5,62 B","4,63 B","5,37 B","5,38 B","5,02 B","4,81 B","5,39 B","5,13 B","5,70 B","4,15 B","5,61 B","4,02 B","3,44 B","4,23 B","5,36 B","5,12 B","2,49 B","2,79 B","4,26 B","3,80 B","3,36 B","3,23 B","3,61 B","3,72 B","2,97 B","3,30 B","3,43 B","3,11 B","2,82 B","3,01 B","2,51 B","2,17 B","1,71 B","2,79 B","2,38 B","2,21 B","2,25 B","1,85 B","1,90 B","1,83 B","1,74 B","1,50 B","1,39 B","1,43 B","1,28 B","1,11 B","1,06 B","944,63 M","874,10 M","758,98 M","897,46 M","741,43 M","687,28 M","763,70 M","828,20 M"
Caixa e eq. de caixa,"2,47 B","1,26 B","1,55 B","1,34 B","1,14 B","2,19 B","2,18 B","1,56 B","2,56 B","1,85 B","2,36 B","2,10 B","1,85 B","1,24 B","1,48 B","979,01 M","1,48 B","891,65 M","2,30 B","1,58 B","1,27 B","1,61 B","2,69 B","2,39 B","755,40 M","1,08 B","1,72 B","1,21 B","864,91 M","602,62 M","1,32 B","1,38 B","1,48 B","1,73 B","2,14 B","1,95 B","1,83 B","2,11 B","1,69 B","1,39 B","1,00 B","1,97 B","1,48 B","1,31 B","1,33 B","973,71 M","920,77 M","857,41 M","783,56 M","535,96 M","459,60 M","359,29 M","35,00 M","169,72 M","23,62 M","11,66 M","12,00 M","16,43 M","172,02 M","6,53 M","9,04 M","5,46 M","11,62 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"292,51 M",0,"119,42 M","67,88 M","92,34 M","24,68 M",0,"41,14 M","37,53 M","139,92 M","182,66 M"
Contas a receber,"873,45 M","902,23 M","1,22 B","1,26 B","1,22 B","1,39 B","1,65 B","1,65 B","1,53 B","1,30 B","1,41 B","1,56 B","1,51 B","1,60 B","1,92 B","1,94 B","1,51 B","1,38 B","1,35 B","1,14 B","988,13 M","977,19 M","867,82 M","802,45 M","969,96 M","974,30 M","1,04 B","1,04 B","886,92 M","674,99 M","775,64 M","727,39 M","607,32 M","611,98 M","611,59 M","607,42 M","462,79 M","479,75 M","538,93 M","540,57 M","458,56 M","513,98 M","595,47 M","636,16 M","572,85 M","608,21 M","603,38 M","634,35 M","596,94 M","585,61 M","568,84 M","663,68 M","573,73 M","573,53 M","573,38 M","560,09 M","470,24 M","420,20 M","437,44 M","435,75 M","394,21 M","380,73 M","453,39 M"
Estoques,"158,69 M","147,47 M","153,84 M","149,70 M","160,97 M","149,26 M","172,18 M","170,49 M","156,56 M","142,12 M","142,47 M","146,66 M","136,25 M","123,86 M","117,88 M","121,42 M","125,81 M","129,55 M","130,33 M","134,81 M","126,14 M","121,06 M","115,65 M","118,35 M","113,47 M","89,59 M","60,53 M","64,58 M","63,45 M","65,26 M","67,35 M","69,14 M","71,45 M","76,55 M","92,01 M","102,70 M","112,95 M","114,75 M","138,78 M","139,04 M","132,61 M","134,35 M","131,95 M","131,14 M","126,28 M","125,41 M","120,42 M","112,86 M","116,53 M","121,25 M","113,33 M","114,27 M","108,84 M","103,40 M","98,42 M","94,84 M","92,06 M","89,78 M","91,86 M","88,45 M","86,82 M","82,01 M","111,20 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"11,02 B","10,85 B","10,59 B","10,45 B","10,34 B","10,31 B","9,81 B","9,51 B","9,36 B","9,11 B","8,64 B","8,40 B","7,96 B","7,85 B","7,56 B","7,50 B","7,21 B","8,12 B","7,91 B","7,73 B","6,53 B","6,39 B","6,22 B","6,12 B","5,98 B","5,66 B","5,48 B","5,35 B","5,24 B","5,13 B","5,37 B","5,33 B","5,30 B","5,37 B","5,35 B","5,35 B","5,38 B","5,66 B","5,66 B","5,69 B","5,95 B","6,08 B","6,04 B","5,91 B","5,91 B","5,79 B","5,52 B","5,40 B","5,43 B","5,42 B","5,31 B","5,16 B","4,95 B","4,90 B","3,89 B","3,81 B","3,62 B","3,55 B","3,41 B","3,21 B","3,13 B","3,08 B","2,93 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intangível,"9,33 B","9,27 B","9,04 B","8,87 B","8,75 B","8,75 B","8,55 B","8,34 B","8,21 B","8,09 B","7,85 B","7,63 B","7,42 B","7,32 B","7,07 B","6,87 B","6,72 B","6,63 B","6,33 B","6,20 B","6,03 B","5,92 B","5,73 B","5,57 B","5,45 B","5,31 B","5,13 B","5,00 B","4,90 B","4,79 B","4,75 B","4,70 B","4,66 B","4,64 B","4,58 B","4,56 B","4,57 B","4,60 B","4,56 B","4,56 B","4,55 B","4,55 B","4,51 B","4,46 B","4,43 B","4,40 B","4,33 B","4,26 B","4,20 B","4,13 B","4,01 B","3,85 B","3,72 B","3,62 B","3,51 B","3,43 B","3,36 B","3,30 B","3,22 B","3,14 B","3,09 B","3,04 B","2,55 B"
Passivo total,--,"14,95 B","14,87 B","14,39 B","14,03 B","15,59 B","15,39 B","14,24 B","14,98 B","13,74 B","14,01 B","13,78 B","12,98 B","12,66 B","12,96 B","12,63 B","12,91 B","12,27 B","13,52 B","11,75 B","9,97 B","10,62 B","11,59 B","11,24 B","8,47 B","8,45 B","9,74 B","9,15 B","8,60 B","8,36 B","8,98 B","9,05 B","8,27 B","8,67 B","8,78 B","8,46 B","8,20 B","8,67 B","8,17 B","7,86 B","7,66 B","8,87 B","8,42 B","8,12 B","8,16 B","7,64 B","7,42 B","7,23 B","7,17 B","6,92 B","6,70 B","6,58 B","6,22 B","6,01 B","4,95 B","4,75 B","4,50 B","4,31 B","4,31 B","3,95 B","3,82 B","3,85 B","3,76 B"
Passivo circulante,--,"2,68 B","2,99 B","2,88 B","1,89 B","3,68 B","4,17 B","4,24 B","5,59 B","3,88 B","5,13 B","5,18 B","5,57 B","3,84 B","3,29 B","3,34 B","4,02 B","4,54 B","2,71 B","2,59 B","1,87 B","3,61 B","3,86 B","3,99 B","2,40 B","2,81 B","2,56 B","2,25 B","2,00 B","1,92 B","2,64 B","2,81 B","2,59 B","3,13 B","2,95 B","2,44 B","2,25 B","1,99 B","2,03 B","1,94 B","1,89 B","2,05 B","2,08 B","1,98 B","1,81 B","1,50 B","1,35 B","1,24 B","1,38 B","1,40 B","1,75 B","1,96 B","1,89 B","1,90 B","1,81 B","1,68 B","1,42 B","1,29 B","1,35 B","1,31 B","1,02 B","1,12 B","1,25 B"
Fornecedores,--,"644,70 M","757,93 M","829,80 M","921,62 M","1,16 B","1,16 B","1,06 B","1,16 B","1,30 B","1,26 B","1,37 B","1,35 B","1,55 B","1,70 B","1,70 B","1,41 B","1,67 B","1,57 B","1,37 B","1,05 B","1,04 B","966,49 M","1,20 B","1,06 B","1,15 B","1,18 B","1,06 B","1,05 B","1,01 B","1,74 B","1,61 B","1,47 B","1,44 B","1,41 B","1,32 B","1,21 B","1,23 B","1,17 B","1,17 B","1,14 B","1,30 B","1,35 B","1,16 B","1,08 B","848,77 M","774,24 M","740,34 M","727,21 M","706,40 M","694,03 M","813,00 M","678,17 M","665,43 M","656,06 M","660,57 M","548,65 M","594,14 M","560,38 M","453,01 M","422,82 M","424,11 M","408,34 M"
Empréstimos e financ.,--,"1,37 B","1,42 B","1,38 B","379,02 M","1,64 B","1,97 B","1,98 B","1,79 B","1,17 B","1,63 B","1,58 B","1,94 B","1,55 B","842,62 M","853,93 M","1,41 B","2,29 B","382,50 M","303,94 M","303,39 M","1,79 B","2,17 B","2,21 B","883,39 M","908,52 M","696,47 M","720,20 M","707,19 M","679,74 M","637,62 M","996,19 M","919,63 M","1,26 B","1,28 B","942,30 M","909,59 M","482,71 M","589,83 M","568,35 M","571,24 M","576,72 M","567,98 M","681,84 M","596,97 M","466,67 M","401,97 M","311,63 M","315,44 M","336,38 M","843,11 M","1,00 B","1,07 B","959,98 M","869,09 M","785,14 M","673,94 M","382,30 M","378,05 M","341,43 M","358,52 M","347,27 M","633,65 M"
Passivo não circulante,--,"10,83 B","9,86 B","9,80 B","10,71 B","10,78 B","10,22 B","8,60 B","8,53 B","8,17 B","8,44 B","8,50 B","7,58 B","7,79 B","8,00 B","8,04 B","8,01 B","6,63 B","8,69 B","7,67 B","7,16 B","6,42 B","6,52 B","6,33 B","5,31 B","5,12 B","3,46 B","3,61 B","3,68 B","3,72 B","3,84 B","3,93 B","3,49 B","3,52 B","3,11 B","3,51 B","3,59 B","4,09 B","3,39 B","3,39 B","3,57 B","3,64 B","3,07 B","3,07 B","3,19 B","3,03 B","2,95 B","3,03 B","3,01 B","2,86 B","2,33 B","2,17 B","2,04 B","1,93 B","1,66 B","1,72 B","1,76 B","1,77 B","1,72 B","1,44 B","1,35 B","1,35 B","1,21 B"
Emprést. de longo prazo,--,"8,17 B","7,20 B","7,22 B","8,11 B","8,15 B","7,82 B","6,26 B","6,31 B","5,81 B","6,09 B","6,10 B","5,36 B","5,43 B","5,89 B","5,95 B","5,99 B","4,66 B","6,81 B","5,86 B","5,88 B","5,26 B","5,28 B","5,12 B","4,47 B","4,34 B","2,74 B","2,87 B","2,92 B","2,97 B","3,19 B","3,27 B","2,86 B","2,95 B","2,62 B","3,03 B","3,08 B","3,59 B","2,98 B","2,98 B","3,17 B","3,25 B","2,69 B","2,68 B","2,81 B","2,67 B","2,58 B","2,67 B","2,65 B","2,51 B","1,94 B","1,78 B","1,66 B","1,56 B","1,42 B","1,48 B","1,52 B","1,54 B","1,49 B","1,19 B","1,10 B","1,11 B","1,02 B"
Patrimônio líquido,--,"1,44 B","2,03 B","1,72 B","1,42 B","1,13 B","994,05 M","1,41 B","861,74 M","1,69 B","444,32 M","98,61 M","-177,46 M","1,03 B","1,66 B","1,24 B","874,78 M","1,11 B","2,12 B","1,49 B","939,70 M","590,05 M","1,21 B","922,92 M","763,46 M","519,51 M","3,72 B","3,28 B","2,92 B","2,72 B","2,49 B","2,30 B","2,19 B","2,02 B","2,72 B","2,51 B","2,36 B","2,59 B","2,75 B","2,53 B","2,20 B","3,18 B","3,26 B","3,07 B","3,16 B","3,11 B","3,12 B","2,96 B","2,78 B","2,66 B","2,62 B","2,46 B","2,29 B","2,17 B","1,48 B","1,36 B","1,32 B","1,25 B","1,24 B","1,20 B","1,44 B","1,38 B","1,30 B"
Aos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
