Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"10,80","9,20","9,49","7,10","6,15","11,56","8,68","4,43","7,31","2,99","3,04","3,23","2,99","5,47","6,90","2,74","2,04"
P/VP,"11,58","14,54","7,89","12,45","11,79","22,53","22,84","2,18","2,32","1,04","0,67","0,64","0,70","0,93","1,31","1,16","1,08"
P/EBIT,"5,59","5,37","4,58","4,72","5,05","6,64","5,46","3,22","4,10","1,71","1,81","1,88","1,73","2,99","3,43","1,64","1,22"
P/EBIT *,"5,48","5,71","4,76","4,57","5,11","6,83","5,36","5,49","4,00","1,68","1,80","1,87","1,82","2,95","3,41","1,63","1,19"
PSR,"1,44","1,07","0,88","0,76","1,11","1,60","1,25","0,87","0,85","0,48","0,32","0,31","0,29","0,38","0,40","0,39","0,34"
P/Ativos,"1,12","1,06","0,97","1,02","1,06","1,25","1,40","0,71","0,54","0,31","0,24","0,26","0,27","0,34","0,38","0,41","0,37"
LPA,"11,67","13,53","10,63","13,67","15,99","8,68","10,32","10,11","4,83","6,80","5,27","4,62","4,67","2,80","1,78","4,38","5,21"
VPA,"10,88","8,56","12,78","7,79","8,34","4,45","3,92","20,54","15,22","19,55","24,01","23,46","20,05","16,40","9,41","10,39","9,84"
EBIT por ação,"22,56","23,19","22,01","20,55","19,46","15,12","16,41","13,91","8,63","11,89","8,83","7,92","8,09","5,11","3,59","7,33","8,72"
EBIT por ação *,"23,00","21,78","21,20","21,21","19,26","14,69","16,71","8,15","8,83","12,09","8,88","8,00","7,66","5,18","3,60","7,38","8,95"
Ativo por ação,"112,79","117,65","103,67","95,56","92,60","80,11","63,78","63,09","65,40","65,41","66,92","57,65","52,21","45,36","32,51","29,04","28,37"
Receita líquida por ação,"87,46","116,53","114,39","128,28","88,36","62,77","71,79","51,61","41,79","42,69","49,78","48,20","47,82","39,84","30,96","30,90","31,06"
Margem bruta,"30,20%","21,51%","21,32%","19,02%","26,30%","33,80%","32,71%","28,34%","36,94%","43,89%","30,57%","29,63%","28,09%","26,47%","26,96%","37,11%","40,63%"
Margem líquida,"13,34%","11,61%","9,29%","10,66%","18,10%","13,83%","14,37%","19,58%","11,56%","15,93%","10,59%","9,58%","9,77%","7,02%","5,76%","14,16%","16,77%"
Margem EBIT,"25,79%","19,90%","19,24%","16,02%","22,03%","24,09%","22,85%","26,95%","20,64%","27,85%","17,74%","16,44%","16,92%","12,83%","11,59%","23,73%","28,07%"
Margem EBIT *,"26,30%","18,69%","18,53%","16,54%","21,80%","23,41%","23,28%","15,78%","21,12%","28,32%","17,84%","16,61%","16,02%","13,01%","11,64%","23,89%","28,81%"
Margem EBITDA,"31,73%","24,13%","23,04%","18,95%","25,75%","28,65%",--%,--%,"27,42%","34,74%","23,20%","22,47%","22,15%","18,34%","17,50%","28,86%","32,99%"
Margem EBITDA *,"32,24%","22,92%","22,33%","19,47%","25,52%","27,97%",--%,--%,"27,90%","35,21%","23,29%","22,64%","21,25%","18,52%","17,54%","29,02%","33,73%"
Margem operacional,"18,06%","17,06%","14,11%","12,43%","19,42%","20,68%","20,96%","28,10%","16,57%","23,20%","14,99%","13,42%","13,90%","9,73%","7,70%","20,44%","23,80%"
ROE,"107,28%","158,08%","83,15%","175,40%","191,74%","195,00%","263,17%","49,22%","31,73%","34,78%","21,97%","19,67%","23,30%","17,04%","18,95%","42,14%","52,96%"
ROA,"0,10","0,12","0,10","0,14","0,17","0,11","0,16","0,16","0,07","0,10","0,08","0,08","0,09","0,06","0,05","0,15","0,18"
ROIC,"22,92%","25,10%","27,54%","27,60%","26,56%","25,15%","34,99%","27,33%","20,81%","29,54%","20,91%","18,05%","18,88%","13,09%","12,95%","29,64%","36,59%"
ROIC *,"23,37%","23,57%","26,53%","28,49%","26,29%","24,44%","35,64%","16,00%","21,29%","30,04%","21,02%","18,23%","17,88%","13,27%","13,01%","29,84%","37,56%"
Giro do ativo,"0,78","0,99","1,10","1,34","0,95","0,78","1,13","0,82","0,64","0,65","0,74","0,84","0,92","0,88","0,95","1,06","1,09"
EBIT *,3.048 mi,2.886 mi,2.809 mi,2.811 mi,2.552 mi,1.946 mi,2.214 mi,1.079 mi,1.169 mi,1.602 mi,1.176 mi,1.060 mi,1.014 mi,686 mi,477 mi,978 mi,1.185 mi
EBITDA,3.677 mi,3.726 mi,3.492 mi,3.222 mi,3.015 mi,2.382 mi,--,--,1.518 mi,1.965 mi,1.530 mi,1.435 mi,1.403 mi,968 mi,717 mi,1.182 mi,1.357 mi
EBITDA *,3.736 mi,3.539 mi,3.385 mi,3.309 mi,2.988 mi,2.326 mi,--,--,1.544 mi,1.991 mi,1.536 mi,1.446 mi,1.346 mi,977 mi,719 mi,1.188 mi,1.388 mi
Liquidez corrente,"1,53","1,44","1,20","1,25","0,91","1,17","0,99","1,69","1,06","1,52","1,36","1,24","1,07","0,58","0,59","0,68","0,67"
Liquidez seca,"1,47","1,40","1,16","1,22","0,89","1,14","0,96","1,65","1,03","1,46","1,30","1,15","0,98","0,53","0,52","0,61","0,58"
