Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,45","4,24","4,41","3,24","2,95","5,34","2,40","5,14","4,80","3,18","2,18","3,44","4,37","6,44","5,08","5,16","6,51"
P/VP,"0,71","0,47","0,48","0,46","0,69","0,60","0,53","0,55","0,62","0,44","0,24","0,51","0,62","0,77","0,62","0,62","0,71"
P/EBIT,"11,19","5,46","7,42","4,04","2,86","5,00","3,19","5,98","6,09","5,02","2,85","3,38","4,14","6,24","4,83","5,01","6,31"
P/EBIT *,"6,69","4,79","5,71","3,35","4,28","5,18","7,31","5,88","5,95","5,22","2,72","3,18","3,82","5,55","4,34","4,48","5,60"
PSR,"0,84","0,61","0,62","0,57","0,84","0,84","0,65","0,60","0,69","0,52","0,27","0,49","0,62","0,77","0,62","0,66","0,79"
P/Ativos,"0,49","0,33","0,33","0,33","0,47","0,42","0,36","0,39","0,43","0,32","0,18","0,35","0,41","0,53","0,42","0,43","0,50"
LPA,"3,56","4,44","4,06","5,06","7,42","3,02","5,50","2,28","2,61","2,72","1,98","2,53","2,14","1,61","1,51","1,41","1,20"
VPA,"37,30","40,48","37,56","35,35","31,75","26,86","25,14","21,15","20,32","19,51","18,34","17,00","15,13","13,53","12,39","11,76","11,02"
EBIT por ação,"2,37","3,45","2,41","4,06","7,65","3,22","4,15","1,96","2,06","1,72","1,52","2,57","2,27","1,66","1,59","1,46","1,23"
EBIT por ação *,"3,96","3,94","3,14","4,89","5,10","3,11","1,81","1,99","2,10","1,65","1,59","2,73","2,45","1,87","1,77","1,63","1,39"
Ativo por ação,"53,67","57,49","54,14","49,77","46,07","38,09","36,98","30,00","28,93","27,35","24,52","25,05","22,89","19,41","18,09","16,82","15,64"
Receita líquida por ação,"31,64","30,95","28,75","28,98","26,06","19,11","20,41","19,67","18,19","16,58","15,89","17,83","15,22","13,53","12,37","11,09","9,91"
Margem bruta,"53,65%","52,84%","51,94%","54,49%","53,42%","53,59%","53,38%","51,89%","52,43%","52,85%","51,40%","49,83%","51,10%","51,55%","51,53%","50,51%","51,00%"
Margem líquida,"11,26%","14,36%","14,13%","17,45%","28,48%","15,78%","26,94%","11,61%","14,34%","16,39%","12,46%","14,17%","14,07%","11,89%","12,22%","12,74%","12,06%"
Margem EBIT,"7,49%","11,16%","8,39%","13,99%","29,35%","16,87%","20,31%","9,97%","11,30%","10,39%","9,55%","14,43%","14,88%","12,28%","12,87%","13,13%","12,45%"
Margem EBIT *,"12,52%","12,72%","10,91%","16,86%","19,56%","16,29%","8,86%","10,14%","11,57%","9,97%","10,01%","15,33%","16,10%","13,80%","14,30%","14,66%","14,04%"
Margem EBITDA,"11,98%","15,01%","12,73%","17,48%","31,94%","20,13%","23,10%","12,92%","14,30%","13,52%","12,92%","17,55%","17,73%","14,96%","15,34%","15,63%","15,09%"
Margem EBITDA *,"17,01%","16,57%","15,25%","20,35%","22,15%","19,55%","11,65%","13,09%","14,56%","13,10%","13,38%","18,45%","18,95%","16,48%","16,78%","17,16%","16,67%"
Margem operacional,"11,70%","16,69%","16,06%","19,86%","35,66%","19,90%","33,16%","16,43%","18,85%","21,18%","16,79%","19,70%","19,91%","16,95%","17,30%","18,09%","17,36%"
ROE,"9,55%","10,98%","10,82%","14,31%","23,37%","11,23%","21,87%","10,80%","12,84%","13,94%","10,80%","14,86%","14,16%","11,89%","12,20%","12,01%","10,85%"
ROA,"0,07","0,08","0,07","0,10","0,16","0,08","0,15","0,08","0,09","0,10","0,08","0,10","0,09","0,08","0,08","0,08","0,08"
ROIC,"5,46%","7,82%","5,64%","9,97%","18,84%","12,09%","13,50%","8,12%","10,30%","9,41%","8,22%","13,27%","13,96%","11,91%","12,19%","12,15%","10,91%"
ROIC *,"9,12%","8,91%","7,33%","12,02%","12,55%","11,68%","5,89%","8,25%","10,55%","9,03%","8,61%","14,09%","15,10%","13,39%","13,55%","13,57%","12,29%"
Giro do ativo,"0,59","0,54","0,53","0,58","0,57","0,50","0,55","0,66","0,63","0,61","0,65","0,71","0,67","0,70","0,68","0,66","0,63"
EBIT *,93 mi,92 mi,73 mi,115 mi,120 mi,73 mi,42 mi,46 mi,49 mi,38 mi,37 mi,64 mi,57 mi,43 mi,41 mi,38 mi,32 mi
EBITDA,89 mi,109 mi,86 mi,119 mi,196 mi,90 mi,110 mi,59 mi,61 mi,52 mi,48 mi,73 mi,63 mi,47 mi,44 mi,40 mi,35 mi
EBITDA *,126 mi,120 mi,103 mi,138 mi,135 mi,87 mi,55 mi,60 mi,62 mi,51 mi,50 mi,77 mi,67 mi,52 mi,48 mi,44 mi,38 mi
Liquidez corrente,"2,26","2,47","2,28","2,45","2,38","2,43","2,01","2,32","2,54","2,61","3,26","2,72","2,54","2,62","2,49","2,89","3,09"
Liquidez seca,"1,64","1,91","1,72","1,89","1,84","1,97","1,56","1,79","2,05","2,16","2,49","1,96","1,93","1,89","1,83","2,22","2,31"
Liquidez imediata,"0,61","0,81","0,67","0,59","0,16","0,06","0,07","0,09","0,06","0,08","0,15","0,07","0,10","0,09","0,06","0,06","0,09"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-148 mi,-208 mi,-169 mi,-126 mi,-36 mi,-182 mi,-71 mi,-63 mi,-131 mi,-147 mi,-102 mi,-68 mi,-88 mi,-76 mi,-66 mi,-76 mi,-72 mi
Capital de giro,301 mi,374 mi,320 mi,309 mi,306 mi,260 mi,184 mi,180 mi,227 mi,216 mi,201 mi,200 mi,175 mi,148 mi,130 mi,133 mi,124 mi
Endividamento geral,"43,89%","42,02%","44,15%","40,77%","45,07%","41,80%","47,09%","41,86%","42,42%","40,18%","33,69%","47,38%","51,29%","43,46%","46,03%","42,99%","41,86%"
