Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,87","3,88","4,27","3,22","3,53","3,70","6,44","11,27","17,21","-76,42","7,08","2,62","6,75","-4,86","9,64","7,36","13,49"
P/VP,"1,26","0,76","0,81","0,60","0,76","0,97","1,30","1,03","0,62","0,36","0,42","0,57","0,63","0,70","1,44","1,04","0,97"
P/EBIT,"3,55","2,28","2,88","2,17","2,50","2,82","3,67","4,88","3,75","8,00","3,27","1,58","9,26","-2,46","7,11","7,38","19,00"
P/EBIT *,"4,36","2,66","2,70","2,37","2,80","2,98","4,78","7,00","4,61","-35,58","4,69","2,21","5,19","-3,06","6,57","6,84","10,12"
PSR,"0,42","0,26","0,23","0,18","0,18","0,22","0,23","0,24","0,16","0,12","0,13","0,21","0,28","0,28","0,74","0,50","0,48"
P/Ativos,"0,36","0,21","0,19","0,15","0,17","0,18","0,19","0,19","0,13","0,09","0,12","0,22","0,24","0,23","0,58","0,40","0,35"
LPA,"18,91","18,56","14,44","14,01","14,60","13,45","7,35","4,28","1,72","-0,25","3,39","13,30","5,16","-6,63","8,40","7,09","3,23"
VPA,"102,89","95,18","76,03","74,75","67,96","51,45","36,48","46,69","47,76","53,82","57,68","60,76","55,42","46,08","56,38","50,31","45,05"
EBIT por ação,"36,66","31,62","21,39","20,80","20,67","17,67","12,89","9,87","7,91","2,43","7,33","21,98","3,76","-13,09","11,38","7,08","2,29"
EBIT por ação *,"29,79","27,08","22,87","19,06","18,43","16,69","9,90","6,89","6,43","-0,55","5,11","15,75","6,71","-10,50","12,32","7,64","4,30"
Ativo por ação,"358,58","338,01","318,95","301,47","310,03","276,56","246,25","255,49","234,89","223,71","207,12","159,99","145,90","138,53","139,10","129,68","123,06"
Receita líquida por ação,"308,52","276,34","269,70","256,65","294,04","229,67","207,82","198,71","183,48","158,37","182,82","161,91","126,32","114,46","108,67","104,66","90,70"
Margem bruta,"16,74%","16,94%","15,93%","14,54%","11,35%","13,59%","12,39%","10,63%","12,43%","8,59%","9,56%","16,34%","16,83%","9,34%","22,14%","16,31%","17,19%"
Margem líquida,"6,13%","6,72%","5,35%","5,46%","4,97%","5,86%","3,54%","2,15%","0,94%","-0,16%","1,85%","8,22%","4,08%","-5,79%","7,73%","6,78%","3,56%"
Margem EBIT,"11,88%","11,44%","7,93%","8,11%","7,03%","7,69%","6,20%","4,97%","4,31%","1,53%","4,01%","13,57%","2,98%","-11,43%","10,47%","6,76%","2,52%"
Margem EBIT *,"9,65%","9,80%","8,48%","7,43%","6,27%","7,26%","4,76%","3,47%","3,50%","-0,35%","2,80%","9,73%","5,31%","-9,18%","11,34%","7,30%","4,74%"
Margem EBITDA,"15,10%","14,70%","10,96%","10,91%","9,20%","10,41%","9,04%","7,77%","7,39%","5,39%","7,71%","17,07%","7,27%","-7,81%","14,18%","10,64%","6,54%"
Margem EBITDA *,"12,88%","13,06%","11,50%","10,23%","8,44%","9,98%","7,60%","6,27%","6,59%","3,51%","6,50%","13,22%","9,60%","-5,55%","15,05%","11,18%","8,75%"
Margem operacional,"8,04%","8,75%","6,57%","7,27%","7,24%","8,18%","5,25%","3,75%","2,21%","-0,43%","2,47%","13,36%","6,08%","-8,48%","10,83%","8,86%","4,67%"
ROE,"18,38%","19,50%","18,99%","18,75%","21,48%","26,13%","20,15%","9,16%","3,61%","-0,47%","5,87%","21,89%","9,30%","-14,39%","14,89%","14,10%","7,16%"
ROA,"0,05","0,05","0,05","0,05","0,05","0,05","0,03","0,02","0,01","-0,00","0,02","0,08","0,04","-0,05","0,06","0,05","0,03"
ROIC,"11,39%","11,06%","8,01%","8,30%","7,95%","8,24%","6,26%","4,67%","3,98%","1,32%","4,46%","16,85%","3,29%","-11,34%","9,81%","6,28%","2,14%"
ROIC *,"9,26%","9,47%","8,56%","7,60%","7,09%","7,78%","4,81%","3,26%","3,24%","-0,30%","3,11%","12,08%","5,87%","-9,10%","10,62%","6,78%","4,02%"
Giro do ativo,"0,86","0,82","0,85","0,85","0,95","0,83","0,84","0,78","0,78","0,71","0,88","1,01","0,87","0,83","0,78","0,81","0,74"
EBIT *,1.148 mi,1.044 mi,882 mi,735 mi,710 mi,643 mi,381 mi,265 mi,248 mi,-22 mi,197 mi,607 mi,258 mi,-406 mi,475 mi,294 mi,165 mi
EBITDA,1.797 mi,1.567 mi,1.139 mi,1.079 mi,1.043 mi,922 mi,724 mi,595 mi,523 mi,329 mi,543 mi,1.065 mi,354 mi,-345 mi,594 mi,429 mi,228 mi
EBITDA *,1.532 mi,1.392 mi,1.196 mi,1.012 mi,956 mi,884 mi,609 mi,480 mi,466 mi,214 mi,458 mi,825 mi,467 mi,-246 mi,630 mi,451 mi,306 mi
Liquidez corrente,"1,30","1,28","0,91","0,98","1,15","1,12","0,97","0,98","0,86","0,99","1,07","2,95","1,12","1,00","1,11","1,02","1,15"
Liquidez seca,"1,30","1,27","0,91","0,97","1,14","1,12","0,97","0,98","0,86","0,98","1,07","2,94","1,11","0,99","1,10","1,01","1,13"
