Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"3,70 B","4,93 B","5,15 B","4,04 B","3,91 B","4,83 B","3,97 B","4,19 B","3,51 B","5,51 B","4,84 B","4,01 B","4,51 B","3,98 B","2,72 B","2,68 B","3,89 B","2,65 B","3,06 B","7,69 B","5,64 B","4,85 B","4,24 B","2,88 B","1,82 B","3,18 B","2,54 B","3,29 B","2,44 B"
Custos,"-2,03 B","-2,59 B","-2,65 B","-2,38 B","-2,24 B","-2,13 B","-2,06 B","-1,95 B","-1,89 B","-2,47 B","-2,52 B","-2,62 B","-2,23 B","-1,87 B","-1,78 B","-1,84 B","-1,60 B","-1,68 B","-2,00 B","-2,43 B","-1,91 B","-2,02 B","-1,30 B","-1,35 B","-807,18 M","-1,30 B","-1,06 B","-1,14 B","-864,03 M"
Lucro bruto,"1,67 B","2,34 B","2,50 B","1,66 B","1,67 B","2,70 B","1,90 B","2,24 B","1,62 B","3,05 B","2,32 B","1,39 B","2,29 B","2,11 B","945,87 M","844,06 M","2,29 B","975,14 M","1,06 B","5,27 B","3,73 B","2,83 B","2,93 B","1,53 B","1,01 B","1,87 B","1,48 B","2,16 B","1,58 B"
Despesas operacionais,"-745,12 M","-1,01 B","-877,15 M","-728,15 M","-550,00 M","-1,13 B","-1,06 B","-521,10 M","-785,95 M","-1,02 B","-544,89 M","-306,49 M","-1,14 B","-776,06 M","-261,91 M","-180,46 M","-218,29 M","-415,33 M","-31,87 M","-792,28 M","-322,62 M","-612,01 M","-626,66 M","-326,74 M","-441,12 M","-787,44 M","-267,67 M","-313,62 M","-419,43 M"
Despesas com vendas,"-563,66 M","-858,58 M","-785,61 M","-656,68 M","-511,60 M","-926,95 M","-1,01 B","-866,57 M","-737,42 M","-517,71 M","-552,88 M","-500,20 M","-479,49 M","-564,22 M","-235,78 M","-148,58 M","-80,27 M","-319,32 M","-299,03 M","-450,77 M","-183,14 M","-381,42 M","-398,05 M","-236,39 M","-204,10 M","-678,87 M","-231,75 M","-222,08 M","-373,72 M"
Despesas administrativas,"-42,44 M","-45,01 M","-42,01 M","-51,62 M","-45,18 M","-44,63 M","-45,06 M","-50,84 M","-41,53 M","-43,38 M","-37,94 M","-40,69 M","-39,19 M","-32,13 M","-30,93 M","-25,00 M","-29,38 M","-29,62 M","-37,57 M","-32,24 M","-30,74 M","-43,12 M","-37,88 M","-38,27 M","-40,03 M","-37,91 M","-41,89 M","-36,84 M","-36,61 M"
EBIT,"924,13 M","1,33 B","1,62 B","932,18 M","1,12 B","1,57 B","840,46 M","1,72 B","834,65 M","2,03 B","1,77 B","1,09 B","1,15 B","1,34 B","683,96 M","663,60 M","2,07 B","559,81 M","1,03 B","4,47 B","3,41 B","2,22 B","2,31 B","1,20 B","573,17 M","1,09 B","1,21 B","1,84 B","1,16 B"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-626,01 M","69,25 M","-566,63 M","-750,06 M","-1,32 B","814,73 M","-425,23 M","436,41 M","-44,09 M","-345,11 M","2,76 M","-506,31 M","-381,15 M","-438,53 M","63,06 M","568,32 M","-965,01 M","159,61 M","138,28 M","-638,80 M","76,06 M","-363,38 M","-95,77 M","-87,23 M","33,98 M","-75,25 M","30,78 M","-25,48 M","-38,17 M"
Antes dos impostos,"298,12 M","1,40 B","1,06 B","182,12 M","-191,69 M","2,39 B","415,23 M","2,16 B","790,56 M","1,69 B","1,77 B","578,70 M","767,39 M","896,79 M","747,01 M","1,23 B","1,10 B","719,42 M","1,17 B","3,83 B","3,48 B","1,86 B","2,21 B","1,11 B","607,14 M","1,01 B","1,25 B","1,82 B","1,12 B"
