Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,36 B","2,61 B","2,35 B","2,27 B","1,94 B","2,29 B","2,35 B","1,86 B","1,93 B","2,15 B","2,10 B","2,14 B","2,23 B","2,22 B","2,20 B","2,11 B","2,03 B","2,32 B","2,35 B","1,83 B","1,54 B","1,87 B","1,39 B","1,34 B","1,40 B","1,56 B","1,34 B","1,28 B","1,19 B","1,39 B","1,37 B","1,31 B","1,03 B","1,32 B","1,17 B","1,13 B","975,29 M","1,20 B","1,03 B","1,02 B","850,53 M","1,01 B","1,03 B","997,15 M","1,09 B","1,24 B","814,23 M","859,18 M","706,12 M","784,12 M","707,66 M","698,06 M","659,91 M","766,49 M","720,65 M","722,98 M","683,60 M","695,39 M","652,75 M","644,64 M","634,44 M","838,44 M","680,94 M","691,86 M","638,46 M"
Custos,"-1,78 B","-1,98 B","-2,01 B","-1,83 B","-1,58 B","-1,91 B","-1,98 B","-1,46 B","-1,48 B","-1,82 B","-1,65 B","-1,72 B","-1,83 B","-1,77 B","-1,97 B","-1,69 B","-1,70 B","-1,90 B","-2,04 B","-1,47 B","-1,38 B","-1,54 B","-1,25 B","-1,15 B","-1,18 B","-1,29 B","-1,15 B","-1,08 B","-1,10 B","-1,20 B","-1,22 B","-1,16 B","-865,71 M","-1,16 B","-969,06 M","-926,59 M","-789,21 M","-993,72 M","-853,41 M","-796,83 M","-693,15 M","-893,41 M","-868,10 M","-816,07 M","-862,64 M","-891,41 M","-670,84 M","-766,81 M","-636,24 M","-695,00 M","-657,34 M","-558,84 M","-529,58 M","-638,76 M","-552,48 M","-543,25 M","-470,31 M","-497,38 M","-464,74 M","-460,04 M","-478,96 M","-685,68 M","-453,93 M","-481,75 M","-459,79 M"
Lucro bruto,"577,18 M","630,36 M","344,62 M","445,04 M","352,60 M","379,64 M","378,26 M","400,93 M","451,33 M","329,03 M","455,35 M","418,06 M","399,96 M","451,79 M","228,24 M","425,03 M","332,26 M","421,01 M","312,13 M","367,84 M","158,03 M","326,19 M","136,81 M","186,12 M","219,73 M","273,66 M","190,59 M","197,14 M","95,63 M","194,20 M","157,12 M","152,62 M","159,55 M","157,16 M","196,75 M","204,95 M","186,09 M","208,51 M","173,02 M","221,18 M","157,38 M","120,40 M","166,47 M","181,08 M","227,16 M","346,39 M","143,39 M","92,37 M","69,88 M","89,12 M","50,32 M","139,22 M","130,32 M","127,73 M","168,17 M","179,73 M","213,29 M","198,00 M","188,01 M","184,60 M","155,48 M","152,76 M","227,00 M","210,12 M","178,67 M"
Despesas operacionais,"-78,71 M","-153,05 M","-70,24 M","-55,40 M","-114,98 M","-96,21 M","-101,58 M","-103,19 M","-75,85 M","-73,54 M","-82,56 M","-109,71 M","-89,76 M","-38,79 M","-52,92 M","-59,96 M","-60,71 M","-121,25 M","-150,02 M","-88,32 M","-44,07 M","-66,60 M","-59,00 M","-127,52 M","-96,72 M","-19,12 M","-47,81 M","-59,17 M","-67,05 M","-24,64 M","-36,44 M","-47,14 M","-37,42 M","-3,73 M","-45,07 M","-42,81 M","-34,88 M","-49,97 M","-77,25 M","-43,40 M","-30,34 M","-32,91 M","-44,46 M","-32,62 M","-40,88 M","-36,71 M","-39,88 M","-33,86 M","-30,45 M","-56,50 M","-34,13 M","-38,49 M","-30,82 M","-40,05 M","-34,42 M","-37,87 M","-34,03 M","-27,43 M","-38,54 M","-23,09 M","-15,69 M","-22,84 M","-26,08 M","-36,57 M","-20,32 M"
Despesas com vendas,0,0,0,0,0,"-17,68 M",0,0,"-3,19 M","-6,00 M","-12,45 M","-5,29 M","-1,36 M","-2,51 M","-2,88 M","-2,39 M","-1,90 M","-4,21 M","-6,67 M","42,00 Mil","-3,20 M","-2,71 M","-350,00 Mil","-80,87 M","-42,72 M","-7,66 M","-19,71 M","-21,86 M","-24,16 M","-18,06 M","-18,73 M","-9,49 M","-12,13 M","17,04 M","-19,13 M","-28,25 M","-17,42 M","-39,25 M","-56,83 M","-17,63 M","-16,72 M","-5,49 M","-10,91 M","-10,72 M","-7,89 M","-2,36 M","-6,87 M","765,00 Mil","-3,59 M","-24,48 M","-6,03 M","-8,51 M","-6,04 M","-6,38 M","-5,42 M","-7,09 M","-9,70 M","-2,72 M","-11,62 M","-3,36 M","-1,25 M","-4,48 M","-3,95 M","-3,03 M","-1,56 M"
Despesas administrativas,"-59,24 M","-119,19 M","-58,54 M","-43,08 M","-82,13 M","-76,42 M","-48,08 M","-72,43 M","-33,20 M","-34,22 M","-44,32 M","-68,93 M","-49,70 M","-86,65 M","-39,09 M","-49,45 M","-40,00 M","-59,58 M","-41,24 M","-41,32 M","-43,12 M","-102,35 M","-38,77 M","-51,12 M","-57,18 M","-14,11 M","-35,30 M","-48,87 M","-55,66 M","-18,01 M","-29,67 M","-47,57 M","-36,81 M","-34,24 M","-36,97 M","-25,78 M","-29,44 M","-23,39 M","-31,70 M","-35,94 M","-24,53 M","-37,90 M","-44,70 M","-30,13 M","-32,39 M","-33,41 M","-26,68 M","-27,26 M","-25,81 M","-22,04 M","-26,30 M","-24,75 M","-19,44 M","-41,52 M","-21,89 M","-21,73 M","-18,60 M","-34,87 M","-17,76 M","-17,27 M","-8,90 M","-26,19 M","-13,26 M","-24,62 M","-9,62 M"
EBIT,"498,47 M","477,30 M","274,38 M","389,64 M","237,62 M","283,44 M","276,67 M","297,74 M","375,49 M","255,50 M","372,80 M","308,35 M","310,20 M","412,99 M","175,32 M","365,07 M","271,55 M","299,76 M","162,11 M","279,52 M","113,96 M","259,60 M","77,81 M","58,60 M","123,01 M","254,54 M","142,77 M","137,97 M","28,58 M","169,56 M","120,68 M","105,48 M","122,13 M","153,42 M","151,68 M","162,14 M","151,20 M","158,55 M","95,77 M","177,78 M","127,04 M","87,49 M","122,01 M","148,46 M","186,28 M","309,68 M","103,51 M","58,51 M","39,44 M","32,61 M","16,19 M","100,73 M","99,51 M","87,69 M","133,75 M","141,86 M","179,26 M","170,57 M","149,47 M","161,52 M","139,79 M","129,92 M","200,93 M","173,55 M","158,35 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-278,19 M","-211,68 M","-304,72 M","-263,08 M","-185,81 M","-179,80 M","-163,27 M","-195,29 M","-199,40 M","-216,13 M","-181,40 M","-202,71 M","-190,14 M","-88,97 M","-91,29 M","-121,44 M","-118,69 M","-131,30 M","-45,70 M","-37,37 M","9,19 M","-84,03 M","-15,54 M","-30,77 M","-20,00 M","-7,32 M","-40,22 M","-6,64 M","-17,76 M","-16,31 M","-35,02 M","441,00 Mil","-12,66 M","-16,62 M","-14,43 M","-19,82 M","-25,10 M","-19,52 M","-15,31 M","-14,41 M","-23,76 M","-33,45 M","-6,72 M","-38,32 M","-25,39 M","-73,92 M","-131,91 M","-60,56 M","-5,48 M","-41,45 M","-2,28 M","-19,27 M","-19,80 M","125,11 M","-31,99 M","-16,54 M","-18,51 M","6,14 M","-31,11 M","-6,94 M","-12,65 M","-29,87 M","-12,54 M","-24,00 M","-16,95 M"
Antes dos impostos,"220,28 M","265,62 M","-30,34 M","126,56 M","51,80 M","103,64 M","113,40 M","102,45 M","176,09 M","39,37 M","191,40 M","105,64 M","120,06 M","324,02 M","84,04 M","243,63 M","152,86 M","168,46 M","116,41 M","242,16 M","123,14 M","175,57 M","62,27 M","27,83 M","103,01 M","247,22 M","102,56 M","131,33 M","10,82 M","153,25 M","85,66 M","105,92 M","109,47 M","136,81 M","137,25 M","142,32 M","126,10 M","139,02 M","80,46 M","163,38 M","103,28 M","54,04 M","115,29 M","110,13 M","160,89 M","235,75 M","-28,41 M","-2,05 M","33,96 M","-8,84 M","13,91 M","81,46 M","79,70 M","212,80 M","101,76 M","125,32 M","160,75 M","176,71 M","118,36 M","154,58 M","127,14 M","100,05 M","188,39 M","149,55 M","141,40 M"
