Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"24,30 B","24,12 B","23,82 B","23,65 B","24,20 B","24,20 B","23,87 B","23,98 B","25,05 B","25,14 B","25,22 B","25,61 B","25,83 B","26,40 B","26,32 B","27,91 B","28,46 B","28,51 B","28,90 B","29,63 B","29,80 B","30,78 B","36,08 B","36,09 B","36,28 B","34,12 B","32,71 B","33,84 B","33,65 B","31,95 B","24,99 B","19,14 B","18,99 B","18,22 B","18,47 B","18,14 B","17,94 B","17,60 B","16,91 B","17,28 B","16,96 B","16,64 B","16,51 B","16,48 B","15,79 B","15,49 B","15,20 B","4,36 B","4,33 B","4,08 B","4,01 B","3,91 B","3,94 B","3,78 B","3,95 B","3,81 B","3,41 B","2,97 B","1,48 B","1,15 B","1,13 B","1,09 B","869,00 M"
Ativo circulante,"4,98 B","4,70 B","4,32 B","4,26 B","4,71 B","4,63 B","4,22 B","4,15 B","4,83 B","4,98 B","4,39 B","4,64 B","4,59 B","5,06 B","4,82 B","6,74 B","6,93 B","6,97 B","7,84 B","8,30 B","8,40 B","9,27 B","8,37 B","7,23 B","6,45 B","4,48 B","3,92 B","4,52 B","5,44 B","5,58 B","8,71 B","3,41 B","3,70 B","3,54 B","3,58 B","2,99 B","2,98 B","2,65 B","2,12 B","2,37 B","2,21 B","1,64 B","2,12 B","2,08 B","1,69 B","1,45 B","1,46 B","1,07 B","1,06 B","835,08 M","793,83 M","705,60 M","691,45 M","540,54 M","662,21 M","592,18 M","900,61 M","457,13 M","544,63 M","261,66 M","244,21 M","200,92 M","504,24 M"
Caixa e eq. de caixa,"6,65 M","78,45 M","20,12 M","61,53 M","14,90 M","94,97 M","67,46 M","94,75 M","414,80 M","624,48 M","206,29 M","320,96 M","410,43 M","121,77 M","179,22 M","946,96 M","1,51 B","1,60 B","1,13 B","1,21 B","1,49 B","2,21 B","2,67 B","2,52 B","1,69 B","371,68 M","174,34 M","235,37 M","1,48 B","1,49 B","3,37 B","401,57 M","807,79 M","921,33 M","1,01 B","783,34 M","1,35 B","940,37 M","1,18 B","928,68 M","569,29 M","398,23 M","476,86 M","384,60 M","327,21 M","450,76 M","40,91 M","7,07 M","5,14 M","418,93 M","5,61 M","8,34 M","54,14 M","132,23 M","45,97 M","69,47 M","28,61 M","44,71 M","39,51 M","16,85 M","27,59 M","26,17 M","17,26 M"
Aplicações financeiras,"1,20 B","1,20 B","1,26 B","882,75 M","1,41 B","1,24 B","1,06 B","839,94 M","1,37 B","1,17 B","1,09 B","1,27 B","1,09 B","2,01 B","2,01 B","2,79 B","2,32 B","2,43 B","2,04 B","2,19 B","1,99 B","1,98 B","2,58 B","1,19 B","1,22 B","453,95 M","245,81 M","764,18 M","527,75 M","1,10 B","3,42 B","726,17 M","728,14 M","805,21 M","626,95 M","620,50 M",0,"403,62 M",0,0,0,0,0,0,0,0,"351,93 M","478,48 M","523,22 M",0,"459,90 M","344,43 M","256,89 M","83,39 M","272,61 M","161,96 M","502,77 M","106,64 M","236,58 M",0,0,0,"393,12 M"
Contas a receber,"2,79 B","2,46 B","2,08 B","2,38 B","2,40 B","2,42 B","2,04 B","2,23 B","2,08 B","2,27 B","2,04 B","2,03 B","2,10 B","2,01 B","1,63 B","1,99 B","2,05 B","2,03 B","1,64 B","1,71 B","1,73 B","1,88 B","2,07 B","2,27 B","2,38 B","2,59 B","2,34 B","2,35 B","2,31 B","1,94 B","1,52 B","1,90 B","1,79 B","1,45 B","1,59 B","1,29 B","1,37 B","1,04 B","610,61 M","1,13 B","1,34 B","1,03 B","1,39 B","1,39 B","1,11 B","732,41 M","814,81 M","500,10 M","457,82 M","328,14 M","256,84 M","261,40 M","303,30 M","245,10 M","279,06 M","301,01 M","306,28 M","240,56 M","192,99 M","175,01 M","172,74 M","124,45 M","63,80 M"
Estoques,"530,32 M","574,97 M","544,45 M","487,88 M","451,25 M","429,46 M","523,76 M","468,95 M","439,80 M","476,61 M","537,34 M","505,22 M","446,70 M","426,32 M","436,53 M","413,71 M","362,25 M","366,28 M","425,95 M","448,86 M","392,08 M","366,40 M","408,02 M","428,26 M","403,61 M","407,12 M","431,92 M","427,52 M","390,23 M","387,51 M","14,81 M","8,36 M","12,10 M","11,54 M","30,27 M","32,23 M","31,11 M","32,12 M","39,12 M","43,65 M","43,64 M","31,54 M","23,03 M","28,75 M","27,11 M","36,08 M","25,04 M","9,17 M","5,61 M","16,64 M","10,66 M","12,87 M","9,27 M","15,90 M","6,21 M","11,91 M","9,77 M","22,13 M","15,14 M","15,32 M","12,01 M","18,92 M","12,35 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"19,32 B","19,42 B","19,50 B","19,39 B","19,49 B","19,57 B","19,65 B","19,83 B","20,23 B","20,15 B","20,83 B","20,96 B","21,24 B","21,34 B","21,50 B","21,18 B","21,52 B","21,54 B","21,05 B","21,33 B","21,40 B","21,51 B","27,71 B","28,86 B","29,83 B","29,64 B","28,80 B","29,32 B","28,21 B","26,37 B","16,27 B","15,73 B","15,29 B","14,68 B","14,89 B","15,15 B","14,96 B","14,96 B","14,79 B","14,91 B","14,75 B","15,00 B","14,38 B","14,41 B","14,10 B","14,04 B","13,73 B","3,28 B","3,26 B","3,24 B","3,22 B","3,20 B","3,24 B","3,24 B","3,29 B","3,21 B","2,51 B","2,51 B","931,88 M","890,76 M","888,87 M","893,86 M","364,77 M"
Investimentos,"26,63 M","39,54 M","47,30 M","47,22 M","51,87 M","53,79 M","64,64 M","67,33 M","71,30 M","74,36 M","89,09 M","90,05 M","92,06 M","92,01 M","95,14 M","1,36 M","1,33 M","1,21 M","953,00 Mil","1,70 M","1,26 M","1,45 M","9,84 M","9,11 M","8,22 M","8,21 M","8,34 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M","1,60 M",0
Imobilizado,"3,52 B","3,53 B","3,50 B","3,60 B","3,64 B","3,68 B","3,71 B","3,71 B","3,77 B","3,77 B","3,90 B","3,96 B","4,05 B","4,06 B","4,14 B","4,05 B","4,29 B","4,20 B","4,15 B","4,33 B","4,33 B","4,34 B","5,85 B","5,87 B","5,95 B","5,86 B","5,36 B","5,37 B","5,45 B","2,49 B","2,19 B","2,02 B","1,96 B","1,93 B","1,83 B","1,77 B","1,73 B","1,70 B","1,65 B","1,62 B","1,58 B","1,62 B","1,54 B","1,50 B","1,49 B","1,42 B","1,34 B","543,23 M","501,44 M","470,12 M","435,50 M","419,90 M","396,91 M","371,85 M","356,35 M","317,11 M","255,24 M","246,26 M","220,45 M","210,12 M","223,77 M","223,37 M","167,65 M"
