Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"83,99 B","81,10 B","82,45 B","79,24 B","78,71 B","77,13 B","75,54 B","74,03 B","75,54 B","74,97 B","73,77 B","72,44 B","72,47 B","71,15 B","65,99 B","65,93 B","66,82 B","66,12 B","61,64 B","56,13 B","52,07 B","49,11 B","50,67 B","51,01 B","48,18 B","44,08 B","44,62 B","47,43 B","43,95 B","42,21 B","44,71 B","41,71 B","41,17 B","41,28 B","41,79 B","41,63 B","41,73 B","42,17 B","37,55 B","37,95 B","38,11 B","40,53 B","39,86 B","37,41 B","36,62 B","35,14 B","31,90 B","32,54 B","32,58 B","31,04 B","32,13 B","32,18 B","30,02 B","28,92 B","30,64 B","29,46 B","28,00 B","27,41 B","26,06 B","23,48 B","20,84 B","20,06 B","18,49 B"
Ativo circulante,"19,69 B","16,62 B","18,52 B","16,11 B","17,32 B","16,55 B","16,67 B","15,51 B","17,60 B","18,05 B","16,95 B","16,63 B","16,95 B","15,18 B","14,10 B","14,63 B","16,44 B","15,55 B","15,46 B","11,43 B","14,42 B","13,81 B","15,93 B","16,29 B","13,27 B","10,34 B","11,07 B","14,13 B","11,04 B","9,40 B","12,19 B","9,67 B","9,60 B","9,58 B","10,30 B","10,14 B","10,56 B","11,38 B","10,36 B","11,30 B","11,31 B","12,51 B","11,12 B","10,17 B","10,03 B","9,21 B","8,31 B","8,57 B","8,64 B","7,26 B","8,50 B","8,33 B","6,49 B","5,54 B","5,57 B","4,88 B","5,53 B","5,36 B","7,14 B","6,95 B","4,49 B","3,90 B","3,65 B"
Caixa e eq. de caixa,"2,13 B","2,23 B","2,10 B","2,20 B","1,93 B","1,97 B","2,33 B","3,00 B","3,32 B","4,44 B","5,43 B","5,01 B","4,21 B","3,75 B","4,03 B","3,61 B","3,50 B","2,20 B","4,63 B","2,74 B","4,62 B","3,92 B","6,76 B","6,99 B","5,57 B","1,94 B","3,23 B","6,98 B","3,44 B","1,89 B","3,58 B","2,49 B","3,03 B","3,25 B","3,83 B","4,32 B","4,88 B","6,16 B","5,34 B","5,46 B","4,41 B","5,68 B","4,03 B","3,70 B","4,03 B","4,36 B","4,00 B","4,74 B","4,24 B","4,21 B","5,41 B","5,42 B","2,77 B","2,44 B","2,66 B","2,01 B","2,71 B","2,70 B","4,27 B","4,40 B","1,97 B","1,56 B","1,49 B"
Aplicações financeiras,"3,62 B","675,76 M","3,79 B","2,01 B","2,12 B","1,57 B","1,49 B","946,13 M","2,08 B","1,10 B","271,01 M","265,40 M","864,41 M","856,24 M","284,07 M","487,37 M","580,65 M","585,86 M","287,06 M","283,11 M","948,81 M","1,87 B","1,36 B","1,35 B","946,00 Mil","851,00 M",0,0,0,0,0,0,"183,00 Mil",0,0,0,"450,00 Mil","449,00 Mil","53,15 M","22,18 M","12,66 M","23,63 M","17,73 M","32,17 M","12,53 M","5,32 M","5,63 M","5,42 M","14,44 M","24,81 M","24,62 M","6,89 M","7,29 M","6,10 M","39,66 M","44,30 M","44,52 M","47,52 M","44,74 M","43,74 M","42,93 M","42,53 M","39,25 M"
Contas a receber,"6,34 B","6,24 B","5,93 B","5,59 B","6,28 B","5,88 B","6,19 B","5,80 B","6,45 B","6,19 B","5,44 B","5,08 B","5,49 B","5,07 B","4,83 B","5,13 B","5,76 B","5,43 B","5,59 B","5,08 B","5,03 B","5,21 B","4,74 B","4,25 B","4,81 B","4,99 B","5,05 B","4,60 B","4,70 B","4,55 B","5,19 B","4,55 B","4,26 B","4,30 B","4,64 B","3,95 B","4,07 B","3,77 B","3,54 B","3,44 B","3,73 B","3,17 B","3,35 B","3,41 B","3,03 B","2,25 B","2,42 B","2,23 B","2,23 B","2,01 B","1,97 B","1,85 B","2,01 B","2,21 B","2,04 B","1,92 B","1,98 B","1,87 B","1,87 B","1,80 B","1,85 B","1,82 B","1,75 B"
Estoques,"246,02 M","236,57 M","235,17 M","229,63 M","220,26 M","221,57 M","159,69 M","150,88 M","152,83 M","151,74 M","160,50 M","165,75 M","172,92 M","190,31 M","170,52 M","166,42 M","192,11 M","150,87 M","121,31 M","119,10 M","110,22 M","96,18 M","83,68 M",0,0,"71,55 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,22 M","23,80 M","22,38 M","18,51 M","23,29 M","22,92 M","22,06 M","21,62 M","22,52 M","21,25 M","34,52 M","36,83 M","54,06 M","53,22 M","41,73 M","44,87 M","42,82 M","38,23 M","29,18 M","25,22 M","17,36 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"64,30 B","64,48 B","63,93 B","63,13 B","61,39 B","60,58 B","58,86 B","58,51 B","57,94 B","56,92 B","56,83 B","55,82 B","55,52 B","55,97 B","51,89 B","51,30 B","50,38 B","50,57 B","46,18 B","44,70 B","37,65 B","35,30 B","34,74 B","34,72 B","34,91 B","33,74 B","33,56 B","33,30 B","32,91 B","32,81 B","32,52 B","32,04 B","31,56 B","31,70 B","31,50 B","31,49 B","31,17 B","30,79 B","27,19 B","26,65 B","26,79 B","28,02 B","28,73 B","27,24 B","26,59 B","25,93 B","23,60 B","23,96 B","23,94 B","23,78 B","23,62 B","23,85 B","23,52 B","23,38 B","25,07 B","24,58 B","22,47 B","22,05 B","18,92 B","16,53 B","16,35 B","16,16 B","14,84 B"
Investimentos,"458,11 M","380,80 M","389,62 M","313,25 M","641,87 M","581,36 M","625,72 M","539,81 M","610,34 M","520,66 M","571,73 M","529,59 M","701,25 M","622,51 M","968,08 M","1,06 B","1,32 B","1,20 B","1,18 B","1,05 B","1,11 B","1,02 B","1,10 B","1,03 B","1,06 B","998,00 M","973,88 M","1,04 B","1,07 B","980,36 M","959,22 M","906,12 M","1,07 B","1,00 B","1,04 B","1,53 B","1,49 B","1,49 B","1,44 B","1,38 B","1,32 B","1,25 B","1,22 B","1,17 B","1,11 B","1,10 B","1,16 B","1,17 B","1,15 B","1,03 B","1,05 B","1,02 B","1,01 B","1,02 B",0,0,0,0,0,0,0,0,0
Imobilizado,"9,23 B","9,38 B","9,44 B","9,51 B","9,61 B","9,75 B","9,92 B","9,96 B","10,02 B","10,14 B","10,46 B","10,48 B","10,56 B","10,61 B","8,58 B","8,58 B","8,71 B","8,75 B","8,74 B","8,81 B","8,71 B","8,80 B","8,89 B","8,88 B","8,98 B","9,08 B","9,11 B","9,23 B","9,35 B","9,46 B","9,54 B","9,61 B","9,68 B","9,79 B","9,84 B","9,98 B","9,88 B","9,71 B","9,66 B","9,45 B","9,28 B","9,17 B","9,11 B","8,93 B","8,92 B","9,15 B","7,71 B","7,73 B","7,74 B","7,72 B","7,65 B","7,55 B","7,34 B","7,10 B","9,44 B","9,29 B","8,50 B","8,29 B","6,98 B","5,97 B","5,93 B","5,79 B","5,21 B"
Intangível,"6,55 B","6,89 B","7,19 B","7,28 B","7,54 B","7,82 B","8,01 B","8,27 B","8,50 B","8,97 B","9,35 B","9,57 B","9,72 B","9,91 B","9,23 B","9,43 B","9,53 B","9,67 B","8,87 B","8,80 B","8,86 B","8,97 B","9,08 B","9,12 B","9,22 B","9,32 B","9,26 B","9,30 B","9,38 B","9,46 B","10,51 B","10,50 B","10,55 B","10,59 B","10,49 B","10,64 B","10,72 B","10,78 B","8,96 B","9,02 B","9,09 B","9,21 B","8,70 B","8,97 B","9,01 B","8,93 B","8,48 B","8,62 B","8,71 B","8,75 B","8,82 B","9,03 B","9,13 B","9,18 B","9,51 B","9,37 B","8,61 B","8,93 B","7,76 B","6,56 B","6,56 B","6,58 B","6,06 B"
Passivo total,"83,99 B","81,10 B","82,45 B","79,24 B","78,71 B","77,13 B","75,54 B","74,03 B","75,54 B","74,97 B","73,77 B","72,44 B","72,47 B","71,15 B","65,99 B","65,93 B","66,82 B","66,12 B","61,64 B","56,13 B","52,07 B","49,11 B","50,67 B","51,01 B","48,18 B","44,08 B","44,62 B","47,43 B","43,95 B","42,21 B","44,71 B","41,71 B","41,17 B","41,28 B","41,79 B","41,63 B","41,73 B","42,17 B","37,55 B","37,95 B","38,11 B","40,53 B","39,86 B","37,41 B","36,62 B","35,14 B","31,90 B","32,54 B","32,58 B","31,04 B","32,13 B","32,18 B","30,02 B","28,92 B","30,64 B","29,46 B","28,00 B","27,41 B","26,06 B","23,48 B","20,84 B","20,06 B","18,49 B"
Passivo circulante,"17,18 B","17,88 B","18,42 B","18,37 B","17,57 B","17,37 B","15,06 B","15,64 B","19,16 B","19,76 B","20,01 B","18,22 B","15,05 B","14,88 B","15,15 B","15,53 B","12,97 B","12,91 B","13,53 B","12,46 B","14,58 B","14,41 B","12,99 B","12,99 B","9,73 B","10,07 B","10,11 B","8,94 B","9,73 B","8,42 B","11,05 B","9,71 B","10,46 B","11,38 B","12,31 B","11,22 B","10,16 B","9,02 B","7,16 B","7,34 B","7,35 B","9,52 B","8,83 B","7,30 B","7,01 B","7,42 B","7,02 B","6,86 B","5,46 B","4,91 B","5,75 B","6,08 B","4,97 B","4,97 B","5,11 B","4,84 B","4,70 B","4,50 B","4,88 B","5,05 B","4,95 B","4,43 B","3,42 B"
Fornecedores,"3,96 B","4,10 B","4,16 B","3,78 B","3,81 B","3,89 B","3,93 B","3,44 B","3,34 B","3,69 B","3,27 B","2,91 B","2,87 B","3,23 B","3,23 B","3,09 B","3,22 B","4,27 B","4,73 B","3,76 B","3,12 B","3,91 B","2,88 B","2,74 B","2,74 B","3,26 B","3,21 B","2,73 B","3,16 B","2,40 B","3,84 B","3,23 B","2,53 B","3,30 B","4,15 B","2,79 B","2,23 B","2,73 B","1,94 B","1,69 B","1,87 B","3,16 B","2,25 B","2,27 B","2,15 B","2,37 B","1,95 B","1,93 B","2,44 B","1,88 B","1,57 B","1,61 B","1,85 B","1,69 B","1,40 B","1,40 B","1,29 B","1,24 B","1,20 B","1,09 B","1,10 B","1,05 B","1,02 B"
Empréstimos e financ.,"5,88 B","4,90 B","5,42 B","4,75 B","4,83 B","5,40 B","3,72 B","4,34 B","5,53 B","4,51 B","4,14 B","3,68 B","4,24 B","4,69 B","5,36 B","5,75 B","4,85 B","4,03 B","3,21 B","2,68 B","5,01 B","3,99 B","4,77 B","6,38 B","3,93 B","3,46 B","3,98 B","3,22 B","3,88 B","3,36 B","4,40 B","4,40 B","5,45 B","5,29 B","5,38 B","5,12 B","4,38 B","3,42 B","3,04 B","3,29 B","2,80 B","3,64 B","3,34 B","2,30 B","2,85 B","3,53 B","3,25 B","3,55 B","1,68 B","1,84 B","2,58 B","3,02 B","1,93 B","1,96 B","2,29 B","2,01 B","1,94 B","1,65 B","2,33 B","2,56 B","2,52 B","2,25 B","1,36 B"
Passivo não circulante,"41,42 B","39,72 B","40,34 B","38,43 B","37,77 B","37,96 B","39,01 B","38,24 B","34,73 B","35,21 B","34,30 B","35,17 B","38,24 B","38,73 B","35,11 B","36,10 B","35,89 B","36,40 B","33,05 B","28,29 B","22,31 B","20,47 B","22,86 B","23,06 B","23,92 B","20,73 B","20,58 B","21,20 B","21,12 B","21,26 B","21,08 B","20,05 B","19,16 B","18,72 B","18,39 B","19,69 B","20,98 B","22,78 B","19,94 B","20,42 B","20,39 B","20,88 B","21,00 B","20,49 B","20,09 B","18,33 B","16,68 B","17,14 B","18,17 B","17,34 B","17,86 B","17,90 B","16,75 B","16,06 B","17,34 B","16,14 B","14,32 B","14,36 B","13,08 B","11,38 B","8,66 B","8,88 B","8,53 B"
Emprést. de longo prazo,"25,84 B","24,16 B","23,34 B","24,19 B","23,48 B","23,39 B","24,85 B","23,77 B","22,19 B","21,92 B","20,99 B","20,99 B","20,40 B","20,70 B","18,16 B","18,66 B","17,62 B","18,38 B","16,34 B","14,31 B","14,50 B","14,88 B","15,42 B","17,33 B","18,77 B","15,45 B","16,37 B","16,81 B","16,60 B","17,01 B","17,14 B","16,25 B","15,35 B","14,88 B","14,44 B","15,73 B","16,95 B","18,62 B","16,37 B","16,75 B","17,63 B","18,09 B","18,39 B","17,77 B","17,44 B","15,62 B","14,59 B","14,97 B","16,01 B","15,18 B","15,69 B","15,68 B","14,20 B","13,51 B","14,79 B","13,60 B","11,92 B","11,95 B","11,06 B","9,77 B","7,02 B","7,16 B","6,54 B"
Patrimônio líquido,"25,39 B","23,50 B","23,69 B","22,44 B","23,37 B","21,80 B","21,46 B","20,15 B","21,66 B","20,00 B","19,46 B","19,06 B","19,19 B","17,54 B","15,74 B","14,30 B","17,96 B","16,81 B","15,06 B","15,38 B","15,18 B","14,24 B","14,82 B","14,95 B","14,54 B","13,28 B","13,94 B","17,30 B","13,10 B","12,53 B","12,59 B","11,94 B","11,54 B","11,19 B","11,09 B","10,71 B","10,59 B","10,37 B","10,45 B","10,18 B","10,36 B","10,13 B","10,04 B","9,62 B","9,53 B","9,40 B","8,21 B","8,54 B","8,96 B","8,80 B","8,52 B","8,20 B","8,29 B","7,89 B","8,20 B","8,48 B","8,98 B","8,55 B","8,10 B","7,05 B","7,23 B","6,75 B","6,54 B"
Aos não controladores,"1,09 B","1,01 B","1,02 B","955,88 M","1,12 B","1,06 B","1,04 B","974,25 M","1,12 B","1,12 B","1,29 B","1,23 B","1,33 B","1,28 B","312,37 M","297,19 M","1,72 B","1,66 B","304,51 M","287,22 M","310,68 M","300,00 M","286,01 M","275,09 M","298,72 M","288,86 M","287,24 M","2,29 B","2,23 B","2,27 B","2,21 B","2,14 B","2,20 B","2,22 B","2,41 B","2,36 B","2,39 B","2,40 B","2,42 B","2,38 B","2,41 B","2,46 B","2,41 B","2,38 B","2,41 B","2,45 B","1,73 B","1,74 B","1,76 B","1,77 B","1,76 B","1,49 B","1,50 B","1,51 B","1,51 B","1,51 B","1,50 B","1,49 B","1,36 B","264,64 M","261,89 M","255,95 M","267,43 M"
