Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,94","9,49","7,39","6,21","5,60","5,58","6,01","6,77","9,92","13,99","18,96","14,36","13,67","11,95","10,37","9,61","15,64","12,90"
P/VP,"2,12","2,31","1,95","1,82","1,76","1,75","1,57","1,41","1,99","1,84","2,14","1,62","1,87","1,59","1,91","2,14","3,71","3,41"
P/EBIT,"4,67","4,71","3,72","3,24","2,79","3,58","4,28","3,88","5,05","4,95","6,03","4,34","4,99","4,50","4,97","4,95","8,78","7,68"
P/EBIT *,"4,53","4,56","3,67","3,07","2,99","3,59","4,23","3,77","4,87","4,77","5,87","4,14","4,52","4,22","4,50","4,62","8,19","7,10"
PSR,"1,14","1,17","0,95","0,86","0,73","0,68","0,71","0,61","0,73","0,62","0,89","0,60","0,75","0,77","0,82","1,18","2,00","1,88"
P/Ativos,"0,61","0,64","0,52","0,46","0,40","0,40","0,45","0,42","0,48","0,40","0,40","0,31","0,37","0,36","0,42","0,55","1,20","1,16"
LPA,"5,00","4,76","4,74","4,80","4,43","4,12","3,16","2,35","1,79","1,02","0,78","0,75","0,82","0,81","1,02","1,36","1,33","1,44"
VPA,"21,09","19,52","17,99","16,38","14,11","13,14","12,09","11,28","8,91","7,78","6,92","6,66","6,03","6,10","5,54","6,13","5,64","5,44"
EBIT por ação,"9,58","9,59","9,40","9,18","8,88","6,43","4,44","4,09","3,51","2,89","2,46","2,48","2,26","2,16","2,13","2,65","2,38","2,42"
EBIT por ação *,"9,88","9,91","9,55","9,69","8,30","6,40","4,49","4,21","3,64","3,00","2,52","2,61","2,49","2,30","2,35","2,84","2,55","2,61"
Ativo por ação,"72,89","70,38","66,94","65,06","61,75","57,38","42,62","38,25","36,63","35,83","36,60","35,18","30,50","26,94","25,10","23,79","17,41","16,05"
Receita líquida por ação,"39,10","38,51","37,00","34,49","34,15","34,03","26,82","25,98","24,42","23,21","16,59","17,88","15,02","12,70","12,92","11,08","10,44","9,86"
Margem bruta,"31,30%","31,83%","31,83%","34,33%","30,08%","23,61%","22,40%","21,97%","20,58%","18,69%","22,53%","21,03%","23,37%","27,06%","26,22%","33,27%","30,63%","32,30%"
Margem líquida,"13,40%","12,94%","13,52%","13,93%","13,26%","12,38%","12,00%","9,18%","7,70%","4,65%","4,60%","4,25%","5,12%","6,49%","8,11%","12,73%","12,97%","14,87%"
Margem EBIT,"24,50%","24,92%","25,41%","26,62%","26,00%","18,89%","16,55%","15,74%","14,37%","12,47%","14,83%","13,90%","15,02%","17,02%","16,49%","23,90%","22,78%","24,50%"
Margem EBIT *,"25,27%","25,73%","25,80%","28,11%","24,29%","18,82%","16,74%","16,20%","14,91%","12,94%","15,22%","14,58%","16,57%","18,14%","18,21%","25,59%","24,44%","26,50%"
