Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"16,31","16,90","8,90","9,82","13,95","3,05","3,34","5,28","3,96","3,75","4,33","2,30","2,97","2,81","4,68","3,84","4,89","5,88"
P/VP,"1,86","1,96","0,97","0,93","0,75","0,69","0,65","0,61","0,35","0,26","0,26","0,19","0,27","0,24","0,27","0,38","0,44","0,45"
P/EBIT,"8,57","9,00","6,15","6,01","5,26","2,78","3,06","3,18","2,33","1,81","1,95","1,29","2,07","2,46","3,28","3,27","4,68","4,40"
P/EBIT *,"9,07","9,77","6,36","6,05","3,86","4,04","3,02","2,98","2,18","1,55","2,07","1,25","1,83","1,99","2,44","2,55","3,20","4,11"
PSR,"1,62","1,74","1,10","1,03","0,76","0,63","0,70","0,66","0,37","0,28","0,30","0,18","0,26","0,33","0,39","0,57","0,70","0,74"
P/Ativos,"0,70","0,75","0,44","0,40","0,31","0,31","0,28","0,27","0,16","0,12","0,13","0,09","0,14","0,13","0,15","0,24","0,27","0,29"
LPA,"0,91","0,90","0,94","0,76","0,37","1,66","1,31","0,67","0,47","0,35","0,30","0,40","0,40","0,36","0,23","0,39","0,33","0,27"
VPA,"7,99","7,75","8,61","8,01","6,98","7,32","6,69","5,78","5,38","5,10","4,93","4,78","4,47","4,24","4,06","3,96","3,70","3,45"
EBIT por ação,"1,73","1,69","1,36","1,24","0,99","1,83","1,43","1,11","0,80","0,72","0,67","0,71","0,58","0,41","0,34","0,46","0,35","0,35"
EBIT por ação *,"1,64","1,56","1,32","1,23","1,35","1,26","1,45","1,18","0,86","0,84","0,63","0,74","0,66","0,51","0,45","0,58","0,51","0,38"
Ativo por ação,"21,10","20,25","19,24","18,71","16,66","16,61","15,68","12,84","12,05","11,12","10,15","9,70","8,59","7,75","7,11","6,32","5,99","5,47"
Receita líquida por ação,"9,15","8,76","7,59","7,20","6,88","8,04","6,25","5,32","5,01","4,70","4,39","5,01","4,67","3,08","2,85","2,61","2,31","2,10"
Margem bruta,"21,88%","21,68%","21,59%","22,80%","24,01%","20,28%","28,37%","27,76%","22,99%","23,95%","21,89%","21,05%","18,89%","23,34%","22,99%","29,82%","27,89%","25,94%"
Margem líquida,"9,96%","10,29%","12,36%","10,83%","5,60%","21,05%","20,98%","13,00%","9,67%","7,97%","6,67%","8,47%","9,60%","12,00%","8,55%","15,13%","14,64%","13,00%"
Margem EBIT,"18,94%","19,32%","17,94%","17,20%","14,36%","22,71%","22,83%","20,81%","16,03%","15,27%","15,18%","14,23%","12,41%","13,36%","11,76%","17,48%","14,96%","16,92%"
Margem EBIT *,"17,89%","17,81%","17,34%","17,07%","19,58%","15,61%","23,16%","22,17%","17,15%","17,85%","14,32%","14,67%","14,06%","16,52%","15,84%","22,43%","21,86%","18,12%"
