Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-8,54","-5,40","27,25","23,35","7,34","7,88","6,12","5,68","4,39","4,57",-,-,-,-,-,-,-
P/VP,"1,00","1,03","1,44","1,97","2,32","2,00","1,17","1,78","0,77","0,91",-,-,-,-,-,-,-
P/EBIT,"-7,38","-18,20","-636,08","56,29","7,17","10,95","6,26","5,76","3,67","8,02",-,-,-,-,-,-,-
P/EBIT *,"-8,34","-16,50","-68,85","64,99","7,09","11,69","8,72","5,86","3,73","31,30",-,-,-,-,-,-,-
PSR,"0,72","0,93","1,70","1,99","2,12","1,99","1,14","1,39","0,61","0,79",-,-,-,-,-,-,-
P/Ativos,"0,61","0,71","1,01","1,51","1,69","1,37","0,85","1,32","0,55","0,60",-,-,-,-,-,-,-
LPA,"-2,30","-3,92","1,24","2,36","9,53","6,36","3,79","5,36","2,72","2,89",-,-,-,-,-,-,-
VPA,"19,64","20,48","23,52","27,87","30,22","25,08","19,90","17,16","15,53","14,53",-,-,-,-,-,-,-
EBIT por ação,"-2,66","-1,16","-0,05","0,98","9,76","4,58","3,71","5,29","3,26","1,65",-,-,-,-,-,-,-
EBIT por ação *,"-2,35","-1,28","-0,49","0,85","9,88","4,28","2,66","5,20","3,20","0,42",-,-,-,-,-,-,-
Ativo por ação,"31,96","29,93","33,52","36,42","41,30","36,65","27,20","23,08","21,55","22,20",-,-,-,-,-,-,-
Receita líquida por ação,"27,33","22,78","19,83","27,67","33,02","25,21","20,31","21,92","19,58","16,71",-,-,-,-,-,-,-
Margem bruta,"-1,75%","1,95%","6,30%","6,27%","32,73%","36,04%","23,60%","34,31%","25,92%","13,78%","7,38%","4,51%","8,47%","23,42%","22,69%","6,29%","5,80%"
Margem líquida,"-8,40%","-17,20%","6,25%","8,51%","28,87%","25,21%","18,65%","24,48%","13,90%","17,32%","-4,95%","-13,08%","2,84%","11,00%","8,60%","-9,51%","0,24%"
Margem EBIT,"-9,72%","-5,10%","-0,27%","3,53%","29,56%","18,15%","18,25%","24,14%","16,63%","9,87%","-1,52%","-5,67%","2,84%","15,02%","11,96%","-8,80%","-6,97%"
Margem EBIT *,"-8,61%","-5,63%","-2,48%","3,06%","29,91%","16,99%","13,10%","23,71%","16,36%","2,53%","-2,07%","-6,10%","-2,20%","15,95%","13,54%","-5,88%","-4,44%"
Margem EBITDA,"-5,66%","-0,65%","4,40%","6,30%","33,14%","21,31%","22,65%","27,05%","19,88%","15,84%","9,51%","4,63%","13,71%","24,46%","22,89%","6,61%","-0,50%"
Margem EBITDA *,"-4,55%","-1,18%","2,20%","5,83%","33,49%","20,15%","17,50%","26,62%","19,61%","8,50%","8,96%","4,19%","8,67%","25,38%","24,47%","9,52%","2,03%"
Margem operacional,"-8,64%","-4,74%","6,16%","7,20%","29,90%","17,69%","18,88%","24,69%","17,35%","18,64%","-3,92%","-4,76%","2,74%","14,12%","10,79%","-9,41%","1,05%"
ROE,"-11,69%","-19,13%","5,27%","8,45%","31,54%","25,34%","19,03%","31,26%","17,53%","19,92%","-6,12%","-14,23%","2,73%","12,15%","8,74%","-7,70%","0,19%"
ROA,"-0,07","-0,13","0,04","0,06","0,23","0,17","0,14","0,23","0,13","0,13","-0,04","-0,10","0,02","0,08","0,07","-0,06","0,00"
ROIC,"-15,11%","-5,59%","-0,21%","3,61%","30,63%","20,97%","19,34%","25,82%","18,05%","8,90%","-1,28%","-4,60%","2,21%","13,92%","9,84%","-5,76%","-4,62%"
ROIC *,"-13,38%","-6,17%","-1,97%","3,12%","31,00%","19,63%","13,89%","25,35%","17,76%","2,28%","-1,74%","-4,95%","-1,71%","14,79%","11,14%","-3,85%","-2,94%"
Giro do ativo,"0,85","0,76","0,59","0,76","0,80","0,69","0,75","0,95","0,91","0,75","0,75","0,76","0,72","0,75","0,76","0,61","0,59"
EBIT *,-69 mi,-38 mi,-15 mi,24 mi,286 mi,124 mi,77 mi,150 mi,92 mi,12 mi,-9 mi,-25 mi,-9 mi,72 mi,51 mi,-17 mi,-14 mi
EBITDA,-45 mi,-5 mi,25 mi,50 mi,317 mi,155 mi,133 mi,172 mi,112 mi,76 mi,40 mi,18 mi,55 mi,111 mi,87 mi,18 mi,-2 mi
EBITDA *,-37 mi,-8 mi,12 mi,46 mi,320 mi,147 mi,103 mi,169 mi,111 mi,41 mi,37 mi,16 mi,35 mi,115 mi,93 mi,26 mi,5 mi
Liquidez corrente,"2,07","3,44","4,72","4,67","3,67","5,27","6,20","9,41","6,21","3,42","2,53","2,96","3,79","2,32","2,38","1,84","1,65"
Liquidez seca,"0,96","1,72","2,87","2,33","2,22","3,54","2,98","4,62","3,64","1,90","1,07","1,19","1,23","1,01","0,94","0,52","0,62"
Liquidez imediata,"0,16","0,04","0,04","0,56","0,80","2,47","1,97","0,85","0,97","0,01","0,06","0,04","0,04","0,08","0,05","0,07","0,09"
Dívida bruta,6 mi,11 mi,6 mi,10 mi,3 mi,5 mi,8 mi,1 mi,2 mi,50 mi,89 mi,40 mi,3 mi,17 mi,13 mi,6 mi,26 mi
Dívida líquida,-189 mi,-170 mi,-199 mi,-205 mi,-173 mi,-394 mi,-197 mi,-59 mi,-90 mi,-34 mi,42 mi,17 mi,-25 mi,-46 mi,-6 mi,0 mi,12 mi
Capital de giro,307 mi,388 mi,527 mi,491 mi,546 mi,674 mi,515 mi,467 mi,404 mi,301 mi,235 mi,200 mi,239 mi,203 mi,130 mi,75 mi,62 mi
Endividamento geral,"62,71%","46,13%","42,52%","30,66%","36,68%","46,13%","36,69%","34,50%","38,82%","52,77%","64,46%","43,73%","32,79%","47,56%","33,08%","32,49%","32,04%"
