Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,"-2,19","-3,11","56,72","47,86","14,08","95,08","19,23","21,92","26,06","30,17","41,78","68,87","47,93","8,10","21,23","16,07"
P/VP,"4,02","2,69","2,96","2,73","5,85","7,47","4,42","3,65","3,63","3,49","2,79","2,28","3,08","2,31","2,54","2,86"
P/EBIT,"-106,77","8,36","4,77","7,21","9,94","33,34","12,96","13,08","11,96","11,19","13,15","13,57","24,17","5,06","12,25","16,64"
P/EBIT *,"2,43","3,15","8,82","9,82","24,16","46,05","22,64","37,14","34,70","23,12","25,26","22,33","58,32","25,71","12,17","24,00"
PSR,"0,53","0,67","1,57","1,43","3,46","6,00","3,44","3,52","4,47","4,14","2,90","2,47","6,55","0,90","0,91","1,10"
P/Ativos,"0,16","0,21","0,44","0,42","0,88","2,27","1,42","1,26","1,20","1,14","0,80","0,74","1,09","0,95","0,90","1,06"
LPA,"-2,45","-2,38","0,28","0,30","1,54","0,21","0,61","0,42","0,33","0,26","0,15","0,07","0,16","0,66","0,19","0,27"
VPA,"1,34","2,75","5,28","5,21","3,72","2,73","2,66","2,50","2,38","2,26","2,19","2,22","2,46","2,31","1,63","1,49"
EBIT por ação,"-0,05","0,88","3,28","1,97","2,19","0,61","0,91","0,70","0,72","0,70","0,46","0,37","0,31","1,05","0,34","0,26"
EBIT por ação *,"2,22","2,34","1,77","1,45","0,90","0,44","0,52","0,25","0,25","0,34","0,24","0,23","0,13","0,21","0,34","0,18"
Ativo por ação,"34,06","35,61","35,26","33,90","24,67","9,02","8,29","7,26","7,19","6,88","7,64","6,83","6,94","5,58","4,57","4,02"
Receita líquida por ação,"10,19","11,08","9,95","9,91","6,28","3,41","3,42","2,59","1,93","1,90","2,10","2,05","1,16","5,90","4,55","3,87"
Margem bruta,"32,60%","31,20%","27,66%","22,29%","23,22%","27,34%","29,29%","25,34%","34,22%","39,18%","29,27%","28,77%","29,98%","10,70%","16,13%","13,46%"
Margem líquida,"-25,22%","-18,57%","12,38%","7,17%","25,50%","6,73%","18,31%","18,50%","19,69%","18,43%","10,56%","7,90%","18,40%","11,31%","4,30%","6,84%"
Margem EBIT,"-0,49%","7,97%","32,97%","19,86%","34,83%","17,98%","26,55%","26,91%","37,37%","37,04%","22,08%","18,19%","27,09%","17,84%","7,41%","6,64%"
Margem EBIT *,"21,77%","21,15%","17,84%","14,58%","14,33%","13,02%","15,19%","9,48%","12,88%","17,93%","11,49%","11,05%","11,23%","3,51%","7,45%","4,60%"
Margem EBITDA,"9,13%","16,78%","41,49%","27,53%","43,75%","22,59%","30,75%","32,35%","45,15%","45,20%","28,80%","25,33%","34,39%","22,72%","14,93%","10,84%"
Margem EBITDA *,"31,39%","29,95%","26,36%","22,24%","23,25%","17,63%","19,40%","14,92%","20,65%","26,08%","18,21%","18,20%","18,53%","8,39%","14,98%","8,80%"
Margem operacional,"-19,77%","-11,93%","12,96%","6,75%","23,69%","8,64%","23,61%","23,80%","25,66%","19,70%","8,33%","6,58%","18,13%","15,81%","6,59%","9,60%"
ROE,"-32,87%","-20,72%","9,58%","5,86%","22,00%","7,90%","22,45%","17,43%","14,67%","12,88%","7,13%","5,17%","6,34%","27,50%","11,45%","17,54%"
ROA,"-0,08","-0,06","0,03","0,02","0,06","0,03","0,08","0,07","0,05","0,05","0,03","0,02","0,03","0,12","0,04","0,07"
ROIC,"-0,19%","2,94%","10,73%","6,68%","11,06%","8,30%","14,34%","11,25%","12,16%","12,79%","7,19%","6,03%","4,93%","20,97%","8,19%","7,12%"
ROIC *,"8,48%","7,80%","5,80%","4,90%","4,55%","6,01%","8,20%","3,96%","4,19%","6,19%","3,74%","3,66%","2,04%","4,12%","8,24%","4,94%"
Giro do ativo,"0,30","0,31","0,28","0,29","0,25","0,38","0,41","0,36","0,27","0,28","0,28","0,30","0,17","1,06","1,00","0,96"
EBIT *,8.797 mi,9.293 mi,7.040 mi,5.731 mi,3.569 mi,1.758 mi,2.060 mi,975 mi,987 mi,1.351 mi,959 mi,900 mi,514 mi,820 mi,1.346 mi,705 mi
EBITDA,3.690 mi,7.373 mi,16.375 mi,10.825 mi,10.897 mi,3.052 mi,4.170 mi,3.328 mi,3.463 mi,3.408 mi,2.404 mi,2.063 mi,1.577 mi,5.314 mi,2.696 mi,1.662 mi
EBITDA *,12.688 mi,13.162 mi,10.405 mi,8.746 mi,5.790 mi,2.381 mi,2.630 mi,1.535 mi,1.584 mi,1.967 mi,1.520 mi,1.482 mi,849 mi,1.961 mi,2.705 mi,1.350 mi
Liquidez corrente,"2,58","1,72","1,77","1,62","2,11","1,78","1,84","1,90","1,56","1,96","1,54","1,34","1,14","2,27","1,41","1,59"
Liquidez seca,"2,45","1,60","1,66","1,50","2,02","1,68","1,75","1,79","1,48","1,85","1,42","1,20","1,04","1,91","1,14","1,30"
Liquidez imediata,"1,75","0,94","0,91","0,84","1,25","0,72","0,99","0,68","0,63","1,24","0,94","0,61","0,51","0,78","0,51","0,51"
Dívida bruta,70.639 mi,72.965 mi,62.180 mi,56.519 mi,48.926 mi,15.506 mi,13.414 mi,9.957 mi,9.674 mi,9.138 mi,9.755 mi,7.397 mi,8.301 mi,5.014 mi,7.191 mi,5.931 mi
Dívida líquida,43.396 mi,56.061 mi,47.521 mi,43.217 mi,32.752 mi,10.892 mi,7.338 mi,7.260 mi,6.524 mi,5.147 mi,6.626 mi,5.857 mi,6.763 mi,3.397 mi,5.937 mi,4.853 mi
Capital de giro,24.539 mi,12.861 mi,12.451 mi,9.779 mi,14.336 mi,5.021 mi,5.170 mi,3.595 mi,2.788 mi,3.081 mi,1.820 mi,863 mi,411 mi,2.637 mi,1.004 mi,1.251 mi
Endividamento geral,"335,73%","258,56%","174,35%","179,19%","238,91%","210,81%","197,12%","163,57%","177,15%","152,96%","145,15%","117,71%","106,86%","130,07%","167,47%","166,37%"
