Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"6,32","8,66","15,02","93,81","16,44","-98,07",-,-
P/VP,"1,18","0,85","1,09","0,44","0,94","7,55",-,-
P/EBIT,"3,07","2,66","3,66","1,99","4,35","19,20",-,-
P/EBIT *,"3,25","2,85","3,97","2,18","4,55","20,16",-,-
PSR,"0,66","0,49","0,66","0,31","0,75","1,89",-,-
P/Ativos,"0,40","0,27","0,33","0,13","0,29","0,93",-,-
LPA,"0,81","0,40","0,28","0,02","0,23","-0,10",-,-
VPA,"4,36","4,03","3,80","3,86","3,99","1,24",-,-
EBIT por ação,"1,68","1,29","1,13","0,85","0,86","0,49",-,-
EBIT por ação *,"1,59","1,20","1,04","0,78","0,82","0,46",-,-
Ativo por ação,"12,98","12,53","12,39","12,91","13,10","10,07",-,-
Receita líquida por ação,"7,78","7,05","6,30","5,56","4,99","4,94",-,-
Margem bruta,"50,94%","48,71%","47,86%","46,75%","47,12%","46,89%","43,65%","41,69%"
Margem líquida,"10,47%","5,62%","4,37%","0,33%","4,56%","-1,93%","8,20%","9,39%"
Margem EBIT,"21,55%","18,30%","17,94%","15,36%","17,21%","9,87%","19,11%","17,92%"
Margem EBIT *,"20,40%","17,06%","16,54%","14,05%","16,45%","9,40%","18,53%","17,52%"
Margem EBITDA,"26,25%","23,23%","23,91%","27,14%","27,95%","15,91%","23,07%","21,21%"
Margem EBITDA *,"25,10%","21,99%","22,51%","25,82%","27,19%","15,44%","22,50%","20,82%"
Margem operacional,"10,12%","5,71%","4,54%","0,40%","4,37%","-2,40%","6,56%","9,53%"
ROE,"18,66%","9,81%","7,25%","0,47%","5,71%","-7,70%","23,66%","26,70%"
ROA,"0,06","0,03","0,02","0,00","0,02","-0,01","0,06","0,07"
ROIC,"16,08%","11,95%","10,53%","8,23%","8,61%","5,21%","13,09%","13,81%"
ROIC *,"15,21%","11,14%","9,71%","7,53%","8,23%","4,96%","12,70%","13,50%"
Giro do ativo,"0,60","0,56","0,51","0,43","0,38","0,49","0,67","0,73"
EBIT *,578 mi,438 mi,380 mi,284 mi,299 mi,169 mi,273 mi,219 mi
EBITDA,744 mi,596 mi,549 mi,550 mi,508 mi,286 mi,340 mi,266 mi
EBITDA *,711 mi,564 mi,517 mi,523 mi,495 mi,278 mi,331 mi,261 mi
Liquidez corrente,"1,53","0,93","1,08","1,71","2,33","0,83","0,20","0,87"
Liquidez seca,"1,53","0,93","1,08","1,71","2,33","0,83","0,20","0,87"
Liquidez imediata,"1,15","0,61","0,66","1,30","1,94","0,40","0,02","0,21"
Dívida bruta,1.364 mi,1.023 mi,843 mi,1.067 mi,1.176 mi,1.372 mi,798 mi,853 mi
Dívida líquida,556 mi,468 mi,321 mi,214 mi,91 mi,1.159 mi,774 mi,791 mi
Capital de giro,370 mi,-65 mi,65 mi,464 mi,742 mi,-90 mi,-814 mi,-33 mi
Endividamento geral,"197,40%","210,68%","225,70%","234,97%","228,52%","711,97%","330,55%","287,95%"
