Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"21,49 B","17,74 B","16,78 B","16,58 B","15,94 B","15,51 B","15,36 B","14,32 B","14,15 B","14,19 B","14,02 B","13,51 B","13,55 B","13,19 B","12,47 B","12,49 B","12,31 B","12,72 B","12,72 B","11,90 B","11,86 B","11,77 B","12,04 B","11,86 B","11,70 B","11,53 B","11,46 B","11,39 B","11,24 B","11,18 B","11,09 B","10,71 B","11,02 B","10,81 B","10,98 B","10,93 B","10,94 B","10,95 B","10,98 B","10,75 B","10,74 B","10,93 B","10,88 B","10,42 B","10,26 B","10,16 B","9,80 B","9,63 B","9,44 B","9,39 B","9,29 B","9,27 B","9,20 B","9,09 B","8,95 B","8,85 B","8,82 B","8,27 B","7,92 B","7,65 B","7,51 B","7,28 B","6,99 B"
Ativo circulante,"4,27 B","2,53 B","2,28 B","2,68 B","2,42 B","2,41 B","2,61 B","2,10 B","2,32 B","2,54 B","2,72 B","2,42 B","2,68 B","2,45 B","1,87 B","2,14 B","2,14 B","2,56 B","2,80 B","2,13 B","2,14 B","2,00 B","2,31 B","2,17 B","2,03 B","1,84 B","1,91 B","1,91 B","1,87 B","1,86 B","1,85 B","1,53 B","1,90 B","1,70 B","1,89 B","1,79 B","1,77 B","1,72 B","1,70 B","1,47 B","1,38 B","1,51 B","1,57 B","1,24 B","1,13 B","1,19 B","991,82 M","1,09 B","1,04 B","1,10 B","1,08 B","1,21 B","1,30 B","1,25 B","1,32 B","1,26 B","1,33 B","826,32 M","904,21 M","737,01 M","701,81 M","661,16 M","930,96 M"
Caixa e eq. de caixa,"2,24 B","503,65 M","561,20 M","909,03 M","539,68 M","642,08 M","886,59 M","314,09 M","783,60 M","1,03 B","1,25 B","766,93 M","1,07 B","1,12 B","405,95 M","789,34 M","820,11 M","1,31 B","1,46 B","881,51 M","941,24 M","805,62 M","1,10 B","925,94 M","713,53 M","524,15 M","494,25 M","469,07 M","420,36 M","313,37 M","426,71 M","209,43 M","593,88 M","420,86 M","625,31 M","605,33 M","604,11 M","638,74 M","648,22 M","436,05 M","420,07 M","581,85 M","672,95 M","338,01 M","278,02 M","331,04 M","142,84 M","234,81 M","197,38 M","261,94 M","302,75 M","424,99 M","509,84 M","497,70 M","538,53 M","519,36 M","708,52 M","242,37 M","311,79 M","151,06 M","147,95 M","77,65 M","34,94 M"
Aplicações financeiras,"267,15 M","311,38 M","71,88 M","123,93 M","164,90 M","177,97 M","204,24 M","230,47 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"161,35 M","50,28 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"222,91 M"
Contas a receber,"1,48 B","1,45 B","1,45 B","1,37 B","1,42 B","1,29 B","1,31 B","1,32 B","1,31 B","1,28 B","1,25 B","1,21 B","1,23 B","1,05 B","1,05 B","1,02 B","1,02 B","1,00 B","1,07 B","1,07 B","1,05 B","1,05 B","1,06 B","1,09 B","1,18 B","1,19 B","1,33 B","1,36 B","1,38 B","1,16 B","1,31 B","1,26 B","1,25 B","1,22 B","1,20 B","1,13 B","1,12 B","1,03 B","993,46 M","972,76 M","901,04 M","871,10 M","830,29 M","824,54 M","778,60 M","787,14 M","779,98 M","781,54 M","778,96 M","775,73 M","708,06 M","729,76 M","737,50 M","693,28 M","728,63 M","689,74 M","570,39 M","530,22 M","545,38 M","541,52 M","512,24 M","540,87 M","629,28 M"
Estoques,"104,26 M","106,14 M","106,92 M","103,67 M","105,75 M","104,85 M","106,42 M","108,73 M","108,31 M","111,82 M","117,68 M","125,02 M","127,68 M","116,39 M","114,39 M","112,58 M","99,05 M","87,35 M","81,53 M","74,00 M","68,38 M","64,92 M","67,06 M","64,94 M","64,91 M","59,12 M","56,17 M","55,36 M","51,90 M","48,36 M","42,56 M","43,90 M","44,54 M","44,89 M","43,39 M","41,52 M","40,54 M","40,90 M","44,35 M","47,19 M","48,40 M","48,46 M","46,99 M","44,93 M","44,40 M","43,91 M","40,03 M","40,87 M","37,89 M","37,17 M","35,52 M","33,86 M","34,39 M","35,19 M","33,84 M","33,29 M","34,56 M","31,96 M","31,16 M","31,11 M","30,30 M","28,85 M","30,25 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"17,22 B","15,20 B","14,50 B","13,90 B","13,51 B","13,11 B","12,75 B","12,22 B","11,82 B","11,65 B","11,30 B","11,09 B","10,87 B","10,74 B","10,60 B","10,34 B","10,18 B","10,16 B","9,92 B","9,77 B","9,72 B","9,77 B","9,72 B","9,69 B","9,67 B","9,69 B","9,55 B","9,48 B","9,37 B","9,32 B","9,25 B","9,18 B","9,12 B","9,11 B","9,09 B","9,13 B","9,17 B","9,22 B","9,28 B","9,28 B","9,36 B","9,42 B","9,30 B","9,18 B","9,13 B","8,97 B","8,80 B","8,54 B","8,40 B","8,29 B","8,21 B","8,05 B","7,90 B","7,84 B","7,63 B","7,59 B","7,48 B","7,44 B","7,02 B","6,91 B","6,81 B","6,62 B","6,06 B"
Investimentos,0,0,0,0,0,0,"260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","260,00 Mil","22,06 M","22,06 M","22,06 M","22,06 M","22,06 M","22,06 M","22,06 M","260,00 Mil","260,00 Mil"
Imobilizado,"1,75 B","1,76 B","1,76 B","1,74 B","1,76 B","1,74 B","1,74 B","1,75 B","1,75 B","1,77 B","1,45 B","1,44 B","1,45 B","1,47 B","1,42 B","1,43 B","1,45 B","1,47 B","1,49 B","1,51 B","1,54 B","1,52 B","1,52 B","1,54 B","1,56 B","1,59 B","1,66 B","1,63 B","1,65 B","1,68 B","1,69 B","1,71 B","1,74 B","1,77 B","1,79 B","1,75 B","133,74 M","137,92 M","140,59 M","148,58 M","157,54 M","165,52 M","174,31 M","182,22 M","207,73 M","213,04 M","217,24 M","221,10 M","227,39 M","226,79 M","226,54 M","210,68 M","197,03 M","198,62 M","204,61 M","200,08 M","185,92 M","185,70 M","133,07 M","129,46 M","134,33 M","137,69 M","121,03 M"
