Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,13 B","2,17 B","2,11 B","1,98 B","2,06 B","2,01 B","2,05 B","1,96 B","1,86 B","2,00 B","1,88 B","1,80 B","1,73 B","1,59 B","1,62 B","1,53 B","1,43 B","1,56 B","1,51 B","1,45 B","1,38 B","1,45 B","1,36 B","1,26 B","1,28 B","1,40 B","1,33 B","1,21 B","1,21 B","1,25 B","1,20 B","1,16 B","1,13 B","1,18 B","1,11 B","995,14 M","1,05 B","1,00 B","1,04 B","971,27 M","1,01 B","1,01 B","999,51 M","924,39 M","905,31 M","1,03 B","1,17 B","973,83 M","953,36 M","978,70 M","974,37 M","917,28 M","863,05 M","923,29 M","873,78 M","833,26 M","817,85 M","835,64 M","828,48 M","781,90 M","778,91 M","831,40 M","853,26 M","821,24 M","732,18 M"
Custos,"-1,21 B","-1,28 B","-1,25 B","-1,15 B","-1,12 B","-1,20 B","-1,18 B","-1,10 B","-1,03 B","-1,14 B","-1,11 B","-1,14 B","-948,09 M","-983,45 M","-1,01 B","-957,51 M","-913,78 M","-1,10 B","-1,03 B","-849,97 M","-769,48 M","-781,42 M","-738,16 M","-712,68 M","-706,97 M","-801,71 M","-767,93 M","-732,70 M","-698,56 M","-757,76 M","-780,07 M","-705,68 M","-644,16 M","-698,41 M","-679,62 M","-531,51 M","-581,46 M","-584,02 M","-584,90 M","-653,86 M","-661,61 M","-712,29 M","-691,44 M","-669,95 M","-624,53 M","-702,64 M","-812,13 M","-629,81 M","-578,71 M","-621,76 M","-629,87 M","-583,37 M","-506,92 M","-574,25 M","-515,79 M","-527,09 M","-479,92 M","-520,26 M","-482,39 M","-462,26 M","-458,51 M","-546,52 M","-531,30 M","-530,28 M","-435,27 M"
Lucro bruto,"922,17 M","894,86 M","867,65 M","829,98 M","940,01 M","810,81 M","866,96 M","859,06 M","836,81 M","852,76 M","765,33 M","660,32 M","783,54 M","604,72 M","615,16 M","576,14 M","519,50 M","457,48 M","483,44 M","599,07 M","609,23 M","663,73 M","622,72 M","544,30 M","573,36 M","600,29 M","565,56 M","477,01 M","513,46 M","490,05 M","421,51 M","450,75 M","487,30 M","476,61 M","429,54 M","463,63 M","465,63 M","419,80 M","458,73 M","317,41 M","352,53 M","292,97 M","308,07 M","254,44 M","280,78 M","328,57 M","360,91 M","344,02 M","374,65 M","356,94 M","344,50 M","333,91 M","356,13 M","349,04 M","358,00 M","306,16 M","337,93 M","315,38 M","346,09 M","319,64 M","320,40 M","284,88 M","321,95 M","290,95 M","296,91 M"
Despesas operacionais,"-390,01 M","-411,35 M","-384,60 M","-383,27 M","-346,23 M","-379,84 M","-344,63 M","-327,14 M","-327,49 M","-372,46 M","-272,45 M","-335,02 M","-292,82 M","-261,66 M","-281,27 M","-261,63 M","-258,61 M","-347,98 M","-419,04 M","-278,21 M","-257,24 M","-282,22 M","-257,38 M","-326,03 M","-258,12 M","-243,41 M","-261,12 M","-279,95 M","-216,46 M","-234,64 M","-216,05 M","-247,96 M","-228,50 M","-219,07 M","-188,87 M","-260,63 M","-210,12 M","-180,31 M","-253,35 M","-138,40 M","-177,09 M","-291,03 M","-158,05 M","-190,40 M","-181,84 M","-239,80 M","-178,98 M","-190,72 M","-178,86 M","-172,07 M","-149,98 M","-181,32 M","-161,83 M","-152,63 M","-169,20 M","-125,86 M","-140,33 M","-160,97 M","-152,81 M","-144,47 M","-107,43 M","169,23 M","-141,77 M","-141,46 M","-131,05 M"
Despesas com vendas,"-173,87 M","-199,44 M","-117,33 M","-138,29 M","-115,76 M","-117,89 M","-128,68 M","-123,97 M","-132,52 M","-117,93 M","-107,54 M","-136,13 M","-122,12 M","-118,97 M","-112,31 M","-97,58 M","-140,09 M","-114,62 M","-119,61 M","-117,22 M","-104,67 M","-146,48 M","-152,42 M","-193,05 M","-106,37 M","-104,38 M","-97,69 M","-97,01 M","-99,68 M","-104,56 M","-140,18 M","-110,00 M","-103,45 M","-97,95 M","-103,20 M","-94,23 M","-94,57 M","-87,19 M","-87,50 M","-89,77 M","-83,63 M","-84,51 M","-78,67 M","-88,37 M","-68,78 M","-69,74 M","-67,02 M","-68,89 M","-61,23 M","-65,73 M","-59,96 M","-55,60 M","-53,70 M","-52,90 M","-57,39 M","-49,42 M","-55,59 M","-49,08 M","-47,26 M","-42,47 M","-40,82 M","-44,29 M","-44,26 M","-42,84 M","-42,87 M"
Despesas administrativas,"-163,46 M","-155,29 M","-215,87 M","-194,80 M","-187,35 M","-202,88 M","-174,10 M","-172,50 M","-167,82 M","-156,23 M","-183,16 M","-170,94 M","-141,03 M","-160,44 M","-141,90 M","-148,99 M","-125,64 M","-160,07 M","-197,20 M","-138,77 M","-129,76 M","-134,64 M","-122,05 M","-114,19 M","-128,54 M","-136,72 M","-122,00 M","-121,11 M","-110,20 M","-122,83 M","-115,19 M","-131,52 M","-119,19 M","-132,48 M","-57,12 M","-178,81 M","-107,38 M","-112,56 M","-108,59 M","-31,36 M","-99,01 M","-199,87 M","-97,16 M","-117,87 M","-110,67 M","-122,26 M","-112,53 M","-111,80 M","-104,22 M","-116,68 M","-108,23 M","-114,02 M","-91,17 M","-92,06 M","-103,68 M","-87,44 M","-93,42 M","-105,31 M","-99,30 M","-87,26 M","-79,12 M","-80,46 M","-88,93 M","-88,62 M","-81,06 M"
EBIT,"532,16 M","483,51 M","483,06 M","446,71 M","593,78 M","430,97 M","522,33 M","531,91 M","509,32 M","480,30 M","492,87 M","325,30 M","490,72 M","343,06 M","333,89 M","314,50 M","260,89 M","109,50 M","64,40 M","320,86 M","352,00 M","381,50 M","365,34 M","218,27 M","315,24 M","356,88 M","304,44 M","197,06 M","297,00 M","255,41 M","205,46 M","202,79 M","258,80 M","257,54 M","240,67 M","203,00 M","255,51 M","239,50 M","205,38 M","179,01 M","175,44 M","1,95 M","150,01 M","64,04 M","98,94 M","88,77 M","181,93 M","153,31 M","195,79 M","184,86 M","194,52 M","152,59 M","194,30 M","196,41 M","188,79 M","180,30 M","197,60 M","154,41 M","193,28 M","175,16 M","212,97 M","454,11 M","180,19 M","149,49 M","165,86 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-72,64 M","-102,41 M","-31,94 M","-102,39 M","-21,17 M","-107,80 M","-49,33 M","-117,14 M","-47,27 M","-20,46 M","92,28 M","-20,54 M","-54,20 M","-75,86 M","-30,24 M","-78,68 M","-21,60 M","-58,79 M","-89,60 M","3,56 M","-47,47 M","-25,13 M","-37,62 M","-19,87 M","-92,46 M","-22,23 M","-38,99 M","-30,58 M","-41,29 M","-34,54 M","-41,38 M","-63,92 M","-50,74 M","-55,52 M","-35,20 M","-57,22 M","-50,06 M","-50,04 M","-57,47 M","-24,51 M","-66,81 M","-49,98 M","-141,98 M","-69,25 M","-81,70 M","-51,02 M","-47,65 M","-43,99 M","-44,50 M","-48,43 M","-30,62 M","-43,58 M","-37,43 M","-32,20 M","-23,68 M","-36,60 M","-31,22 M","-33,93 M","-25,08 M","-16,39 M","-20,49 M","-22,90 M","-7,22 M","1,09 M","-10,13 M"
Antes dos impostos,"459,52 M","381,10 M","451,11 M","344,32 M","572,61 M","323,18 M","473,00 M","414,77 M","462,05 M","459,83 M","585,15 M","304,76 M","436,53 M","267,20 M","303,65 M","235,82 M","239,28 M","50,70 M","-25,20 M","324,42 M","304,52 M","356,38 M","327,73 M","198,40 M","222,78 M","334,66 M","265,46 M","166,47 M","255,72 M","220,87 M","164,08 M","138,86 M","208,06 M","202,01 M","205,47 M","145,78 M","205,44 M","189,46 M","147,91 M","154,50 M","108,63 M","-48,04 M","8,03 M","-5,22 M","17,24 M","37,76 M","134,28 M","109,31 M","151,29 M","136,44 M","163,90 M","109,01 M","156,87 M","164,20 M","165,11 M","143,70 M","166,38 M","120,48 M","168,20 M","158,77 M","192,49 M","431,21 M","172,97 M","150,58 M","155,73 M"
