Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,97","6,63","7,96","4,22",-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,59","1,27","1,64","0,81",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"6,56","4,63","5,99","2,97",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"6,76","4,83","6,20","2,93",-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"1,19","1,07","1,33","0,58",-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,98","0,87","1,15","0,51",-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"2,54","2,18","2,12","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"11,13","11,41","10,27","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"2,69","3,13","2,81","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"2,61","3,00","2,71","2,54",-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"17,96","16,66","14,63","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"14,92","13,58","12,69","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"41,35%","42,17%","39,40%","37,50%","32,30%","29,72%","25,78%","24,11%","27,99%","26,14%","22,31%","20,60%","16,72%","24,81%","25,98%","29,89%","26,84%"
Margem líquida,"17,01%","16,06%","16,68%","13,70%","11,77%","10,24%","6,33%","7,81%","9,28%","7,49%","4,10%","2,83%","0,05%","5,95%","5,70%","8,62%","4,30%"
Margem EBIT,"18,06%","23,02%","22,16%","19,46%","17,81%","15,51%","10,63%","11,43%","14,10%","12,45%","8,79%","6,75%","2,36%","9,60%","9,85%","13,92%","9,57%"
Margem EBIT *,"17,53%","22,07%","21,39%","19,74%","16,90%","14,50%","9,54%","10,21%","14,05%","11,79%","8,65%","6,65%","2,40%","9,78%","11,14%","14,97%","12,29%"
Margem EBITDA,"28,02%","33,89%","34,22%","30,92%","29,47%","28,63%","24,56%","19,41%","20,60%","19,51%","15,07%","13,39%","9,58%","17,13%","15,86%","20,19%","18,81%"
Margem EBITDA *,"27,49%","32,94%","33,45%","31,20%","28,56%","27,62%","23,46%","18,19%","20,55%","18,86%","14,93%","13,29%","9,62%","17,31%","17,15%","21,24%","21,52%"
Margem operacional,"17,85%","22,67%","22,02%","18,80%","16,65%","14,31%","8,04%","10,60%","12,58%","10,10%","5,43%","3,65%","-0,32%","7,89%","8,10%","12,06%","6,50%"
ROE,"22,80%","19,11%","20,59%","19,27%","17,65%","16,01%","10,43%","13,62%","20,19%","18,05%","11,11%","7,07%","0,12%","13,76%","14,99%","21,66%","12,90%"
ROA,"0,14","0,13","0,14","0,12","0,11","0,09","0,05","0,08","0,11","0,10","0,05","0,03","0,00","0,07","0,07","0,11","0,06"
ROIC,"18,17%","23,57%","23,45%","21,68%","20,17%","16,90%","10,82%","14,34%","22,19%","18,84%","12,26%","8,36%","2,62%","11,85%","13,67%","19,87%","14,30%"
ROIC *,"17,64%","22,60%","22,64%","22,00%","19,14%","15,80%","9,71%","12,81%","22,11%","17,85%","12,06%","8,24%","2,67%","12,07%","15,46%","21,37%","18,36%"
Giro do ativo,"0,83","0,82","0,87","0,88","0,90","0,85","0,85","1,07","1,22","1,31","1,23","1,12","1,02","1,11","1,20","1,23","1,35"
EBIT *,109 mi,125 mi,113 mi,106 mi,86 mi,66 mi,40 mi,42 mi,68 mi,54 mi,40 mi,26 mi,8 mi,36 mi,44 mi,57 mi,48 mi
EBITDA,174 mi,192 mi,181 mi,0 mi,151 mi,130 mi,104 mi,81 mi,100 mi,90 mi,69 mi,53 mi,33 mi,63 mi,63 mi,77 mi,74 mi
EBITDA *,171 mi,186 mi,177 mi,167 mi,146 mi,126 mi,99 mi,76 mi,100 mi,87 mi,69 mi,52 mi,33 mi,64 mi,68 mi,81 mi,84 mi
Liquidez corrente,"1,48","1,22","1,39","1,17","1,17","1,16","0,96","1,19","1,20","0,91","0,85","0,82","1,02","1,07","1,07","1,06","0,90"
Liquidez seca,"1,46","1,20","1,37","1,15","1,15","1,14","0,94","1,17","1,18","0,89","0,84","0,80","0,98","1,05","1,06","1,04","0,88"
Liquidez imediata,"0,47","0,58","0,61","0,55","0,59","0,60","0,20","0,31","0,57","0,17","0,19","0,15","0,19","0,27","0,35","0,36","0,14"
Dívida bruta,123 mi,70 mi,68 mi,0 mi,104 mi,133 mi,117 mi,54 mi,69 mi,63 mi,66 mi,76 mi,87 mi,60 mi,68 mi,53 mi,66 mi
Dívida líquida,47 mi,-26 mi,-7 mi,0 mi,20 mi,49 mi,89 mi,25 mi,5 mi,44 mi,46 mi,62 mi,74 mi,41 mi,39 mi,23 mi,55 mi
Capital de giro,77 mi,36 mi,47 mi,26 mi,24 mi,21 mi,-7 mi,18 mi,22 mi,-11 mi,-15 mi,-16 mi,1 mi,5 mi,5 mi,4 mi,-9 mi
Endividamento geral,"61,45%","45,91%","42,43%","59,02%","66,08%","84,68%","92,68%","63,36%","78,92%","83,25%","119,64%","123,02%","125,58%","109,07%","119,07%","105,05%","122,32%"
