Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,13 B","1,18 B","1,14 B","1,12 B","1,11 B","1,11 B","1,29 B","1,30 B","1,37 B","1,44 B","1,53 B","1,55 B","1,66 B","1,71 B","1,60 B","1,71 B","1,76 B","1,77 B","1,71 B","1,73 B","1,77 B","1,78 B","1,55 B","1,57 B","1,71 B","1,29 B","1,49 B","1,54 B","1,62 B","1,36 B","1,45 B","1,52 B","1,58 B","1,64 B","1,89 B","1,92 B","2,07 B","2,17 B","2,38 B","2,77 B","2,81 B","2,62 B","2,90 B","2,76 B","2,73 B","2,65 B","2,91 B","2,54 B","2,53 B","2,64 B","2,53 B","2,51 B","2,43 B","2,48 B","2,50 B","2,32 B","2,28 B","2,65 B","2,27 B","1,64 B","1,45 B","1,38 B","1,07 B"
Ativo circulante,"164,03 M","213,02 M","192,24 M","181,23 M","167,47 M","158,20 M","335,98 M","324,60 M","329,18 M","344,01 M","397,83 M","358,06 M","382,77 M","401,82 M","429,44 M","370,15 M","401,71 M","392,35 M","358,17 M","356,87 M","361,17 M","320,92 M","313,02 M","314,58 M","362,00 M","224,35 M","270,18 M","290,20 M","347,31 M","364,52 M","441,81 M","508,34 M","574,07 M","613,96 M","672,99 M","709,38 M","781,97 M","909,37 M","1,04 B","1,42 B","1,47 B","863,89 M","1,11 B","1,01 B","982,06 M","948,88 M","1,21 B","880,68 M","858,64 M","918,19 M","947,36 M","932,49 M","848,10 M","867,31 M","892,83 M","731,86 M","756,27 M","1,12 B","682,65 M","523,83 M","682,99 M","602,07 M","508,66 M"
Caixa e eq. de caixa,"25,03 M","24,80 M","93,91 M","81,44 M","68,58 M","68,43 M","65,45 M","68,96 M","63,88 M","59,33 M","73,84 M","57,73 M","106,47 M","99,24 M","96,95 M","9,20 M","34,27 M","26,91 M","37,96 M","42,35 M","33,48 M","53,90 M","46,52 M","33,52 M","52,22 M","57,88 M","64,78 M","61,10 M","73,16 M","95,46 M","115,87 M","132,13 M","220,85 M","206,52 M","170,90 M","172,28 M","217,09 M","323,92 M","592,38 M","210,49 M","249,40 M","369,52 M","507,49 M","448,39 M","419,62 M","371,63 M","652,59 M","334,56 M","349,71 M","383,71 M","421,38 M","382,01 M","275,82 M","355,25 M","397,55 M","229,82 M","166,37 M","540,58 M","264,32 M","235,16 M","416,06 M","387,80 M","357,85 M"
Aplicações financeiras,0,"77,09 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,44 M","4,34 M","4,25 M","25,46 M","2,07 M","1,96 M","6,60 M","6,80 M","6,49 M","12,50 M","8,93 M","18,83 M",0,0,0,"13,87 M",0,0,0,0,0
Contas a receber,"105,98 M","82,14 M","71,04 M","74,84 M","65,02 M","55,30 M","72,21 M","67,30 M","85,88 M","88,73 M","123,19 M","125,44 M","144,59 M","172,76 M","191,72 M","210,41 M","213,10 M","219,75 M","224,65 M","216,95 M","215,78 M","193,95 M","196,41 M","207,56 M","205,51 M","133,68 M","169,80 M","194,28 M","234,67 M","220,33 M","273,51 M","296,29 M","274,66 M","323,69 M","380,22 M","388,74 M","423,47 M","448,22 M","331,95 M","287,16 M","328,73 M","328,50 M","403,25 M","367,31 M","371,60 M","375,50 M","381,35 M","390,50 M","357,26 M","382,89 M","385,23 M","408,17 M","436,71 M","372,17 M","376,09 M","384,40 M","309,32 M","321,86 M","348,18 M","241,07 M","226,82 M","176,30 M","128,49 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"964,39 M","962,80 M","943,93 M","942,48 M","941,71 M","947,35 M","954,28 M","971,87 M","1,04 B","1,10 B","1,13 B","1,19 B","1,28 B","1,31 B","1,17 B","1,34 B","1,36 B","1,37 B","1,35 B","1,37 B","1,41 B","1,46 B","1,24 B","1,26 B","1,35 B","1,07 B","1,22 B","1,25 B","1,27 B","993,81 M","1,01 B","1,01 B","1,01 B","1,03 B","1,21 B","1,21 B","1,29 B","1,26 B","1,34 B","1,35 B","1,34 B","1,76 B","1,79 B","1,76 B","1,75 B","1,70 B","1,70 B","1,66 B","1,68 B","1,72 B","1,58 B","1,58 B","1,58 B","1,61 B","1,60 B","1,59 B","1,52 B","1,53 B","1,58 B","1,12 B","767,74 M","776,48 M","563,01 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"20,69 M","22,27 M","24,35 M","22,31 M","25,49 M","30,83 M","38,17 M","39,76 M","44,25 M","48,89 M","55,12 M","148,75 M","178,77 M","184,08 M","187,59 M","186,28 M","187,04 M","182,89 M","177,28 M","178,57 M","187,14 M","194,72 M","241,95 M","246,24 M","326,72 M","333,82 M","397,72 M","413,12 M","412,63 M","88,17 M","95,34 M","102,19 M","108,70 M","115,48 M","113,59 M","126,38 M","137,71 M","150,53 M","189,58 M","217,89 M","240,80 M","373,30 M","412,59 M","422,88 M","442,47 M","448,57 M","439,95 M","447,69 M","469,06 M","508,41 M","464,79 M","491,07 M","511,62 M","542,45 M","552,66 M","560,22 M","508,24 M","519,91 M","572,38 M","448,44 M","401,16 M","405,87 M","352,47 M"
