Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"120,72 M","112,95 M","112,44 M","112,24 M","109,46 M","99,12 M","91,96 M","91,51 M","89,17 M","85,62 M","71,42 M","62,22 M","88,35 M","114,56 M","151,01 M","179,45 M","227,00 M","260,38 M","257,65 M","257,48 M","272,77 M","264,36 M","229,54 M","205,66 M","245,22 M","164,61 M","197,51 M","225,64 M","275,01 M","306,71 M","334,21 M","351,14 M","368,38 M","393,05 M","419,47 M","442,71 M","445,57 M","529,45 M","477,92 M","517,15 M","518,08 M","520,15 M","582,71 M","638,56 M","654,26 M","861,78 M","879,41 M","863,12 M","847,93 M","891,91 M","935,82 M","906,43 M","883,81 M","897,36 M","929,93 M","889,88 M","902,85 M","751,35 M","874,37 M","708,78 M","624,55 M","637,75 M","618,17 M","584,74 M","556,65 M"
Custos,"-97,02 M","-82,88 M","-83,66 M","-89,39 M","-99,69 M","-90,52 M","-77,61 M","-82,09 M","-81,87 M","-52,48 M","-87,90 M","-105,21 M","-101,14 M","-147,83 M","-156,52 M","-225,71 M","-216,51 M","-225,55 M","-235,29 M","-240,70 M","-257,36 M","-238,69 M","-209,03 M","-213,91 M","-266,08 M","-260,38 M","-224,24 M","-263,09 M","-262,31 M","-318,81 M","-342,12 M","-369,53 M","-362,54 M","-410,39 M","-430,97 M","-439,73 M","-446,79 M","-507,77 M","-451,07 M","-480,93 M","-508,41 M","-570,80 M","-564,81 M","-581,93 M","-617,19 M","-730,35 M","-720,80 M","-722,43 M","-725,99 M","-717,63 M","-809,35 M","-789,95 M","-756,81 M","-750,32 M","-754,89 M","-771,73 M","-791,17 M","-631,06 M","-761,29 M","-626,70 M","-547,40 M","-524,05 M","-521,20 M","-503,55 M","-473,94 M"
Lucro bruto,"23,70 M","30,08 M","28,78 M","22,85 M","9,77 M","8,60 M","14,35 M","9,42 M","7,29 M","33,14 M","-16,48 M","-42,99 M","-12,79 M","-33,27 M","-5,50 M","-46,26 M","10,48 M","34,83 M","22,36 M","16,78 M","15,41 M","25,67 M","20,51 M","-8,26 M","-20,85 M","-95,77 M","-26,73 M","-37,45 M","12,70 M","-12,10 M","-7,91 M","-18,40 M","5,84 M","-17,34 M","-11,50 M","2,98 M","-1,22 M","21,68 M","26,86 M","36,22 M","9,67 M","-50,66 M","17,89 M","56,63 M","37,07 M","131,42 M","158,61 M","140,68 M","121,94 M","174,28 M","126,47 M","116,48 M","126,99 M","147,04 M","175,04 M","118,16 M","111,69 M","120,29 M","113,08 M","82,08 M","77,15 M","113,69 M","96,97 M","81,19 M","82,71 M"
Despesas operacionais,"-24,90 M","14,26 M","-25,83 M","-5,06 M","-33,61 M","-13,70 M","-33,22 M","-21,46 M","-24,48 M","-117,13 M","-3,23 M","-38,89 M","-33,50 M","27,57 M","-55,61 M","-158,66 M","-59,47 M","-98,14 M","-36,81 M","-33,19 M","-33,79 M","-67,48 M","-33,65 M","-20,26 M","-43,49 M","-26,04 M","-26,07 M","-28,87 M","-28,85 M","-1,30 M","56,57 M","-31,26 M","-45,27 M","-95,14 M","-50,01 M","-24,29 M","-35,70 M","-9,77 M","-60,79 M","-83,86 M","-80,59 M","-73,17 M","-82,29 M","-44,35 M","-36,53 M","-52,70 M","-98,72 M","-79,69 M","-82,26 M","-85,76 M","-86,00 M","-88,17 M","-87,93 M","-108,67 M","-100,35 M","-90,67 M","-90,57 M","-70,75 M","-95,60 M","-65,23 M","-60,13 M","-60,07 M","-49,22 M","-39,93 M","-47,31 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-8,44 M","-7,92 M","-6,72 M","-4,84 M","-7,49 M"
Despesas administrativas,"-22,31 M","-36,78 M","-21,69 M","-5,75 M","-29,87 M","-24,41 M","-23,05 M","-18,38 M","-25,16 M","-53,95 M","-14,35 M","-18,70 M","-22,15 M","-19,33 M","-31,28 M","-22,54 M","-29,02 M","-37,36 M","-23,90 M","-27,92 M","-22,44 M","-21,75 M","-26,66 M","-17,79 M","-40,64 M","12,64 M","-37,34 M","-35,21 M","-54,21 M","-32,74 M","-38,51 M","-33,73 M","-42,42 M","-57,56 M","-49,96 M","-45,53 M","-34,46 M","-44,93 M","-61,20 M","-72,77 M","-69,32 M","-91,01 M","-80,47 M","-64,08 M","-62,76 M","-85,12 M","-96,98 M","-75,22 M","-79,52 M","-82,72 M","-80,80 M","-81,14 M","-86,77 M","-81,42 M","-83,59 M","-77,29 M","-78,99 M","-62,50 M","-83,61 M","-59,94 M","-43,48 M","-46,72 M","-35,96 M","-28,66 M","-33,81 M"
EBIT,"-1,20 M","44,34 M","2,94 M","17,78 M","-23,84 M","-5,09 M","-18,87 M","-12,04 M","-17,18 M","-83,99 M","-19,71 M","-81,88 M","-46,29 M","-5,70 M","-61,12 M","-204,93 M","-48,99 M","-63,31 M","-14,46 M","-16,41 M","-18,38 M","-41,81 M","-13,13 M","-28,52 M","-64,34 M","-121,81 M","-52,80 M","-66,32 M","-16,15 M","-13,39 M","48,66 M","-49,66 M","-39,43 M","-112,48 M","-61,50 M","-21,30 M","-36,92 M","11,92 M","-33,93 M","-47,64 M","-70,92 M","-123,83 M","-64,39 M","12,28 M","543,00 Mil","78,72 M","59,88 M","60,99 M","39,68 M","88,53 M","40,47 M","28,30 M","39,07 M","38,37 M","74,69 M","27,48 M","21,12 M","49,53 M","17,48 M","16,84 M","17,02 M","53,62 M","47,75 M","41,27 M","35,40 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-23,31 M","-15,53 M","-18,20 M","-19,36 M","-18,29 M","-26,63 M","-6,90 M","-12,73 M","-4,21 M","354,15 M","689,00 Mil","436,25 M","-5,89 M","-19,15 M","-50,24 M","-35,76 M","-29,36 M","-11,60 M","-14,94 M","-18,52 M","-37,93 M","12,30 M","-49,36 M","-14,67 M","-26,86 M","-24,62 M","-28,73 M","-49,86 M","-29,81 M","-9,62 M","-14,60 M","6,09 M","-39,73 M","238,43 M","-56,44 M","-47,81 M","-41,80 M","-36,19 M","-59,20 M","-27,77 M","-52,58 M","-48,01 M","-61,53 M","-38,68 M","-34,41 M","367,00 Mil","-27,99 M","-34,06 M","-32,17 M","-30,74 M","-13,75 M","-21,87 M","-34,34 M","-18,20 M","-18,19 M","-23,33 M","-22,77 M","-18,50 M","-20,30 M","-6,78 M","1,02 M","2,50 M","-447,00 Mil","450,00 Mil","54,00 Mil"
Antes dos impostos,"-24,50 M","28,81 M","-15,26 M","-1,57 M","-42,13 M","-31,72 M","-25,77 M","-24,77 M","-21,39 M","270,16 M","-19,02 M","354,36 M","-52,19 M","-24,85 M","-111,36 M","-240,69 M","-78,35 M","-74,91 M","-29,39 M","-34,93 M","-56,31 M","-29,51 M","-62,49 M","-43,19 M","-91,20 M","-146,43 M","-81,52 M","-116,19 M","-45,96 M","-23,01 M","34,06 M","-43,57 M","-79,16 M","125,95 M","-117,94 M","-69,11 M","-78,72 M","-24,28 M","-93,13 M","-75,41 M","-123,50 M","-171,84 M","-125,92 M","-26,41 M","-33,87 M","79,09 M","31,89 M","26,94 M","7,51 M","57,79 M","26,72 M","6,43 M","4,73 M","20,17 M","56,50 M","4,16 M","-1,65 M","31,03 M","-2,82 M","10,06 M","18,04 M","56,13 M","47,30 M","41,72 M","35,45 M"
Imposto,0,"-2,92 M",0,"-1,50 M",0,0,0,0,0,0,0,0,0,0,0,0,0,"30,78 M","10,30 M","1,51 M","16,68 M","19,38 M","-3,14 M","-3,56 M","-982,00 Mil","-15,42 M","-10,03 M","-1,65 M","-5,23 M","-5,87 M","-54,30 M","-65,22 M","13,62 M","-226,28 M","10,34 M","-31,30 M","669,00 Mil","-2,31 M","38,68 M","23,96 M","42,25 M","33,72 M","42,37 M","8,87 M","11,71 M","-29,28 M","-12,30 M","-9,05 M","1,84 M","17,52 M","-2,86 M","-1,29 M","-5,41 M","-5,26 M","-22,28 M","-2,86 M","1,51 M","-5,25 M","830,00 Mil","-2,19 M","-7,58 M","-19,03 M","-22,44 M","-15,17 M","-11,87 M"
