Conta,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"12,84 M","19,92 M","3,94 M","-1,15 M","43,04 M","52,52 M","1,66 M","2,82 M","50,76 M","111,54 M","98,72 M","148,90 M","125,50 M","168,04 M","159,18 M","148,06 M","130,16 M","133,63 M","86,07 M","123,41 M","107,15 M","120,41 M","119,15 M","114,81 M","110,00 M","121,74 M","103,58 M","102,09 M","99,12 M","115,96 M","110,06 M","93,40 M","99,20 M","99,18 M","90,47 M","87,76 M","70,01 M","80,62 M","92,39 M","96,56 M","98,56 M","107,44 M","102,87 M","97,56 M","87,18 M","101,50 M","102,70 M","93,76 M","83,76 M","99,77 M","94,80 M","93,30 M","86,35 M","93,46 M","94,05 M","96,52 M","86,94 M","83,13 M","75,92 M","70,35 M"
Custos,"-19,01 M","-25,91 M","-20,62 M","-21,17 M","-45,88 M","-48,18 M","-17,05 M","-19,28 M","-47,39 M","-103,56 M","-92,56 M","-130,63 M","-108,75 M","-135,98 M","-137,19 M","-123,97 M","-116,61 M","-111,96 M","-73,51 M","-97,58 M","-85,53 M","-92,93 M","-92,38 M","-94,10 M","-89,06 M","-92,88 M","-78,42 M","-75,61 M","-74,81 M","-88,02 M","-87,39 M","-76,13 M","-76,43 M","-83,10 M","-78,78 M","-76,75 M","-60,98 M","-73,02 M","-79,24 M","-79,75 M","-86,85 M","-87,70 M","-86,84 M","-78,06 M","-67,88 M","-80,02 M","-77,51 M","-69,26 M","-61,62 M","-71,83 M","-69,92 M","-70,84 M","-67,18 M","-72,14 M","-77,12 M","-69,03 M","-60,11 M","-64,47 M","-58,11 M","-52,19 M"
Lucro bruto,"-6,17 M","-5,99 M","-16,68 M","-22,32 M","-2,85 M","4,34 M","-15,39 M","-16,46 M","3,37 M","7,98 M","6,16 M","18,28 M","16,75 M","32,06 M","21,99 M","24,09 M","13,54 M","21,67 M","12,56 M","25,83 M","21,62 M","27,48 M","26,76 M","20,71 M","20,94 M","28,86 M","25,16 M","26,49 M","24,31 M","27,95 M","22,67 M","17,27 M","22,77 M","16,08 M","11,68 M","11,01 M","9,02 M","7,60 M","13,14 M","16,81 M","11,71 M","19,74 M","16,04 M","19,50 M","19,30 M","21,48 M","25,19 M","24,50 M","22,14 M","27,94 M","24,88 M","22,45 M","19,17 M","21,32 M","16,93 M","27,50 M","26,83 M","18,66 M","17,82 M","18,16 M"
Despesas operacionais,"-22,87 M","-11,95 M","-8,78 M","-13,38 M","-10,44 M","-10,86 M","-8,62 M","-7,42 M","34,27 M","-15,77 M","-14,54 M","-15,32 M","-21,68 M","-17,42 M","5,38 M","-11,19 M","-11,23 M","-15,94 M","-15,54 M","-17,36 M","-12,93 M","-16,52 M","-15,70 M","-16,75 M","64,22 M","-15,83 M","-14,97 M","-14,64 M","-15,40 M","-13,82 M","-13,96 M","-12,65 M","-16,57 M","-14,62 M","-13,34 M","-12,07 M","-18,39 M","-14,57 M","-15,46 M","-14,53 M","-11,96 M","-15,78 M","-14,32 M","-14,04 M","-13,88 M","-13,93 M","-2,91 M","-11,42 M","-13,15 M","-12,98 M","-13,16 M","-5,85 M","-14,71 M","-12,48 M","-11,35 M","-11,77 M","-12,63 M","-11,51 M","-10,80 M","-10,00 M"
Despesas com vendas,"-2,77 M","-1,14 M","-1,03 M","-1,64 M","-4,09 M","-3,35 M","-1,37 M","-2,24 M","-7,05 M","-9,45 M","-7,77 M","-9,68 M","-9,50 M","-12,04 M","-10,64 M","-10,25 M","-10,99 M","-9,26 M","-7,56 M","-9,34 M","-10,11 M","-9,67 M","-9,30 M","-8,68 M","-10,43 M","-9,75 M","-8,83 M","-7,02 M","-9,55 M","-8,58 M","-8,27 M","-6,98 M","-9,34 M","-8,12 M","-7,86 M","-6,74 M","-7,00 M","-7,70 M","-9,52 M","-8,90 M","-9,10 M","-9,60 M","-8,96 M","-8,18 M","-7,12 M","-9,26 M","-8,73 M","-7,70 M","-7,78 M","-8,08 M","-8,03 M","-6,98 M","-7,86 M","-7,71 M","-7,11 M","-6,91 M","-7,65 M","-6,94 M","-6,34 M","-5,63 M"
Despesas administrativas,"-4,43 M","-4,64 M","-4,68 M","-4,04 M","-5,16 M","-6,60 M","-4,79 M","-4,04 M","-5,00 M","-5,21 M","-5,71 M","-5,03 M","-5,01 M","-4,95 M","-5,58 M","-5,22 M","-5,15 M","-4,59 M","-5,19 M","-5,43 M","-5,28 M","-5,10 M","-5,53 M","-5,16 M","-5,05 M","-5,07 M","-5,64 M","-5,26 M","-5,09 M","-4,94 M","-5,04 M","-5,09 M","-4,63 M","-4,62 M","-4,80 M","-4,90 M","-5,59 M","-4,76 M","-5,79 M","-5,32 M","-5,59 M","-5,80 M","-5,95 M","-5,62 M","-6,42 M","-4,65 M","-4,50 M","-4,46 M","-4,21 M","-4,72 M","-4,63 M","-5,07 M","-4,67 M","-4,18 M","-4,47 M","-4,48 M","-4,18 M","-4,38 M","-4,19 M","-3,92 M"
EBIT,"-29,04 M","-17,94 M","-25,45 M","-35,71 M","-13,29 M","-6,52 M","-24,00 M","-23,88 M","37,65 M","-7,79 M","-8,38 M","2,95 M","-4,93 M","14,64 M","27,36 M","12,90 M","2,32 M","5,73 M","-2,98 M","8,47 M","8,69 M","10,95 M","11,06 M","3,96 M","85,16 M","13,04 M","10,19 M","11,85 M","8,92 M","14,12 M","8,71 M","4,61 M","6,21 M","1,46 M","-1,66 M","-1,05 M","-9,37 M","-6,98 M","-2,31 M","2,28 M","-259,00 Mil","3,96 M","1,71 M","5,46 M","5,41 M","7,55 M","22,29 M","13,09 M","8,98 M","14,96 M","11,72 M","16,60 M","4,45 M","8,84 M","5,57 M","15,73 M","14,20 M","7,15 M","7,01 M","8,16 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-24,42 M","-7,96 M","-21,96 M","-2,92 M","-435,00 Mil","-16,24 M","-3,70 M","-6,52 M","-9,02 M","-6,81 M","-10,26 M","-8,39 M","-9,61 M","-5,31 M","-4,78 M","-8,94 M","-5,48 M","-5,15 M","-6,84 M","-5,78 M","-7,52 M","-5,75 M","-4,05 M","-7,95 M","-7,24 M","-5,93 M","-2,90 M","-1,75 M","-4,25 M","-3,04 M","-5,08 M","-2,79 M","-3,17 M","-4,10 M","-2,60 M","-328,00 Mil","-6,46 M","-4,88 M","-3,36 M","-3,21 M","-3,17 M","-3,52 M","-1,31 M","-2,28 M","-547,00 Mil","-426,00 Mil","-138,00 Mil","-917,00 Mil","-1,43 M","-1,99 M","-587,00 Mil","-2,52 M","-1,57 M","-439,00 Mil","-3,10 M","-1,37 M","-1,86 M","-1,42 M","-1,71 M","-1,37 M"
Antes dos impostos,"-53,46 M","-25,89 M","-47,42 M","-38,62 M","-13,72 M","-22,76 M","-27,71 M","-30,40 M","28,62 M","-14,60 M","-18,64 M","-5,44 M","-14,54 M","9,33 M","22,59 M","3,96 M","-3,16 M","577,00 Mil","-9,82 M","2,69 M","1,17 M","5,20 M","7,01 M","-3,99 M","77,92 M","7,11 M","7,29 M","10,10 M","4,67 M","11,08 M","3,63 M","1,82 M","3,03 M","-2,64 M","-4,25 M","-1,38 M","-15,83 M","-11,85 M","-5,67 M","-936,00 Mil","-3,43 M","442,00 Mil","405,00 Mil","3,18 M","4,87 M","7,12 M","22,15 M","12,17 M","7,55 M","12,97 M","11,14 M","14,08 M","2,88 M","8,40 M","2,48 M","14,36 M","12,34 M","5,74 M","5,31 M","6,78 M"
