Conta,4T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,06","-0,46","4,41","4,97","-56,61","49,85","8,90","16,37","-65,93","-8,08","274,69","12,21","13,47","11,22","9,54","10,90"
P/VP,"0,09","0,20","0,09","0,44","0,75","1,83","2,30","1,24","0,84","0,68","0,97","1,59","1,76","1,24","1,07","1,11"
P/EBIT,"-0,08","-0,65","1,12","2,69","15,70","15,25","5,32","8,98","42,00","-10,38","24,21","8,93","8,25","7,91","5,94","7,08"
P/EBIT *,"-0,12","-0,70","-1,43","4,25","13,21","14,00","14,39","8,44","19,76","-21,25","32,18","11,48","9,00","7,29","5,67","6,58"
PSR,"0,25","0,44","0,07","0,22","0,45","1,15","1,46","0,78","0,55","0,50","0,65","1,12","1,16","0,74","0,69","0,77"
P/Ativos,"0,01","0,07","0,04","0,20","0,33","0,88","1,02","0,64","0,48","0,40","0,60","1,04","1,33","0,80","0,70","0,77"
LPA,"-23,20","-13,60","0,89","3,90","-0,54","1,52","10,32","2,87","-0,45","-3,03","0,14","5,09","4,60","3,50","3,27","2,70"
VPA,"14,25","31,16","44,76","43,84","40,73","41,44","39,91","37,76","35,57","36,02","39,04","39,16","35,22","31,80","29,03","26,54"
EBIT por ação,"-15,54","-9,73","3,51","7,18","1,95","4,98","17,29","5,23","0,71","-2,35","1,56","6,95","7,51","4,97","5,25","4,15"
EBIT por ação *,"-10,86","-8,91","-2,75","4,56","2,31","5,43","6,38","5,56","1,51","-1,15","1,18","5,41","6,89","5,39","5,50","4,47"
Ativo por ação,"96,77","89,17","89,91","96,53","93,39","85,91","90,47","73,89","62,68","60,84","63,45","59,93","46,70","49,31","44,42","37,95"
Receita líquida por ação,"5,11","14,38","58,93","86,36","68,03","66,35","62,88","60,17","54,14","48,82","58,43","55,37","53,42","53,24","45,48","38,16"
Margem bruta,"-143,89%","-30,34%","8,73%","15,79%","15,55%","20,92%","23,19%","22,03%","16,34%","13,71%","16,48%","23,49%","26,21%","22,92%","25,75%","25,85%"
Margem líquida,"-453,89%","-94,57%","1,51%","4,51%","-0,79%","2,30%","16,41%","4,77%","-0,84%","-6,20%","0,24%","9,19%","8,62%","6,58%","7,18%","7,07%"
Margem EBIT,"-304,16%","-67,67%","5,96%","8,32%","2,86%","7,51%","27,49%","8,69%","1,32%","-4,82%","2,68%","12,55%","14,07%","9,34%","11,55%","10,88%"
Margem EBIT *,"-212,43%","-61,96%","-4,66%","5,28%","3,40%","8,18%","10,15%","9,23%","2,80%","-2,36%","2,01%","9,77%","12,89%","10,13%","12,08%","11,70%"
