Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"-8,99","-25,42","-10,78","-3,34","-3,77","-18,42","-8,66","-1.494,38","226,75","140,08","83,19","47,83","45,30","62,50",-,-
P/VP,"2,37","2,17","2,10","2,51","5,16","23,37","227,49","7,57","37,17","39,49","23,59","14,38","14,39","22,07",-,-
P/EBIT,"3,65","3,78","12,27","-11,68","-43,50","-19,77","-7,39","21,10","63,75","64,14","33,65","21,30","20,37","26,28",-,-
P/EBIT *,"5,88","5,74","11,47","108,97","-19,25","-25,41","-19,09","12,89","59,42","60,45","27,92","18,80","18,12","23,15",-,-
PSR,"0,64","0,70","0,78","1,06","1,34","10,62","16,59","3,41","18,62","26,46","13,90","9,29","9,24","10,89",-,-
P/Ativos,"0,26","0,28","0,29","0,38","0,42","1,77","2,03","0,85","4,88","6,32","4,44","2,88","2,87","3,37",-,-
LPA,"-0,20","-0,08","-0,20","-0,87","-0,82","-0,91","-2,28","-0,01","0,24","0,43","0,34","0,33","0,28","0,21",-,-
VPA,"0,76","0,91","1,01","1,16","0,60","0,71","0,09","1,47","1,46","1,51","1,19","1,08","0,87","0,60",-,-
EBIT por ação,"0,50","0,52","0,17","-0,25","-0,07","-0,84","-2,67","0,53","0,85","0,93","0,84","0,73","0,62","0,51",-,-
EBIT por ação *,"0,31","0,34","0,18","0,03","-0,16","-0,66","-1,03","0,86","0,91","0,99","1,01","0,83","0,69","0,57",-,-
Ativo por ação,"7,09","7,11","7,31","7,67","7,45","9,43","9,70","13,12","11,11","9,44","6,33","5,42","4,37","3,94",-,-
Receita líquida por ação,"2,84","2,83","2,70","2,73","2,32","1,57","1,19","3,25","2,91","2,25","2,02","1,68","1,36","1,22",-,-
Margem bruta,"97,66%","97,13%","92,54%","90,24%","100,00%","100,00%","82,80%","91,83%","91,85%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
Margem líquida,"-7,10%","-2,75%","-7,27%","-31,89%","-35,48%","-58,93%","-196,33%","-0,11%","8,05%","20,03%","18,54%","19,87%","20,40%","17,42%","3,23%","18,44%"
Margem EBIT,"17,49%","18,49%","6,39%","-9,11%","-3,08%","-53,72%","-224,58%","16,17%","29,21%","41,26%","41,30%","43,59%","45,36%","41,41%","25,79%","46,58%"
Margem EBIT *,"10,85%","12,18%","6,84%","0,98%","-6,95%","-41,81%","-86,90%","26,47%","31,34%","43,77%","49,77%","49,40%","50,98%","47,02%","41,47%","48,53%"
Margem EBITDA,"33,15%","33,93%","22,05%","6,14%","13,56%","-28,46%","-190,54%","25,06%","36,63%","47,35%","47,02%","47,16%","49,13%","45,20%","27,63%","47,21%"
Margem EBITDA *,"26,51%","27,61%","22,50%","16,23%","9,68%","-16,55%","-52,87%","35,35%","38,76%","49,87%","55,49%","52,97%","54,75%","50,81%","43,31%","49,15%"
Margem operacional,"-3,34%","-0,05%","-5,87%","-31,58%","-28,41%","-66,03%","-246,21%","3,60%","16,52%","28,77%","28,16%","30,34%","31,52%","27,24%","6,81%","28,70%"
ROE,"-26,34%","-8,55%","-19,44%","-75,15%","-136,96%","-129,67%","-2.127,61%","-0,23%","16,61%","29,88%","27,50%","26,50%","31,76%","35,31%","9,55%","64,54%"
ROA,"-0,03","-0,01","-0,03","-0,11","-0,11","-0,10","-0,24","-0,00","0,02","0,05","0,06","0,06","0,06","0,05","0,01","0,07"
ROIC,"9,34%","10,20%","3,31%","-5,12%","-1,60%","-13,45%","-38,37%","5,02%","9,34%","12,23%","16,08%","16,78%","17,25%","15,48%","13,83%","26,95%"
ROIC *,"5,79%","6,72%","3,54%","0,55%","-3,61%","-10,47%","-14,85%","8,21%","10,02%","12,98%","19,37%","19,02%","19,39%","17,58%","22,24%","28,07%"
Giro do ativo,"0,40","0,40","0,37","0,36","0,31","0,17","0,12","0,25","0,26","0,24","0,32","0,31","0,31","0,31","0,36","0,38"
EBIT *,161 mi,181 mi,97 mi,13 mi,-85 mi,-346 mi,-543 mi,452 mi,480 mi,518 mi,529 mi,435 mi,364 mi,301 mi,258 mi,289 mi
EBITDA,494 mi,504 mi,313 mi,88 mi,165 mi,-236 mi,-1.191 mi,428 mi,561 mi,561 mi,500 mi,415 mi,351 mi,289 mi,172 mi,281 mi
EBITDA *,395 mi,411 mi,319 mi,232 mi,118 mi,-137 mi,-331 mi,604 mi,593 mi,590 mi,590 mi,467 mi,391 mi,325 mi,269 mi,292 mi
Liquidez corrente,"0,73","0,78","0,88","0,93","0,63","0,89","0,97","1,00","1,16","1,23","1,12","1,17","1,10","1,06","1,09","1,11"
Liquidez seca,"0,73","0,78","0,88","0,93","0,63","0,89","0,97","1,00","1,16","1,23","1,12","1,17","1,10","1,06","1,09","1,11"
Liquidez imediata,"0,06","0,10","0,16","0,19","0,22","0,24","0,28","0,08","0,09","0,11","0,02","0,03","0,03","0,03","0,23","0,23"
Dívida bruta,415 mi,395 mi,542 mi,790 mi,896 mi,990 mi,1.508 mi,1.831 mi,1.413 mi,911 mi,293 mi,206 mi,0 mi,0 mi,0 mi,1 mi
Dívida líquida,233 mi,92 mi,32 mi,176 mi,81 mi,3 mi,560 mi,1.465 mi,1.069 mi,579 mi,237 mi,154 mi,-51 mi,-45 mi,-287 mi,-275 mi
Capital de giro,-766 mi,-630 mi,-305 mi,-177 mi,-1.168 mi,-377 mi,-94 mi,-1 mi,610 mi,702 mi,291 mi,313 mi,177 mi,100 mi,114 mi,134 mi
Endividamento geral,"827,05%","680,90%","622,43%","563,02%","1.137,86%","1.220,89%","8.739,35%","763,15%","686,19%","524,39%","364,07%","330,62%","400,46%","554,28%","716,61%","821,10%"
