Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015
Ativo total,"14,93 B","14,77 B","14,62 B","14,42 B","14,25 B","14,02 B","13,94 B","13,70 B","14,87 B","14,00 B","14,40 B","13,46 B","14,02 B","13,15 B","11,91 B","11,04 B","11,23 B","10,66 B","10,91 B","10,50 B","10,87 B","9,46 B","4,81 B","6,04 B","5,57 B","5,42 B","5,01 B","5,51 B","5,07 B","4,67 B","4,50 B","4,14 B","4,91 B","4,49 B","4,18 B","3,83 B","4,28 B","3,93 B","3,64 B","3,34 B","4,05 B","3,70 B","3,47 B","3,25 B"
Ativo circulante,"2,12 B","2,05 B","1,93 B","1,72 B","2,03 B","1,97 B","1,28 B","1,41 B","2,45 B","1,46 B","2,03 B","986,01 M","2,22 B","1,67 B","1,44 B","818,27 M","1,50 B","971,39 M","776,19 M","552,34 M","1,20 B","911,77 M","971,77 M","1,16 B","759,83 M","888,14 M","484,20 M","1,31 B","1,19 B","596,40 M","531,38 M","439,62 M","1,33 B","691,19 M","391,78 M","301,06 M","1,00 B","489,52 M","286,94 M","209,65 M","1,16 B","682,61 M","589,37 M","488,23 M"
Caixa e eq. de caixa,"364,00 Mil","306,00 Mil","204,00 Mil","276,00 Mil","291,00 Mil","435,00 Mil","474,00 Mil","418,00 Mil","243,00 Mil","430,00 Mil","299,00 Mil","167,00 Mil","440,00 Mil","716,00 Mil","810,00 Mil","655,00 Mil","944,00 Mil","470,00 Mil","34,05 M","156,00 Mil","3,40 M","45,00 Mil","28,93 M","871,24 M","390,34 M","501,73 M","347,21 M","1,18 B","323,66 M","249,77 M","460,30 M","374,08 M","501,25 M","257,51 M","224,70 M","232,82 M","310,55 M","218,84 M","170,24 M","137,57 M","97,83 M","52,11 M","22,34 M","200,00 Mil"
Aplicações financeiras,"1,11 B","1,70 B","1,10 B","1,11 B","1,20 B","1,21 B","913,02 M","884,68 M","1,26 B","850,82 M","1,88 B","826,05 M","1,30 B","917,34 M","1,27 B","630,14 M","970,15 M","361,90 M","584,52 M","427,65 M","391,58 M","773,38 M","766,73 M","163,30 M",0,0,0,0,0,0,0,0,0,"136,13 M","89,54 M",0,0,0,0,0,0,0,0,0
Contas a receber,"148,79 M","161,46 M","157,67 M","137,54 M","173,63 M","153,34 M","137,31 M","172,59 M","132,89 M","152,52 M","124,90 M","140,46 M","102,11 M","105,72 M","130,69 M","159,41 M","151,42 M","165,09 M","130,35 M","117,56 M","132,19 M","105,87 M","149,08 M","107,07 M","85,00 M","95,37 M","106,19 M","107,42 M","105,78 M","81,67 M","57,27 M","51,99 M","130,67 M","41,95 M","47,20 M","48,26 M","44,28 M","37,31 M","43,18 M","31,32 M","33,30 M","34,32 M","19,98 M",0
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"12,81 B","12,72 B","12,69 B","12,71 B","12,22 B","12,05 B","12,66 B","12,29 B","12,41 B","12,54 B","12,37 B","12,47 B","11,80 B","11,48 B","10,47 B","10,22 B","9,73 B","9,68 B","10,13 B","9,95 B","9,66 B","8,55 B","3,84 B","4,88 B","4,81 B","4,53 B","4,53 B","4,20 B","3,88 B","4,08 B","3,96 B","3,70 B","3,57 B","3,80 B","3,79 B","3,53 B","3,28 B","3,44 B","3,36 B","3,13 B","2,89 B","3,02 B","2,88 B","2,76 B"
Investimentos,"12,80 B","12,71 B","12,68 B","12,70 B","12,22 B","12,05 B","12,66 B","12,29 B","12,41 B","12,54 B","12,37 B","12,47 B","11,80 B","11,48 B","10,47 B","10,22 B","9,73 B","9,68 B","10,13 B","9,95 B","9,66 B","8,55 B","3,84 B","4,88 B","4,81 B","4,53 B","4,52 B","4,20 B","3,88 B","4,08 B","3,96 B","3,70 B","3,57 B","3,80 B","3,79 B","3,53 B","3,28 B","3,44 B","3,36 B","3,13 B","2,89 B","3,02 B","2,88 B","2,76 B"
Imobilizado,"9,13 M","9,67 M","10,21 M","10,37 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
