Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"17,81 B","18,56 B","21,10 B","20,22 B","28,26 B","26,46 B","28,29 B","28,13 B","26,94 B","26,21 B","27,09 B","27,38 B","26,32 B","26,84 B","25,12 B","25,06 B","24,53 B","23,25 B","18,39 B","17,78 B","14,02 B","13,34 B","12,41 B","12,35 B","11,59 B","8,84 B","8,92 B","8,17 B","8,32 B","7,22 B","6,70 B","6,57 B","6,52 B","6,25 B","6,03 B","5,12 B","5,05 B","5,16 B","4,86 B","4,73 B","4,69 B","4,68 B","4,83 B","4,82 B","5,06 B","4,61 B","4,74 B","4,59 B","4,79 B","4,69 B","4,35 B","4,32 B","4,32 B","4,27 B","4,27 B","4,20 B","4,21 B","4,24 B","4,13 B","4,05 B","4,02 B","1,94 B","1,66 B"
Ativo circulante,"5,02 B","5,65 B","6,55 B","5,46 B","10,40 B","8,20 B","9,57 B","9,19 B","7,89 B","7,03 B","8,14 B","8,28 B","7,20 B","7,72 B","6,70 B","6,87 B","6,73 B","6,87 B","5,67 B","7,57 B","4,46 B","4,21 B","3,84 B","3,71 B","3,12 B","2,27 B","2,25 B","1,94 B","2,10 B","2,29 B","2,04 B","1,94 B","1,87 B","1,58 B","1,62 B","1,53 B","1,49 B","1,53 B","1,50 B","1,38 B","1,38 B","1,35 B","1,49 B","1,47 B","1,79 B","1,43 B","1,55 B","1,42 B","1,61 B","1,44 B","1,11 B","1,06 B","1,04 B","993,44 M","937,12 M","889,00 M","933,55 M","1,00 B","985,27 M","969,42 M","937,74 M","845,16 M","660,38 M"
Caixa e eq. de caixa,"1,70 B","2,67 B","2,55 B","1,35 B","3,44 B","1,74 B","2,70 B","2,87 B","2,01 B","1,59 B","1,30 B","1,50 B","1,21 B","1,28 B","1,01 B","763,70 M","1,03 B","1,14 B","861,59 M","1,03 B","751,04 M","753,61 M","440,22 M","1,06 B","689,78 M","567,81 M","299,96 M","499,04 M","595,31 M","544,77 M","471,80 M","339,55 M","362,35 M","511,67 M","215,39 M","304,73 M","301,02 M","287,89 M","365,19 M","388,83 M","335,65 M","317,75 M","400,50 M","362,81 M","596,46 M","274,99 M","516,61 M","441,82 M","625,25 M","535,88 M","222,76 M","206,73 M","228,32 M","228,52 M","108,39 M","104,06 M","137,42 M","249,94 M","211,67 M","250,30 M","247,77 M","328,67 M","277,92 M"
Aplicações financeiras,"559,00 Mil",0,0,"61,98 M","138,11 M","152,57 M","121,80 M","113,72 M","100,74 M","103,81 M","1,07 B","1,32 B","788,22 M","1,79 B","1,19 B","1,80 B","1,89 B","2,47 B","1,35 B","3,26 B","812,32 M","760,82 M","882,53 M","701,65 M","310,97 M","309,83 M","463,36 M","56,80 M","128,33 M","536,39 M","195,82 M","344,39 M","362,27 M","80,96 M","283,56 M","219,26 M","179,71 M","370,62 M","237,29 M","53,47 M","113,97 M","159,56 M","140,32 M","157,70 M","197,62 M","165,24 M","75,55 M","55,82 M","72,48 M","72,98 M","29,68 M","29,75 M","31,30 M","31,95 M","33,72 M","31,03 M","41,25 M","41,37 M","21,32 M","23,63 M","23,10 M","23,05 M","8,91 M"
Contas a receber,"2,38 B","2,10 B","2,82 B","2,84 B","5,34 B","4,95 B","5,23 B","4,72 B","4,36 B","3,98 B","4,30 B","4,02 B","3,86 B","3,30 B","3,21 B","3,00 B","2,65 B","2,31 B","2,66 B","2,18 B","1,74 B","1,74 B","1,54 B","1,14 B","1,48 B","983,79 M","1,05 B","948,00 M","928,70 M","780,31 M","942,39 M","848,55 M","791,79 M","660,40 M","774,99 M","681,74 M","708,41 M","549,68 M","582,13 M","607,06 M","623,78 M","567,34 M","651,88 M","667,55 M","626,29 M","626,72 M","678,63 M","639,58 M","636,74 M","566,26 M","592,56 M","571,35 M","552,89 M","498,45 M","540,04 M","512,43 M","517,11 M","490,02 M","523,40 M","481,71 M","466,25 M","357,07 M","268,84 M"
Estoques,"175,03 M","190,37 M","226,23 M","264,40 M","485,99 M","465,54 M","471,32 M","488,62 M","493,07 M","450,98 M","483,42 M","463,93 M","474,74 M","476,03 M","420,21 M","421,34 M","437,35 M","367,12 M","379,58 M","378,70 M","394,17 M","357,80 M","326,27 M","340,12 M","213,06 M","104,64 M","92,29 M","95,29 M","90,62 M","85,09 M","86,52 M","89,69 M","77,73 M","85,40 M","100,45 M","108,69 M","98,28 M","83,69 M","60,78 M","67,22 M","64,73 M","70,10 M","69,36 M","66,22 M","62,70 M","71,94 M","65,19 M","67,95 M","55,87 M","59,38 M","57,54 M","57,59 M","53,11 M","61,44 M","59,61 M","62,64 M","64,23 M","77,37 M","71,22 M","79,54 M","85,42 M","52,39 M","46,81 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"12,79 B","12,91 B","14,54 B","14,76 B","17,87 B","18,26 B","18,72 B","18,94 B","19,04 B","19,18 B","18,95 B","19,10 B","19,12 B","19,12 B","18,42 B","18,19 B","17,80 B","16,38 B","12,71 B","10,21 B","9,56 B","9,13 B","8,58 B","8,64 B","8,47 B","6,57 B","6,67 B","6,23 B","6,22 B","4,93 B","4,67 B","4,62 B","4,65 B","4,67 B","4,42 B","3,59 B","3,56 B","3,63 B","3,36 B","3,35 B","3,31 B","3,33 B","3,34 B","3,34 B","3,27 B","3,18 B","3,19 B","3,17 B","3,18 B","3,25 B","3,24 B","3,27 B","3,28 B","3,28 B","3,33 B","3,31 B","3,28 B","3,24 B","3,15 B","3,08 B","3,08 B","1,10 B","996,48 M"
Investimentos,"4,66 B","4,67 B","4,77 B","4,72 B","4,40 M","3,90 M","3,69 M","3,63 M","4,16 M","4,17 M","4,40 M","4,78 M","13,00 M","3,86 M","3,14 M","3,26 M","3,04 M","1,03 M","1,04 M","927,00 Mil","5,61 M","4,33 M","3,76 M","4,32 M","7,12 M","5,57 M","4,44 M","4,16 M","2,73 M","3,98 M","10,26 M","13,58 M","11,26 M","6,20 M","2,61 M","1,49 M","620,00 Mil","532,00 Mil","525,00 Mil","525,00 Mil","525,00 Mil","531,00 Mil","529,00 Mil","529,00 Mil","528,00 Mil","803,00 Mil","799,00 Mil","855,00 Mil","817,00 Mil","786,00 Mil","779,00 Mil","778,00 Mil","873,00 Mil","516,00 Mil","222,00 Mil","224,00 Mil","222,00 Mil","317,00 Mil","274,00 Mil","1,34 M","276,00 Mil","320,00 Mil","260,00 Mil"
Imobilizado,"2,61 B","2,66 B","3,14 B","3,32 B","5,98 B","6,19 B","6,05 B","6,28 B","6,36 B","6,48 B","6,16 B","6,26 B","6,35 B","6,47 B","6,48 B","6,18 B","6,17 B","5,74 B","4,69 B","4,19 B","4,13 B","3,99 B","3,76 B","3,80 B","3,78 B","2,17 B","1,18 B","1,11 B","1,06 B","1,01 B","979,56 M","983,51 M","974,35 M","955,31 M","925,14 M","841,18 M","795,49 M","816,05 M","768,72 M","759,74 M","744,20 M","746,38 M","717,70 M","709,06 M","688,37 M","683,23 M","692,31 M","682,30 M","682,23 M","720,18 M","692,92 M","704,88 M","710,93 M","716,47 M","735,36 M","719,17 M","699,65 M","655,86 M","640,00 M","606,98 M","602,72 M","462,04 M","446,34 M"
Intangível,"4,30 B","4,38 B","5,25 B","5,40 B","9,95 B","10,09 B","10,49 B","10,50 B","10,65 B","10,73 B","10,81 B","10,84 B","10,71 B","10,77 B","10,38 B","10,36 B","10,10 B","9,23 B","7,01 B","5,09 B","4,66 B","4,47 B","4,21 B","4,22 B","4,10 B","4,02 B","5,22 B","4,83 B","4,85 B","3,60 B","3,46 B","3,40 B","3,38 B","3,39 B","3,29 B","2,61 B","2,59 B","2,64 B","2,40 B","2,40 B","2,34 B","2,33 B","2,34 B","2,34 B","2,34 B","2,35 B","2,35 B","2,35 B","2,35 B","2,33 B","2,35 B","2,35 B","2,35 B","2,35 B","2,35 B","2,36 B","2,36 B","2,36 B","2,26 B","2,22 B","2,25 B","428,61 M","344,26 M"
Passivo total,"17,81 B","18,56 B","21,10 B","20,22 B","28,26 B","26,46 B","28,29 B","28,13 B","26,94 B","26,21 B","27,09 B","27,38 B","26,32 B","26,84 B","25,12 B","25,06 B","24,53 B","23,25 B","18,39 B","17,78 B","14,02 B","13,34 B","12,41 B","12,35 B","11,59 B","8,84 B","8,92 B","8,17 B","8,32 B","7,22 B","6,70 B","6,57 B","6,52 B","6,25 B","6,03 B","5,12 B","5,05 B","5,16 B","4,86 B","4,73 B","4,69 B","4,68 B","4,83 B","4,82 B","5,06 B","4,61 B","4,74 B","4,59 B","4,79 B","4,69 B","4,35 B","4,32 B","4,32 B","4,27 B","4,27 B","4,20 B","4,21 B","4,24 B","4,13 B","4,05 B","4,02 B","1,94 B","1,66 B"
Passivo circulante,"3,85 B","4,56 B","5,34 B","3,99 B","5,42 B","5,30 B","5,79 B","5,64 B","5,62 B","5,64 B","6,41 B","7,86 B","8,08 B","6,17 B","5,57 B","5,32 B","6,39 B","6,95 B","4,86 B","4,69 B","3,95 B","3,01 B","2,55 B","2,24 B","2,22 B","1,56 B","1,48 B","1,23 B","1,35 B","1,41 B","1,46 B","1,42 B","1,16 B","1,49 B","1,24 B","921,82 M","845,30 M","951,82 M","692,10 M","641,49 M","743,64 M","748,47 M","826,15 M","835,28 M","866,25 M","812,06 M","834,80 M","752,60 M","802,11 M","730,78 M","763,19 M","665,05 M","425,80 M","400,97 M","511,13 M","472,55 M","523,36 M","590,21 M","497,14 M","440,52 M","809,10 M","685,55 M","361,88 M"
Fornecedores,"801,26 M","866,24 M","907,51 M","916,70 M","1,36 B","1,44 B","1,36 B","1,32 B","1,27 B","1,54 B","1,35 B","1,40 B","1,34 B","1,55 B","1,17 B","1,10 B","1,14 B","1,23 B","984,98 M","857,24 M","849,51 M","893,17 M","630,38 M","562,86 M","559,05 M","393,50 M","346,81 M","337,24 M","331,40 M","360,82 M","277,63 M","265,70 M","289,15 M","310,01 M","241,14 M","248,96 M","209,44 M","277,67 M","144,66 M","155,80 M","142,99 M","161,33 M","134,73 M","90,20 M","77,84 M","116,28 M","87,53 M","81,18 M","81,93 M","65,48 M","78,56 M","87,58 M","80,91 M","84,43 M","74,36 M","67,17 M","68,20 M","76,64 M","72,22 M","72,21 M","80,63 M","58,52 M","50,24 M"
Empréstimos e financ.,"1,20 B","1,90 B","2,37 B","969,30 M","1,17 B","937,85 M","1,66 B","1,44 B","1,60 B","1,52 B","1,72 B","2,97 B","3,38 B","1,16 B","1,21 B","1,06 B","2,19 B","2,10 B","1,61 B","1,96 B","1,12 B","345,91 M","398,11 M","398,99 M","382,75 M","221,15 M","373,10 M","227,33 M","448,98 M","447,50 M","747,15 M","751,86 M","531,49 M","671,93 M","517,12 M","374,90 M","355,23 M","376,47 M","222,89 M","207,40 M","329,73 M","354,20 M","407,12 M","480,23 M","512,75 M","433,64 M","464,18 M","427,04 M","458,41 M","420,85 M","429,69 M","336,42 M","131,71 M","119,00 M","237,55 M","219,43 M","228,16 M","311,49 M","183,79 M","152,12 M","453,38 M","404,90 M","151,99 M"
Passivo não circulante,"7,06 B","7,11 B","7,92 B","8,60 B","15,01 B","13,22 B","13,86 B","15,32 B","14,13 B","13,24 B","12,74 B","11,38 B","11,45 B","13,59 B","12,17 B","12,25 B","10,56 B","8,75 B","6,08 B","5,79 B","6,55 B","6,79 B","5,97 B","6,25 B","5,36 B","4,01 B","3,88 B","3,43 B","3,50 B","2,49 B","1,71 B","1,70 B","1,95 B","1,43 B","1,78 B","1,25 B","1,26 B","1,35 B","1,29 B","1,27 B","1,15 B","1,14 B","1,21 B","1,20 B","1,42 B","1,03 B","1,09 B","1,07 B","1,25 B","1,25 B","886,01 M","993,81 M","1,26 B","1,26 B","1,13 B","1,12 B","1,11 B","1,11 B","1,10 B","1,09 B","716,58 M","644,50 M","741,34 M"
Emprést. de longo prazo,"5,74 B","5,73 B","6,03 B","6,98 B","11,45 B","9,46 B","9,89 B","9,91 B","10,12 B","9,13 B","9,62 B","8,15 B","8,28 B","10,30 B","8,81 B","8,86 B","7,11 B","5,55 B","3,76 B","3,77 B","4,71 B","4,99 B","4,36 B","4,53 B","3,54 B","2,60 B","2,30 B","2,02 B","2,02 B","2,10 B","1,41 B","1,41 B","1,65 B","1,12 B","1,24 B","840,38 M","888,36 M","971,83 M","970,58 M","969,53 M","894,16 M","895,36 M","952,72 M","954,99 M","1,19 B","794,61 M","857,72 M","861,74 M","1,05 B","1,05 B","679,44 M","752,45 M","975,81 M","987,38 M","808,24 M","817,32 M","792,09 M","797,66 M","797,71 M","794,10 M","420,53 M","402,14 M","544,83 M"
Patrimônio líquido,"6,90 B","6,89 B","7,84 B","7,63 B","7,83 B","7,94 B","8,63 B","7,17 B","7,19 B","7,33 B","7,94 B","8,15 B","6,79 B","7,09 B","7,38 B","7,49 B","7,58 B","7,55 B","7,45 B","7,30 B","3,53 B","3,54 B","3,89 B","3,87 B","4,01 B","3,26 B","3,56 B","3,52 B","3,47 B","3,32 B","3,53 B","3,45 B","3,40 B","3,32 B","3,02 B","2,95 B","2,94 B","2,86 B","2,88 B","2,81 B","2,79 B","2,79 B","2,79 B","2,78 B","2,77 B","2,77 B","2,81 B","2,77 B","2,74 B","2,71 B","2,70 B","2,67 B","2,63 B","2,61 B","2,63 B","2,60 B","2,58 B","2,54 B","2,53 B","2,52 B","2,49 B","614,89 M","553,64 M"
Aos não controladores,"29,81 M","27,89 M","20,25 M","18,84 M","17,87 M","9,64 M","16,23 M","20,25 M","1,74 M","3,39 M","-938,00 Mil","10,72 M","-4,32 M","10,78 M","28,42 M","13,28 M","4,86 M","6,23 M","33,61 M","31,44 M","1,74 M","297,00 Mil","-4,84 M","-5,78 M","-9,59 M","-8,85 M","-9,93 M","-11,30 M","-13,31 M","-15,22 M","-14,99 M","-14,21 M","-15,28 M","-15,52 M","1,12 M","963,00 Mil","1,13 M","1,01 M","929,00 Mil","809,00 Mil","963,00 Mil","906,00 Mil","897,00 Mil","778,00 Mil","943,00 Mil","894,00 Mil","866,00 Mil","795,00 Mil","679,00 Mil","596,00 Mil","515,00 Mil","433,00 Mil","419,00 Mil","382,00 Mil","-784,00 Mil","-604,00 Mil","-382,00 Mil","-328,00 Mil","-275,00 Mil","-105,00 Mil","23,00 Mil",0,0
