Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-3,18","-1,93","-6,76","-24,23","-126,35","-1.177,84","742,18","189,29","271,54","274,08","548,63","132,84","139,26","164,70","115,36","255,32","272,79"
P/VP,"0,53","0,29","1,05","1,32","3,80","50,23","28,30","10,46","10,70","9,08","4,68","3,94","6,75","5,38","6,60","40,68","48,40"
P/EBIT,"4,06","2,11","8,42","9,22","323,41","1.066,47","232,52","100,96","106,21","86,56","82,08","43,95","63,52","57,28","44,80","85,23","164,59"
P/EBIT *,"3,62","2,29","8,44","10,04","566,02","1.465,97","232,32","99,52","105,71","83,58","79,84","41,40","67,97","63,64","48,63","86,56","169,45"
PSR,"0,33","0,15","0,54","0,71","2,75","25,23","21,22","8,87","10,50","8,54","4,68","4,05","7,47","6,20","7,70","16,65","19,30"
P/Ativos,"0,20","0,09","0,29","0,35","1,23","13,31","10,48","4,83","5,71","5,03","2,79","2,37","3,90","3,28","3,96","12,86","16,17"
LPA,"-0,92","-0,96","-0,91","-0,31","-0,18","-0,12","0,10","0,15","0,10","0,08","0,02","0,07","0,10","0,07","0,12","0,08","0,08"
VPA,"5,47","6,32","5,84","5,64","6,01","2,82","2,61","2,66","2,66","2,28","2,22","2,21","2,16","2,08","2,03","0,49","0,44"
EBIT por ação,"0,72","0,87","0,73","0,81","0,07","0,13","0,32","0,28","0,27","0,24","0,13","0,20","0,23","0,20","0,30","0,23","0,13"
EBIT por ação *,"0,81","0,80","0,73","0,74","0,04","0,10","0,32","0,28","0,27","0,25","0,13","0,21","0,21","0,18","0,27","0,23","0,13"
Ativo por ação,"14,79","21,08","20,89","21,39","18,53","10,63","7,04","5,76","4,98","4,11","3,73","3,67","3,74","3,40","3,38","1,55","1,32"
Receita líquida por ação,"8,90","12,21","11,36","10,46","8,30","5,61","3,48","3,13","2,71","2,42","2,23","2,15","1,95","1,80","1,74","1,20","1,11"
Margem bruta,"30,38%","27,37%","27,27%","28,93%","29,92%","24,94%","35,43%","35,51%","34,15%","31,72%","27,50%","31,16%","31,24%","30,88%","35,81%","36,99%","32,91%"
Margem líquida,"-10,16%","-7,79%","-7,93%","-2,95%","-2,08%","-2,10%","2,98%","4,71%","3,96%","3,13%","0,87%","3,06%","5,38%","3,74%","6,66%","6,52%","7,16%"
Margem EBIT,"8,08%","7,14%","6,41%","7,74%","0,85%","2,37%","9,13%","8,79%","9,89%","9,87%","5,70%","9,22%","11,76%","10,82%","17,18%","19,54%","11,73%"
Margem EBIT *,"9,06%","6,57%","6,40%","7,12%","0,49%","1,72%","9,13%","8,92%","9,93%","10,22%","5,86%","9,79%","10,99%","9,74%","15,83%","19,24%","11,39%"
Margem EBITDA,"18,14%","16,06%","15,50%","16,21%","9,77%","13,24%","19,57%","15,39%","16,57%","17,40%","12,36%","15,51%","17,68%","17,56%","22,95%","25,62%","18,06%"
Margem EBITDA *,"19,12%","15,49%","15,49%","15,58%","9,41%","12,60%","19,57%","15,52%","16,62%","17,75%","12,52%","16,08%","16,91%","16,48%","21,60%","25,32%","17,72%"
Margem operacional,"-5,49%","-6,97%","-6,99%","-4,41%","-3,59%","-3,12%","3,18%","4,93%","5,31%","6,43%","1,91%","5,48%","7,93%","5,80%","9,67%","9,33%","8,69%"
ROE,"-16,47%","-15,05%","-15,40%","-5,47%","-2,87%","-4,18%","3,99%","5,58%","4,05%","3,33%","0,87%","2,98%","4,86%","3,25%","5,71%","15,93%","17,96%"
ROA,"-0,06","-0,05","-0,04","-0,01","-0,01","-0,01","0,01","0,03","0,02","0,02","0,01","0,02","0,03","0,02","0,03","0,05","0,06"
ROIC,"6,01%","4,73%","3,97%","4,58%","0,48%","1,52%","5,26%","5,98%","6,29%","7,10%","3,94%","6,14%","7,17%","6,24%","9,67%","19,12%","12,33%"
ROIC *,"6,73%","4,35%","3,97%","4,20%","0,27%","1,11%","5,27%","6,07%","6,32%","7,35%","4,05%","6,51%","6,70%","5,61%","8,91%","18,83%","11,98%"
Giro do ativo,"0,60","0,58","0,54","0,49","0,45","0,53","0,49","0,54","0,54","0,59","0,60","0,59","0,52","0,53","0,51","0,77","0,84"
EBIT *,1.012 mi,1.006 mi,911 mi,934 mi,50 mi,121 mi,398 mi,350 mi,337 mi,310 mi,163 mi,264 mi,269 mi,220 mi,345 mi,288 mi,158 mi
EBITDA,2.026 mi,2.460 mi,2.209 mi,2.128 mi,1.018 mi,932 mi,853 mi,605 mi,563 mi,529 mi,345 mi,418 mi,432 mi,397 mi,500 mi,384 mi,250 mi
EBITDA *,2.135 mi,2.373 mi,2.208 mi,2.045 mi,980 mi,886 mi,854 mi,610 mi,564 mi,539 mi,349 mi,433 mi,413 mi,373 mi,470 mi,380 mi,246 mi
