Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"3,87 B","3,86 B","3,73 B","3,99 B","3,58 B","3,51 B","3,97 B","3,21 B","3,22 B","3,25 B","2,94 B","2,88 B","2,90 B","2,52 B","2,42 B","2,40 B","2,40 B","2,16 B","1,44 B","797,68 M","713,06 M","404,58 M",0
Ativo circulante,"738,41 M","767,32 M","652,42 M","953,69 M","620,09 M","651,53 M","1,21 B","530,57 M","579,82 M","611,74 M","380,58 M","368,82 M","420,75 M","393,22 M","432,76 M","528,26 M","626,49 M","545,91 M","669,08 M","153,75 M","261,60 M","119,36 M",0
Caixa e eq. de caixa,"457,33 M","464,64 M","352,37 M","655,61 M","257,93 M","290,95 M","587,49 M","181,46 M","231,50 M","329,65 M","115,87 M","62,84 M","130,18 M","68,63 M","100,44 M","160,30 M","192,26 M","141,49 M","565,72 M","34,63 M","107,76 M","54,94 M",0
Aplicações financeiras,"31,00 Mil","15,51 M","336,00 Mil","10,40 M","84,00 M","92,59 M","363,68 M","112,11 M","132,30 M","83,54 M","57,09 M","108,96 M","103,92 M","182,79 M","201,74 M","250,36 M","327,88 M","313,54 M","26,14 M","57,64 M","104,96 M","24,84 M",0
Contas a receber,"158,67 M","158,27 M","163,95 M","163,10 M","167,64 M","162,62 M","151,22 M","138,53 M","121,61 M","112,54 M","115,25 M","114,82 M","113,01 M","82,55 M","78,27 M","68,34 M","61,07 M","54,04 M","54,41 M","42,72 M","35,07 M","29,25 M",0
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,13 B","3,09 B","3,08 B","3,04 B","2,96 B","2,86 B","2,77 B","2,68 B","2,64 B","2,64 B","2,56 B","2,51 B","2,48 B","2,13 B","1,99 B","1,87 B","1,77 B","1,62 B","768,58 M","643,93 M","451,46 M","285,22 M",0
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,81 M",0,0,0
Imobilizado,"1,95 B","1,91 B","1,90 B","1,85 B","1,79 B","1,71 B","1,64 B","1,56 B","1,51 B","1,46 B","1,41 B","1,39 B","1,36 B","1,20 B","1,14 B","1,07 B","982,18 M","864,31 M","584,97 M","464,42 M","339,09 M","228,09 M",0
Intangível,"988,54 M","988,45 M","989,27 M","992,12 M","992,89 M","986,41 M","970,70 M","967,91 M","968,46 M","1,00 B","980,84 M","958,78 M","957,60 M","793,66 M","707,70 M","690,69 M","686,66 M","667,00 M","110,75 M","81,52 M","53,90 M","37,40 M",0
Passivo total,"3,87 B","3,86 B","3,73 B","3,99 B","3,58 B","3,51 B","3,97 B","3,21 B","3,22 B","3,25 B","2,94 B","2,88 B","2,90 B","2,52 B","2,42 B","2,40 B","2,40 B","2,16 B","1,44 B","797,68 M","713,06 M","404,58 M",0
Passivo circulante,"524,14 M","546,13 M","517,68 M","492,93 M","453,32 M","425,61 M","549,77 M","531,51 M","508,68 M","482,10 M","450,82 M","400,06 M","421,24 M","453,93 M","350,84 M","588,28 M","591,34 M","294,51 M","161,56 M","195,06 M","138,20 M","101,19 M",0
Fornecedores,"92,55 M","116,58 M","92,26 M","90,23 M","101,02 M","123,48 M","79,05 M","71,50 M","66,28 M","71,11 M","55,84 M","54,23 M","60,44 M","83,38 M","54,83 M","70,71 M","90,81 M","68,78 M","42,41 M","74,64 M","70,98 M","44,37 M",0
Empréstimos e financ.,"67,48 M","59,01 M","65,66 M","69,36 M","50,72 M","10,32 M","171,05 M","194,85 M","195,13 M","129,76 M","126,42 M","90,91 M","88,56 M","91,45 M","85,22 M","314,18 M","304,35 M","46,11 M","48,59 M","55,78 M","27,60 M","29,97 M",0
Passivo não circulante,"1,89 B","1,87 B","1,79 B","2,09 B","1,74 B","1,72 B","2,08 B","1,36 B","1,42 B","1,47 B","1,21 B","1,23 B","1,25 B","1,11 B","1,13 B","900,97 M","903,37 M","978,79 M","398,61 M","415,29 M","392,65 M","188,17 M",0
Emprést. de longo prazo,"1,59 B","1,57 B","1,41 B","1,72 B","1,35 B","1,34 B","1,65 B","942,53 M","985,34 M","1,04 B","735,66 M","761,76 M","766,26 M","789,80 M","793,51 M","570,28 M","574,14 M","660,01 M","341,34 M","370,28 M","360,19 M","171,95 M",0
Patrimônio líquido,"1,45 B","1,44 B","1,43 B","1,41 B","1,39 B","1,37 B","1,35 B","1,32 B","1,29 B","1,29 B","1,28 B","1,26 B","1,23 B","951,87 M","939,04 M","912,44 M","902,83 M","891,36 M","877,49 M","187,34 M","182,21 M","115,22 M",0
Aos não controladores,"32,78 M","30,04 M","27,69 M","25,49 M","23,45 M","20,84 M","19,66 M","17,34 M","13,05 M","10,54 M","22,61 M","29,45 M","25,94 M","18,29 M","18,13 M","15,61 M","11,72 M","10,02 M","9,00 M","6,30 M","1,11 M","836,00 Mil",0
