Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,22","6,11","5,28","6,02","4,45","3,81",-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"0,84","0,88","0,80","1,50","1,17","1,67",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"4,59","4,04","3,30","4,13","2,38","2,88",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"7,72","6,70","4,88","6,21","3,34","3,49",-,-,-,-,-,-,-,-,-,-,-,-
PSR,"0,46","0,41","0,42","0,62","0,32","0,41",-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,55","0,54","0,49","0,74","0,51","0,56",-,-,-,-,-,-,-,-,-,-,-,-
LPA,"1,16","1,17","1,17","1,47","1,22","1,56",-,-,-,-,-,-,-,-,-,-,-,-
VPA,"8,55","8,15","7,73","5,92","4,64","3,56",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"1,57","1,77","1,88","2,14","2,27","2,07",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"0,93","1,07","1,27","1,42","1,62","1,71",-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"13,15","13,12","12,66","11,89","10,63","10,53",-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"15,62","17,38","14,72","14,19","17,06","14,43",-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"16,52%","15,83%","19,36%","19,60%","18,33%","20,82%","21,71%","18,32%","17,20%","15,40%","21,08%","17,23%","13,93%","10,58%","14,10%","19,74%","22,72%","20,20%"
Margem líquida,"7,41%","6,72%","8,46%","12,11%","8,58%","12,94%","14,47%","2,77%","1,03%","23,65%","13,24%","-14,11%","-7,08%","-31,95%","-9,70%","-6,30%","-4,45%","-1,40%"
Margem EBIT,"10,04%","10,18%","12,74%","15,08%","13,32%","14,32%","17,70%","6,23%","6,84%","22,11%","24,45%","1,50%","3,15%","37,11%","-3,56%","-1,11%","5,80%","5,95%"
Margem EBIT *,"5,97%","6,13%","8,62%","10,04%","9,50%","11,82%","7,70%","3,61%","2,93%","0,90%","6,81%","3,10%","-3,13%","-8,72%","-3,16%","4,74%","6,94%","3,11%"
Margem EBITDA,"12,75%","11,79%","14,49%","16,83%","14,55%","15,72%","20,16%","8,63%","8,87%","24,57%","26,63%","3,57%","5,36%","43,51%","1,94%","3,79%","10,67%","11,54%"
Margem EBITDA *,"8,67%","7,75%","10,37%","11,79%","10,72%","13,21%","10,16%","6,01%","4,96%","3,35%","8,99%","5,17%","-0,91%","-2,32%","2,34%","9,65%","11,82%","8,70%"
Margem operacional,"10,50%","10,03%","12,35%","14,97%","10,65%","13,25%","17,20%","2,13%","2,83%","15,38%","13,25%","-14,34%","-7,35%","16,94%","-14,11%","-13,34%","-3,41%","2,29%"
ROE,"13,54%","14,34%","16,11%","24,60%","26,15%","43,36%","42,17%","11,00%","4,03%","62,62%","439,47%","168,59%","-113,93%","-211,50%","-27,50%","-18,62%","-12,44%","-3,16%"
ROA,"0,09","0,09","0,10","0,14","0,14","0,18","0,17","0,03","0,01","0,14","0,08","-0,08","-0,04","-0,16","-0,07","-0,05","-0,03","-0,01"
ROIC,"16,52%","19,34%","21,09%","28,66%","26,78%","23,16%","23,29%","6,41%","6,37%","14,03%","15,67%","0,92%","1,86%","20,53%","-2,87%","-1,00%","4,91%","4,33%"
ROIC *,"9,82%","11,66%","14,26%","19,08%","19,10%","19,11%","10,13%","3,71%","2,73%","0,57%","4,36%","1,90%","-1,84%","-4,83%","-2,55%","4,25%","5,88%","2,26%"
Giro do ativo,"1,19","1,32","1,16","1,19","1,60","1,37","1,18","0,98","0,88","0,61","0,60","0,56","0,53","0,50","0,73","0,80","0,77","0,63"
EBIT *,114 mi,131 mi,156 mi,175 mi,199 mi,209 mi,76 mi,28 mi,21 mi,4 mi,29 mi,12 mi,-12 mi,-31 mi,-15 mi,29 mi,38 mi,15 mi
EBITDA,244 mi,251 mi,262 mi,293 mi,305 mi,278 mi,200 mi,68 mi,65 mi,118 mi,116 mi,14 mi,19 mi,151 mi,9 mi,23 mi,59 mi,57 mi
EBITDA *,166 mi,165 mi,187 mi,205 mi,224 mi,234 mi,101 mi,47 mi,36 mi,16 mi,39 mi,20 mi,-4 mi,-9 mi,10 mi,59 mi,65 mi,43 mi
Liquidez corrente,"3,80","3,65","3,28","3,31","2,72","1,98","1,65","1,21","1,38","1,26","1,27","0,76","0,92","0,90","0,51","0,84","0,72","0,51"
Liquidez seca,"2,86","2,77","2,26","2,65","1,98","1,39","1,14","0,80","0,94","0,82","1,13","0,68","0,84","0,84","0,40","0,64","0,49","0,32"
Liquidez imediata,"1,33","1,38","1,14","1,55","0,69","0,23","0,19","0,05","0,11","0,13","0,00","0,00","0,01","0,01","0,05","0,10","0,08","0,04"
Dívida bruta,263 mi,292 mi,279 mi,300 mi,307 mi,349 mi,109 mi,192 mi,187 mi,131 mi,176 mi,233 mi,220 mi,234 mi,246 mi,323 mi,332 mi,316 mi
Dívida líquida,-97 mi,-103 mi,-63 mi,-153 mi,108 mi,251 mi,69 mi,180 mi,165 mi,112 mi,174 mi,231 mi,217 mi,226 mi,228 mi,282 mi,284 mi,283 mi
