Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,16 B","1,23 B","1,16 B","1,07 B","894,13 M","924,21 M","910,60 M","844,22 M","669,44 M","634,84 M","557,67 M","605,41 M","557,27 M","533,99 M","574,41 M","586,13 M","468,09 M","486,97 M","453,36 M","422,16 M","413,88 M","425,31 M","375,53 M","408,41 M","291,47 M","367,69 M","367,24 M","374,50 M","348,80 M","393,07 M","309,92 M","270,90 M","192,16 M","169,57 M","201,25 M","181,73 M","199,31 M","254,55 M","314,59 M","383,10 M","405,84 M","398,01 M","392,34 M","379,40 M","399,82 M","551,14 M","462,29 M","425,05 M","397,13 M","438,23 M","450,85 M","466,33 M","388,53 M","375,59 M","391,00 M","338,16 M","344,03 M","295,96 M","297,64 M","244,67 M","234,04 M","263,29 M","210,71 M","165,18 M","142,74 M"
Custos,"-691,12 M","-726,74 M","-694,02 M","-650,98 M","-548,85 M","-581,81 M","-577,88 M","-541,59 M","-428,84 M","-425,26 M","-365,30 M","-400,23 M","-359,43 M","-343,25 M","-379,23 M","-403,30 M","-303,11 M","-326,35 M","-291,15 M","-262,58 M","-266,22 M","-272,70 M","-241,80 M","-276,27 M","-187,38 M","-238,01 M","-244,50 M","-249,65 M","-234,96 M","-283,59 M","-223,41 M","-200,68 M","-141,55 M","-184,65 M","-186,70 M","-161,72 M","-181,33 M","-280,08 M","-289,41 M","-309,67 M","-322,61 M","-317,89 M","-311,61 M","-294,32 M","-315,28 M","-431,25 M","-350,22 M","-322,47 M","-304,71 M","-339,46 M","-340,16 M","-369,43 M","-291,33 M","-269,62 M","-286,15 M","-246,28 M","-247,92 M","-213,40 M","-209,37 M","-180,53 M","-168,44 M","-184,68 M","-146,77 M","-109,64 M","-92,69 M"
Lucro bruto,"473,41 M","499,11 M","463,80 M","414,23 M","345,28 M","342,40 M","332,72 M","302,63 M","240,60 M","209,58 M","192,37 M","205,18 M","197,84 M","190,73 M","195,18 M","182,83 M","164,99 M","160,62 M","162,21 M","159,58 M","147,67 M","152,61 M","133,73 M","132,14 M","104,09 M","129,68 M","122,74 M","124,86 M","113,84 M","109,48 M","86,51 M","70,23 M","50,60 M","-15,07 M","14,54 M","20,01 M","17,97 M","-25,53 M","25,17 M","73,43 M","83,23 M","80,13 M","80,73 M","85,08 M","84,54 M","119,89 M","112,07 M","102,58 M","92,42 M","98,76 M","110,69 M","96,89 M","97,20 M","105,97 M","104,84 M","91,88 M","96,10 M","82,56 M","88,27 M","64,14 M","65,60 M","78,61 M","63,94 M","55,53 M","50,05 M"
Despesas operacionais,"-180,78 M","-200,51 M","-180,72 M","-189,22 M","-148,83 M","-113,95 M","-145,70 M","-121,32 M","-82,39 M","-128,38 M","-83,22 M","-75,69 M","-94,95 M","-64,21 M","-106,09 M","-102,57 M","-85,45 M","-82,81 M","-75,38 M","-82,73 M","-83,32 M","-71,16 M","-77,05 M","-83,22 M","-69,77 M","-80,41 M","-74,87 M","-74,62 M","-68,20 M","-79,09 M","-161,07 M","-57,55 M","-49,93 M","-44,79 M","-39,95 M","-44,33 M","-40,25 M","-41,14 M","-24,14 M","-42,26 M","-45,80 M","-39,71 M","-41,81 M","-43,74 M","-41,96 M","-56,85 M","-48,70 M","-41,04 M","-36,71 M","-39,82 M","-39,58 M","-31,23 M","-33,94 M","-32,55 M","-41,49 M","-35,64 M","-35,17 M","-35,68 M","-30,70 M","-29,76 M","-26,66 M","-22,50 M","-22,24 M","-17,61 M","-13,13 M"
Despesas com vendas,"-107,34 M","-116,25 M","-113,94 M","-96,86 M","-80,98 M","-83,00 M","-80,40 M","-71,24 M","-55,06 M","-56,90 M","-48,47 M","-53,52 M","-43,36 M","-52,67 M","-52,79 M","-52,80 M","-44,83 M","-53,13 M","-49,55 M","-45,48 M","-42,75 M","-43,72 M","-39,70 M","-39,90 M","-34,71 M","-38,95 M","-38,15 M","-36,43 M","-32,67 M","-34,38 M","-26,86 M","-24,17 M","-19,63 M","-21,78 M","-16,16 M","-13,01 M","-12,33 M","-11,94 M","-12,70 M","-13,06 M","-13,05 M","-12,61 M","-11,46 M","-10,76 M","-8,08 M","-12,88 M","-13,95 M","-14,32 M","-10,58 M","-14,44 M","-10,28 M","-10,35 M","-6,13 M","-8,99 M","-12,46 M","-9,92 M","-8,97 M","-9,21 M","-6,00 M","-7,47 M","-5,00 M","-6,17 M","-5,45 M","-4,48 M","-3,93 M"
Despesas administrativas,"-73,56 M","-70,38 M","-68,64 M","-60,63 M","-55,13 M","-56,55 M","-52,28 M","-52,35 M","-49,13 M","-44,60 M","-44,73 M","-43,42 M","-41,96 M","-40,18 M","-39,73 M","-36,39 M","-35,32 M","-34,56 M","-33,78 M","-33,69 M","-30,48 M","-31,60 M","-27,92 M","-24,74 M","-31,32 M","-30,22 M","-27,31 M","-26,84 M","-28,04 M","-25,63 M","-24,75 M","-25,44 M","-24,48 M","-24,33 M","-28,27 M","-28,42 M","-26,62 M","-23,84 M","-25,95 M","-26,82 M","-28,52 M","-26,22 M","-25,70 M","-26,39 M","-26,96 M","-31,09 M","-27,92 M","-25,76 M","-29,91 M","-25,95 M","-28,45 M","-24,03 M","-25,70 M","-18,24 M","-26,91 M","-25,30 M","-27,19 M","-19,36 M","-27,83 M","-21,74 M","-27,26 M","-20,07 M","-16,42 M","-13,26 M","-10,12 M"
EBIT,"292,63 M","298,60 M","283,08 M","225,01 M","196,45 M","228,44 M","187,02 M","181,31 M","158,21 M","81,20 M","109,15 M","129,49 M","102,90 M","126,52 M","89,09 M","80,26 M","79,54 M","77,81 M","86,84 M","76,85 M","64,35 M","81,46 M","56,68 M","48,91 M","34,31 M","49,27 M","47,87 M","50,24 M","45,64 M","30,39 M","-74,56 M","12,67 M","674,00 Mil","-59,87 M","-25,41 M","-24,32 M","-22,28 M","-66,67 M","1,04 M","31,17 M","37,43 M","40,42 M","38,92 M","41,35 M","42,58 M","63,04 M","63,37 M","61,54 M","55,71 M","58,94 M","71,11 M","65,67 M","63,26 M","73,42 M","63,35 M","56,24 M","60,93 M","46,88 M","57,57 M","34,38 M","38,94 M","56,11 M","41,69 M","37,93 M","36,92 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-628,00 Mil","13,78 M","27,30 M","18,17 M","16,11 M","-6,83 M","17,43 M","3,51 M","23,21 M","46,76 M","-12,18 M","-1,15 M","-19,30 M","-20,67 M","2,11 M","-30,82 M","-24,49 M","-22,33 M","-19,68 M","-14,42 M","-20,28 M","-20,12 M","-7,92 M","-1,39 M","-10,69 M","-9,00 M","-8,19 M","-10,72 M","-11,30 M","-4,54 M","-5,54 M","-6,28 M","-4,15 M","4,26 M","837,00 Mil","1,59 M","4,47 M","5,11 M","5,13 M","3,53 M","3,47 M","3,23 M","4,06 M","3,85 M","5,10 M","4,49 M","3,45 M","1,91 M","2,02 M","1,14 M","-527,00 Mil","1,66 M","-800,00 Mil","3,87 M","4,06 M","7,51 M","8,32 M","8,29 M","5,97 M","7,98 M","6,68 M","1,12 M","11,32 M","9,83 M","6,34 M"
Antes dos impostos,"292,01 M","312,38 M","310,37 M","243,18 M","212,56 M","221,61 M","204,45 M","184,81 M","181,42 M","127,96 M","96,97 M","128,34 M","83,60 M","105,85 M","91,20 M","49,44 M","55,05 M","55,47 M","67,16 M","62,43 M","44,07 M","61,34 M","48,76 M","47,52 M","23,62 M","40,27 M","39,68 M","39,52 M","34,33 M","25,85 M","-80,10 M","6,39 M","-3,48 M","-55,61 M","-24,57 M","-22,73 M","-17,80 M","-61,57 M","6,17 M","34,70 M","40,90 M","43,64 M","42,98 M","45,19 M","47,68 M","67,53 M","66,82 M","63,45 M","57,73 M","60,08 M","70,59 M","67,33 M","62,46 M","77,29 M","67,41 M","63,75 M","69,26 M","55,18 M","63,53 M","42,36 M","45,62 M","57,23 M","53,02 M","47,75 M","43,25 M"
