Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"12,66","16,01","10,61","15,99","15,33","110,46","3.653,28",-,-
P/VP,"0,33","0,39","0,31","0,39","0,20","0,26","0,54",-,-
P/EBIT,"3,43","4,31","4,34","6,66","4,89","-103,51","67,60",-,-
P/EBIT *,"3,86","4,94","4,14","8,21","4,60","2,90","7,67",-,-
PSR,"0,11","0,14","0,13","0,20","0,12","0,19","0,45",-,-
P/Ativos,"0,15","0,19","0,15","0,22","0,12","0,15","0,31",-,-
LPA,"0,47","0,45","0,51","0,42","0,22","0,04","0,00",-,-
VPA,"18,20","18,17","17,72","17,21","16,79","16,56","16,52",-,-
EBIT por ação,"1,75","1,66","1,25","1,01","0,70","-0,04","0,13",-,-
EBIT por ação *,"1,55","1,44","1,31","0,82","0,75","1,49","1,16",-,-
Ativo por ação,"39,10","38,52","36,25","30,60","29,06","29,06","28,75",-,-
Receita líquida por ação,"54,52","52,70","42,70","34,56","29,31","22,56","19,85",-,-
Margem bruta,"28,80%","28,58%","30,62%","31,61%","32,06%","32,50%","32,35%","30,20%","29,92%"
Margem líquida,"0,87%","0,85%","1,20%","1,22%","0,77%","0,17%","0,01%","-0,66%","0,23%"
Margem EBIT,"3,20%","3,15%","2,93%","2,93%","2,40%","-0,18%","0,66%","-1,85%","0,82%"
Margem EBIT *,"2,85%","2,74%","3,07%","2,38%","2,55%","6,60%","5,83%","7,54%","2,17%"
Margem EBITDA,"6,54%","4,89%","4,61%","4,73%","4,32%","2,14%","2,95%","0,19%","2,72%"
Margem EBITDA *,"6,19%","4,48%","4,75%","4,17%","4,47%","8,93%","8,13%","9,58%","4,07%"
Margem operacional,"0,73%","0,74%","1,32%","1,50%","0,86%","-1,68%","-1,77%","0,37%","-0,89%"
ROE,"2,60%","2,45%","2,88%","2,45%","1,34%","0,24%","0,01%","-1,61%","0,55%"
ROA,"0,01","0,01","0,01","0,01","0,01","0,00","0,00","-0,01","0,00"
ROIC,"5,51%","5,43%","4,51%","4,17%","2,99%","-0,18%","0,60%","-2,24%","1,13%"
ROIC *,"4,90%","4,73%","4,73%","3,38%","3,17%","6,35%","5,25%","9,15%","2,99%"
Giro do ativo,"1,39","1,37","1,18","1,13","1,01","0,78","0,69","1,03","1,14"
EBIT *,78 mi,73 mi,66 mi,41 mi,37 mi,75 mi,58 mi,85 mi,25 mi
EBITDA,180 mi,130 mi,99 mi,82 mi,64 mi,24 mi,29 mi,2 mi,31 mi
EBITDA *,170 mi,119 mi,102 mi,72 mi,66 mi,101 mi,81 mi,108 mi,47 mi
Liquidez corrente,"1,06","1,08","1,14","1,16","1,20","1,10","1,52","0,74","0,77"
Liquidez seca,"0,56","0,60","0,61","0,69","0,75","0,71","1,11","0,36","0,38"
Liquidez imediata,"0,04","0,08","0,11","0,11","0,16","0,27","0,65","0,15","0,17"
Dívida bruta,75 mi,71 mi,38 mi,26 mi,28 mi,50 mi,131 mi,218 mi,191 mi
Dívida líquida,52 mi,25 mi,-19 mi,-18 mi,-28 mi,-46 mi,-76 mi,169 mi,133 mi
Capital de giro,33 mi,46 mi,73 mi,64 mi,68 mi,37 mi,165 mi,-86 mi,-79 mi
Endividamento geral,"114,90%","112,03%","104,58%","77,82%","73,13%","75,45%","74,01%","135,09%","106,46%"
