Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"660,39 M","690,31 M","731,44 M","676,69 M","568,33 M","621,19 M","544,48 M","513,17 M","481,80 M","462,99 M","446,74 M","433,69 M","405,49 M","344,60 M","381,10 M","374,64 M","327,50 M","263,06 M","311,00 M","274,83 M","256,26 M","210,65 M","263,24 M","215,43 M","282,84 M","232,41 M","304,34 M","286,59 M","274,57 M"
Custos,"-458,51 M","-485,06 M","-535,72 M","-485,08 M","-398,66 M","-447,48 M","-373,08 M","-345,37 M","-333,07 M","-318,59 M","-305,91 M","-292,46 M","-279,12 M","-221,28 M","-259,13 M","-247,49 M","-224,43 M","-164,02 M","-219,23 M","-180,36 M","-170,63 M","-126,20 M","-178,99 M","-145,16 M","-196,89 M","-146,44 M","-217,85 M","-198,60 M","-193,08 M"
Lucro bruto,"201,88 M","205,25 M","195,72 M","191,60 M","169,67 M","173,71 M","171,41 M","167,80 M","148,72 M","144,40 M","140,83 M","141,24 M","126,36 M","123,32 M","121,97 M","127,15 M","103,08 M","99,04 M","91,77 M","94,46 M","85,63 M","84,45 M","84,25 M","70,26 M","85,95 M","85,97 M","86,49 M","87,98 M","81,49 M"
Despesas operacionais,"-188,38 M","-178,80 M","-170,34 M","-168,60 M","-160,61 M","-162,79 M","-150,55 M","-145,33 M","-139,74 M","-127,99 M","-127,61 M","-125,19 M","-120,71 M","-117,00 M","-110,26 M","-108,11 M","-104,51 M","-98,20 M","-93,09 M","-89,81 M","-91,91 M","-77,64 M","-80,04 M","-74,92 M","-85,65 M","-114,98 M","-83,24 M","-83,94 M","-80,69 M"
Despesas com vendas,0,"440,84 M","-148,29 M",0,0,"378,91 M","-130,51 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-189,26 M","-624,83 M","-23,24 M","-171,13 M","-162,50 M","-540,66 M","-20,43 M","-115,41 M","-138,54 M","-212,40 M","-102,41 M","-100,19 M","-117,09 M","-187,18 M","-84,70 M","-85,38 M","-80,42 M","-78,66 M","-75,57 M","-70,98 M","-70,37 M","-73,24 M","-61,95 M","-61,84 M","-67,31 M","-62,41 M","-63,86 M","-65,90 M","-80,69 M"
EBIT,"13,50 M","26,45 M","25,38 M","23,00 M","9,06 M","10,92 M","20,85 M","22,47 M","8,99 M","16,41 M","13,22 M","16,04 M","5,65 M","6,32 M","11,71 M","19,04 M","-1,44 M","838,00 Mil","-1,32 M","4,65 M","-6,28 M","6,81 M","4,20 M","-4,66 M","295,00 Mil","-29,01 M","3,25 M","4,04 M","798,00 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-18,15 M","-18,75 M","-16,57 M","-14,63 M","-14,16 M","-11,87 M","-7,24 M","-8,02 M","-7,64 M","-6,10 M","-5,60 M","-5,95 M","-7,40 M","-5,87 M","-4,46 M","-6,45 M","-6,08 M","-6,19 M","-406,00 Mil","-5,89 M","-4,59 M","-8,00 Mil","-4,88 M","-10,47 M","-9,07 M","55,30 M","-10,37 M","-9,60 M","-10,23 M"
Antes dos impostos,"-4,65 M","7,71 M","8,81 M","8,37 M","-5,10 M","-953,00 Mil","13,62 M","14,46 M","1,35 M","10,31 M","7,62 M","10,09 M","-1,75 M","451,00 Mil","7,25 M","12,59 M","-7,51 M","-5,35 M","-1,73 M","-1,24 M","-10,87 M","6,80 M","-677,00 Mil","-15,13 M","-8,78 M","26,28 M","-7,12 M","-5,56 M","-9,43 M"
Imposto,"6,17 M","1,70 M","-1,23 M","-2,91 M","5,23 M","4,45 M","-3,27 M","-3,48 M","-315,00 Mil","-1,08 M","-1,83 M","-2,14 M","138,00 Mil","2,49 M","-3,91 M","-322,00 Mil","322,00 Mil","20,28 M","167,00 Mil","-1,69 M","2,40 M","11,16 M","2,17 M","2,09 M","2,48 M","-16,22 M","1,20 M","913,00 Mil","2,45 M"
Op. continuadas,"1,51 M","9,41 M","7,57 M","5,46 M","131,00 Mil","3,50 M","10,35 M","10,98 M","1,03 M","9,23 M","5,79 M","7,95 M","-1,61 M","2,94 M","3,34 M","12,27 M","-7,19 M","14,93 M","-1,56 M","-2,93 M","-8,46 M","17,96 M","1,49 M","-13,04 M","-6,29 M","10,06 M","-5,92 M","-4,65 M","-6,98 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"1,51 M","9,41 M","7,57 M","5,46 M","131,00 Mil","3,50 M","10,35 M","10,98 M","1,03 M","9,23 M","5,79 M","7,95 M","-1,61 M","2,94 M","3,34 M","12,27 M","-7,19 M","14,93 M","-1,56 M","-2,93 M","-8,46 M","17,96 M","1,49 M","-13,04 M","-6,29 M","10,06 M","-5,92 M","-4,65 M","-6,98 M"
Dos controladores,0,0,0,0,0,"25,86 M",0,0,"1,03 M","21,36 M",0,0,"-1,61 M","11,36 M",0,0,"-7,19 M","1,98 M",0,0,"-8,46 M","17,96 M","1,49 M","-13,04 M","-6,29 M","10,06 M","-5,92 M","-4,65 M","-6,98 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
