Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019,4T2018
Ativo total,"335,02 M","206,37 M","223,85 M","222,04 M","188,49 M","194,57 M","213,81 M","216,61 M","242,55 M","282,31 M","299,38 M","317,52 M","359,39 M","394,11 M","421,81 M","348,67 M","365,77 M","406,61 M","401,94 M","402,45 M","184,13 M","199,77 M","263,94 M","161,75 M"
Ativo circulante,"229,10 M","93,71 M","95,58 M","106,59 M","66,16 M","68,45 M","83,41 M","78,59 M","97,14 M","140,80 M","145,60 M","157,54 M","201,54 M","251,43 M","279,26 M","279,05 M","298,86 M","341,08 M","341,97 M","346,92 M","129,25 M","144,39 M","202,64 M","119,86 M"
Caixa e eq. de caixa,"26,86 M","21,97 M","19,60 M","10,22 M","3,11 M","6,42 M","11,90 M","9,27 M","24,42 M","50,88 M","71,22 M","83,14 M","122,90 M","166,55 M","199,55 M","217,90 M","239,83 M","265,90 M","298,21 M","309,85 M","92,83 M","109,78 M","149,51 M","61,14 M"
Aplicações financeiras,"21,33 M","16,92 M","22,71 M","40,88 M","22,07 M","22,32 M","31,34 M","29,76 M","35,95 M","44,59 M","32,99 M","26,59 M","34,36 M","35,95 M","32,55 M","18,40 M","15,01 M","28,20 M","7,06 M","3,04 M",0,0,0,0
Contas a receber,"172,15 M","41,40 M","41,15 M","37,28 M","27,24 M","26,71 M","21,29 M","26,23 M","24,16 M","33,17 M","29,86 M","33,00 M","30,67 M","35,02 M","31,96 M","30,94 M","35,26 M","34,48 M","27,80 M","26,62 M","23,46 M","24,88 M","38,22 M","37,08 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"105,92 M","112,66 M","128,27 M","115,45 M","122,32 M","126,13 M","130,40 M","138,02 M","145,41 M","141,51 M","153,77 M","159,98 M","157,84 M","142,68 M","142,55 M","69,61 M","66,92 M","65,53 M","59,98 M","55,53 M","54,88 M","55,38 M","61,30 M","41,88 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"3,46 M","3,58 M","4,11 M","1,77 M","1,87 M","2,13 M","2,38 M","3,34 M","1,44 M","1,64 M","1,79 M","1,96 M","2,12 M","2,29 M","2,45 M","2,44 M","2,58 M","2,68 M","1,72 M","976,00 Mil","877,00 Mil","925,00 Mil","1,13 M","1,78 M"
Intangível,"88,44 M","93,28 M","97,61 M","101,52 M","105,66 M","109,88 M","112,05 M","116,09 M","119,96 M","123,65 M","126,60 M","129,34 M","131,37 M","132,82 M","135,25 M","65,64 M","62,86 M","61,39 M","56,81 M","53,12 M","52,58 M","53,04 M","58,86 M","40,09 M"
Passivo total,"335,02 M","206,37 M","223,85 M","222,04 M","188,49 M","194,57 M","213,81 M","216,61 M","242,55 M","282,31 M","299,38 M","317,52 M","359,39 M","394,11 M","421,81 M","348,67 M","365,77 M","406,61 M","401,94 M","402,45 M","184,13 M","199,77 M","263,94 M","161,75 M"
Passivo circulante,"273,54 M","266,13 M","271,34 M","286,54 M","285,67 M","285,33 M","273,43 M","275,17 M","292,20 M","338,32 M","332,65 M","310,40 M","326,54 M","362,73 M","341,70 M","326,58 M","313,47 M","333,62 M","314,01 M","299,91 M","315,82 M","336,37 M","289,62 M","274,86 M"
Fornecedores,"45,78 M","43,56 M","44,52 M","43,20 M","44,78 M","34,65 M","26,41 M","30,18 M","34,52 M","43,35 M","34,97 M","36,02 M","39,01 M","48,79 M","40,14 M","37,75 M","43,87 M","46,88 M","41,27 M","29,49 M","31,09 M","31,79 M","43,55 M","34,78 M"
Empréstimos e financ.,"38,14 M","30,53 M","22,21 M","38,29 M","32,18 M","44,94 M","41,88 M","40,80 M","48,32 M","81,33 M","70,04 M","53,25 M","56,47 M","58,89 M","49,48 M","47,23 M","26,28 M","20,29 M","23,74 M","28,75 M","26,79 M","50,58 M","34,03 M","28,81 M"
Passivo não circulante,"301,50 M","187,12 M","201,25 M","180,90 M","150,19 M","155,66 M","186,31 M","187,62 M","190,45 M","173,93 M","188,96 M","210,69 M","217,80 M","200,80 M","215,24 M","149,00 M","148,96 M","150,76 M","139,82 M","140,01 M","257,38 M","231,11 M","278,03 M","172,16 M"
Emprést. de longo prazo,"71,45 M","81,42 M","92,04 M","59,92 M","25,39 M","24,52 M","40,89 M","37,70 M","42,98 M","19,87 M","35,07 M","52,27 M","53,07 M","44,08 M","60,19 M","10,44 M","11,89 M","13,26 M","2,78 M","3,75 M","99,23 M","77,11 M","96,68 M","20,75 M"
Patrimônio líquido,"-240,02 M","-246,89 M","-248,75 M","-245,40 M","-247,37 M","-246,42 M","-245,93 M","-246,17 M","-240,09 M","-229,93 M","-222,24 M","-203,58 M","-184,96 M","-169,43 M","-135,13 M","-126,91 M","-96,66 M","-77,78 M","-51,89 M","-37,48 M","-389,07 M","-367,72 M","-303,70 M","-285,26 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,78 M","-3,11 M"
