Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"19,68 B","19,00 B","18,02 B","17,99 B","17,98 B","18,14 B","18,57 B","18,44 B","18,28 B","17,97 B","16,53 B","16,15 B","15,63 B","15,62 B","15,51 B","15,40 B","14,16 B","13,42 B","12,47 B","11,89 B","11,22 B","11,50 B","11,21 B","10,97 B","10,47 B","10,71 B","10,86 B","10,34 B","9,59 B","9,48 B","9,97 B","9,49 B","9,20 B","9,47 B","9,03 B","9,09 B","9,14 B","9,34 B","9,25 B","9,37 B","8,77 B","9,01 B","9,23 B","8,86 B","8,95 B","8,80 B","8,70 B","8,61 B","8,58 B","8,18 B","8,10 B","7,90 B","7,77 B","7,76 B","7,48 B","7,16 B","6,92 B","6,81 B","6,69 B","6,65 B","6,24 B","6,17 B","5,47 B"
Ativo circulante,"6,73 B","6,05 B","5,34 B","4,91 B","4,81 B","5,07 B","5,45 B","5,35 B","6,01 B","5,90 B","4,75 B","5,01 B","4,93 B","5,17 B","5,59 B","5,83 B","5,17 B","4,66 B","4,57 B","4,22 B","3,98 B","4,22 B","3,96 B","3,96 B","3,68 B","3,51 B","3,50 B","3,85 B","3,17 B","3,65 B","3,86 B","3,31 B","2,87 B","3,02 B","2,92 B","2,95 B","3,03 B","3,21 B","3,06 B","3,21 B","2,57 B","2,77 B","2,89 B","2,76 B","2,81 B","2,80 B","2,66 B","2,63 B","2,61 B","2,59 B","2,43 B","2,32 B","2,25 B","2,36 B","2,24 B","2,09 B","2,00 B","1,93 B","1,96 B","1,92 B","1,58 B","1,68 B","1,16 B"
Caixa e eq. de caixa,"2,76 B","2,18 B","1,20 B","861,95 M","1,12 B","1,23 B","1,69 B","2,07 B","2,82 B","2,79 B","1,62 B","1,65 B","1,49 B","1,77 B","1,93 B","1,96 B","1,57 B","1,42 B","1,41 B","1,33 B","1,26 B","1,73 B","1,56 B","1,60 B","1,33 B","1,24 B","1,05 B","1,22 B","635,40 M","1,16 B","1,04 B","826,52 M","800,79 M","1,07 B","918,21 M","1,04 B","1,22 B","1,42 B","1,25 B","1,37 B","747,54 M","910,72 M","961,65 M","963,18 M","1,01 B","1,08 B","813,12 M","834,59 M","873,11 M","996,84 M","831,88 M","835,43 M","857,09 M","1,03 B","857,74 M","808,01 M","766,60 M","726,16 M","710,99 M","759,76 M","501,75 M","616,55 M","300,92 M"
Aplicações financeiras,"366,90 M","350,54 M","303,96 M","599,55 M","367,63 M","522,30 M","459,16 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,48 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"1,22 B","1,13 B","1,23 B","1,23 B","1,24 B","1,28 B","1,52 B","1,43 B","1,34 B","1,22 B","1,23 B","1,37 B","1,33 B","1,47 B","1,57 B","1,72 B","1,55 B","1,50 B","1,59 B","1,43 B","1,31 B","1,32 B","1,32 B","1,13 B","1,11 B","1,17 B","1,27 B","1,47 B","1,43 B","1,52 B","1,72 B","1,20 B","988,43 M","1,03 B","965,42 M","872,66 M","917,15 M","883,20 M","866,52 M","864,86 M","878,01 M","903,96 M","1,00 B","941,18 M","1,03 B","959,17 M","1,10 B","992,71 M","980,35 M","955,74 M","1,03 B","917,14 M","834,93 M","829,59 M","896,11 M","762,59 M","714,55 M","689,09 M","732,25 M","652,44 M","586,71 M","592,11 M","479,94 M"
Estoques,"1,77 B","1,76 B","1,92 B","1,80 B","1,70 B","1,64 B","1,38 B","1,48 B","1,48 B","1,54 B","1,53 B","1,62 B","1,71 B","1,60 B","1,76 B","1,80 B","1,72 B","1,43 B","1,25 B","1,17 B","1,12 B","924,74 M","892,58 M","962,71 M","983,67 M","853,29 M","970,93 M","951,68 M","933,58 M","797,30 M","847,05 M","876,31 M","785,87 M","760,09 M","836,86 M","875,55 M","784,44 M","802,50 M","844,64 M","826,44 M","812,54 M","796,57 M","778,42 M","741,29 M","678,24 M","650,69 M","622,04 M","661,76 M","659,91 M","546,95 M","479,21 M","465,67 M","458,32 M","414,63 M","394,70 M","411,50 M","410,21 M","411,43 M","404,64 M","392,56 M","384,77 M","362,29 M","262,05 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"12,94 B","12,95 B","12,68 B","13,08 B","13,17 B","13,08 B","13,12 B","13,08 B","12,27 B","12,07 B","11,78 B","11,15 B","10,70 B","10,45 B","9,92 B","9,57 B","8,99 B","8,76 B","7,90 B","7,67 B","7,24 B","7,28 B","7,25 B","7,01 B","6,78 B","7,20 B","7,37 B","6,50 B","6,42 B","5,83 B","6,12 B","6,17 B","6,33 B","6,44 B","6,11 B","6,14 B","6,12 B","6,13 B","6,18 B","6,17 B","6,20 B","6,24 B","6,35 B","6,10 B","6,14 B","6,00 B","6,04 B","5,98 B","5,97 B","5,59 B","5,67 B","5,58 B","5,52 B","5,39 B","5,25 B","5,07 B","4,92 B","4,88 B","4,74 B","4,72 B","4,66 B","4,49 B","4,30 B"
Investimentos,"2,42 B","2,41 B","2,33 B","2,41 B","2,38 B","2,40 B","2,26 B","2,25 B","1,97 B","1,86 B","1,84 B","1,73 B","1,70 B","1,75 B","1,64 B","1,56 B","1,33 B","1,31 B","1,12 B","1,07 B","1,02 B","963,44 M","846,16 M","563,47 M","487,70 M","127,01 M","83,04 M","50,57 M","50,75 M","50,97 M","12,83 M","9,03 M","9,55 M","7,90 M","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","921,00 Mil","10,47 M","1,52 M","1,51 M","2,29 M","2,21 M","1,45 M","122,22 M","177,95 M","173,27 M","164,31 M","174,48 M","108,28 M","772,00 Mil","772,00 Mil","772,00 Mil","652,00 Mil","652,00 Mil","652,00 Mil","652,00 Mil","652,00 Mil"
Imobilizado,"4,28 B","4,35 B","4,58 B","4,59 B","4,60 B","4,62 B","4,48 B","4,46 B","4,36 B","4,31 B","4,16 B","4,07 B","3,96 B","3,95 B","3,87 B","3,77 B","3,64 B","3,63 B","3,54 B","3,47 B","3,46 B","3,51 B","3,54 B","3,58 B","3,54 B","3,57 B","3,53 B","3,23 B","3,20 B","3,24 B","3,31 B","3,35 B","3,38 B","3,49 B","3,47 B","3,52 B","3,54 B","3,57 B","3,63 B","3,65 B","3,71 B","3,76 B","3,80 B","3,73 B","3,76 B","3,72 B","3,75 B","3,74 B","3,74 B","3,46 B","3,44 B","3,36 B","3,31 B","3,26 B","3,18 B","3,11 B","2,97 B","2,94 B","2,83 B","2,82 B","2,78 B","2,70 B","2,59 B"
