Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"138,91 M","123,84 M","140,22 M","140,23 M","152,18 M","146,64 M","150,32 M","138,38 M","128,90 M","134,96 M","130,71 M","120,62 M","109,19 M","116,80 M","123,21 M","130,31 M","121,82 M","111,20 M","115,20 M","87,18 M","72,97 M","62,98 M","59,72 M","69,40 M","59,68 M","66,89 M","65,47 M","78,93 M","87,90 M","63,15 M","68,29 M","57,62 M","57,90 M","47,15 M","44,43 M","46,39 M","30,44 M","27,84 M","20,74 M","31,25 M","37,86 M","32,51 M","41,35 M","36,74 M","36,04 M","33,40 M","42,48 M","46,50 M","48,94 M","45,03 M","44,71 M","45,53 M","45,09 M","37,50 M","51,27 M","50,08 M","44,93 M","39,13 M","43,76 M","44,97 M","44,33 M","39,87 M","42,87 M","34,84 M","28,31 M"
Custos,"-109,25 M","-101,78 M","-114,86 M","-116,99 M","-110,31 M","-104,03 M","-101,24 M","-100,95 M","-90,66 M","-102,00 M","-101,79 M","-91,33 M","-82,65 M","-94,80 M","-97,03 M","-99,94 M","-88,82 M","-86,23 M","-84,56 M","-68,44 M","-54,70 M","-47,91 M","-44,66 M","-49,22 M","-46,26 M","-53,39 M","-49,18 M","-61,64 M","-70,31 M","-56,03 M","-52,50 M","-43,62 M","-44,16 M","-43,65 M","-33,65 M","-35,64 M","-24,96 M","-25,49 M","-20,65 M","-26,22 M","-27,66 M","-23,20 M","-29,68 M","-29,46 M","-26,75 M","-27,21 M","-31,65 M","-34,19 M","-34,23 M","-34,19 M","-32,52 M","-32,50 M","-33,80 M","-28,98 M","-38,10 M","-34,89 M","-32,27 M","-29,54 M","-30,33 M","-33,72 M","-32,63 M","-31,52 M","-32,26 M","-25,48 M","-21,53 M"
Lucro bruto,"29,67 M","22,06 M","25,36 M","23,24 M","41,87 M","42,61 M","49,08 M","37,42 M","38,24 M","32,96 M","28,92 M","29,29 M","26,54 M","22,01 M","26,18 M","30,38 M","33,00 M","24,98 M","30,64 M","18,74 M","18,26 M","15,07 M","15,05 M","20,18 M","13,42 M","13,51 M","16,29 M","17,29 M","17,59 M","7,12 M","15,79 M","14,01 M","13,74 M","3,50 M","10,78 M","10,75 M","5,47 M","2,34 M","91,00 Mil","5,03 M","10,20 M","9,30 M","11,66 M","7,28 M","9,30 M","6,19 M","10,82 M","12,31 M","14,71 M","10,84 M","12,18 M","13,04 M","11,30 M","8,52 M","13,17 M","15,19 M","12,66 M","9,59 M","13,43 M","11,26 M","11,69 M","8,35 M","10,60 M","9,36 M","6,78 M"
Despesas operacionais,"-16,47 M","-18,50 M","-17,08 M","-20,28 M","-625,00 Mil","-14,39 M","-17,18 M","-18,20 M","-17,25 M","-17,97 M","-15,40 M","-16,13 M","-13,18 M","-10,62 M","-13,78 M","-13,83 M","-14,74 M","-10,18 M","-15,27 M","-11,84 M","-10,84 M","-6,66 M","-6,57 M","-10,43 M","-8,05 M","-10,77 M","-7,84 M","-10,55 M","-8,45 M","-2,79 M","-10,98 M","-9,52 M","-7,63 M","34,66 M","-5,73 M","-6,26 M","-5,06 M","7,88 M","-5,21 M","-10,14 M","-7,15 M","-5,61 M","-6,06 M","-7,03 M","-10,27 M","-6,46 M","-7,58 M","-8,35 M","-8,32 M","-8,04 M","-7,03 M","-7,30 M","-6,88 M","-7,22 M","-9,42 M","-7,85 M","-7,81 M","-6,59 M","-7,25 M","-6,97 M","-6,98 M","-4,22 M","-6,29 M","-5,48 M","-4,29 M"
Despesas com vendas,"-6,38 M","-6,84 M","-8,85 M","-7,35 M","-6,64 M","-6,29 M","-5,88 M","-5,53 M","-5,70 M","-6,61 M","-5,68 M","-5,08 M","-4,91 M","-4,86 M","-5,25 M","-5,74 M","-6,39 M","-5,74 M","-7,09 M","-4,71 M","-4,23 M","-3,58 M","-3,79 M","-3,58 M","-6,06 M","-5,32 M","-2,42 M","-3,84 M","-4,01 M","-5,06 M","-5,72 M","-5,19 M","-3,98 M","-3,43 M","-3,08 M","-3,17 M","-2,21 M","-2,31 M","-2,16 M","-2,77 M","-3,19 M","-2,52 M","-2,71 M","-2,75 M","-2,73 M","-2,83 M","-3,46 M","-3,64 M","-4,09 M","-2,97 M","-3,14 M","-3,16 M","-2,85 M","-2,59 M","-3,31 M","-2,91 M","-2,66 M","-2,51 M","-2,68 M","-3,00 M","-2,96 M","-3,54 M","-3,06 M","-2,87 M","-2,23 M"
Despesas administrativas,"-11,60 M","-16,69 M","-10,71 M","-13,68 M","-13,58 M","-13,31 M","-11,81 M","-14,27 M","-11,78 M","-13,01 M","-10,54 M","-9,99 M","-9,16 M","-9,21 M","-9,25 M","-9,68 M","-8,81 M","-9,74 M","-8,09 M","-7,41 M","-6,74 M","-6,45 M","-6,13 M","-5,44 M","-5,89 M","-5,01 M","-5,43 M","-5,75 M","-4,74 M","-5,27 M","-4,63 M","-4,23 M","-4,10 M","-4,28 M","-3,66 M","-3,27 M","-3,30 M","-3,39 M","-3,24 M","-3,69 M","-3,88 M","-3,84 M","-3,55 M","-3,81 M","-4,13 M","-5,11 M","-4,29 M","-4,73 M","-4,94 M","-5,53 M","-4,38 M","-4,33 M","-4,37 M","-4,45 M","-4,69 M","-4,85 M","-4,65 M","-3,88 M","-4,20 M","-4,21 M","-3,69 M","-4,28 M","-3,60 M","-3,63 M","-4,02 M"
EBIT,"13,20 M","3,56 M","8,28 M","2,95 M","41,24 M","28,22 M","31,90 M","19,23 M","20,99 M","14,99 M","13,51 M","13,17 M","13,36 M","11,38 M","12,40 M","16,55 M","18,25 M","14,79 M","15,37 M","6,90 M","7,43 M","8,41 M","8,48 M","9,75 M","5,37 M","2,73 M","8,45 M","6,74 M","9,14 M","4,33 M","4,81 M","4,48 M","6,11 M","38,16 M","5,05 M","4,50 M","416,00 Mil","10,22 M","-5,12 M","-5,11 M","3,06 M","3,70 M","5,60 M","243,00 Mil","-976,00 Mil","-270,00 Mil","3,24 M","3,96 M","6,39 M","2,80 M","5,16 M","5,74 M","4,42 M","1,30 M","3,75 M","7,35 M","4,85 M","2,99 M","6,18 M","4,28 M","4,71 M","4,12 M","4,32 M","3,88 M","2,49 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,36 M","-545,00 Mil","12,01 M","1,73 M","4,01 M","-5,46 M","-4,61 M","-4,77 M","-4,02 M","10,23 M","-2,99 M","-5,01 M","-2,62 M","-3,41 M","-4,26 M","-2,37 M","-5,30 M","-1,24 M","-1,28 M","-1,14 M","282,00 Mil","-1,88 M","7,46 M","-4,31 M","-2,82 M","-1,07 M","-1,93 M","-1,93 M","-2,70 M","-3,60 M","-1,02 M","-1,86 M","-957,00 Mil","-2,19 M","-1,55 M","-1,05 M","-567,00 Mil","-1,49 M","-1,30 M","-923,00 Mil","-2,33 M","-1,15 M","-2,90 M","-2,44 M","-3,08 M","-878,00 Mil","-464,00 Mil","-1,29 M","-1,62 M","-1,18 M","-886,00 Mil","-650,00 Mil","-1,84 M","-2,00 M","-1,02 M","-1,82 M","-747,00 Mil","-1,48 M","-1,66 M","-970,00 Mil","-1,54 M","-2,02 M","-1,22 M","-1,65 M","-2,00 M"
Antes dos impostos,"11,84 M","3,02 M","20,28 M","4,69 M","45,25 M","22,76 M","27,29 M","14,46 M","16,97 M","25,22 M","10,52 M","8,16 M","10,73 M","7,97 M","8,14 M","14,18 M","12,95 M","13,56 M","14,09 M","5,76 M","7,71 M","6,54 M","15,95 M","5,44 M","2,54 M","1,66 M","6,53 M","4,81 M","6,45 M","731,00 Mil","3,79 M","2,62 M","5,15 M","35,97 M","3,50 M","3,45 M","-151,00 Mil","8,73 M","-6,42 M","-6,03 M","726,00 Mil","2,55 M","2,70 M","-2,20 M","-4,05 M","-1,15 M","2,78 M","2,67 M","4,76 M","1,62 M","4,27 M","5,09 M","2,58 M","-705,00 Mil","2,73 M","5,53 M","4,10 M","1,51 M","4,52 M","3,31 M","3,17 M","2,10 M","3,10 M","2,23 M","491,00 Mil"
