Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,24","6,39","3,99","9,27","13,52","13,12","-17,69","-32,59","16,38","13,22","-5,45","31,05","10,73","17,20","19,68","19,62","10,12","27,13"
P/VP,"1,29","1,38","1,05","1,93","1,44","2,30","133,49","13,27","9,58","7,88","10,52","2,14","2,93","3,30","3,94","3,99","3,35","9,31"
P/EBIT,"1,26","1,32","1,02","1,90","2,15","3,11","8,66","7,60","5,18","4,28","6,79","3,55","4,56","7,13","9,16","9,53","6,16","10,86"
P/EBIT *,"1,34","1,39","1,01","1,79","2,06","3,13","5,74","4,02","5,24","4,33","4,90","3,57","5,90","7,38","9,55","9,53","8,90","10,88"
PSR,"0,45","0,49","0,37","0,60","0,55","1,05","1,88","1,53","1,94","1,69","1,86","1,24","1,72","2,59","3,98","4,11","4,18","5,11"
P/Ativos,"0,14","0,15","0,12","0,20","0,18","0,30","0,68","0,52","0,61","0,66","0,80","0,43","0,76","1,05","1,43","1,81","1,43","1,87"
LPA,"1,05","1,27","1,30","0,82","0,35","0,53","-0,61","-0,27","0,54","0,56","-1,39","0,16","0,68","0,57","0,61","0,55","0,85","0,30"
VPA,"5,88","5,89","4,92","3,93","3,31","3,04","0,08","0,65","0,92","0,95","0,72","2,27","2,48","2,98","3,03","2,70","2,56","0,89"
EBIT por ação,"6,01","6,15","5,06","4,00","2,21","2,25","1,24","1,14","1,70","1,74","1,11","1,37","1,59","1,38","1,30","1,13","1,39","0,76"
EBIT por ação *,"5,65","5,85","5,11","4,23","2,32","2,24","1,88","2,16","1,68","1,72","1,54","1,36","1,23","1,33","1,25","1,13","0,96","0,76"
Ativo por ação,"53,91","53,28","42,07","37,28","26,01","23,54","15,93","16,58","14,39","11,22","9,48","11,29","9,62","9,34","8,34","5,97","5,98","4,42"
Receita líquida por ação,"16,74","16,55","14,18","12,70","8,70","6,68","5,74","5,68","4,55","4,40","4,06","3,93","4,22","3,79","3,00","2,62","2,05","1,62"
Margem bruta,"37,18%","38,76%","39,59%","36,80%","31,79%","39,55%","41,08%","38,05%","43,84%","46,41%","45,37%","45,83%","41,40%","48,97%","54,51%","55,63%","56,32%","56,46%"
Margem líquida,"6,08%","7,52%","9,25%","6,75%","3,86%","7,90%","-10,60%","-4,69%","12,06%","13,45%","-33,55%","4,23%","16,15%","15,14%","20,46%","21,21%","41,61%","19,08%"
Margem EBIT,"35,92%","37,16%","35,68%","31,46%","25,45%","33,71%","21,64%","20,13%","37,37%","39,52%","27,38%","34,87%","37,77%","36,36%","43,45%","43,14%","67,91%","47,04%"
Margem EBIT *,"33,78%","35,34%","36,05%","33,32%","26,66%","33,56%","32,64%","38,05%","36,92%","39,07%","37,92%","34,66%","29,19%","35,14%","41,69%","43,15%","47,05%","46,95%"
Margem EBITDA,"49,68%","48,95%","45,65%","40,48%","35,04%","48,56%","35,32%","34,49%","51,05%","53,16%","39,39%","47,45%","48,29%","45,33%","53,22%","52,34%","77,74%","56,94%"
