Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,56 B","3,38 B","2,99 B","2,72 B","2,43 B","2,80 B","2,54 B","2,41 B","2,13 B","2,66 B","2,57 B","2,01 B","1,60 B","1,91 B","1,67 B","1,34 B","1,14 B","1,29 B","1,26 B","1,10 B","1,01 B","1,06 B","1,06 B","907,76 M","970,03 M","1,11 B","976,54 M","977,98 M","889,19 M","872,67 M","773,89 M","721,14 M","788,30 M","814,97 M","796,62 M","741,82 M","712,95 M","745,53 M","755,36 M","664,65 M","663,46 M","693,59 M","693,35 M","663,24 M","685,54 M","735,20 M","712,26 M","827,30 M","662,24 M","717,48 M","699,36 M","653,89 M","568,33 M","634,24 M","605,51 M","442,60 M","405,17 M","492,67 M","471,02 M","441,28 M","422,40 M","367,09 M","355,34 M","336,66 M","368,44 M"
Custos,"-1,68 B","-2,22 B","-1,79 B","-1,63 B","-1,41 B","-1,80 B","-1,51 B","-1,46 B","-1,19 B","-1,69 B","-1,68 B","-1,26 B","-954,47 M","-1,18 B","-1,22 B","-985,20 M","-753,20 M","-810,70 M","-768,21 M","-675,89 M","-557,08 M","-612,07 M","-632,22 M","-584,97 M","-527,56 M","-700,53 M","-588,64 M","-617,99 M","-541,84 M","-538,98 M","-431,16 M","-398,67 M","-395,21 M","-464,00 M","-432,20 M","-406,57 M","-340,39 M","-498,18 M","-406,54 M","-340,71 M","-300,01 M","-364,73 M","-373,89 M","-381,66 M","-361,55 M","-433,47 M","-385,53 M","-572,69 M","-329,47 M","-360,25 M","-405,22 M","-335,50 M","-245,63 M","-250,68 M","-320,52 M","-207,49 M","-170,85 M","-181,35 M","-218,52 M","-211,59 M","-199,36 M","-164,35 M","-145,14 M","-144,27 M","-169,85 M"
Lucro bruto,"881,68 M","1,16 B","1,20 B","1,09 B","1,01 B","1,00 B","1,02 B","953,57 M","932,62 M","968,06 M","886,22 M","750,54 M","649,87 M","731,58 M","456,97 M","351,72 M","386,40 M","474,61 M","494,21 M","422,27 M","448,80 M","451,43 M","426,29 M","322,79 M","442,46 M","408,65 M","387,90 M","359,99 M","347,35 M","333,69 M","342,74 M","322,48 M","393,10 M","350,97 M","364,42 M","335,25 M","372,57 M","247,35 M","348,82 M","323,94 M","363,45 M","328,86 M","319,46 M","281,58 M","324,00 M","301,73 M","326,73 M","254,61 M","332,77 M","357,23 M","294,13 M","318,39 M","322,70 M","383,56 M","285,00 M","235,11 M","234,31 M","311,32 M","252,51 M","229,69 M","223,04 M","202,74 M","210,20 M","192,39 M","198,58 M"
Despesas operacionais,"-47,17 M","-122,58 M","109,43 M","-87,43 M","-82,90 M","-135,86 M","-93,15 M","-71,04 M","-86,58 M","-284,22 M","-72,99 M","-66,67 M","-48,17 M","-176,62 M","-77,07 M","-62,09 M","-68,51 M","-128,19 M","-24,84 M","-59,15 M","-59,79 M","-513,66 M","-82,53 M","-112,08 M","-68,97 M","-35,94 M","-548,65 M","-63,72 M","-59,87 M","-65,03 M","-49,49 M","-45,69 M","-40,41 M","-60,35 M","-50,05 M","-48,80 M","-52,32 M","24,55 M","-81,80 M","-383,63 M","-68,21 M","-77,22 M","-73,27 M","-74,43 M","-84,37 M","-104,19 M","-110,04 M","-67,52 M","175,32 M","-139,57 M","-39,41 M","-84,70 M","-69,11 M","-108,58 M","-43,52 M","-49,62 M","-29,20 M","-103,00 M","-44,60 M","-51,31 M","-29,37 M","-43,77 M","-35,66 M","-28,70 M","273,66 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-35,99 M","-32,68 M","-29,45 M","-22,13 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-87,74 M","-125,25 M","-94,13 M","-90,15 M","-83,76 M","-94,44 M","-93,59 M","-75,49 M","-86,84 M","-93,62 M","-73,44 M","-67,17 M","-73,56 M","-106,48 M","-64,54 M","-70,46 M","-69,47 M","-82,06 M","-73,05 M","-62,31 M","-61,15 M","-132,08 M","-69,29 M","-65,12 M",0,"208,56 M","-81,77 M","-66,42 M","-60,37 M","-69,13 M","-50,29 M","-46,05 M","-49,38 M","-66,09 M","-57,55 M","-48,77 M","-52,71 M","60,24 M","-49,71 M","-53,58 M","-47,46 M","-80,25 M","-74,29 M","-75,24 M","-75,90 M","-92,98 M","-102,88 M","-69,40 M","-93,22 M","-170,03 M","-39,71 M","-83,28 M","-72,08 M","-147,74 M","-45,72 M","-47,18 M","-27,13 M","-102,96 M","-44,63 M","-51,37 M","-29,14 M","-36,21 M","-35,74 M","-29,53 M","-30,84 M"
EBIT,"834,51 M","1,04 B","1,31 B","1,00 B","930,51 M","865,09 M","928,62 M","882,53 M","846,05 M","683,84 M","813,23 M","683,88 M","601,70 M","554,96 M","379,90 M","289,63 M","317,89 M","346,42 M","469,38 M","363,12 M","389,01 M","-62,23 M","343,76 M","210,71 M","373,50 M","372,71 M","-160,75 M","296,27 M","287,48 M","268,66 M","293,25 M","276,79 M","352,69 M","290,62 M","314,37 M","286,44 M","320,25 M","271,90 M","267,02 M","-59,69 M","295,24 M","251,64 M","246,19 M","207,15 M","239,63 M","197,54 M","216,70 M","187,09 M","508,09 M","217,65 M","254,72 M","233,69 M","253,59 M","274,98 M","241,47 M","185,48 M","205,12 M","208,32 M","207,91 M","178,37 M","193,67 M","158,97 M","174,53 M","163,69 M","472,25 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-763,15 M","-611,44 M","-639,22 M","-614,21 M","-623,60 M","-539,19 M","-447,82 M","-402,47 M","-412,56 M","-375,68 M","-379,24 M","-403,94 M","-343,06 M","-295,93 M","-185,02 M","-286,40 M","-264,75 M","-248,51 M","-256,82 M","-165,98 M","-244,14 M","-287,53 M","-202,22 M","-103,83 M","-193,08 M","-212,45 M","-180,39 M","-176,30 M","-130,92 M","-100,93 M","-129,34 M","-122,83 M","-107,43 M","-113,55 M","-93,33 M","-119,84 M","-128,71 M","-117,44 M","-135,20 M","-145,28 M","-156,44 M","-162,01 M","-178,92 M","-140,86 M","-181,42 M","-115,14 M","-80,73 M","-95,04 M","-101,59 M","-96,26 M","-67,94 M","-86,67 M","-74,61 M","-82,17 M","-74,15 M","-49,00 M","-36,21 M","-46,25 M","-45,80 M","-43,06 M","-47,97 M","-45,85 M","-35,82 M","-52,22 M","-65,57 M"
Antes dos impostos,"71,36 M","426,73 M","669,95 M","389,61 M","306,91 M","325,91 M","480,80 M","480,06 M","433,49 M","308,16 M","433,99 M","279,94 M","258,64 M","259,03 M","194,88 M","3,23 M","53,15 M","97,91 M","212,55 M","197,14 M","144,87 M","-349,76 M","141,54 M","106,88 M","180,42 M","160,25 M","-341,15 M","119,96 M","156,55 M","167,73 M","163,90 M","153,95 M","245,26 M","177,07 M","221,04 M","166,60 M","191,54 M","154,46 M","131,82 M","-204,97 M","138,80 M","89,62 M","67,26 M","66,30 M","58,21 M","82,40 M","135,96 M","92,05 M","406,49 M","121,40 M","186,78 M","147,02 M","178,98 M","192,80 M","167,33 M","136,48 M","168,91 M","162,07 M","162,10 M","135,31 M","145,71 M","113,13 M","138,72 M","111,47 M","406,67 M"
Imposto,"-93,25 M","-327,04 M","-238,62 M","-189,84 M","-170,24 M","-187,10 M","-216,22 M","-207,55 M","-195,93 M","-178,59 M","-203,68 M","-156,23 M","-145,60 M","-137,55 M","-73,71 M","-16,30 M","-41,33 M","-87,65 M","-70,90 M","-69,78 M","-56,89 M","-277,98 M","-66,91 M","-71,59 M","-80,58 M","-78,16 M","-67,49 M","-62,67 M","-72,59 M","-85,68 M","-69,86 M","-72,31 M","-95,01 M","-72,43 M","-91,54 M","-82,23 M","-90,07 M","-62,23 M","-61,39 M","-292,22 M","-64,11 M","-50,40 M","-44,06 M","-35,87 M","-28,87 M","-25,33 M","-55,73 M","-39,78 M","-121,82 M","-34,20 M","-75,17 M","-58,44 M","-66,86 M","-60,96 M","-66,45 M","-50,61 M","-60,46 M","-58,17 M","-58,28 M","-48,17 M","-52,99 M","-41,14 M","-52,85 M","-39,96 M","-42,00 M"
Op. continuadas,"-21,89 M","99,70 M","431,32 M","199,77 M","136,68 M","138,81 M","264,57 M","272,51 M","237,56 M","129,57 M","230,31 M","123,71 M","113,03 M","121,48 M","121,17 M","-13,06 M","11,81 M","10,26 M","141,66 M","127,36 M","87,98 M","-627,74 M","74,62 M","35,30 M","99,84 M","82,09 M","-408,63 M","57,30 M","83,96 M","82,05 M","94,04 M","81,64 M","150,24 M","104,64 M","129,50 M","84,38 M","101,47 M","92,23 M","70,44 M","-497,19 M","74,69 M","39,23 M","23,20 M","30,43 M","29,34 M","57,07 M","80,23 M","52,27 M","284,68 M","87,19 M","111,62 M","88,58 M","112,13 M","131,84 M","100,88 M","85,87 M","108,45 M","103,89 M","103,82 M","87,14 M","92,71 M","71,99 M","85,87 M","71,51 M","364,67 M"
Op. descontinuadas,"-240,00 Mil","-113,00 Mil","-21,00 Mil","-516,00 Mil",0,0,0,0,0,0,0,0,0,"-7,34 M",0,0,0,0,0,0,0,"-3,00 M","-3,00 M",0,0,"-2,87 M",0,"2,69 M",0,"-15,01 M","-16,00 Mil","-2,10 M","-1,07 M","-4,24 M","499,00 Mil","-3,68 M","-231,00 Mil",0,0,0,"-689,30 M","6,14 M","-5,31 M","-7,25 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-22,13 M","99,58 M","431,30 M","199,25 M","136,68 M","138,81 M","264,57 M","272,51 M","237,56 M","129,57 M","230,31 M","123,71 M","113,03 M","114,14 M","121,17 M","-13,06 M","11,81 M","10,26 M","141,66 M","127,36 M","87,98 M","-630,74 M","71,62 M","35,30 M","99,84 M","79,23 M","-408,63 M","59,98 M","83,96 M","67,03 M","94,03 M","79,54 M","149,17 M","100,40 M","130,00 M","80,70 M","101,24 M","92,23 M","70,44 M","-497,19 M","-614,61 M","45,37 M","17,89 M","23,17 M","29,34 M","57,07 M","80,23 M","52,27 M","284,68 M","87,19 M","111,62 M","88,58 M","112,13 M","131,84 M","100,88 M","85,87 M","108,45 M","103,89 M","103,82 M","87,14 M","92,71 M","71,99 M","85,87 M","71,51 M","364,67 M"
Dos controladores,"-10,09 M","105,23 M","430,03 M","203,94 M","146,65 M","142,12 M","262,55 M","268,06 M","231,37 M","117,68 M","219,03 M","120,10 M","112,75 M","108,56 M","128,24 M","-7,02 M","15,91 M","12,97 M","143,72 M","127,36 M","87,98 M","-630,74 M","71,62 M","35,30 M","99,84 M","79,23 M","-408,63 M","59,98 M","83,96 M","67,03 M","91,69 M","78,33 M","145,10 M","92,93 M","125,34 M","76,42 M","97,79 M","88,74 M","67,08 M","-499,82 M","-620,62 M","40,61 M","20,10 M","19,62 M","28,65 M","53,89 M","77,36 M","52,24 M","288,41 M","88,29 M","111,29 M","87,11 M","111,16 M","130,54 M","99,69 M","84,42 M","107,43 M","102,78 M","102,74 M","85,91 M","91,58 M","70,98 M","84,99 M","70,37 M","363,95 M"
Dos não controladores,"-12,04 M","-5,64 M","1,28 M","-4,69 M","-9,97 M","-3,31 M","2,02 M","4,46 M","6,19 M","11,89 M","11,28 M","3,61 M","283,00 Mil","5,58 M","-7,08 M","-6,04 M","-4,10 M","-2,71 M","-2,07 M",0,0,0,0,0,0,0,0,0,0,"2,00 Mil","2,34 M","1,21 M","4,07 M","7,46 M","4,65 M","4,28 M","3,45 M","3,49 M","3,36 M","2,63 M","6,01 M","4,76 M","-2,21 M","3,55 M","690,00 Mil","3,18 M","2,87 M","30,00 Mil","-3,73 M","-1,10 M","326,00 Mil","1,46 M","971,00 Mil","1,31 M","1,20 M","1,45 M","1,02 M","1,11 M","1,08 M","1,23 M","1,13 M","1,01 M","873,00 Mil","1,15 M","719,00 Mil"
