Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"3,41 B","3,42 B","3,34 B","3,09 B","3,01 B","3,27 B","2,54 B","2,80 B","2,61 B","2,71 B","2,51 B","2,61 B","2,91 B","3,10 B","2,75 B","3,00 B","3,06 B","2,77 B","3,39 B","3,13 B","3,25 B","3,77 B","3,21 B","2,69 B","2,59 B","2,80 B","2,49 B","2,18 B","2,34 B","2,30 B","2,49 B","2,13 B","1,87 B","2,07 B","1,65 B","1,68 B","1,61 B","1,67 B","1,60 B","1,57 B","1,60 B","1,71 B","1,64 B","1,54 B","1,62 B","1,73 B","1,74 B","1,36 B","1,64 B","1,49 B","1,42 B","1,27 B","1,39 B","1,27 B","1,30 B","1,19 B","1,15 B","1,10 B","1,15 B","1,06 B","1,02 B","1,11 B","1,08 B","964,25 M","945,52 M"
Custos,"-1,58 B","-1,98 B","-1,85 B","-1,66 B","-1,37 B","-1,67 B","-1,23 B","-1,11 B","-1,09 B","-1,33 B","-1,19 B","-1,08 B","-1,23 B","-1,69 B","-1,66 B","-1,44 B","-1,54 B","-882,01 M","-1,99 B","-1,91 B","-1,85 B","-1,63 B","-2,04 B","-1,58 B","-1,54 B","-1,73 B","-1,42 B","-1,24 B","-1,26 B","-1,33 B","-1,58 B","-1,02 B","-943,58 M","-1,16 B","-1,07 B","-946,97 M","-826,35 M","-950,88 M","-910,04 M","-924,25 M","-916,28 M","-844,77 M","-970,16 M","-1,06 B","-930,59 M","-941,28 M","-818,80 M","-1,16 B","-1,05 B","-939,26 M","-709,31 M","-648,63 M","-614,48 M","-569,43 M","-524,27 M","-508,25 M","-528,98 M","-468,98 M","-528,40 M","-448,88 M","-414,36 M","-500,47 M","-478,17 M","-462,08 M","-447,36 M"
Lucro bruto,"1,83 B","1,44 B","1,50 B","1,43 B","1,64 B","1,60 B","1,30 B","1,69 B","1,52 B","1,38 B","1,32 B","1,53 B","1,68 B","1,41 B","1,09 B","1,55 B","1,53 B","1,89 B","1,40 B","1,22 B","1,40 B","2,14 B","1,17 B","1,10 B","1,06 B","1,07 B","1,07 B","932,61 M","1,08 B","976,23 M","905,40 M","1,11 B","925,27 M","902,84 M","588,72 M","734,97 M","779,56 M","715,33 M","692,78 M","646,44 M","686,37 M","864,43 M","669,86 M","487,28 M","687,38 M","786,80 M","917,77 M","201,48 M","591,66 M","548,69 M","707,15 M","624,74 M","776,40 M","697,98 M","772,98 M","686,12 M","624,49 M","627,31 M","622,29 M","608,96 M","607,77 M","607,10 M","604,88 M","502,17 M","498,17 M"
Despesas operacionais,"31,94 M","37,58 M","30,36 M","112,29 M","81,53 M","89,32 M","78,60 M","2,96 M","1,40 B","193,80 M","156,27 M","-52,84 M","155,92 M","80,42 M","127,77 M","-96,16 M","114,50 M","-1,14 B","111,87 M","-91,92 M","103,85 M","-70,12 M","40,80 M","94,67 M","40,90 M","7,99 M","283,73 M","-84,19 M","-64,15 M","-73,11 M","-56,27 M","-72,61 M","-49,70 M","-22,32 M","-42,06 M","-46,59 M","-44,90 M","-174,81 M","-44,06 M","-52,66 M","-47,77 M","-59,34 M","-51,18 M","-50,27 M","-44,32 M","-53,03 M","-47,50 M","-48,99 M","-45,23 M","-125,25 M","-47,66 M","-49,82 M","-47,02 M","-86,67 M","-62,08 M","-47,33 M","-46,20 M","6,29 M","-26,00 M","-4,12 M","-33,91 M","-34,79 M","-27,77 M","20,92 M","-20,51 M"
Despesas com vendas,"-13,27 M","-16,68 M","-15,61 M","-21,49 M","-14,92 M","-21,46 M","-15,88 M","-14,78 M","-12,49 M","-15,86 M","-13,79 M","-16,32 M","-11,96 M","-6,52 M","-6,73 M","-6,96 M","8,31 M","-8,42 M","-7,25 M","-7,07 M","-6,21 M","-7,10 M","-6,77 M","-5,94 M","-5,56 M","-10,64 M","-5,41 M","-5,75 M","-4,76 M","-3,88 M","5,33 M","-4,33 M","-3,86 M","-4,89 M","-3,65 M","-4,92 M","-3,88 M","-3,84 M","-4,13 M","-4,63 M","-4,65 M","-3,85 M","-4,23 M","-4,37 M","-5,01 M","-4,24 M","-3,83 M","-4,75 M","-4,40 M","-5,31 M","-4,44 M","-4,87 M","-4,03 M","-10,08 M","-4,67 M","-4,71 M","-3,90 M","-4,42 M","-3,80 M","-3,75 M","-4,86 M","-3,60 M","-3,56 M","-3,58 M","-3,62 M"
Despesas administrativas,"-90,60 M","-123,12 M","-124,77 M","-118,03 M","-84,78 M","-125,87 M","-114,48 M","-106,30 M","-96,81 M","-113,59 M","-88,26 M","-92,19 M","-80,05 M","-106,62 M","-83,39 M","-70,28 M","-78,86 M","-83,68 M","-83,25 M","-69,89 M","-63,89 M","-79,99 M","-54,74 M","-60,72 M","-56,56 M","-66,84 M","-53,46 M","-52,02 M","-54,35 M","-60,06 M","-50,87 M","-46,21 M","-43,87 M","-56,80 M","-39,12 M","-42,02 M","-40,68 M","-51,30 M","-39,84 M","-50,23 M","-43,88 M","-51,29 M","-44,41 M","-45,42 M","-41,63 M","-47,58 M","-45,75 M","-46,09 M","-40,92 M","-51,30 M","-41,53 M","-45,76 M","-39,29 M","-44,37 M","-41,30 M","-41,25 M","-38,33 M","-32,87 M","-41,28 M","-44,60 M","-38,30 M","-48,76 M","-41,75 M","-35,90 M","-33,53 M"
EBIT,"1,87 B","1,48 B","1,53 B","1,54 B","1,72 B","1,69 B","1,38 B","1,70 B","2,92 B","1,57 B","1,48 B","1,48 B","1,84 B","1,49 B","1,22 B","1,46 B","1,64 B","749,92 M","1,51 B","1,13 B","1,51 B","2,06 B","1,21 B","1,20 B","1,10 B","1,07 B","1,36 B","848,42 M","1,02 B","903,12 M","849,12 M","1,04 B","875,58 M","880,51 M","546,65 M","688,38 M","734,66 M","540,52 M","648,72 M","593,78 M","638,60 M","805,10 M","618,67 M","437,01 M","643,05 M","733,77 M","870,27 M","152,48 M","546,43 M","423,45 M","659,48 M","574,92 M","729,38 M","611,31 M","710,90 M","638,79 M","578,29 M","633,60 M","596,29 M","604,84 M","573,86 M","572,30 M","577,11 M","523,09 M","477,66 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-827,26 M","-645,45 M","-566,49 M","-806,48 M","-623,39 M","-447,20 M","-487,21 M","-516,67 M","-525,00 M","-424,32 M","-326,41 M","-492,01 M","-720,26 M","-427,75 M","-282,53 M","-980,72 M","-824,29 M","-820,58 M","-670,00 M","-755,80 M","-832,31 M","-722,72 M","-598,92 M","-168,54 M","-392,26 M","-406,83 M","-295,74 M","-290,27 M","-214,12 M","-161,34 M","-195,32 M","-185,74 M","-156,90 M","-97,90 M","-50,46 M","-6,84 M","-71,63 M","-44,38 M","-65,46 M","-116,86 M","-128,15 M","-97,47 M","-106,25 M","-132,11 M","-134,77 M","-118,38 M","-74,49 M","-33,06 M","-120,37 M","-133,26 M","-61,94 M","-91,83 M","-98,49 M","-108,92 M","-128,33 M","-128,53 M","-87,20 M","-84,62 M","-101,40 M","-79,38 M","-108,41 M","-119,49 M","-89,18 M","-116,58 M","-103,59 M"
Antes dos impostos,"1,04 B","832,76 M","960,88 M","733,99 M","1,10 B","1,24 B","894,95 M","1,18 B","2,39 B","1,15 B","1,15 B","986,21 M","1,12 B","1,06 B","933,28 M","475,51 M","817,20 M","-70,66 M","839,26 M","375,76 M","675,08 M","1,34 B","610,34 M","1,03 B","704,27 M","667,47 M","1,06 B","558,15 M","802,52 M","741,77 M","653,80 M","853,56 M","718,67 M","782,61 M","496,20 M","681,54 M","663,04 M","496,14 M","583,26 M","476,92 M","510,45 M","707,62 M","512,42 M","304,90 M","508,29 M","615,38 M","795,78 M","119,42 M","426,06 M","290,19 M","597,54 M","483,09 M","630,89 M","502,38 M","582,57 M","510,26 M","491,08 M","548,98 M","494,89 M","525,47 M","465,45 M","452,81 M","487,93 M","406,50 M","374,07 M"
