Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"14,67 B","13,08 B","13,01 B","12,29 B","12,24 B","12,01 B","11,83 B","11,90 B","11,60 B","10,86 B","11,06 B","10,76 B","10,25 B","9,93 B","10,35 B","10,51 B","11,03 B","10,68 B","10,60 B","9,65 B","9,06 B","9,28 B","9,46 B","8,85 B","8,39 B","7,88 B","7,84 B","7,65 B","8,24 B","7,85 B","8,08 B","8,24 B","6,14 B","6,48 B","6,93 B","6,39 B","6,60 B","6,28 B","6,54 B","6,77 B","7,03 B","7,40 B","6,40 B","6,19 B","6,47 B","5,80 B","5,16 B","5,20 B","5,15 B","4,60 B","4,34 B","4,46 B","4,68 B","4,56 B","4,53 B","4,17 B","3,49 B","3,42 B","3,36 B","3,48 B","3,32 B","3,24 B","3,10 B"
Ativo circulante,"4,87 B","3,51 B","3,70 B","3,21 B","3,38 B","3,39 B","3,53 B","3,79 B","3,68 B","3,13 B","3,44 B","3,30 B","2,87 B","2,77 B","3,42 B","3,69 B","4,56 B","3,60 B","3,45 B","3,03 B","2,73 B","3,16 B","3,38 B","2,95 B","2,69 B","2,56 B","2,63 B","2,74 B","3,44 B","3,12 B","3,49 B","3,85 B","2,02 B","2,27 B","2,62 B","2,41 B","2,48 B","2,29 B","2,48 B","2,86 B","2,92 B","3,03 B","2,48 B","2,46 B","2,82 B","2,04 B","1,57 B","1,69 B","1,72 B","1,22 B","1,03 B","1,17 B","1,42 B","1,35 B","1,38 B","990,13 M","1,07 B","994,35 M","955,75 M","1,10 B","970,76 M","928,10 M","915,23 M"
Caixa e eq. de caixa,"1,58 B","381,00 M","744,00 M","560,00 M","690,00 M","745,00 M","918,00 M","1,26 B","1,07 B","657,00 M","961,00 M","1,03 B","511,00 M","527,00 M","959,00 M","1,01 B","1,01 B","624,00 M","902,00 M","587,00 M","406,00 M","912,00 M","1,15 B","732,00 M","465,00 M","614,00 M","621,22 M","463,25 M","1,02 B","909,26 M","1,13 B","1,72 B","274,19 M","501,65 M","807,85 M","704,33 M","711,83 M","899,31 M","957,12 M","893,95 M","868,77 M","785,15 M","702,60 M","666,25 M","1,06 B","578,65 M","701,14 M","783,38 M","362,34 M","467,63 M","380,87 M","432,09 M","677,07 M","583,15 M","630,18 M","277,32 M","334,27 M","285,49 M","265,24 M","400,52 M","233,83 M","223,36 M","283,83 M"
Aplicações financeiras,"20,00 M","15,00 M","38,00 M","28,00 M","24,00 M","20,00 M","16,00 M","20,00 M","17,00 M","21,00 M","24,00 M","17,00 M","29,00 M","23,00 M","19,00 M","32,00 M","27,00 M","12,00 M","28,00 M","7,00 M","7,00 M","8,00 M","12,00 M","13,00 M","10,60 M","11,00 M","8,96 M","7,55 M","7,53 M","7,43 M","7,33 M","7,25 M","6,49 M","5,50 M",0,0,0,"10,52 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"2,62 B","2,57 B","2,42 B","2,28 B","2,34 B","2,26 B","2,25 B","2,16 B","2,29 B","2,15 B","1,95 B","1,77 B","1,97 B","1,83 B","1,73 B","1,68 B","2,18 B","2,11 B","1,89 B","1,72 B","1,79 B","1,80 B","1,66 B","1,59 B","1,70 B","1,68 B","1,69 B","2,06 B","2,21 B","1,57 B","2,20 B","1,98 B","1,66 B","1,68 B","1,59 B","1,48 B","1,30 B","1,25 B","1,19 B","1,70 B","1,85 B","1,90 B","1,65 B","1,49 B","1,54 B","1,24 B","653,45 M","602,20 M","617,41 M","622,40 M","541,81 M","517,46 M","538,22 M","630,69 M","666,42 M","621,25 M","660,55 M","604,86 M","598,38 M","569,14 M","594,33 M","570,63 M","492,03 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,01 M","8,32 M",0,"7,25 M","7,88 M","7,85 M","8,24 M","9,45 M","9,85 M","10,26 M","10,02 M","9,78 M","8,45 M","8,88 M","8,95 M","5,49 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"9,80 B","9,57 B","9,31 B","9,08 B","8,86 B","8,62 B","8,31 B","8,11 B","7,92 B","7,73 B","7,62 B","7,47 B","7,38 B","7,16 B","6,93 B","6,81 B","6,47 B","7,08 B","7,15 B","6,62 B","6,32 B","6,12 B","6,08 B","5,90 B","5,70 B","5,32 B","5,21 B","4,90 B","4,80 B","4,74 B","4,59 B","4,38 B","4,11 B","4,21 B","4,31 B","3,98 B","4,12 B","4,00 B","4,06 B","3,91 B","4,11 B","4,37 B","3,92 B","3,73 B","3,65 B","3,76 B","3,59 B","3,51 B","3,43 B","3,38 B","3,30 B","3,29 B","3,26 B","3,21 B","3,14 B","3,18 B","2,42 B","2,42 B","2,41 B","2,39 B","2,35 B","2,31 B","2,18 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,25 M","4,25 M","4,25 M",0,"4,25 M","4,25 M","4,25 M","4,25 M","4,33 M"
Imobilizado,"61,00 M","57,00 M","52,00 M","47,00 M","42,00 M","43,00 M","29,00 M","27,00 M","20,00 M","22,00 M","24,00 M","25,00 M","26,00 M","22,00 M","24,00 M","25,00 M","24,00 M","23,00 M","18,00 M","20,00 M","23,00 M","23,00 M","22,00 M","24,00 M",0,"23,00 M","23,00 M","24,60 M","26,55 M","14,11 M","15,50 M","16,89 M","6,88 M","8,26 M","9,63 M","7,65 M","8,62 M","9,60 M","10,57 M","11,54 M","12,52 M","13,49 M","14,47 M","15,85 M","16,89 M","17,94 M","18,99 M","14,95 M","10,62 M","11,18 M","12,17 M","13,17 M","14,40 M","15,63 M","15,82 M","17,39 M","18,94 M","20,49 M","16,67 M","19,08 M","20,10 M","19,14 M","24,08 M"
