Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,77 B","2,44 B","2,20 B","2,15 B","1,80 B","2,15 B","2,13 B","2,12 B","2,09 B","2,05 B","2,02 B","2,03 B","1,99 B","1,89 B","1,71 B","1,69 B","1,63 B","1,57 B","1,52 B","1,50 B","1,71 B","1,65 B","1,57 B","1,54 B","1,50 B","1,45 B","1,42 B","1,38 B","1,34 B","1,34 B","1,29 B","1,27 B","1,25 B","1,13 B","1,11 B","1,13 B","1,13 B","1,13 B","1,11 B","1,10 B","1,10 B","1,10 B","1,10 B","1,10 B","1,09 B","1,14 B","1,18 B","1,17 B","1,13 B","1,10 B","1,07 B","1,07 B","1,07 B","1,18 B","1,17 B","1,15 B","1,13 B","1,14 B","1,16 B","1,14 B","1,13 B",0
Ativo circulante,"495,29 M","876,25 M","641,54 M","631,78 M","672,19 M","915,83 M","931,37 M","931,47 M","915,07 M","917,08 M","922,78 M","906,48 M","890,44 M","619,68 M","591,70 M","549,99 M","524,21 M","535,77 M","513,12 M","493,98 M","731,88 M","726,68 M","683,82 M","613,14 M","601,24 M","522,34 M","502,84 M","436,16 M","417,98 M","384,45 M","326,03 M","278,46 M","273,82 M","239,75 M","236,27 M","219,33 M","222,29 M","171,97 M","153,86 M","168,10 M","180,65 M","170,67 M","185,14 M","185,21 M","197,90 M","190,19 M","271,89 M","253,25 M","244,63 M","266,80 M","260,60 M","253,04 M","215,49 M","158,60 M","168,03 M","173,71 M","169,47 M","121,16 M","135,21 M","122,31 M","106,81 M",0
Caixa e eq. de caixa,"379,91 M","243,89 M","247,39 M","266,05 M","311,33 M","406,95 M","424,91 M","436,91 M","426,28 M","457,02 M","468,83 M","447,38 M","436,74 M","390,02 M","369,48 M","325,08 M","311,07 M","294,94 M","268,72 M","256,06 M","518,71 M","499,07 M","479,73 M","408,83 M","412,92 M","334,57 M","320,20 M","249,22 M","232,43 M","199,74 M","174,86 M","139,17 M","136,21 M","111,93 M","101,80 M","71,32 M","80,28 M","46,95 M","54,88 M","34,06 M","50,15 M","36,63 M","46,67 M","44,32 M","21,45 M","53,64 M","80,69 M","63,11 M","80,71 M","75,94 M","84,78 M","85,46 M","56,50 M","38,83 M","51,62 M","51,46 M","81,93 M","4,21 M","23,09 M","3,69 M","21,44 M",0
Aplicações financeiras,0,"251,44 M",0,0,"17,09 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"46,03 M","68,38 M","69,00 M","66,28 M","45,56 M","67,08 M","66,64 M","63,95 M","64,58 M","63,21 M","60,56 M","59,69 M","58,57 M","57,80 M","52,42 M","49,27 M","50,01 M","68,71 M","70,02 M","64,45 M","45,71 M","79,42 M","66,81 M","65,75 M","52,97 M","51,14 M","47,96 M","49,98 M","55,03 M","52,44 M","29,11 M","21,30 M","22,41 M","23,82 M","23,52 M","32,49 M","35,18 M","39,51 M","18,89 M","18,86 M","25,30 M","20,26 M","33,69 M","30,15 M","20,82 M","19,44 M","51,94 M","49,96 M","40,77 M","56,31 M","49,92 M","37,58 M","52,11 M","21,58 M","19,42 M","19,50 M","18,29 M","13,75 M","15,88 M","13,68 M","12,14 M",0
Estoques,0,"1,81 M","2,05 M","2,05 M","2,05 M","1,81 M","1,82 M","1,82 M","1,83 M","1,83 M","1,83 M","1,84 M","1,84 M","1,85 M","1,85 M","1,85 M","1,85 M","1,85 M","1,85 M","1,86 M","1,86 M","1,62 M","1,61 M","1,61 M","1,61 M","1,92 M","1,92 M","1,93 M","1,93 M","1,87 M","1,86 M","1,78 M","1,79 M","1,95 M","1,92 M","1,97 M","1,97 M","1,99 M","2,04 M","2,05 M","2,10 M","2,10 M","2,11 M","2,15 M","2,14 M","2,15 M","2,15 M","2,16 M","2,07 M","1,96 M","2,08 M","2,10 M","2,11 M","2,10 M","2,40 M","2,40 M","2,63 M","2,61 M","2,67 M","2,45 M","2,46 M",0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,27 B","1,57 B","1,55 B","1,52 B","1,13 B","1,24 B","1,20 B","1,19 B","1,17 B","1,13 B","1,10 B","1,12 B","1,10 B","1,27 B","1,11 B","1,14 B","1,11 B","1,04 B","1,01 B","1,01 B","979,54 M","924,39 M","886,48 M","922,22 M","899,10 M","928,43 M","914,32 M","944,36 M","920,63 M","957,70 M","958,99 M","986,71 M","971,21 M","887,26 M","878,19 M","910,76 M","903,47 M","961,57 M","952,37 M","933,92 M","917,60 M","925,64 M","910,34 M","917,61 M","896,32 M","947,07 M","907,40 M","916,97 M","886,91 M","836,48 M","812,53 M","821,73 M","851,71 M","1,02 B","999,92 M","977,44 M","962,67 M","1,02 B","1,02 B","1,02 B","1,03 B",0
Investimentos,"316,59 M","221,69 M","221,69 M","221,69 M","221,69 M","146,21 M","146,21 M","146,22 M","146,22 M","130,76 M","130,76 M","130,76 M","130,76 M","214,68 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M","1,39 M",0
Imobilizado,"209,11 M","261,77 M","257,57 M","255,53 M","256,44 M","214,00 M","215,40 M","216,81 M","217,93 M","219,10 M","222,39 M","223,70 M","224,79 M","223,31 M","224,34 M","225,03 M","226,23 M","226,31 M","227,02 M","226,95 M","227,46 M","225,27 M","224,32 M","224,28 M","222,24 M","222,09 M","221,55 M","222,10 M","222,99 M","222,68 M","165,24 M","171,78 M","174,88 M","167,63 M","165,71 M","168,33 M","169,46 M","170,97 M","171,68 M","175,55 M","176,04 M","180,61 M","189,79 M","190,79 M","188,31 M","171,80 M","116,34 M","458,14 M","95,56 M","384,32 M","375,00 M","368,12 M","367,98 M","562,52 M","548,53 M","531,18 M","511,39 M","558,84 M","557,77 M","558,59 M","562,24 M",0
