Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-10,98","47,56","16,52","20,04","8,81","9,51","8,24","6,40","2,38","4,07","1,72","-2,92","2,98","-2,51","-4,69","11,53","-23,32"
P/VP,"2,46","1,81","2,28","1,21","1,79","2,63","0,77","0,75","0,35","0,31","0,14","0,12","0,17","0,28","0,25","0,20","0,22"
P/EBIT,"-4,25","-21,82","32,16","-46,24","23,53","13,19","21,89","500,79","2,56","-573,15","-4,92","-0,91","-3,47","-1,34","-2,10","-1,90","-2,31"
P/EBIT *,"-18,51","-191,90","51,75","-26,49","25,59","13,00","21,32","30,01","-16,06","-68,05","-10,87","-1,62","-5,45","-3,07","-3,33","-1,89","-1,98"
PSR,"3,07","2,65","4,12","2,56","2,50","4,22","1,74","2,05","1,35","1,08","0,52","0,53","0,62","0,99","1,17","1,13","1,09"
P/Ativos,"0,83","0,77","1,19","0,68","0,81","1,10","0,51","0,49","0,23","0,20","0,09","0,07","0,11","0,16","0,17","0,14","0,16"
LPA,"-3,61","0,79","4,07","1,84","4,06","5,37","2,51","2,75","3,22","1,49","1,62","-0,74","1,14","-1,86","-1,10","0,38","0,00"
VPA,"16,10","20,67","29,46","30,43","19,97","19,45","26,80","23,52","22,19","19,57","20,59","18,42","20,37","16,72","20,89","22,00","0,00"
EBIT por ação,"-9,33","-1,72","2,09","-0,80","1,52","3,87","0,94","0,04","2,99","-0,01","-0,57","-2,37","-0,98","-3,48","-2,47","-2,30","0,00"
EBIT por ação *,"-2,14","-0,20","1,30","-1,39","1,40","3,93","0,97","0,59","-0,48","-0,09","-0,26","-1,33","-0,62","-1,52","-1,55","-2,31","-2,40"
Ativo por ação,"47,91","48,84","56,49","53,88","44,19","46,32","40,61","36,23","33,70","30,47","29,73","29,62","30,63","28,88","30,64","30,67","0,00"
Receita líquida por ação,"12,91","14,14","16,33","14,42","14,32","12,10","11,88","8,56","5,67","5,59","5,37","4,09","5,49","4,72","4,44","3,86","0,00"
Margem bruta,"46,92%","25,55%","26,60%","13,72%","27,39%","50,57%","19,02%","19,33%","11,09%","15,94%","17,89%","-4,48%","10,75%","-8,57%","-11,72%","-34,58%","-33,08%"
Margem líquida,"-27,97%","5,58%","24,94%","12,77%","28,34%","44,39%","21,10%","32,08%","56,87%","26,61%","30,13%","-17,98%","20,73%","-39,33%","-24,87%","9,79%","-4,68%"
Margem EBIT,"-72,33%","-12,16%","12,81%","-5,53%","10,61%","32,01%","7,94%","0,41%","52,75%","-0,19%","-10,55%","-58,03%","-17,83%","-73,65%","-55,61%","-59,42%","-47,21%"
Margem EBIT *,"-16,59%","-1,38%","7,96%","-9,66%","9,76%","32,48%","8,15%","6,84%","-8,42%","-1,59%","-4,78%","-32,54%","-11,34%","-32,10%","-34,98%","-59,76%","-55,09%"
Margem EBITDA,"-68,61%","-10,15%","13,99%","-4,44%","11,70%","33,35%","9,25%","2,11%","55,08%","2,17%","-9,61%","-56,64%","-17,25%","-59,66%","-38,13%","-39,23%","-29,01%"
Margem EBITDA *,"-12,87%","0,63%","9,14%","-8,57%","10,84%","33,82%","9,46%","8,54%","-6,10%","0,76%","-3,84%","-31,16%","-10,76%","-18,12%","-17,50%","-39,57%","-36,89%"
Margem operacional,"-46,76%","3,11%","26,41%","14,68%","35,94%","60,62%","28,20%","26,39%","74,55%","37,50%","33,31%","-11,19%","21,20%","-32,06%","-12,38%","22,31%","9,63%"
ROE,"-22,42%","3,81%","13,82%","6,05%","20,32%","27,62%","9,36%","11,68%","14,53%","7,61%","7,86%","-3,99%","5,58%","-11,11%","-5,29%","1,72%","-0,94%"
ROA,"-0,08","0,02","0,07","0,03","0,09","0,12","0,06","0,08","0,10","0,05","0,05","-0,02","0,04","-0,06","-0,04","0,01","-0,01"
ROIC,"-25,33%","-4,32%","4,67%","-1,91%","4,27%","12,05%","3,22%","0,12%","10,03%","-0,04%","-2,01%","-8,24%","-3,46%","-12,81%","-8,77%","-7,65%","-6,77%"
ROIC *,"-5,81%","-0,49%","2,90%","-3,33%","3,93%","12,22%","3,31%","1,97%","-1,60%","-0,32%","-0,91%","-4,62%","-2,20%","-5,59%","-5,52%","-7,70%","-7,90%"
Giro do ativo,"0,27","0,29","0,29","0,27","0,32","0,26","0,29","0,24","0,17","0,18","0,18","0,14","0,18","0,16","0,14","0,13","0,14"
EBIT *,-80 mi,-8 mi,48 mi,-52 mi,51 mi,145 mi,35 mi,21 mi,-18 mi,-4 mi,-10 mi,-50 mi,-23 mi,-57 mi,-58 mi,-86 mi,-89 mi
EBITDA,-328 mi,-54 mi,84 mi,-24 mi,61 mi,149 mi,40 mi,6 mi,115 mi,4 mi,-20 mi,-86 mi,-35 mi,-105 mi,-63 mi,-57 mi,-47 mi
EBITDA *,-62 mi,3 mi,55 mi,-46 mi,57 mi,151 mi,41 mi,27 mi,-13 mi,1 mi,-8 mi,-48 mi,-22 mi,-32 mi,-29 mi,-57 mi,-60 mi
Liquidez corrente,"3,07","4,58","6,01","8,34","4,06","1,69","4,82","3,05","2,84","2,35","2,57","2,16","2,64","2,86","1,21","1,24","1,00"
Liquidez seca,"3,07","4,56","6,00","8,32","4,04","1,68","4,81","3,03","2,82","2,33","2,54","2,14","2,61","2,84","1,19","1,21","0,97"
Liquidez imediata,"2,36","2,12","2,80","4,09","2,41","1,20","3,31","1,69","1,41","0,85","0,71","0,23","0,87","0,75","0,59","0,25","0,07"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,66 mi,73 mi,79 mi,85 mi,91 mi,97 mi,103 mi,67 mi,29 mi,0 mi,0 mi,0 mi
Dívida líquida,-380 mi,-329 mi,-427 mi,-437 mi,-312 mi,-453 mi,-340 mi,-153 mi,-51 mi,11 mi,46 mi,81 mi,-13 mi,-27 mi,-82 mi,-22 mi,0 mi
Capital de giro,334 mi,525 mi,762 mi,783 mi,395 mi,298 mi,476 mi,280 mi,177 mi,127 mi,110 mi,106 mi,151 mi,140 mi,29 mi,20 mi,-1 mi
Endividamento geral,"197,57%","136,22%","91,76%","77,08%","121,30%","138,19%","51,51%","54,07%","51,86%","55,72%","44,37%","60,78%","50,34%","72,75%","46,67%","39,42%","41,04%"
