Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"30,82","29,01","25,28","31,36","-16,09","-40,17","-2,86","-5,35","-20,35","18,60","21,49","71,04","22,05","18,37","17,99","64,29","15,94","8,73"
P/VP,"3,04","2,99","2,55","1,82","1,15","0,74","0,71","0,50","0,91","1,18","1,00","1,17","1,76","1,73","1,88","1,78","1,81","1,64"
P/EBIT,"15,02","16,92","12,86","16,14","-27,61","10,47","-6,15","-22,73","-12,73","14,40","17,53","15,56","13,47","8,89","10,31","19,26","13,34","10,38"
P/EBIT *,"11,50","13,23","13,34","12,86","6,56","7,42","15,53","5,50","-39,82","8,19","5,23","8,84","11,86","8,59","8,62","9,34","11,50","7,02"
PSR,"1,21","1,35","1,37","0,94","0,65","0,49","0,53","0,32","1,73","0,84","0,59","0,85","1,18","1,05","1,03","1,02","0,97","0,73"
P/Ativos,"0,77","0,80","0,66","0,47","0,29","0,19","0,19","0,17","0,31","0,40","0,33","0,38","0,63","0,60","0,65","0,60","0,65","0,51"
LPA,"2,29","2,64","2,59","1,06","-1,29","-0,37","-4,88","-1,78","-0,90","1,15","0,79","0,33","1,08","1,05","0,94","0,21","0,77","1,23"
VPA,"23,21","25,60","25,72","18,22","18,09","20,11","19,66","19,15","20,12","18,16","16,94","19,73","13,51","11,18","8,99","7,62","6,81","6,57"
EBIT por ação,"4,69","4,52","5,09","2,06","-0,75","1,42","-2,27","-0,42","-1,44","1,48","0,97","1,49","1,76","2,17","1,64","0,70","0,93","1,04"
EBIT por ação *,"6,13","5,78","4,91","2,58","3,16","2,01","0,90","1,73","-0,46","2,61","3,25","2,62","2,00","2,25","1,97","1,45","1,07","1,53"
Ativo por ação,"91,34","96,01","98,88","70,50","71,47","76,53","73,85","57,55","59,10","53,50","51,34","61,54","37,35","32,09","26,16","22,44","18,88","20,90"
Receita líquida por ação,"58,16","56,56","47,84","35,26","31,67","30,62","26,53","29,44","10,65","25,36","28,95","27,42","20,17","18,42","16,45","13,31","12,67","14,68"
