Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"9,00 B","9,29 B","9,18 B","8,56 B","8,41 B","9,56 B","8,58 B","7,60 B","7,97 B","8,08 B","7,33 B","6,59 B","6,54 B","6,79 B","7,04 B","6,28 B","6,39 B","7,11 B","7,80 B","6,10 B","5,47 B","6,10 B","4,90 B","4,40 B","4,78 B","5,37 B","5,07 B","4,70 B","4,76 B","4,13 B","4,10 B","3,89 B","3,67 B","3,77 B","3,72 B","3,08 B","3,06 B","3,26 B","2,99 B","2,71 B","2,84 B","3,48 B","2,97 B","2,97 B","2,77 B","2,89 B","2,41 B","2,18 B","745,87 M","725,70 M","665,07 M","724,58 M","689,59 M","892,34 M","685,54 M","687,63 M","653,57 M","678,74 M","584,61 M","587,35 M","575,92 M","583,46 M","532,87 M","522,82 M","515,17 M"
Custos,"-6,68 B","-7,13 B","-7,02 B","-6,38 B","-5,92 B","-7,44 B","-6,56 B","-5,73 B","-5,43 B","-5,90 B","-5,26 B","-4,82 B","-4,76 B","-4,90 B","-5,02 B","-4,59 B","-4,80 B","-5,60 B","-6,08 B","-4,79 B","-4,30 B","-5,04 B","-3,79 B","-3,82 B","-4,03 B","-4,44 B","-4,32 B","-3,90 B","-3,99 B","-3,53 B","-3,38 B","-3,35 B","-3,03 B","-3,09 B","-3,36 B","-2,70 B","-2,60 B","-2,63 B","-2,53 B","-2,38 B","-2,44 B","-2,74 B","-2,57 B","-2,69 B","-2,30 B","-2,13 B","-2,05 B","-1,72 B","-586,40 M","-523,95 M","-471,19 M","-511,65 M","-454,38 M","-626,31 M","-483,58 M","-453,31 M","-446,52 M","-450,73 M","-404,90 M","-401,42 M","-407,98 M","-418,45 M","-379,19 M","-344,74 M","-349,26 M"
Lucro bruto,"2,32 B","2,15 B","2,17 B","2,19 B","2,49 B","2,12 B","2,02 B","1,87 B","2,55 B","2,17 B","2,07 B","1,76 B","1,78 B","1,89 B","2,02 B","1,69 B","1,59 B","1,51 B","1,71 B","1,31 B","1,16 B","1,06 B","1,11 B","582,18 M","753,45 M","927,76 M","748,56 M","800,48 M","774,60 M","599,10 M","721,68 M","539,03 M","645,07 M","672,58 M","366,89 M","386,73 M","461,73 M","633,50 M","467,95 M","324,31 M","400,85 M","738,51 M","402,09 M","279,73 M","470,98 M","760,49 M","356,51 M","462,55 M","159,47 M","201,75 M","193,88 M","212,93 M","235,21 M","266,03 M","201,96 M","234,32 M","207,05 M","228,01 M","179,71 M","185,93 M","167,94 M","165,01 M","153,68 M","178,08 M","165,91 M"
Despesas operacionais,"-499,52 M","-671,75 M","-482,45 M","-509,08 M","-581,42 M","-820,69 M","-615,02 M","-557,73 M","-459,27 M","-622,17 M","-442,04 M","-377,54 M","-291,92 M","-524,05 M","-364,95 M","-320,72 M","-259,44 M","-410,29 M","-268,58 M","-236,17 M","-156,03 M","-419,15 M","-175,07 M","-154,97 M","-205,88 M","-243,66 M","-168,32 M","-249,97 M","-247,39 M","877,58 M","-228,30 M","-146,99 M","-139,29 M","-243,95 M","-114,53 M","-164,67 M","-119,89 M","-297,40 M","-127,01 M","-112,72 M","-172,90 M","-230,18 M","-170,72 M","-188,33 M","-191,81 M","-315,67 M","-152,83 M","-215,95 M","-70,28 M","-141,63 M","-105,29 M","-94,22 M","-90,59 M","-117,43 M","-106,40 M","-97,66 M","-86,17 M","-89,70 M","-83,24 M","-84,14 M","-81,03 M","-74,19 M","-77,04 M","-70,96 M","-76,54 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-30,36 M","-27,56 M","-27,18 M","-26,78 M","-682,00 Mil","-28,91 M","-34,94 M","-30,10 M","-31,81 M","-29,07 M","-28,96 M","-28,04 M","-7,45 M","-22,18 M","-20,61 M","-30,37 M"
Despesas administrativas,"-503,46 M","-471,00 M","-460,08 M","-469,86 M","-476,93 M","-753,07 M","-539,42 M","-453,90 M","-288,01 M","-474,36 M","-412,38 M","-335,58 M","-324,06 M","-509,76 M","-333,02 M","-278,37 M","-248,19 M","-304,19 M","-204,27 M","-201,85 M","-177,09 M","-316,31 M","-192,62 M","-148,40 M","-155,40 M","-301,40 M","-168,16 M","-246,21 M","-214,85 M","-305,85 M","-200,18 M","-111,60 M","-116,92 M","-207,68 M","-113,22 M","-137,36 M","-134,93 M","-255,21 M","-133,92 M","-106,64 M","-161,91 M","-219,95 M","-161,06 M","-153,28 M","-169,06 M","-303,93 M","-157,34 M","-199,65 M","-70,04 M","-102,00 M","-75,71 M","-68,59 M","-64,25 M","-100,59 M","-67,85 M","-63,37 M","-54,71 M","-67,27 M","-54,18 M","-53,56 M","-52,92 M","-73,30 M","-51,77 M","-51,56 M","-42,55 M"
EBIT,"1,82 B","1,48 B","1,68 B","1,68 B","1,91 B","1,30 B","1,41 B","1,31 B","2,09 B","1,55 B","1,62 B","1,38 B","1,49 B","1,36 B","1,65 B","1,37 B","1,33 B","1,10 B","1,45 B","1,08 B","1,01 B","642,23 M","934,06 M","427,21 M","547,57 M","684,10 M","580,24 M","550,50 M","527,21 M","1,48 B","493,38 M","392,04 M","505,78 M","428,63 M","252,36 M","222,06 M","341,85 M","336,11 M","340,94 M","211,58 M","227,95 M","508,33 M","231,36 M","91,40 M","279,18 M","444,82 M","203,68 M","246,60 M","89,19 M","60,12 M","88,59 M","118,72 M","144,61 M","148,60 M","95,56 M","136,66 M","120,88 M","138,31 M","96,47 M","101,79 M","86,91 M","90,81 M","76,64 M","107,12 M","89,37 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,03 B","-957,63 M","-784,11 M","-1,06 B","-613,88 M","-189,91 M","-498,35 M","-440,85 M","-606,65 M","-552,20 M","-650,57 M","-504,23 M","-770,48 M","-924,35 M","-950,82 M","-144,68 M","-563,12 M","-734,41 M","-348,22 M","-118,90 M","103,98 M","-495,69 M","157,79 M","-441,99 M","124,10 M","-231,36 M","-427,27 M","-468,57 M","-233,20 M","-305,38 M","-164,43 M","-210,52 M","-270,16 M","-264,74 M","-80,30 M","-140,98 M","-151,99 M","-260,80 M","-224,74 M","-262,15 M","-24,81 M","-340,55 M","-501,61 M","-105,90 M","-343,49 M","-337,24 M","-162,71 M","-118,78 M","6,06 M","-58,38 M","-9,85 M","-91,37 M","-39,51 M","69,35 M","-45,31 M","-74,71 M","-28,52 M","-25,71 M","-69,12 M","-23,96 M","-37,36 M","-40,08 M","-24,03 M","-16,57 M","-18,82 M"
Antes dos impostos,"788,95 M","523,04 M","899,83 M","614,32 M","1,30 B","1,11 B","910,94 M","870,05 M","1,48 B","997,58 M","973,41 M","879,29 M","719,55 M","437,84 M","702,10 M","1,23 B","769,91 M","363,75 M","1,10 B","957,83 M","1,11 B","146,53 M","1,09 B","-14,77 M","671,66 M","452,74 M","152,97 M","81,93 M","294,00 M","1,17 B","328,95 M","181,52 M","235,62 M","163,90 M","172,06 M","81,08 M","189,86 M","75,31 M","116,19 M","-50,56 M","203,15 M","167,78 M","-270,25 M","-14,50 M","-64,31 M","107,58 M","40,96 M","127,82 M","95,25 M","1,74 M","78,74 M","27,35 M","105,10 M","217,95 M","50,25 M","61,95 M","92,36 M","112,60 M","27,35 M","77,83 M","49,55 M","50,73 M","52,61 M","90,55 M","70,55 M"
Imposto,"-214,18 M","452,13 M","-251,40 M","-124,56 M","-271,01 M","1,01 B","-183,87 M","-215,07 M","-346,70 M","-268,45 M","-284,72 M","-222,58 M","-210,56 M","47,31 M","-227,35 M","-239,24 M","-291,48 M","-35,16 M","-234,03 M","-257,29 M","-236,22 M","-159,73 M","-170,15 M","-73,20 M","-89,96 M","-99,41 M","-99,06 M","-90,79 M","-165,23 M","-496,75 M","-69,55 M","-78,08 M","-93,32 M","68,74 M","-38,01 M","-6,03 M","-59,00 M","11,41 M","-52,88 M","23,35 M","-78,69 M","-40,61 M","97,94 M","-20,99 M","20,60 M","32,07 M","-4,96 M","-32,35 M","-30,38 M","1,42 M","-16,78 M","42,00 Mil","-25,38 M","-79,95 M","-22,58 M","-4,74 M","-23,87 M","-22,21 M","-3,11 M","-18,59 M","-11,37 M","-14,32 M","-12,91 M","-19,21 M","-23,35 M"
Op. continuadas,"574,77 M","975,17 M","648,43 M","489,76 M","1,03 B","2,12 B","727,07 M","654,98 M","1,14 B","729,13 M","688,69 M","656,71 M","509,00 M","485,15 M","474,75 M","989,70 M","478,43 M","328,59 M","863,88 M","700,53 M","873,34 M","-13,20 M","921,69 M","-87,97 M","581,71 M","353,33 M","53,91 M","-8,86 M","128,77 M","674,54 M","259,40 M","103,44 M","142,30 M","232,63 M","134,05 M","75,04 M","130,85 M","86,72 M","63,31 M","-27,22 M","124,45 M","127,17 M","-172,31 M","-35,49 M","-43,71 M","139,65 M","36,01 M","95,47 M","64,87 M","3,16 M","61,96 M","27,39 M","79,72 M","138,00 M","27,67 M","57,21 M","68,49 M","90,39 M","24,24 M","59,24 M","38,19 M","36,41 M","39,70 M","71,34 M","47,20 M"
