Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"-12,83","-13,68","-8,65","-6,85","-2,77","-4,57","-69,16",-,-
P/VP,"0,76","0,75","0,65","1,07","0,48","1,28","4,33",-,-
P/EBIT,"-6,67","-7,89","-5,99","-4,84","-1,93","-4,05","-75,44",-,-
P/EBIT *,"-7,13","-7,80","-5,43","-5,06","-1,98","-4,17","-75,29",-,-
PSR,"0,85","0,87","0,78","1,87","1,33","5,12","27,04",-,-
P/Ativos,"0,50","0,50","0,49","0,88","0,43","1,15","4,07",-,-
LPA,"-0,09","-0,08","-0,12","-0,26","-0,32","-0,58","-0,15",-,-
VPA,"1,45","1,48","1,56","1,66","1,86","2,07","2,42",-,-
EBIT por ação,"-0,17","-0,14","-0,17","-0,37","-0,47","-0,65","-0,14",-,-
EBIT por ação *,"-0,15","-0,14","-0,19","-0,35","-0,46","-0,64","-0,14",-,-
Ativo por ação,"2,20","2,22","2,06","2,01","2,10","2,30","2,58",-,-
Receita líquida por ação,"1,30","1,29","1,29","0,95","0,68","0,52","0,39",-,-
Margem bruta,"54,93%","55,72%","56,01%","49,79%","35,04%","26,17%","38,65%","31,38%","22,00%"
Margem líquida,"-6,61%","-6,36%","-9,02%","-27,23%","-47,89%","-111,91%","-39,10%","-38,67%","-51,53%"
Margem EBIT,"-12,72%","-11,03%","-13,03%","-38,55%","-68,94%","-126,31%","-35,85%","-38,37%","-48,76%"
Margem EBIT *,"-11,90%","-11,16%","-14,39%","-36,83%","-67,16%","-122,75%","-35,92%","-39,07%","-49,25%"
Margem EBITDA,"-5,25%","3,95%","0,58%","-25,72%","-56,12%","-116,43%","-27,33%","-28,85%","-42,08%"
Margem EBITDA *,"-4,43%","3,83%","-0,78%","-24,00%","-54,34%","-112,87%","-27,40%","-29,55%","-42,58%"
Margem operacional,"-6,43%","-6,35%","-9,54%","-27,35%","-47,89%","-111,91%","-39,11%","-38,72%","-51,53%"
ROE,"-5,92%","-5,52%","-7,47%","-15,59%","-17,46%","-27,98%","-6,26%","-138,89%","-56,29%"
ROA,"-0,04","-0,04","-0,06","-0,13","-0,15","-0,25","-0,06","-0,56","-0,39"
ROIC,"-15,99%","-14,88%","-17,41%","-58,95%","-90,44%","-221,62%","-210,07%","-124,66%","-184,21%"
ROIC *,"-14,95%","-15,04%","-19,22%","-56,33%","-88,10%","-215,37%","-210,48%","-126,94%","-186,07%"
Giro do ativo,"0,59","0,58","0,63","0,47","0,32","0,22","0,15","1,45","0,75"
EBIT *,-32 mi,-30 mi,-39 mi,-72 mi,-94 mi,-131 mi,-29 mi,-21 mi,-20 mi
EBITDA,-14 mi,10 mi,1 mi,-51 mi,-78 mi,-124 mi,-22 mi,-16 mi,-17 mi
EBITDA *,-12 mi,10 mi,-3 mi,-47 mi,-76 mi,-120 mi,-22 mi,-16 mi,-17 mi
Liquidez corrente,"2,42","2,47","3,49","4,86","8,32","10,62","17,86","0,92","2,72"
Liquidez seca,"2,42","2,47","3,49","4,86","8,32","10,62","17,86","0,92","2,72"
Liquidez imediata,"1,37","1,56","2,92","4,29","7,20","9,71","17,16","0,17","1,07"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,1 mi
Dívida líquida,-209 mi,-229 mi,-199 mi,-262 mi,-310 mi,-392 mi,-504 mi,-16 mi,-37 mi
Capital de giro,196 mi,198 mi,169 mi,235 mi,314 mi,379 mi,478 mi,-2 mi,24 mi
Endividamento geral,"51,89%","49,52%","31,74%","21,49%","13,09%","11,24%","6,42%","147,27%","45,90%"
