Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"570,00 Mil","700,00 Mil","585,00 Mil","574,00 Mil","532,00 Mil","442,00 Mil","1,37 M","4,71 M","17,85 M","363,54 M","-105,35 M","199,28 M","207,59 M","349,09 M","518,48 M","218,96 M","168,99 M","225,94 M","295,48 M","245,26 M",0,"158,53 M","101,31 M","113,62 M",0,"80,35 M","103,83 M","143,37 M","125,17 M","98,35 M","126,95 M","90,39 M","88,36 M","53,61 M","60,26 M","61,75 M","51,58 M","42,13 M","149,64 M","41,80 M","40,54 M","149,64 M","90,24 M","88,92 M","91,16 M","70,02 M","226,11 M","222,78 M","228,41 M","186,58 M","289,93 M","291,87 M","325,76 M","285,90 M","256,15 M","186,23 M","170,92 M","175,75 M","181,64 M","273,44 M","236,70 M","256,84 M","193,72 M","259,97 M","268,68 M","256,52 M"
Custos,0,0,"-30,00 Mil",0,0,"-388,00 Mil","-1,95 M","-3,73 M","-18,77 M","-302,08 M","84,79 M","-159,85 M","-167,75 M","-303,34 M","-426,71 M","-172,50 M","-129,78 M","-180,91 M","-247,83 M","-210,45 M",0,"-132,77 M","-80,27 M","-92,30 M",0,"-63,64 M","-86,99 M","-124,40 M","-107,33 M","-82,87 M","-111,58 M","-75,34 M","-75,67 M","-44,77 M","-52,33 M","-53,81 M","-43,85 M","-35,65 M","-126,37 M","-36,26 M","-34,48 M","-126,37 M","-77,52 M","-78,61 M","-78,58 M","-58,74 M","-200,77 M","-196,66 M","-198,01 M","-161,29 M","-256,52 M","-260,24 M","-294,75 M","-255,59 M","-229,10 M","-164,45 M","-149,61 M","-152,72 M","-164,13 M","-234,47 M","-204,82 M","-220,25 M","-171,92 M","-220,06 M","-231,39 M","-214,58 M"
Lucro bruto,"570,00 Mil","700,00 Mil","555,00 Mil","574,00 Mil","532,00 Mil","54,00 Mil","-584,00 Mil","980,00 Mil","-914,00 Mil","61,45 M","-20,56 M","39,43 M","39,84 M","45,74 M","91,77 M","46,46 M","39,20 M","45,03 M","47,65 M","34,81 M",0,"25,77 M","21,04 M","21,32 M",0,"16,71 M","16,84 M","18,97 M","17,83 M","15,48 M","15,37 M","15,05 M","12,70 M","8,85 M","7,93 M","7,94 M","7,72 M","6,48 M","23,27 M","5,54 M","6,06 M","23,27 M","12,72 M","10,31 M","12,59 M","11,28 M","25,34 M","26,11 M","30,40 M","25,29 M","33,41 M","31,62 M","31,01 M","30,30 M","27,05 M","21,78 M","21,31 M","23,04 M","17,51 M","38,97 M","31,88 M","36,59 M","21,80 M","39,90 M","37,29 M","41,94 M"
Despesas operacionais,"1,55 M","-3,07 M","335,00 Mil","-1,50 M","-1,37 M","-1,65 M","455,00 Mil","-2,19 M","1,31 M","-39,30 M","8,55 M","-22,16 M","-26,58 M","9,36 M","-51,67 M","-44,24 M","-23,71 M","-28,47 M","-25,52 M","-16,47 M",0,"-14,32 M","-13,46 M","-10,85 M",0,"-16,60 M","-13,06 M","-11,85 M","-11,68 M","-12,45 M","-27,73 M","-11,34 M","-8,40 M","-10,50 M","-21,25 M","-12,15 M","-2,87 M","-5,77 M","898,00 Mil","-23,93 M","31,27 M","898,00 Mil","95,83 M","22,66 M","-11,78 M","-13,44 M","-20,60 M","-17,32 M","-23,12 M","-22,39 M","9,11 M","-25,14 M","-31,08 M","-28,50 M","32,27 M","-33,19 M","-35,21 M","-33,78 M","-11,79 M","-25,94 M","-29,41 M","-27,82 M","-5,02 M","-27,42 M","-17,80 M","-25,02 M"
Despesas com vendas,"-1,00 Mil","-118,00 Mil","-1,00 Mil","-1,00 Mil","-1,00 Mil","-45,00 Mil","-296,00 Mil","-264,00 Mil","-4,00 M","-7,86 M","-6,81 M","-9,70 M","-12,82 M","-10,90 M","-30,92 M","-17,95 M","-13,06 M","-16,99 M","-12,54 M","-8,81 M",--,"-8,84 M","-7,05 M","-5,72 M",--,--,"-5,71 M","-5,57 M","-6,17 M","-5,34 M","-5,02 M","-4,82 M","-4,04 M","-3,40 M","-3,92 M","-3,23 M","-2,76 M","-2,56 M","-20,28 M","-6,33 M","-5,07 M","-20,28 M","-8,78 M","-8,31 M","-8,18 M","-6,63 M","-8,59 M","-7,49 M","-8,87 M","-6,88 M","-12,27 M","-7,27 M","-6,85 M","-6,39 M","-8,59 M","-5,73 M","-6,12 M","-5,48 M","-2,01 M","-9,85 M","-8,51 M","-8,65 M","491,00 Mil","-10,63 M","-12,47 M","-9,43 M"
Despesas administrativas,"-1,50 M","-1,32 M","-1,16 M","-1,34 M","-3,42 M","-850,00 Mil","-1,79 M","-760,00 Mil","-2,50 M","-33,47 M","8,27 M","-14,39 M","-16,39 M","-16,55 M","-25,33 M","-14,23 M","-12,87 M","-18,42 M","-11,71 M","-12,68 M",--,"-10,07 M","-8,80 M","-7,98 M",--,--,"-9,25 M","-7,47 M","-8,48 M","-8,35 M","-9,19 M","-7,11 M","-10,60 M","-6,74 M","-5,93 M","-15,67 M","-8,11 M","-7,66 M","-31,27 M","-3,92 M","-8,78 M","-31,27 M","-11,04 M","-11,67 M","-12,00 M","-9,73 M","-16,60 M","-15,76 M","-16,44 M","-17,03 M","-18,66 M","-17,10 M","-16,12 M","-16,32 M","-25,72 M","-19,80 M","-17,90 M","-15,98 M","-11,43 M","-19,13 M","-20,85 M","-17,22 M","-12,68 M","-19,62 M","-16,20 M","-16,37 M"
EBIT,"2,12 M","-2,37 M","890,00 Mil","-930,00 Mil","-839,00 Mil","-1,59 M","-129,00 Mil","-1,21 M","400,00 Mil","22,16 M","-12,02 M","17,27 M","13,26 M","55,10 M","40,10 M","2,22 M","15,50 M","16,56 M","22,13 M","18,34 M",0,"11,44 M","7,59 M","10,46 M",0,"109,00 Mil","3,78 M","7,12 M","6,16 M","3,03 M","-12,37 M","3,71 M","4,29 M","-1,65 M","-13,32 M","-4,21 M","4,86 M","707,00 Mil","24,17 M","-18,40 M","37,34 M","24,17 M","108,55 M","32,97 M","803,00 Mil","-2,16 M","4,74 M","8,80 M","7,28 M","2,90 M","42,52 M","6,48 M","-70,00 Mil","1,80 M","59,32 M","-11,41 M","-13,90 M","-10,74 M","5,72 M","13,03 M","2,47 M","8,76 M","16,78 M","12,49 M","19,49 M","16,92 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"1,16 M","83,00 Mil","124,00 Mil","230,00 Mil","195,00 Mil","615,00 Mil","403,00 Mil","2,03 M","302,00 Mil","-2,02 M","-1,86 M","-515,00 Mil","-2,34 M","-3,35 M","-5,56 M","24,00 Mil","-4,40 M","-785,00 Mil","874,00 Mil","262,00 Mil",0,"-3,03 M","-1,63 M","-4,58 M",0,"-33,00 Mil","-2,17 M","-2,52 M","-1,69 M","-2,12 M","-2,07 M","-1,03 M","-466,00 Mil","-2,34 M","-736,00 Mil","-4,19 M","-3,60 M","-3,04 M","-30,78 M","-9,40 M","-6,64 M","-30,78 M","-16,75 M","-16,35 M","-12,36 M","-12,73 M","-15,16 M","-13,52 M","-12,43 M","-9,78 M","-19,91 M","-11,71 M","-12,04 M","-10,22 M","-13,95 M","-12,32 M","-11,75 M","-12,38 M","-19,07 M","-20,61 M","-15,82 M","-12,59 M","-10,55 M","-14,42 M","-14,53 M","-10,77 M"
Antes dos impostos,"3,28 M","-2,28 M","1,01 M","-700,00 Mil","-644,00 Mil","-980,00 Mil","274,00 Mil","827,00 Mil","702,00 Mil","20,14 M","-13,88 M","16,75 M","10,92 M","51,75 M","34,54 M","2,24 M","11,10 M","15,78 M","23,01 M","18,60 M",0,"8,42 M","5,96 M","5,89 M",0,"76,00 Mil","1,61 M","4,60 M","4,46 M","915,00 Mil","-14,44 M","2,67 M","3,82 M","-3,99 M","-14,06 M","-8,41 M","1,25 M","-2,33 M","-6,61 M","-27,80 M","30,70 M","-6,61 M","91,80 M","16,62 M","-11,55 M","-14,89 M","-10,42 M","-4,72 M","-5,15 M","-6,88 M","22,61 M","-5,23 M","-12,11 M","-8,42 M","45,37 M","-23,74 M","-25,65 M","-23,11 M","-13,34 M","-7,58 M","-13,35 M","-3,83 M","6,22 M","-1,94 M","4,96 M","6,15 M"
Imposto,"-608,00 Mil","-68,00 Mil","-128,00 Mil","-56,00 Mil",0,"-6,24 M","-296,00 Mil","-779,00 Mil","-295,00 Mil","-5,90 M","1,83 M","-3,39 M","-3,94 M","-11,82 M","-9,55 M","-3,71 M","-2,25 M","12,16 M","-5,38 M","-2,19 M",0,"-1,54 M","-1,40 M","-1,15 M",0,"-356,00 Mil","-66,00 Mil","-895,00 Mil","-1,01 M","47,00 Mil","1,82 M","63,00 Mil","20,00 Mil",0,"2,25 M","5,40 M","3,46 M","11,08 M","8,81 M",0,"2,00 Mil","8,81 M","-6,62 M","1,30 M","-6,22 M","-6,21 M","-2,19 M","1,75 M","48,00 Mil","-27,00 Mil","8,21 M","397,00 Mil","22,46 M","-438,00 Mil","-6,13 M","-278,00 Mil","-259,00 Mil","-386,00 Mil","1,98 M","1,14 M","-2,06 M","-3,28 M","1,20 M","-3,49 M","-1,04 M","-4,39 M"
