Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"3,31 B","3,21 B","3,01 B","2,69 B","2,99 B","2,91 B","2,58 B","2,39 B","2,86 B","2,78 B","2,41 B","2,33 B","2,44 B","2,06 B","2,14 B","1,87 B","2,57 B","2,45 B","1,57 B","1,53 B","1,89 B","1,54 B","1,16 B","1,28 B","1,68 B","1,46 B","1,17 B","1,28 B","1,48 B","1,48 B","1,27 B","1,25 B","1,48 B","1,41 B","1,25 B","1,02 B","1,40 B","1,13 B","1,00 B","969,46 M","1,04 B","1,14 B","1,02 B","984,97 M","1,41 B","1,07 B","799,23 M","704,89 M","735,15 M","662,65 M","567,08 M","530,11 M","637,13 M","597,44 M","573,95 M","541,43 M","600,36 M","621,75 M","615,08 M","596,62 M","666,32 M","533,90 M","497,05 M","413,70 M"
Custos,"15,30 B","-2,33 B","-2,25 B","-1,87 B","-2,14 B","-2,00 B","-1,69 B","-1,58 B","-1,99 B","-1,68 B","-1,54 B","-1,66 B","-1,59 B","-1,46 B","-1,33 B","-1,21 B","-1,86 B","-1,71 B","-1,12 B","-1,10 B","-1,35 B","-1,01 B","-823,48 M","-907,65 M","-1,12 B","-1,04 B","-924,95 M","-1,01 B","-988,69 M","-1,12 B","-986,12 M","-1,03 B","-1,05 B","-982,24 M","-948,76 M","-753,11 M","-1,00 B","-847,13 M","-765,04 M","-813,64 M","-796,61 M","-887,25 M","-870,85 M","-766,09 M","-932,79 M","-754,59 M","-849,88 M","-612,47 M","-687,92 M","-438,01 M","-588,66 M","-484,91 M","-575,66 M","-551,12 M","-526,76 M","-485,83 M","-489,03 M","-508,40 M","-507,81 M","-527,34 M","-528,36 M","-419,26 M","-379,07 M","-366,15 M"
Lucro bruto,"18,60 B","877,97 M","765,89 M","822,99 M","848,73 M","909,63 M","886,05 M","812,72 M","862,90 M","1,10 B","874,16 M","671,36 M","852,08 M","604,93 M","811,85 M","656,09 M","713,43 M","743,19 M","445,37 M","437,95 M","536,17 M","523,90 M","340,93 M","376,74 M","555,39 M","422,35 M","249,82 M","269,57 M","493,99 M","365,15 M","285,13 M","227,57 M","428,57 M","425,28 M","298,31 M","262,32 M","397,35 M","280,94 M","236,19 M","155,82 M","245,40 M","252,74 M","149,49 M","218,88 M","481,33 M","314,35 M","-50,65 M","92,42 M","47,23 M","224,64 M","-21,58 M","45,19 M","61,47 M","46,32 M","47,18 M","55,60 M","111,33 M","113,35 M","107,27 M","69,28 M","137,96 M","114,64 M","117,98 M","47,55 M"
Despesas operacionais,"-340,98 M","-298,76 M","-213,06 M","-189,29 M","-333,50 M","-178,32 M","-222,72 M","-191,01 M","-182,84 M","-211,85 M","-134,94 M","-94,82 M","-305,21 M","-190,89 M","-226,12 M","-184,11 M","-229,22 M","-163,71 M","-138,45 M","-162,61 M","-187,85 M","-103,79 M","-192,98 M","-124,26 M","-266,80 M","-157,44 M","-137,07 M","-194,30 M","-117,98 M","-138,64 M","-151,47 M","-165,77 M","-142,58 M","-176,11 M","-168,15 M","-197,62 M","-178,96 M","-136,53 M","-115,25 M","-115,71 M","-205,48 M","-130,81 M","-130,61 M","-119,41 M","-166,89 M","-94,89 M","-91,04 M","-88,20 M","-69,36 M","-112,78 M","-69,90 M","-94,44 M","-519,94 M","-114,48 M","-92,40 M","-44,98 M","-195,63 M","-46,84 M","-43,41 M","-44,92 M","-60,03 M","-46,68 M","-54,91 M","-55,59 M"
Despesas com vendas,"-66,59 M","-70,92 M","-63,65 M","-57,19 M","-74,41 M","-77,63 M","-81,84 M","-55,05 M","-66,86 M","-54,64 M","-54,23 M","-50,69 M","-68,70 M","-45,89 M","-46,72 M","-39,25 M","-49,89 M","-50,17 M","-64,22 M","-21,39 M","-38,22 M","21,30 M","-39,18 M","-39,77 M","-45,69 M","-43,08 M","-41,70 M","-40,77 M","-53,78 M","-47,82 M","-44,22 M","-42,27 M","134,39 M","-78,09 M","-96,16 M","-127,31 M","-167,75 M","-69,54 M","-55,79 M","-63,39 M","-81,70 M","-62,91 M","-61,67 M","-60,38 M","-110,87 M","-37,47 M","-36,10 M","-33,63 M","-31,46 M","-32,28 M","-21,91 M","-22,51 M","13,39 M","-42,25 M","-52,45 M","-22,58 M","-25,39 M","-14,96 M","-13,44 M","-14,84 M","-19,85 M","-18,31 M","-20,13 M","-28,20 M"
Despesas administrativas,"-182,04 M","-54,37 M","-52,40 M","-48,59 M","-84,50 M","-45,79 M","-47,56 M","-49,77 M","-54,66 M","-38,95 M","-4,35 M","-37,26 M","-68,83 M","-66,42 M","-67,76 M","-58,02 M","-71,75 M","-59,65 M","-33,41 M","-94,60 M","-54,27 M","-98,61 M","-59,42 M","-50,21 M","-62,71 M","-57,11 M","-44,59 M","-62,66 M","-54,15 M","-55,21 M","-47,02 M","-62,33 M","-58,27 M","-76,89 M","-62,72 M","-50,29 M","4,94 M","-57,38 M","-44,32 M","-52,70 M","-52,54 M","-38,34 M","-24,25 M","-32,72 M","-46,29 M","-30,03 M","-33,77 M","-26,20 M","-38,03 M","-62,23 M","-19,64 M","-47,10 M","-142,40 M","-23,98 M","-13,28 M","-24,01 M","-30,57 M","-28,42 M","-27,32 M","-29,25 M","-35,86 M","-32,34 M","-30,79 M","-26,43 M"
EBIT,"18,26 B","579,21 M","552,83 M","633,70 M","515,23 M","731,31 M","663,34 M","621,71 M","680,06 M","888,63 M","739,23 M","576,54 M","546,86 M","414,04 M","585,73 M","471,98 M","484,21 M","579,48 M","306,91 M","275,34 M","348,32 M","420,11 M","147,96 M","252,48 M","288,58 M","264,92 M","112,76 M","75,28 M","376,01 M","226,51 M","133,66 M","61,80 M","285,99 M","249,17 M","130,16 M","64,70 M","218,39 M","144,41 M","120,94 M","40,11 M","39,92 M","121,93 M","18,88 M","99,47 M","314,44 M","219,45 M","-141,69 M","4,21 M","-22,13 M","111,85 M","-91,48 M","-49,25 M","-458,46 M","-68,16 M","-45,22 M","10,62 M","-84,31 M","66,51 M","63,86 M","24,36 M","77,93 M","67,95 M","63,07 M","-8,04 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-129,39 M","-125,93 M","-127,88 M","-147,25 M","-90,03 M","-72,34 M","-77,97 M","-97,11 M","-77,69 M","-40,63 M","-109,76 M","-103,29 M","-69,13 M","-13,52 M","-110,21 M","-90,04 M","-94,22 M","-102,07 M","-46,34 M","-104,15 M","-55,36 M","-65,51 M","-26,81 M","-56,39 M","-50,94 M","-41,95 M","-48,21 M","-5,74 M","-40,97 M","-63,10 M","-69,31 M","-62,06 M","-52,40 M","-37,56 M","-73,01 M","-44,32 M","-79,84 M","-40,21 M","-5,27 M","22,95 M","-106,93 M","-91,12 M","577,80 M","-62,72 M","-73,71 M","-40,54 M","-63,50 M","-26,04 M","-60,05 M","-43,25 M","-71,10 M","-14,13 M","46,87 M","-84,79 M","-75,43 M","-94,34 M","-121,20 M","-183,09 M","-104,36 M","-80,38 M","-107,77 M","-106,85 M","-116,57 M","2,44 M"
Antes dos impostos,"18,13 B","453,28 M","424,95 M","486,45 M","425,20 M","658,97 M","585,36 M","524,60 M","602,37 M","847,99 M","629,46 M","473,25 M","477,73 M","400,52 M","475,52 M","381,94 M","389,99 M","477,41 M","260,57 M","171,19 M","292,96 M","354,60 M","121,15 M","196,09 M","237,64 M","222,96 M","64,55 M","69,54 M","335,04 M","163,41 M","64,36 M","-257,00 Mil","233,59 M","211,61 M","57,15 M","20,38 M","138,55 M","104,20 M","115,67 M","63,05 M","-67,01 M","30,81 M","596,68 M","36,75 M","240,72 M","178,92 M","-205,19 M","-21,82 M","-82,18 M","68,60 M","-162,58 M","-63,38 M","-411,59 M","-152,96 M","-120,64 M","-83,72 M","-205,51 M","-116,57 M","-40,50 M","-56,02 M","-29,84 M","-38,90 M","-53,51 M","-5,60 M"
Imposto,"-29,83 M","-64,60 M","-64,27 M","-93,31 M","80,53 M","-102,51 M","-101,50 M","-94,56 M","1,56 M","-170,34 M","-110,20 M","-48,27 M","10,50 M","-32,41 M","-90,27 M","-67,13 M","-74,87 M","-100,73 M","-50,85 M","-47,16 M","-63,54 M","-73,88 M","-21,96 M","-86,87 M","-47,24 M","-43,61 M","-16,34 M","-18,39 M","-63,06 M","-29,62 M","-15,16 M","689,00 Mil","132,32 M","-20,78 M","-17,21 M","-3,52 M","-20,10 M","-10,43 M","-19,49 M","-19,91 M","98,37 M","-28,98 M","-145,55 M","-841,00 Mil","120,66 M","31,93 M","8,94 M","-8,94 M","-28,61 M","31,00 M","1,58 M","6,77 M","141,51 M","-80,31 M","4,19 M","-944,00 Mil","-25,71 M","35,05 M","1,99 M","16,11 M","30,50 M","11,69 M","-21,99 M","6,91 M"
Op. continuadas,"18,10 B","388,69 M","360,68 M","393,14 M","505,73 M","556,46 M","483,86 M","430,04 M","603,93 M","677,65 M","519,26 M","424,97 M","488,23 M","368,12 M","385,25 M","314,80 M","315,12 M","376,68 M","209,72 M","124,02 M","229,42 M","280,72 M","99,18 M","109,22 M","190,41 M","179,35 M","48,21 M","51,15 M","271,98 M","133,78 M","49,20 M","432,00 Mil","365,91 M","190,83 M","39,93 M","16,86 M","118,45 M","93,78 M","96,18 M","43,15 M","31,36 M","1,83 M","451,13 M","35,91 M","361,38 M","210,85 M","-196,25 M","-30,77 M","-110,79 M","99,60 M","-160,99 M","-56,61 M","-270,08 M","-233,26 M","-116,45 M","-84,67 M","-231,22 M","-81,52 M","-38,51 M","-39,91 M","657,00 Mil","-27,21 M","-75,50 M","1,31 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"18,10 B","388,69 M","360,68 M","393,14 M","505,73 M","556,46 M","483,86 M","430,04 M","603,93 M","677,65 M","519,26 M","424,97 M","488,23 M","368,12 M","385,25 M","314,80 M","315,12 M","376,68 M","209,72 M","124,02 M","229,42 M","280,72 M","99,18 M","109,22 M","190,41 M","179,35 M","48,21 M","51,15 M","271,98 M","133,78 M","49,20 M","432,00 Mil","365,91 M","190,83 M","39,93 M","16,86 M","118,45 M","93,78 M","96,18 M","43,15 M","31,36 M","1,83 M","451,13 M","35,91 M","361,38 M","210,85 M","-196,25 M","-30,77 M","-110,79 M","99,60 M","-160,99 M","-56,61 M","-270,08 M","-233,26 M","-116,45 M","-84,67 M","-231,22 M","-81,52 M","-38,51 M","-39,91 M","657,00 Mil","-27,21 M","-75,50 M","1,31 M"
Dos controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
