Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"30,59","13,58","18,38","22,71","8,31","9,14","7,88","18,64","15,10","17,19","10,37","10,15","60,91","30,20","17,39","11,40","8,66"
P/VP,"1,99","1,46","1,81","1,88","2,41","2,60","2,35","3,06","3,15","3,04","2,41","2,28","1,78","1,90","2,21","1,69","1,31"
P/EBIT,"6,31","5,33","4,99","5,91","6,16","5,68","4,42","8,23","10,68","10,38","10,33","6,79","14,49","10,22","7,79","5,27","4,30"
P/EBIT *,"5,19","4,55","4,30","5,05","6,02","5,49","3,89","7,19","10,23","9,72","8,37","6,02","8,94","8,13","5,65","4,23","4,39"
PSR,"0,99","0,87","0,93","1,15","1,27","1,52","1,01","1,52","1,66","1,54","1,16","0,95","0,89","1,43","1,41","1,20","1,19"
P/Ativos,"0,47","0,33","0,37","0,34","0,50","0,62","0,51","0,67","0,86","0,86","0,67","0,57","0,46","0,44","0,82","0,66","0,58"
LPA,"1,33","2,23","1,65","1,09","2,93","2,36","1,92","0,73","0,79","0,57","0,64","0,51","0,05","0,11","0,13","0,15","0,18"
VPA,"20,45","20,74","16,75","13,19","10,13","8,31","6,44","4,44","3,80","3,20","2,76","2,25","1,87","1,72","1,00","1,01","1,16"
EBIT por ação,"6,46","5,69","6,07","4,19","3,96","3,80","3,42","1,65","1,12","0,94","0,64","0,76","0,23","0,32","0,28","0,32","0,36"
EBIT por ação *,"7,85","6,67","7,05","4,91","4,05","3,93","3,89","1,89","1,17","1,00","0,80","0,85","0,37","0,40","0,39","0,40","0,35"
Ativo por ação,"87,04","92,45","82,31","71,96","49,01","35,04","29,80","20,26","13,89","11,29","9,99","8,95","7,23","7,37","2,70","2,60","2,65"
Receita líquida por ação,"41,35","34,75","32,55","21,55","19,25","14,21","14,93","8,94","7,20","6,32","5,76","5,40","3,74","2,29","1,57","1,43","1,29"
Margem bruta,"26,13%","26,37%","29,63%","31,57%","28,45%","33,46%","30,48%","25,91%","28,94%","27,02%","24,87%","25,46%","22,10%","28,72%","35,54%","38,52%","35,81%"
Margem líquida,"4,81%","8,61%","7,02%","7,08%","17,75%","19,27%","14,45%","10,32%","13,28%","10,98%","13,23%","11,47%","1,67%","7,19%","12,43%","15,90%","18,48%"
Margem EBIT,"15,63%","16,36%","18,66%","19,45%","20,57%","26,73%","22,92%","18,47%","15,55%","14,83%","11,19%","14,02%","6,12%","13,97%","18,05%","22,70%","27,67%"
Margem EBIT *,"18,98%","19,19%","21,67%","22,78%","21,03%","27,68%","26,06%","21,16%","16,22%","15,84%","13,82%","15,81%","9,92%","17,56%","24,89%","28,31%","27,07%"
Margem EBITDA,"20,92%","21,35%","23,23%","23,91%","23,81%","30,72%",--%,--%,--%,--%,"15,61%","18,36%","11,48%","17,83%","23,52%","28,52%","33,70%"
Margem EBITDA *,"24,27%","24,18%","26,24%","27,23%","24,26%","31,66%",--%,--%,--%,--%,"18,24%","20,14%","15,28%","21,42%","30,36%","34,13%","33,10%"
Margem operacional,"4,71%","6,27%","7,40%","9,92%","17,20%","24,36%","19,58%","11,51%","13,68%","13,20%","15,46%","10,46%","1,47%","10,81%","15,35%","19,14%","23,16%"
ROE,"8,84%","12,61%","11,38%","10,35%","29,46%","28,08%","27,79%","17,72%","20,96%","17,92%","22,70%","22,65%","2,76%","8,25%","19,56%","22,51%","20,40%"
ROA,"0,02","0,03","0,03","0,02","0,07","0,08","0,07","0,05","0,07","0,06","0,08","0,07","0,01","0,02","0,07","0,09","0,09"
ROIC,"8,64%","7,25%","8,83%","6,74%","10,52%","13,97%","14,49%","10,85%","11,63%","11,54%","8,85%","11,68%","4,23%","5,85%","12,94%","16,00%","16,53%"
ROIC *,"10,50%","8,50%","10,26%","7,89%","10,76%","14,46%","16,48%","12,43%","12,13%","12,33%","10,93%","13,17%","6,86%","7,35%","17,85%","19,95%","16,17%"
Giro do ativo,"0,48","0,38","0,40","0,30","0,39","0,41","0,50","0,44","0,52","0,56","0,58","0,60","0,52","0,31","0,58","0,55","0,49"
EBIT *,9.884 mi,8.397 mi,8.881 mi,6.179 mi,5.098 mi,4.951 mi,4.898 mi,2.381 mi,1.471 mi,1.259 mi,1.002 mi,1.075 mi,467 mi,506 mi,492 mi,509 mi,438 mi
EBITDA,10.891 mi,9.343 mi,9.520 mi,6.486 mi,5.771 mi,5.495 mi,2.579 mi,958 mi,946 mi,647 mi,1.132 mi,1.248 mi,541 mi,514 mi,465 mi,513 mi,545 mi
EBITDA *,12.638 mi,10.581 mi,10.754 mi,7.389 mi,5.881 mi,5.664 mi,-34 mi,-39 mi,-42 mi,-29 mi,1.322 mi,1.370 mi,720 mi,617 mi,601 mi,613 mi,536 mi
Liquidez corrente,"1,49","1,46","1,54","0,98","1,67","1,68","1,86","1,46","1,84","1,74","1,65","1,39","1,82","1,28","1,34","1,65","1,43"
Liquidez seca,"1,48","1,45","1,53","0,97","1,65","1,68","1,85","1,46","1,84","1,73","1,64","1,38","1,81","1,27","1,33","1,64","1,42"
Liquidez imediata,"0,15","0,17","0,25","0,14","0,23","0,25","0,29","0,74","1,02","0,27","0,13","0,09","0,21","0,05","0,31","0,83","0,73"
Dívida bruta,54.471 mi,55.827 mi,46.452 mi,41.183 mi,25.402 mi,17.787 mi,16.808 mi,11.536 mi,6.970 mi,4.834 mi,3.935 mi,4.374 mi,3.225 mi,3.075 mi,1.469 mi,1.341 mi,1.274 mi
Dívida líquida,43.989 mi,42.789 mi,34.214 mi,33.302 mi,15.031 mi,10.171 mi,10.979 mi,6.792 mi,2.796 mi,1.776 mi,1.453 mi,2.411 mi,1.612 mi,1.350 mi,1.020 mi,791 mi,833 mi
Capital de giro,8.801 mi,8.922 mi,9.803 mi,-411 mi,8.700 mi,5.935 mi,5.264 mi,2.987 mi,3.419 mi,2.511 mi,2.026 mi,1.234 mi,1.392 mi,723 mi,266 mi,431 mi,260 mi
Endividamento geral,"286,91%","289,50%","309,92%","388,06%","322,57%","259,36%","284,00%","289,23%","204,25%","191,88%","197,59%","227,05%","219,69%","268,92%","170,06%","157,81%","127,36%"
