Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"12,75 B","13,42 B","14,15 B","12,80 B","11,38 B","11,01 B","12,36 B","10,49 B","9,90 B","11,25 B","10,36 B","9,20 B","10,18 B","7,92 B","6,88 B","6,49 B","5,84 B","8,06 B","7,49 B","4,55 B","4,14 B","5,99 B","4,21 B","3,48 B","4,21 B","6,19 B","4,88 B","4,38 B","3,36 B","3,72 B","2,74 B","2,36 B","2,44 B","2,72 B","2,42 B","2,18 B","1,75 B","2,36 B","2,00 B","1,79 B","1,73 B","1,99 B","1,86 B","1,72 B","1,68 B","2,46 B","1,67 B","1,35 B","1,33 B","1,33 B","1,20 B","1,12 B","1,07 B","1,15 B","640,28 M","560,79 M","535,77 M","602,26 M","498,52 M","460,68 M","419,07 M","510,83 M","480,07 M","433,84 M","374,14 M"
Custos,"-9,29 B","-10,16 B","-10,66 B","-9,41 B","-8,22 B","-9,22 B","-8,91 B","-7,33 B","-6,77 B","-7,97 B","-7,06 B","-6,44 B","-7,38 B","-5,46 B","-4,88 B","-4,38 B","-3,84 B","-5,64 B","-5,76 B","-3,03 B","-2,91 B","-3,84 B","-2,84 B","-2,34 B","-2,89 B","-3,77 B","-3,62 B","-3,13 B","-2,55 B","-2,63 B","-2,03 B","-1,76 B","-1,92 B","-1,95 B","-1,61 B","-1,57 B","-1,31 B","-1,68 B","-1,46 B","-1,27 B","-1,40 B","-1,40 B","-1,39 B","-1,39 B","-1,27 B","-1,50 B","-1,14 B","-1,34 B","-1,09 B","-1,10 B","-741,59 M","-961,69 M","-871,69 M","-873,03 M","-457,18 M","-375,77 M","-350,11 M","-403,77 M","-327,61 M","-288,49 M","-256,85 M","-328,16 M","-294,11 M","-257,00 M","-226,65 M"
Lucro bruto,"3,46 B","3,27 B","3,49 B","3,38 B","3,17 B","1,79 B","3,46 B","3,15 B","3,13 B","3,28 B","3,31 B","2,76 B","2,80 B","2,46 B","2,00 B","2,11 B","2,00 B","2,41 B","1,73 B","1,52 B","1,23 B","2,15 B","1,37 B","1,14 B","1,32 B","2,42 B","1,26 B","1,24 B","814,59 M","1,09 B","705,58 M","599,39 M","521,95 M","769,97 M","813,98 M","604,79 M","436,30 M","677,31 M","548,17 M","527,41 M","333,04 M","593,74 M","469,64 M","331,23 M","409,31 M","950,75 M","533,58 M","13,69 M","234,55 M","231,47 M","461,33 M","155,17 M","194,17 M","274,62 M","183,11 M","185,03 M","185,66 M","198,48 M","170,91 M","172,19 M","162,22 M","182,66 M","185,96 M","176,84 M","147,49 M"
Despesas operacionais,"-1,13 B","-2,89 B","-1,09 B","-419,38 M","-1,00 B","-1,10 B","-916,80 M","-1,22 B","-1,14 B","-1,51 B","-1,11 B","-961,57 M","-921,90 M","-857,34 M","-767,47 M","-935,39 M","-729,36 M","-487,51 M","-580,45 M","-438,38 M","-401,65 M","-118,23 M","-283,71 M","-452,50 M","-349,89 M","-268,84 M","-317,21 M","-481,26 M","-354,12 M","-45,29 M","-231,58 M","-279,15 M","-281,57 M","-250,31 M","-336,10 M","-314,08 M","-314,21 M","-333,50 M","-245,15 M","-220,14 M","-171,05 M","-339,34 M","-221,64 M","-218,03 M","-213,13 M","-270,27 M","-180,60 M","-167,91 M","-159,93 M","-180,98 M","-212,49 M","-156,17 M","-203,93 M","-189,36 M","-72,97 M","-84,11 M","-78,93 M","-123,35 M","-73,95 M","-73,79 M","-79,48 M","-76,89 M","-88,62 M","-61,39 M","-46,51 M"
Despesas com vendas,"-294,01 M","-309,22 M","-305,97 M","-290,24 M","-275,56 M","-431,70 M","-260,49 M","-310,05 M","-255,87 M","-268,46 M","-230,98 M","-240,90 M","-242,00 M","-192,15 M","-207,52 M","-215,35 M","-174,06 M","-216,50 M","-143,16 M","-192,43 M","-45,33 M","-38,15 M","69,93 M","-48,87 M","-77,07 M","-114,84 M","81,18 M","-147,89 M","-91,29 M","-123,11 M","-88,93 M","-77,73 M","-81,91 M","-137,89 M","-133,68 M","-131,58 M","-180,12 M","-223,16 M","-125,56 M","-104,63 M","-107,25 M","-140,12 M","-96,19 M","-99,35 M","-96,91 M","-177,00 M","-67,15 M","-62,37 M","-64,92 M","-65,06 M","-83,58 M","-48,45 M","-51,62 M","-55,35 M","-29,21 M","-31,70 M","-30,71 M","-29,62 M","-28,19 M","-26,05 M","-26,62 M","-29,70 M","-27,96 M","-13,89 M","-13,38 M"
Despesas administrativas,"-680,19 M","-1,04 B","-643,97 M","-222,34 M","-566,69 M","-394,21 M","-405,76 M","-506,74 M","-575,89 M","-591,80 M","-573,78 M","-578,02 M","-535,25 M","-466,15 M","-363,08 M","-440,90 M","-328,01 M","-367,00 M","-374,36 M","-183,35 M","-274,89 M","-243,19 M","-282,94 M","-255,58 M","-159,20 M","66,59 M","-269,97 M","-222,14 M","-132,15 M","193,23 M","-119,43 M","-119,22 M","-117,23 M","-123,96 M","-173,67 M","-163,11 M","-109,52 M","-76,63 M","-99,09 M","-97,41 M","-55,47 M","-120,73 M","-83,58 M","-62,60 M","-80,20 M","-95,84 M","-68,37 M","-64,91 M","-56,53 M","-88,65 M","-89,63 M","-56,43 M","-90,91 M","-90,85 M","-22,79 M","-29,18 M","-32,03 M","41,70 M","-45,76 M","-45,65 M","-41,94 M","53,67 M","-60,66 M","-45,23 M","-38,99 M"
EBIT,"2,32 B","380,80 M","2,39 B","2,96 B","2,16 B","692,14 M","2,54 B","1,94 B","1,99 B","1,77 B","2,20 B","1,80 B","1,87 B","1,60 B","1,23 B","1,18 B","1,27 B","1,93 B","1,15 B","1,09 B","825,51 M","2,03 B","1,09 B","691,48 M","968,64 M","2,15 B","939,37 M","759,86 M","460,47 M","1,04 B","474,00 M","320,24 M","240,38 M","519,66 M","477,88 M","290,71 M","122,09 M","343,80 M","303,01 M","307,26 M","161,99 M","254,40 M","248,01 M","113,20 M","196,18 M","680,48 M","352,98 M","-154,22 M","74,62 M","50,49 M","248,83 M","-1,01 M","-9,75 M","85,26 M","110,14 M","100,92 M","106,73 M","75,13 M","96,97 M","98,39 M","82,74 M","105,77 M","97,34 M","115,45 M","100,99 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,50 B","-1,23 B","-1,57 B","-1,42 B","-1,37 B","-1,01 B","-1,19 B","-944,15 M","-1,28 B","-1,03 B","-988,15 M","-1,10 B","-1,50 B","-677,68 M","-445,08 M","-1,10 B","-360,48 M","166,79 M","-445,95 M","-308,23 M","-230,66 M","-90,07 M","-116,21 M","-64,55 M","-153,29 M","-281,14 M","-115,20 M","-141,52 M","-89,80 M","-527,99 M","-84,03 M","-89,34 M","-81,23 M","-35,38 M","-20,68 M","-65,21 M","-47,95 M","-75,15 M","-20,15 M","-31,53 M","60,77 M","-157,96 M","-73,84 M","602,53 M","-61,45 M","-112,37 M","-48,42 M","-57,83 M","-23,30 M","-61,83 M","-72,35 M","-63,87 M","-21,05 M","-57,14 M","-11,95 M","-13,35 M","-8,77 M","-4,98 M","-15,89 M","-20,50 M","-7,86 M","-40,11 M","-10,95 M","-17,80 M","-6,38 M"
Antes dos impostos,"820,65 M","-848,85 M","818,12 M","1,54 B","787,44 M","-314,38 M","1,35 B","994,50 M","711,45 M","744,27 M","1,21 B","703,95 M","373,34 M","923,81 M","784,88 M","74,98 M","909,06 M","2,09 B","703,38 M","778,11 M","594,85 M","1,94 B","972,01 M","626,93 M","815,34 M","1,87 B","824,17 M","618,34 M","370,68 M","515,52 M","389,98 M","230,90 M","159,16 M","484,28 M","457,20 M","225,50 M","74,14 M","268,65 M","282,87 M","275,73 M","222,76 M","96,44 M","174,17 M","715,73 M","134,73 M","568,11 M","304,56 M","-212,06 M","51,32 M","-11,34 M","176,49 M","-64,88 M","-30,81 M","28,11 M","98,20 M","87,57 M","97,96 M","70,15 M","81,08 M","77,89 M","74,88 M","65,66 M","86,39 M","97,65 M","94,60 M"
Imposto,"-213,89 M","276,37 M","-208,31 M","-251,22 M","-191,07 M","949,51 M","-361,26 M","-299,41 M","-132,02 M","245,80 M","-285,54 M","-33,30 M","-85,46 M","-152,46 M","-200,36 M","-187,45 M","-230,47 M","-466,62 M","888,00 M","-146,10 M","-142,20 M","-332,47 M","-124,80 M","-152,72 M","-300,65 M","-434,19 M","-208,41 M","-208,89 M","-112,93 M","32,63 M","-74,14 M","-49,39 M","-43,59 M","98,76 M","-71,37 M","-53,36 M","-10,06 M","-26,04 M","-43,96 M","-54,93 M","-51,95 M","88,31 M","-59,41 M","-166,03 M","-24,09 M","51,97 M","22,34 M","13,62 M","-19,30 M","-41,27 M","49,95 M","7,65 M","-7,27 M","-53,40 M","-8,72 M","-19,98 M","-22,27 M","-19,56 M","-6,24 M","-9,71 M","-22,32 M","-14,46 M","-16,96 M","-9,27 M","-17,52 M"
