Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"2,24 B","2,21 B","2,25 B","2,23 B","2,30 B","2,29 B","2,20 B","2,21 B","2,26 B","2,28 B","2,28 B","2,28 B","2,31 B","2,33 B","2,08 B","2,17 B","2,19 B","2,22 B","2,19 B","1,94 B","1,63 B","1,46 B","1,39 B","1,28 B","1,33 B","1,13 B","775,45 M"
Ativo circulante,"1,05 B","1,03 B","1,07 B","1,03 B","1,06 B","1,04 B","940,66 M","948,76 M","965,29 M","952,70 M","958,68 M","946,55 M","970,88 M","980,32 M","738,54 M","772,63 M","840,86 M","867,83 M","914,47 M","765,38 M","965,17 M","839,87 M","731,92 M","680,97 M","707,50 M","450,70 M","333,02 M"
Caixa e eq. de caixa,"172,03 M","145,32 M","240,20 M","183,35 M","209,19 M","224,07 M","182,78 M","172,21 M","155,90 M","157,96 M","222,32 M","208,35 M","196,07 M","238,39 M","74,49 M","157,98 M","130,87 M","143,45 M","270,86 M","158,26 M","266,17 M","148,95 M","217,08 M","267,23 M","243,55 M","55,11 M","69,25 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,13 M","14,77 M",0,0,0,0,0
Contas a receber,"814,01 M","818,47 M","769,42 M","783,73 M","788,01 M","759,56 M","708,72 M","707,85 M","744,95 M","738,09 M","681,06 M","683,83 M","717,96 M","691,18 M","601,04 M","550,87 M","660,00 M","656,96 M","566,81 M","502,58 M","419,19 M","437,78 M","379,88 M","355,27 M","398,99 M","380,49 M","227,09 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,19 B","1,18 B","1,18 B","1,19 B","1,24 B","1,25 B","1,26 B","1,26 B","1,29 B","1,33 B","1,33 B","1,34 B","1,34 B","1,35 B","1,34 B","1,40 B","1,35 B","1,35 B","1,28 B","1,18 B","665,52 M","616,99 M","654,29 M","599,58 M","621,70 M","674,56 M","442,43 M"
Investimentos,0,0,0,0,0,0,"1,96 M","1,96 M","1,96 M","1,96 M","6,90 M","4,53 M","947,00 Mil",0,"784,00 Mil","2,60 M","4,72 M","3,12 M","2,28 M","1,63 M","1,39 M","1,64 M",0,0,0,0,0
Imobilizado,"362,23 M","342,76 M","348,38 M","345,99 M","351,62 M","359,84 M","362,05 M","368,14 M","379,54 M","401,10 M","391,21 M","404,42 M","394,60 M","386,64 M","375,66 M","390,53 M","381,67 M","363,11 M","326,98 M","300,19 M","251,01 M","230,02 M","226,74 M","227,94 M","234,24 M","229,34 M","114,70 M"
