Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"17,92","26,05","101,91","-15,95","-7,27","11,19","89,93",-,-
P/VP,"0,33","0,48","0,30","0,43","0,41","2,78","16,71",-,-
P/EBIT,"1,64","2,38","1,71","2,89","3,51","8,83","81,27",-,-
P/EBIT *,"1,67","2,43","1,72","3,16","4,00","19,18","80,20",-,-
PSR,"0,26","0,37","0,25","0,37","0,40","2,78","10,70",-,-
P/Ativos,"0,13","0,18","0,11","0,16","0,16","0,89","3,83",-,-
LPA,"0,04","0,04","0,01","-0,06","-0,14","0,49","0,17",-,-
VPA,"2,41","2,38","2,37","2,37","2,44","1,97","0,92",-,-
EBIT por ação,"0,48","0,47","0,42","0,35","0,29","0,62","0,19",-,-
EBIT por ação *,"0,47","0,47","0,41","0,32","0,25","0,29","0,19",-,-
Ativo por ação,"6,18","6,11","6,34","6,32","6,45","6,14","4,03",-,-
Receita líquida por ação,"3,05","3,02","2,85","2,78","2,51","1,98","1,44",-,-
Margem bruta,"34,30%","34,10%","33,52%","36,95%","35,08%","40,70%","45,72%","55,93%","52,88%"
Margem líquida,"1,17%","1,20%","0,16%","-2,54%","-5,67%","24,65%","11,27%","10,10%","11,47%"
Margem EBIT,"15,80%","15,71%","14,57%","12,69%","11,48%","31,47%","13,16%","24,49%","24,57%"
Margem EBIT *,"15,51%","15,39%","14,49%","11,59%","10,06%","14,49%","13,34%","24,39%","17,30%"
Margem EBITDA,"25,27%","24,93%","24,14%","21,41%","21,19%","40,57%","24,08%","33,63%","30,82%"
Margem EBITDA *,"24,97%","24,61%","24,06%","20,31%","19,78%","23,58%","24,26%","33,53%","23,55%"
Margem operacional,"2,94%","3,28%","1,80%","0,17%","-4,87%","25,15%","22,25%","17,33%","17,29%"
ROE,"1,49%","1,54%","0,19%","-2,97%","-5,79%","24,38%","16,87%","29,30%","18,99%"
ROA,"0,01","0,01","0,00","-0,01","-0,02","0,08","0,04","0,06","0,05"
ROIC,"8,52%","8,43%","7,38%","6,08%","5,04%","10,95%","5,37%","15,16%","11,93%"
ROIC *,"8,36%","8,26%","7,34%","5,56%","4,42%","5,04%","5,44%","15,11%","8,40%"
Giro do ativo,"0,49","0,50","0,45","0,44","0,39","0,32","0,36","0,58","0,43"
EBIT *,170 mi,168 mi,149 mi,116 mi,91 mi,103 mi,69 mi,157 mi,58 mi
EBITDA,278 mi,272 mi,248 mi,215 mi,192 mi,289 mi,125 mi,217 mi,103 mi
EBITDA *,275 mi,269 mi,247 mi,204 mi,179 mi,168 mi,126 mi,217 mi,79 mi
Liquidez corrente,"1,73","1,69","1,49","1,00","1,74","1,13","1,30","1,07","1,03"
Liquidez seca,"1,73","1,69","1,49","1,00","1,74","1,13","1,30","1,07","1,03"
Liquidez imediata,"0,28","0,24","0,32","0,17","0,42","0,19","0,23","0,13","0,21"
Dívida bruta,798 mi,753 mi,864 mi,869 mi,919 mi,892 mi,519 mi,318 mi,162 mi
Dívida líquida,625 mi,607 mi,640 mi,711 mi,680 mi,749 mi,356 mi,263 mi,93 mi
Capital de giro,442 mi,420 mi,342 mi,2 mi,416 mi,103 mi,194 mi,29 mi,8 mi
Endividamento geral,"158,02%","157,89%","167,70%","165,54%","162,62%","207,53%","317,86%","404,19%","281,74%"
