Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"288,15 M","288,38 M","266,03 M","259,22 M","279,36 M","269,80 M","237,51 M","248,90 M","273,56 M","268,45 M","234,31 M","236,25 M","267,45 M","256,30 M","210,00 M","207,36 M","232,86 M","167,22 M","104,27 M","243,41 M","199,37 M","206,85 M","114,01 M","27,94 M","173,10 M","146,91 M","204,11 M","165,79 M","130,78 M"
Custos,"-181,52 M","-188,26 M","-180,17 M","-173,88 M","-177,94 M","-180,36 M","-168,88 M","-167,87 M","-167,53 M","-132,78 M","-162,93 M","-166,59 M","-172,26 M","-171,47 M","-135,69 M","-149,80 M","-131,55 M","-137,14 M","-103,04 M","-97,16 M","-86,23 M","-86,85 M","-72,72 M","-52,13 M","-71,59 M","-79,35 M","-71,15 M","-72,31 M","-62,57 M"
Lucro bruto,"106,63 M","100,12 M","85,86 M","85,33 M","101,42 M","89,44 M","68,63 M","81,03 M","106,04 M","135,67 M","71,38 M","69,65 M","95,19 M","84,83 M","74,31 M","57,56 M","101,31 M","30,08 M","1,22 M","146,25 M","113,14 M","120,00 M","41,29 M","-24,19 M","101,51 M","67,56 M","132,97 M","93,48 M","68,21 M"
Despesas operacionais,"-51,96 M","-55,00 M","-54,35 M","-42,50 M","-49,22 M","-59,99 M","-41,48 M","-39,67 M","-53,95 M","-118,25 M","-35,95 M","-42,16 M","-47,85 M","-64,86 M","-46,85 M","-44,14 M","-58,13 M","-4,05 M","27,36 M","-40,19 M","-49,04 M","-41,32 M","-22,67 M","-47,29 M","-58,63 M","-66,02 M","-42,54 M","-51,87 M","-44,41 M"
Despesas com vendas,"-15,73 M","-16,18 M","-14,32 M","-14,57 M","-17,80 M","-62,55 M","410,00 Mil","-1,96 M","-5,31 M","-42,64 M","-2,24 M","-15,82 M","-12,05 M","-12,63 M","-12,61 M","-10,60 M","-10,36 M","-13,94 M","-5,39 M","-6,96 M","-8,14 M","11,50 M","-23,77 M","-5,56 M","-7,72 M","-18,94 M","2,19 M","-5,16 M","-5,01 M"
Despesas administrativas,"-35,68 M","-41,47 M","-38,45 M","-30,71 M","-31,03 M","2,85 M","-42,09 M","-39,46 M","-47,81 M","-70,94 M","-36,34 M","-31,38 M","-43,80 M","-51,55 M","-38,70 M","-41,89 M","-48,49 M","-41,71 M","-36,89 M","-33,51 M","-40,70 M","-50,34 M","-599,00 Mil","-41,95 M","-50,55 M","-39,25 M","-49,32 M","-46,72 M","-43,25 M"
EBIT,"54,67 M","45,12 M","31,51 M","42,83 M","52,21 M","29,45 M","27,16 M","41,36 M","52,08 M","17,42 M","35,42 M","27,50 M","47,33 M","19,97 M","27,46 M","13,41 M","43,18 M","26,03 M","28,58 M","106,05 M","64,10 M","78,68 M","18,63 M","-71,47 M","42,88 M","1,53 M","90,43 M","41,61 M","23,80 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-36,83 M","-34,60 M","-35,78 M","-34,49 M","-30,91 M","-35,67 M","-35,20 M","-31,08 M","-29,57 M","-32,94 M","-32,37 M","-29,95 M","-30,68 M","-31,66 M","-42,61 M","-42,70 M","-31,20 M","-31,00 M","-31,45 M","-25,03 M","42,35 M","82,12 M","-20,56 M","-25,78 M","11,61 M","-18,69 M","-7,82 M","-15,68 M","1,60 M"
Antes dos impostos,"17,84 M","10,52 M","-4,28 M","8,35 M","21,30 M","-6,22 M","-8,04 M","10,28 M","22,52 M","-15,51 M","3,05 M","-2,45 M","16,66 M","-11,69 M","-15,15 M","-29,28 M","11,98 M","-4,97 M","-2,86 M","81,03 M","106,44 M","160,80 M","-1,93 M","-97,25 M","54,48 M","-17,16 M","82,60 M","25,93 M","25,40 M"
Imposto,"-5,97 M","-2,49 M","-4,81 M","-6,24 M","-9,19 M","10,98 M","-1,92 M","-8,99 M","-16,96 M","-3,49 M","-4,52 M","-8,59 M","-10,66 M","-4,37 M","-3,85 M","5,52 M","-4,53 M","23,74 M","11,38 M","-7,48 M","-31,22 M","-36,41 M","-5,28 M","3,10 M","-18,68 M","-3,25 M","-17,59 M","-16,11 M","-10,71 M"
Op. continuadas,"11,87 M","8,03 M","-9,08 M","2,10 M","12,11 M","4,76 M","-9,96 M","1,29 M","5,56 M","-19,00 M","-1,47 M","-11,04 M","6,00 M","-16,06 M","-19,00 M","-23,76 M","7,46 M","18,76 M","8,51 M","73,55 M","75,22 M","124,39 M","-7,21 M","-94,15 M","35,80 M","-20,41 M","65,01 M","9,82 M","14,69 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"11,87 M","8,03 M","-9,08 M","2,10 M","12,11 M","4,76 M","-9,96 M","1,29 M","5,56 M","-19,00 M","-1,47 M","-11,04 M","6,00 M","-16,06 M","-19,00 M","-23,76 M","7,46 M","18,76 M","8,51 M","73,55 M","75,22 M","124,39 M","-7,21 M","-94,15 M","35,80 M","-20,41 M","65,01 M","9,82 M","14,69 M"
Dos controladores,"12,51 M","8,80 M","-7,97 M","2,58 M","12,26 M","4,43 M","-9,66 M","1,67 M","6,07 M","-19,08 M","-1,20 M","-9,81 M","6,99 M","-16,14 M","-18,82 M","-23,48 M","8,24 M","20,91 M","8,12 M","73,17 M","75,15 M","118,22 M","-4,22 M","-84,73 M","32,82 M","-18,23 M","47,83 M","5,42 M","13,12 M"
Dos não controladores,"-639,00 Mil","-775,00 Mil","-1,11 M","-480,00 Mil","-148,00 Mil","329,00 Mil","-300,00 Mil","-384,00 Mil","-515,00 Mil","78,00 Mil","-266,00 Mil","-1,23 M","-988,00 Mil","79,00 Mil","-184,00 Mil","-284,00 Mil","-779,00 Mil","-2,14 M","398,00 Mil","371,00 Mil","69,00 Mil","6,16 M","-2,99 M","-9,42 M","2,98 M","-2,18 M","17,18 M","4,40 M","1,57 M"
