Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"5,29 B","5,22 B","5,01 B","5,13 B","5,15 B","5,18 B","5,29 B","5,77 B","7,42 B","7,30 B","7,05 B","6,87 B","6,73 B","6,70 B","6,45 B","6,14 B","6,04 B","5,93 B","5,87 B","5,61 B","5,67 B","5,18 B","5,57 B","4,81 B","5,03 B","4,98 B","4,76 B","4,80 B","5,02 B","4,84 B","4,62 B","4,46 B","4,61 B","4,74 B","4,75 B","4,70 B","5,08 B","5,02 B","4,97 B","5,09 B","5,11 B","5,14 B","4,98 B","4,90 B","4,92 B","4,88 B","4,84 B","4,77 B","4,69 B","4,80 B","4,66 B","4,53 B","4,40 B","4,37 B","3,69 B","3,63 B","3,60 B","3,49 B","3,57 B","3,46 B","3,49 B","3,06 B","2,27 B"
Ativo circulante,"3,88 B","3,83 B","3,58 B","3,92 B","4,18 B","4,26 B","4,30 B","4,39 B","5,59 B","5,47 B","5,45 B","5,47 B","5,17 B","5,10 B","4,66 B","4,16 B","4,42 B","4,34 B","4,55 B","4,38 B","4,45 B","3,80 B","4,21 B","3,72 B","3,87 B","3,55 B","3,80 B","3,94 B","4,23 B","3,83 B","3,78 B","3,63 B","3,78 B","3,95 B","3,61 B","3,62 B","4,00 B","4,01 B","3,70 B","3,63 B","3,59 B","3,61 B","3,44 B","3,30 B","3,25 B","3,21 B","3,30 B","3,33 B","3,25 B","3,43 B","3,47 B","3,49 B","3,50 B","3,58 B","3,18 B","3,03 B","3,04 B","3,09 B","3,04 B","2,88 B","2,96 B","2,54 B","2,01 B"
Caixa e eq. de caixa,"1,14 M","11,03 M","8,16 M","4,77 M","589,00 Mil","18,34 M","2,42 M","20,48 M","88,49 M","31,07 M","14,62 M","7,38 M","21,92 M","29,70 M","23,45 M","15,91 M","24,58 M","42,32 M","48,62 M","60,56 M","134,06 M","366,32 M","328,27 M","586,96 M","640,16 M","496,60 M","250,96 M","313,82 M","303,58 M","390,66 M","241,61 M","206,37 M","324,86 M","370,71 M","84,07 M","11,85 M","44,87 M","93,83 M","94,90 M","38,57 M","91,45 M","120,06 M","24,88 M","1,35 M","8,41 M","6,47 M","10,98 M","17,35 M","38,31 M","48,15 M","33,98 M","64,35 M","33,64 M","61,65 M","44,55 M","29,78 M","43,46 M","58,52 M","34,59 M","55,66 M","33,38 M","26,41 M","24,69 M"
Aplicações financeiras,"922,90 M","966,05 M","804,50 M","918,55 M","866,79 M","746,37 M","820,60 M","607,85 M","961,22 M","905,89 M","938,36 M","945,70 M","900,09 M","940,35 M","712,75 M","849,19 M","865,63 M","899,26 M","1,07 B","1,23 B","1,32 B","922,58 M","1,02 B","224,47 M","358,35 M","434,80 M","567,73 M","321,59 M","497,97 M","419,23 M","381,55 M","347,67 M","316,01 M","272,11 M","380,84 M","336,03 M","534,93 M","515,08 M","427,42 M","539,79 M","502,65 M","562,40 M","573,71 M","663,25 M","652,83 M","714,79 M","671,96 M","709,46 M","607,44 M","717,39 M","697,49 M","505,60 M","552,10 M","515,08 M","431,47 M","455,24 M","454,62 M","366,19 M","347,34 M","435,61 M","623,88 M","486,64 M","256,88 M"
Contas a receber,"823,21 M","841,81 M","735,00 M","729,33 M","817,22 M","955,31 M","1,11 B","1,14 B","1,66 B","1,60 B","1,35 B","1,23 B","1,22 B","936,30 M","806,81 M","1,05 B","1,10 B","1,11 B","785,07 M","757,30 M","732,28 M","664,62 M","868,73 M","896,37 M","889,99 M","641,99 M","832,92 M","1,04 B","973,20 M","860,83 M","878,34 M","791,14 M","880,78 M","1,04 B","1,41 B","1,52 B","1,61 B","1,68 B","1,55 B","1,75 B","1,82 B","1,82 B","1,75 B","1,69 B","1,74 B","1,64 B","1,80 B","1,76 B","1,78 B","1,88 B","1,87 B","2,04 B","1,97 B","2,04 B","1,78 B","1,67 B","1,69 B","1,81 B","1,77 B","1,72 B","1,70 B","1,49 B","1,07 B"
Estoques,"2,10 B","1,98 B","2,00 B","2,21 B","2,42 B","2,51 B","2,31 B","2,56 B","2,79 B","2,85 B","3,04 B","3,16 B","2,93 B","3,05 B","2,96 B","2,09 B","2,28 B","2,15 B","2,51 B","2,20 B","2,12 B","1,72 B","1,88 B","1,92 B","1,90 B","1,89 B","2,10 B","2,20 B","2,40 B","2,11 B","2,23 B","2,24 B","2,21 B","2,22 B","1,69 B","1,72 B","1,77 B","1,69 B","1,57 B","1,26 B","1,12 B","1,07 B","1,04 B","885,23 M","747,76 M","745,78 M","707,29 M","722,91 M","725,77 M","707,07 M","755,36 M","790,81 M","843,03 M","860,41 M","854,91 M","782,93 M","758,78 M","760,92 M","757,04 M","555,30 M","473,11 M","448,39 M","555,23 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,41 B","1,38 B","1,43 B","1,21 B","971,34 M","917,22 M","989,08 M","1,38 B","1,84 B","1,83 B","1,61 B","1,40 B","1,56 B","1,60 B","1,79 B","1,98 B","1,62 B","1,59 B","1,31 B","1,23 B","1,22 B","1,38 B","1,36 B","1,10 B","1,16 B","1,43 B","956,33 M","865,03 M","797,26 M","1,02 B","842,75 M","831,49 M","830,85 M","793,26 M","1,15 B","1,07 B","1,08 B","1,01 B","1,26 B","1,46 B","1,52 B","1,53 B","1,54 B","1,60 B","1,67 B","1,68 B","1,54 B","1,43 B","1,44 B","1,38 B","1,20 B","1,03 B","896,24 M","794,82 M","508,25 M","598,10 M","552,20 M","400,21 M","534,51 M","575,50 M","523,95 M","516,59 M","261,38 M"
Investimentos,"128,76 M","124,91 M","120,27 M","107,06 M","95,04 M","72,10 M","81,81 M","354,26 M","49,86 M","57,57 M","58,24 M","46,32 M","36,46 M","37,28 M","35,77 M","31,35 M","28,98 M","29,73 M","32,15 M","27,82 M","24,59 M","26,75 M","26,11 M","23,06 M","20,43 M","22,14 M","22,02 M","20,62 M","20,44 M","20,66 M","23,13 M","19,47 M","21,63 M","26,42 M","26,85 M","24,40 M","24,11 M","24,37 M","20,10 M","21,18 M","35,10 M","20,51 M","20,53 M","20,49 M","21,60 M","22,95 M","9,47 M","14,04 M","17,53 M","19,75 M","19,25 M","20,89 M","29,63 M","33,93 M","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil","11,00 Mil"
Imobilizado,"19,01 M","7,55 M","11,80 M","15,88 M","20,24 M","24,29 M","27,62 M","31,12 M","45,07 M","45,76 M","20,56 M","17,85 M","19,67 M","17,01 M","19,22 M","23,22 M","24,90 M","21,29 M","16,81 M","13,96 M","13,57 M","11,92 M","12,41 M","13,04 M","14,50 M","15,68 M","17,30 M","19,41 M","21,22 M","12,60 M","13,37 M","14,79 M","15,71 M","16,82 M","20,64 M","20,10 M","21,06 M","24,69 M","23,54 M","21,82 M","22,28 M","23,90 M","25,91 M","24,73 M","23,54 M","24,88 M","26,55 M","30,82 M","28,18 M","31,27 M","34,20 M","29,10 M","24,89 M","23,78 M","21,98 M","23,41 M","28,52 M","26,51 M","23,93 M","22,55 M","19,67 M","18,95 M","11,52 M"
