Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"4,42 B","4,46 B","4,23 B","4,28 B","4,33 B","4,39 B","4,34 B","4,18 B","4,09 B","4,11 B","4,14 B","4,13 B","4,13 B","4,07 B","3,97 B","3,81 B","3,58 B","3,40 B","3,13 B","2,90 B","2,83 B","2,82 B","2,89 B","2,93 B","2,84 B","2,75 B","2,81 B","2,64 B","2,71 B","2,66 B","2,66 B","2,50 B","1,92 B","1,86 B","1,80 B","1,76 B","1,69 B","1,66 B","1,57 B","1,57 B","1,60 B","1,65 B","1,65 B","1,57 B","1,49 B","1,46 B","1,43 B","1,42 B","1,40 B","1,38 B","1,36 B","1,33 B","1,31 B","1,31 B","1,31 B","1,30 B","1,27 B","1,25 B","1,28 B","1,21 B","1,20 B","1,20 B","1,07 B"
Ativo circulante,"1,76 B","1,79 B","1,69 B","1,80 B","1,67 B","1,75 B","1,81 B","1,62 B","1,52 B","1,58 B","1,69 B","1,77 B","1,82 B","1,69 B","1,71 B","1,67 B","1,55 B","1,40 B","1,25 B","1,03 B","866,93 M","774,74 M","862,79 M","889,82 M","766,20 M","693,75 M","859,56 M","795,55 M","855,44 M","810,41 M","792,32 M","703,60 M","951,79 M","888,38 M","830,13 M","793,77 M","722,63 M","658,30 M","621,17 M","630,42 M","651,09 M","677,45 M","799,43 M","757,63 M","691,35 M","680,82 M","654,57 M","661,21 M","644,35 M","631,02 M","624,53 M","607,96 M","607,94 M","629,04 M","633,94 M","650,88 M","636,22 M","662,89 M","710,10 M","681,03 M","686,90 M","697,46 M","623,34 M"
Caixa e eq. de caixa,"364,60 M","372,72 M","357,04 M","390,55 M","447,29 M","464,09 M","468,34 M","388,91 M","290,97 M","341,79 M","475,61 M","558,52 M","580,25 M","474,10 M","436,06 M","431,36 M","318,37 M","216,51 M","143,60 M","164,62 M","64,31 M","90,50 M","117,16 M","168,11 M","120,81 M","73,72 M","112,64 M","95,96 M","153,62 M","182,11 M","233,16 M","178,91 M","372,31 M","92,44 M","408,96 M","374,02 M","301,43 M","192,40 M","113,94 M","116,25 M","83,83 M","40,64 M","76,75 M","88,54 M","44,43 M","54,68 M","32,22 M","79,43 M","82,60 M","116,49 M","97,42 M","199,58 M","195,17 M","229,68 M","260,57 M","308,25 M","201,83 M","235,41 M","318,56 M","299,18 M","285,46 M","266,79 M","382,73 M"
Aplicações financeiras,"633,34 M","616,87 M","523,68 M","581,37 M","391,44 M","382,66 M","362,29 M","366,70 M","408,25 M","463,30 M","489,21 M","473,10 M","441,56 M","393,46 M","393,40 M","386,43 M","454,79 M","385,73 M","326,80 M","229,31 M","179,99 M","191,84 M","190,87 M","108,70 M","104,23 M","100,63 M","143,50 M","118,61 M","142,49 M","110,13 M","78,96 M","78,89 M","175,76 M","421,57 M","82,94 M","88,81 M","88,46 M","84,26 M","106,34 M","70,06 M","47,53 M","42,18 M","159,69 M","149,69 M","170,97 M","193,65 M","236,23 M","222,88 M","175,73 M","115,55 M","122,69 M",0,0,"27,71 M","27,22 M","26,69 M","112,53 M","109,46 M","106,29 M","106,71 M","103,54 M","116,78 M","24,17 M"
Contas a receber,"173,26 M","198,18 M","183,78 M","224,18 M","184,17 M","200,71 M","235,25 M","175,47 M","184,44 M","197,57 M","172,19 M","195,58 M","239,81 M","211,93 M","268,88 M","327,25 M","266,75 M","288,00 M","260,60 M","178,84 M","202,47 M","154,73 M","118,34 M","198,44 M","144,78 M","97,44 M","112,00 M","115,31 M","133,36 M","135,94 M","149,60 M","164,83 M","149,49 M","129,31 M","127,42 M","121,14 M","108,67 M","136,06 M","110,63 M","97,12 M","127,85 M","153,05 M","106,52 M","119,97 M","112,30 M","103,77 M","118,74 M","123,86 M","158,60 M","163,35 M","167,97 M","142,85 M","154,50 M","118,52 M","115,03 M","115,85 M","118,94 M","86,71 M","83,38 M","84,50 M","106,67 M","111,48 M","61,99 M"
Estoques,"477,75 M","487,00 M","530,61 M","508,50 M","562,20 M","556,12 M","653,36 M","603,80 M","558,59 M","519,15 M","509,81 M","509,44 M","525,67 M","579,16 M","579,28 M","487,96 M","459,00 M","421,40 M","365,68 M","336,98 M","287,23 M","285,99 M","356,91 M","322,36 M","311,38 M","338,36 M","337,09 M","376,20 M","353,47 M","313,13 M","276,15 M","243,61 M","215,37 M","202,09 M","171,14 M","176,86 M","181,86 M","185,01 M","227,06 M","284,55 M","355,60 M","411,60 M","417,73 M","385,89 M","348,55 M","299,68 M","250,35 M","219,63 M","206,39 M","211,57 M","211,63 M","233,62 M","228,00 M","229,09 M","209,33 M","181,07 M","184,84 M","215,86 M","194,00 M","179,26 M","183,38 M","194,86 M","143,69 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,66 B","2,67 B","2,54 B","2,48 B","2,66 B","2,64 B","2,53 B","2,56 B","2,57 B","2,53 B","2,45 B","2,36 B","2,30 B","2,37 B","2,26 B","2,13 B","2,03 B","1,99 B","1,88 B","1,88 B","1,96 B","2,04 B","2,03 B","2,04 B","2,07 B","2,05 B","1,95 B","1,85 B","1,86 B","1,85 B","1,86 B","1,80 B","967,38 M","968,08 M","974,75 M","970,04 M","968,25 M","999,32 M","947,46 M","939,88 M","951,27 M","967,69 M","848,16 M","809,34 M","802,35 M","780,71 M","775,96 M","761,76 M","756,87 M","750,78 M","735,34 M","721,72 M","706,04 M","677,96 M","673,15 M","648,48 M","630,58 M","591,45 M","567,96 M","531,23 M","508,24 M","504,06 M","449,78 M"
Investimentos,"83,16 M","82,01 M","85,91 M","85,18 M","84,41 M","66,89 M","39,93 M","39,25 M","37,95 M","124,00 Mil","15,12 M","7,62 M","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil","124,00 Mil"
Imobilizado,"1,88 B","1,89 B","1,83 B","1,83 B","1,81 B","1,83 B","1,84 B","1,82 B","1,80 B","1,77 B","1,69 B","1,65 B","1,62 B","1,59 B","1,52 B","1,49 B","1,47 B","1,47 B","1,43 B","1,43 B","1,45 B","1,48 B","1,49 B","1,51 B","1,53 B","1,55 B","1,54 B","1,54 B","1,53 B","1,51 B","1,51 B","1,45 B","660,03 M","664,08 M","648,40 M","645,92 M","642,19 M","652,12 M","639,37 M","633,45 M","623,23 M","613,05 M","574,55 M","570,68 M","567,55 M","564,76 M","566,68 M","564,13 M","557,03 M","546,38 M","535,96 M","531,01 M","520,91 M","499,84 M","486,83 M","467,69 M","450,15 M","428,00 M","402,76 M","377,87 M","359,78 M","345,92 M","319,75 M"
