Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"90,01 M","5,18 M","4,45 M","1,00 Mil","51,61 M","50,93 M","52,87 M","25,95 M","28,11 M","28,50 M","37,89 M","35,04 M","36,90 M","35,89 M","36,47 M","26,73 M","27,19 M","27,46 M","31,99 M","27,25 M","26,16 M","21,83 M","18,72 M","14,62 M","12,90 M","12,86 M","12,68 M","11,24 M","9,57 M","6,79 M","6,79 M","5,24 M","3,34 M","1,84 M","587,00 Mil","587,00 Mil","587,00 Mil","587,00 Mil","587,00 Mil","577,00 Mil","577,00 Mil","577,00 Mil","578,00 Mil","577,00 Mil","568,00 Mil","555,00 Mil","547,00 Mil","539,00 Mil","532,00 Mil","525,00 Mil","519,00 Mil","513,00 Mil","507,00 Mil","501,00 Mil","496,00 Mil","486,00 Mil","478,00 Mil","468,00 Mil","445,00 Mil","437,00 Mil","349,00 Mil"
Ativo circulante,"80,83 M","798,00 Mil","44,00 Mil","1,00 Mil","18,46 M","18,10 M","20,52 M","25,31 M","27,50 M","27,87 M","37,20 M","34,34 M","36,17 M","35,11 M","35,70 M","26,03 M","26,61 M","26,88 M","31,41 M","26,65 M","26,05 M","21,71 M","18,58 M","14,49 M","12,76 M","12,71 M","12,52 M","11,23 M","9,57 M","6,79 M","6,79 M","5,24 M","3,34 M","1,84 M","577,00 Mil","587,00 Mil","577,00 Mil","577,00 Mil","577,00 Mil","577,00 Mil","577,00 Mil","577,00 Mil","578,00 Mil","577,00 Mil","568,00 Mil","555,00 Mil","547,00 Mil","539,00 Mil","532,00 Mil","525,00 Mil","519,00 Mil","513,00 Mil","507,00 Mil","501,00 Mil","496,00 Mil","486,00 Mil","478,00 Mil","468,00 Mil","445,00 Mil","437,00 Mil","349,00 Mil"
Caixa e eq. de caixa,"52,72 M","8,00 Mil",0,0,"7,34 M","7,17 M","8,35 M","19,56 M","20,59 M","18,36 M","26,14 M","23,65 M","22,78 M","20,64 M","18,26 M","17,89 M","15,48 M","13,46 M","14,35 M","14,79 M","14,30 M","13,57 M","12,73 M","11,17 M","9,41 M","8,46 M","7,79 M","6,42 M","5,46 M","6,79 M","6,79 M","4,99 M","3,10 M","1,84 M",0,"10,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"5,52 M",0,0,0,"8,88 M","9,41 M","10,14 M","4,50 M","5,94 M","8,46 M","10,57 M","9,18 M","12,17 M","13,72 M","16,62 M","7,50 M","11,03 M","13,32 M","16,99 M","11,49 M","11,58 M","8,04 M","5,78 M","3,21 M","3,31 M","4,25 M","4,73 M","4,81 M","4,11 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estoques,"17,47 M",0,0,0,"472,00 Mil",0,"585,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"9,18 M","4,39 M","4,40 M",0,"33,15 M","32,82 M","32,35 M","639,00 Mil","618,00 Mil","635,00 Mil","684,00 Mil","704,00 Mil","726,00 Mil","776,00 Mil","767,00 Mil","702,00 Mil","571,00 Mil","582,00 Mil","580,00 Mil","593,00 Mil","108,00 Mil","121,00 Mil","132,00 Mil","132,00 Mil","139,00 Mil","150,00 Mil","156,00 Mil","4,00 Mil","4,00 Mil","2,00 Mil",0,0,0,0,"10,00 Mil",0,"10,00 Mil","10,00 Mil","10,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investimentos,"246,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,00 Mil",0,"10,00 Mil","10,00 Mil","10,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"8,92 M","4,38 M","4,38 M",0,"2,17 M","1,11 M","1,05 M","538,00 Mil","585,00 Mil","635,00 Mil","684,00 Mil","704,00 Mil","726,00 Mil","776,00 Mil","767,00 Mil","702,00 Mil","571,00 Mil","582,00 Mil","580,00 Mil","593,00 Mil","108,00 Mil","121,00 Mil","132,00 Mil","132,00 Mil","139,00 Mil","150,00 Mil","156,00 Mil","4,00 Mil","4,00 Mil","2,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
