Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"13,38","6,54","8,28","7,26","20,17",-,-
P/VP,"2,50","0,95","1,09","0,95","1,69",-,-
P/EBIT,"8,50","4,39","5,41","5,20","12,53",-,-
P/EBIT *,"8,90","4,56","6,00","5,69","11,90",-,-
PSR,"2,36","1,11","1,36","1,39","3,55",-,-
P/Ativos,"1,12","0,50","0,60","0,49","1,00",-,-
LPA,"0,52","0,44","0,36","0,33","0,20",-,-
VPA,"2,80","3,00","2,75","2,50","2,40",-,-
EBIT por ação,"0,82","0,65","0,56","0,46","0,32",-,-
EBIT por ação *,"0,79","0,63","0,50","0,42","0,34",-,-
Ativo por ação,"6,25","5,72","5,05","4,81","4,05",-,-
Receita líquida por ação,"2,97","2,57","2,21","1,70","1,15",-,-
Margem bruta,"51,68%","50,76%","45,00%","46,54%","49,10%","47,44%","54,09%"
Margem líquida,"17,62%","17,02%","16,43%","19,19%","17,59%","17,64%","22,39%"
Margem EBIT,"27,76%","25,34%","25,13%","26,79%","28,31%","30,87%","38,52%"
Margem EBIT *,"26,52%","24,40%","22,68%","24,51%","29,80%","28,59%","33,39%"
Margem EBITDA,"46,56%","48,76%","47,77%","49,65%","49,25%","48,65%","50,23%"
Margem EBITDA *,"45,31%","47,81%","45,33%","47,37%","50,74%","46,37%","45,10%"
Margem operacional,"24,43%","21,02%","21,69%","25,31%","24,98%","26,69%","34,90%"
ROE,"18,72%","14,57%","13,22%","13,06%","8,40%","42,94%","50,94%"
ROA,"0,08","0,08","0,07","0,07","0,05","0,11","0,13"
ROIC,"15,30%","14,60%","13,80%","14,00%","15,30%","23,48%","24,96%"
ROIC *,"14,62%","14,05%","12,45%","12,80%","16,10%","21,74%","21,64%"
Giro do ativo,"0,48","0,45","0,44","0,35","0,28","0,63","0,59"
EBIT *,314 mi,250 mi,200 mi,166 mi,136 mi,81 mi,54 mi
EBITDA,551 mi,499 mi,421 mi,336 mi,225 mi,139 mi,82 mi
EBITDA *,537 mi,490 mi,400 mi,321 mi,232 mi,132 mi,73 mi
Liquidez corrente,"1,10","1,47","1,38","1,85","2,82","0,71","0,58"
Liquidez seca,"1,07","1,44","1,37","1,82","2,79","0,67","0,54"
Liquidez imediata,"0,45","0,99","0,68","0,96","1,82","0,29","0,10"
Dívida bruta,538 mi,549 mi,323 mi,370 mi,288 mi,154 mi,43 mi
Dívida líquida,278 mi,101 mi,-62 mi,-188 mi,-407 mi,111 mi,34 mi
Capital de giro,46 mi,214 mi,153 mi,323 mi,529 mi,-44 mi,-39 mi
Endividamento geral,"123,58%","90,56%","83,79%","92,47%","68,67%","288,02%","284,96%"
