Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"6,97 B","7,22 B","6,89 B","6,64 B","6,74 B","4,87 B","4,43 B","4,48 B","4,16 B","3,91 B","3,95 B","3,89 B","3,86 B","3,77 B","3,75 B","3,72 B","2,98 B","3,08 B","3,10 B","2,78 B","2,96 B","2,84 B","2,76 B","1,98 B","1,66 B","1,62 B","1,63 B","1,53 B","1,53 B","1,53 B","1,45 B","1,36 B","1,30 B","1,36 B","1,21 B","1,26 B","1,21 B","1,20 B","1,21 B","1,18 B","914,78 M","970,96 M","1,04 B","943,33 M","977,55 M","942,41 M","953,78 M","934,59 M","915,16 M","934,20 M","932,72 M","847,89 M","870,24 M","897,34 M","872,84 M","914,21 M","809,17 M","780,28 M","789,37 M","714,44 M","687,12 M","686,54 M","617,25 M"
Ativo circulante,"3,35 B","3,42 B","3,37 B","3,17 B","3,28 B","3,08 B","2,76 B","2,82 B","2,54 B","2,37 B","2,37 B","2,31 B","2,26 B","2,29 B","2,32 B","2,30 B","1,56 B","1,61 B","1,62 B","1,36 B","1,49 B","1,45 B","1,30 B","1,02 B","723,85 M","730,26 M","761,27 M","685,46 M","711,89 M","782,11 M","870,17 M","790,20 M","753,54 M","864,78 M","819,67 M","862,01 M","817,83 M","796,36 M","789,45 M","759,42 M","474,41 M","512,51 M","589,12 M","514,10 M","536,87 M","514,98 M","532,36 M","517,71 M","495,18 M","502,51 M","498,16 M","421,72 M","456,03 M","478,85 M","455,65 M","523,72 M","437,39 M","463,41 M","472,98 M","409,06 M","387,29 M","405,12 M","344,67 M"
Caixa e eq. de caixa,"1,22 B","1,32 B","974,99 M","729,38 M","713,07 M","844,88 M","814,92 M","1,23 B","1,07 B","1,05 B","796,42 M","811,75 M","553,32 M","567,86 M","419,56 M","676,16 M","308,61 M","363,60 M","349,75 M","259,79 M","362,99 M","443,24 M","393,27 M","412,39 M","121,46 M","178,39 M","175,09 M","121,11 M","170,44 M","224,72 M","352,69 M","310,18 M","112,81 M","237,77 M","245,72 M","321,06 M","252,79 M","256,24 M","241,97 M","187,22 M","146,58 M","161,90 M","199,10 M","142,18 M","172,55 M","176,24 M","190,34 M","146,46 M","141,31 M","166,04 M","58,62 M","57,15 M","55,18 M","79,31 M","69,25 M","88,41 M","61,23 M","128,50 M","260,31 M","219,92 M","205,71 M","226,38 M","7,04 M"
Aplicações financeiras,"7,21 M","13,87 M","20,28 M","20,78 M","7,53 M","13,99 M","17,09 M","161,59 M","169,25 M","52,00 Mil","212,93 M","205,93 M","402,51 M","494,13 M","597,23 M","328,60 M","49,00 Mil","59,00 Mil","57,00 Mil","19,87 M","19,72 M","19,64 M","19,57 M","18,53 M","22,57 M","35,07 M","55,32 M","543,00 Mil","534,00 Mil","5,87 M","26,08 M","5,69 M","181,99 M","241,47 M","270,47 M","238,96 M","283,40 M","274,18 M","276,46 M","317,01 M","55,71 M","55,01 M","64,77 M","87,33 M","68,90 M","77,82 M","74,61 M","115,35 M","115,52 M","70,30 M","158,87 M","96,56 M","145,70 M","146,64 M","116,98 M","162,97 M","119,48 M","120,17 M",0,0,0,0,"198,27 M"
Contas a receber,"632,62 M","546,57 M","670,58 M","638,54 M","729,42 M","475,50 M","436,69 M","490,30 M","369,65 M","449,79 M","443,33 M","390,20 M","385,41 M","301,67 M","367,29 M","412,35 M","336,01 M","296,27 M","330,68 M","306,76 M","378,68 M","309,71 M","324,78 M","152,38 M","167,97 M","142,40 M","114,25 M","141,49 M","147,50 M","124,23 M","105,42 M","115,83 M","127,59 M","90,77 M","82,23 M","95,79 M","91,34 M","75,13 M","72,70 M","61,00 M","74,02 M","91,60 M","102,84 M","92,22 M","99,33 M","86,11 M","90,27 M","80,88 M","78,31 M","105,72 M","122,22 M","114,16 M","108,29 M","112,30 M","117,91 M","119,72 M","107,64 M","87,73 M","88,89 M","85,63 M","78,92 M","71,65 M","65,40 M"
Estoques,"1,39 B","1,44 B","1,58 B","1,66 B","1,68 B","1,05 B","879,41 M","844,87 M","833,33 M","783,47 M","836,30 M","829,94 M","852,26 M","857,67 M","853,03 M","786,05 M","794,67 M","825,23 M","783,39 M","612,84 M","564,93 M","494,10 M","483,29 M","377,11 M","364,03 M","333,27 M","364,68 M","365,66 M","342,70 M","368,28 M","340,13 M","307,11 M","280,15 M","256,21 M","204,51 M","182,80 M","174,12 M","172,16 M","183,63 M","177,09 M","181,94 M","187,28 M","199,33 M","175,63 M","177,95 M","156,92 M","160,97 M","157,30 M","141,93 M","141,53 M","143,40 M","130,48 M","126,13 M","123,86 M","136,45 M","140,12 M","137,03 M","110,05 M","107,39 M","89,00 M","88,42 M","92,93 M","64,53 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,62 B","3,80 B","3,52 B","3,46 B","3,45 B","1,79 B","1,67 B","1,66 B","1,62 B","1,54 B","1,58 B","1,58 B","1,61 B","1,48 B","1,44 B","1,42 B","1,42 B","1,47 B","1,49 B","1,42 B","1,47 B","1,39 B","1,46 B","964,40 M","938,70 M","889,76 M","869,45 M","848,59 M","817,28 M","745,10 M","576,19 M","565,48 M","551,22 M","491,68 M","393,34 M","396,20 M","396,14 M","405,94 M","416,55 M","421,02 M","440,37 M","458,45 M","447,40 M","429,23 M","440,68 M","427,43 M","421,42 M","416,89 M","419,97 M","431,69 M","434,56 M","426,17 M","414,22 M","418,49 M","417,19 M","390,49 M","371,79 M","316,87 M","316,39 M","305,38 M","299,83 M","281,42 M","272,58 M"
Investimentos,"68,41 M","67,14 M","66,95 M","38,05 M","37,47 M","36,90 M","36,54 M","34,08 M","34,21 M","34,31 M","33,94 M","32,40 M","32,42 M","32,32 M","31,66 M","31,40 M","28,73 M","28,79 M","28,98 M","24,11 M","1,41 M","1,41 M","1,32 M","1,32 M","1,33 M","1,30 M","883,00 Mil","924,00 Mil","922,00 Mil","952,00 Mil","942,00 Mil","1,02 M","1,09 M","396,00 Mil","412,00 Mil","450,00 Mil","465,00 Mil","464,00 Mil","480,00 Mil","484,00 Mil","550,00 Mil","761,00 Mil","1,03 M","851,00 Mil","901,00 Mil","796,00 Mil","733,00 Mil","691,00 Mil","717,00 Mil","891,00 Mil","949,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","80,00 Mil","257,00 Mil","257,00 Mil","257,00 Mil","257,00 Mil"
Imobilizado,"1,40 B","1,45 B","1,39 B","1,34 B","1,32 B","969,83 M","878,02 M","874,03 M","864,58 M","851,38 M","840,69 M","838,75 M","848,69 M","827,26 M","793,44 M","787,65 M","779,36 M","822,66 M","754,67 M","719,40 M","764,53 M","735,98 M","758,47 M","683,35 M","679,02 M","641,18 M","614,84 M","590,06 M","580,92 M","503,96 M","434,63 M","430,45 M","423,46 M","371,93 M","327,13 M","333,55 M","336,01 M","345,30 M","363,00 M","368,93 M","384,84 M","398,91 M","395,69 M","379,64 M","383,29 M","376,94 M","368,47 M","365,86 M","369,98 M","375,96 M","376,98 M","375,92 M","365,15 M","370,15 M","370,30 M","342,35 M","324,03 M","285,02 M","276,51 M","270,58 M","268,34 M","260,73 M","248,96 M"
